epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736646587.6735055, 1736646587.6753175, 0.1717613220214844]","[1736646619.6256037, 1736646619.627455, 0.2618451845645905]","[1736646651.4596043, 1736646651.4612513, 0.24297960567474364]","[1736646683.1016026, 1736646683.10311, 0.21931109285354616]","[1736646714.4761117, 1736646714.478172, 0.27591407394409184]"
"[1736646587.7621005, 1736646587.7634459, 0.13611371755599977]","[1736646619.7124748, 1736646619.7138352, 0.19169355583190914]","[1736646651.538929, 1736646651.5402384, 0.1934988485773652]","[1736646683.1690893, 1736646683.17038, 0.18869791460037233]","[1736646714.562397, 1736646714.563852, 0.20370960235595703]"
"[1736646587.8406067, 1736646587.8419623, 0.13715091228485107]","[1736646619.789146, 1736646619.7904809, 0.18793468832969665]","[1736646651.607104, 1736646651.6083694, 0.1896602547168732]","[1736646683.2338688, 1736646683.235141, 0.19092691802978515]","[1736646714.640446, 1736646714.6417398, 0.19191736578941343]"
"[1736646587.9149559, 1736646587.916301, 0.14533351993560792]","[1736646619.8610237, 1736646619.8623676, 0.20101289248466492]","[1736646651.6748428, 1736646651.6761258, 0.19218297004699708]","[1736646683.300614, 1736646683.3018894, 0.19139206981658935]","[1736646714.715407, 1736646714.716753, 0.19966195821762084]"
"[1736646587.9903884, 1736646587.9917367, 0.15634793400764466]","[1736646619.9349873, 1736646619.9363112, 0.19801749014854433]","[1736646651.7405264, 1736646651.7418156, 0.20235035177207403]","[1736646683.369368, 1736646683.3706646, 0.20292875385284423]","[1736646714.790113, 1736646714.7914352, 0.20909840011596678]"
"[1736646588.0672593, 1736646588.068574, 0.1685447416305542]","[1736646620.0105786, 1736646620.0119145, 0.2104165415763855]","[1736646651.8074841, 1736646651.8087406, 0.2012946343421936]","[1736646683.434048, 1736646683.4352841, 0.20795114755630492]","[1736646714.8616042, 1736646714.8629272, 0.21753572750091552]"
"[1736646588.1409333, 1736646588.1422477, 0.1685141749382019]","[1736646620.084326, 1736646620.085661, 0.2192302157878876]","[1736646651.8722208, 1736646651.8734894, 0.21209891986846924]","[1736646683.5002015, 1736646683.5014398, 0.2083121042251587]","[1736646714.9330993, 1736646714.9344387, 0.23379312229156493]"
"[1736646588.2219656, 1736646588.223277, 0.18049684095382693]","[1736646620.1553905, 1736646620.1567345, 0.2361723747253418]","[1736646651.937155, 1736646651.9384317, 0.213496512118136]","[1736646683.5643148, 1736646683.5655808, 0.22231513023376465]","[1736646715.0056384, 1736646715.0069373, 0.22671857070922852]"
"[1736646588.3287687, 1736646588.330053, 0.1878095235824585]","[1736646620.2291975, 1736646620.2304919, 0.22745783615112306]","[1736646652.0038633, 1736646652.0051637, 0.2331448516845703]","[1736646683.63548, 1736646683.6367786, 0.24300897932052615]","[1736646715.0794702, 1736646715.0808072, 0.2453315486907959]"
"[1736646588.4001653, 1736646588.4014397, 0.1971007490158081]","[1736646620.306327, 1736646620.3076415, 0.24110989117622378]","[1736646652.0754156, 1736646652.0767076, 0.2404277632236481]","[1736646683.7011378, 1736646683.702383, 0.23301558637619021]","[1736646715.1510124, 1736646715.152329, 0.2509247174263]"
"[1736646588.4727185, 1736646588.4740422, 0.22130542373657228]","[1736646620.377442, 1736646620.3787565, 0.2515721483230591]","[1736646652.1431844, 1736646652.1444516, 0.2510008668899536]","[1736646683.7638042, 1736646683.7650352, 0.2397777485847473]","[1736646715.2233737, 1736646715.224712, 0.2705660676956177]"
"[1736646588.5437167, 1736646588.5450425, 0.22166416811943057]","[1736646620.4496186, 1736646620.4509368, 0.25406157334794377]","[1736646652.208622, 1736646652.209926, 0.2582735166549682]","[1736646683.828171, 1736646683.829457, 0.26502175443642295]","[1736646715.2962608, 1736646715.2975693, 0.26454063415527346]"
"[1736646588.616665, 1736646588.6179893, 0.2351975989341736]","[1736646620.5226731, 1736646620.5239806, 0.2650250988006592]","[1736646652.2733896, 1736646652.2747447, 0.27884951305389405]","[1736646683.8956888, 1736646683.896977, 0.26710191893577573]","[1736646715.3696957, 1736646715.37102, 0.27727956771850587]"
"[1736646588.6912155, 1736646588.6924891, 0.23793866586685178]","[1736646620.596421, 1736646620.5977323, 0.2747073173522949]","[1736646652.3410044, 1736646652.3422766, 0.2764484075533801]","[1736646683.9592168, 1736646683.960425, 0.2596848614215851]","[1736646715.4425852, 1736646715.4438899, 0.283786262512207]"
"[1736646588.762418, 1736646588.7637677, 0.26439622759624576]","[1736646620.7004778, 1736646620.7017767, 0.28116344833374024]","[1736646652.4079542, 1736646652.409285, 0.29006595849990846]","[1736646684.0326538, 1736646684.0339174, 0.2858229160308838]","[1736646715.5189068, 1736646715.52113, 0.5070529222488404]"
"[1736646588.8354592, 1736646588.8367836, 0.26148856520652775]","[1736646620.7730293, 1736646620.774393, 0.2985053539276123]","[1736646652.4720924, 1736646652.4733212, 0.2770104932785034]","[1736646684.0984447, 1736646684.099684, 0.2803221731185913]","[1736646715.5935538, 1736646715.5948668, 0.2994466962814331]"
"[1736646588.907883, 1736646588.9092102, 0.2670108137130737]","[1736646620.8456094, 1736646620.846928, 0.2885899662971496]","[1736646652.537615, 1736646652.5388958, 0.2889856949248456]","[1736646684.1640985, 1736646684.165364, 0.29543194007873536]","[1736646715.6667287, 1736646715.6680167, 0.2940553736686706]"
"[1736646588.9802544, 1736646588.9815373, 0.2638320655822754]","[1736646620.9179833, 1736646620.9192736, 0.28769133853912354]","[1736646652.6029046, 1736646652.6041613, 0.2954398777484894]","[1736646684.2305205, 1736646684.2317739, 0.29989675545692446]","[1736646715.739608, 1736646715.7409213, 0.2997072458267212]"
