epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736654764.066506, 1736654764.1488452, 4.354101486206054]","[1736654829.3208735, 1736654829.3961315, 14.274815367460253]","[1736654895.0666578, 1736654895.1415389, 13.678159234762195]","[1736654960.76324, 1736654960.838662, 14.023289075851443]","[1736655026.316153, 1736655026.3922992, 14.375455340623857]"
"[1736654764.228352, 1736654764.302086, 6.03571551656723]","[1736654829.4821396, 1736654829.5569952, 14.102309211492535]","[1736654895.2264256, 1736654895.3009846, 13.465201462268828]","[1736654960.926047, 1736654961.000982, 13.820741136670112]","[1736655026.483183, 1736655026.5581548, 14.207027814388274]"
"[1736654764.4093513, 1736654764.4834394, 10.569199177265167]","[1736654829.6324093, 1736654829.707137, 14.429338153691868]","[1736654895.3763664, 1736654895.4513447, 14.283529446363449]","[1736654961.0796328, 1736654961.1551604, 14.28910955810547]","[1736655026.6332242, 1736655026.7085156, 14.770041710734368]"
"[1736654764.5615683, 1736654764.635993, 12.39313388824463]","[1736654829.7822695, 1736654829.8575256, 15.16763729846478]","[1736654895.5261621, 1736654895.6006846, 15.082011637687685]","[1736654961.2328682, 1736654961.3080106, 15.023921380200637]","[1736655026.815028, 1736655026.8902786, 15.324641129493713]"
"[1736654764.7129939, 1736654764.7870727, 13.973960715293885]","[1736654829.9384658, 1736654830.0132606, 16.500174873352044]","[1736654895.708389, 1736654895.7835753, 16.859447904747043]","[1736654961.401754, 1736654961.4768958, 16.516416526794433]","[1736655026.9651382, 1736655027.0404022, 16.80366130828857]"
"[1736654764.8634992, 1736654764.9379818, 15.805894905805587]","[1736654830.0897923, 1736654830.1649752, 17.91849005699158]","[1736654895.8588748, 1736654895.9345753, 18.23575733041763]","[1736654961.5551448, 1736654961.6306837, 18.131021106600766]","[1736655027.1159663, 1736655027.1914256, 18.107879928827288]"
"[1736654765.0238888, 1736654765.0986898, 17.67437337756157]","[1736654830.2395165, 1736654830.3148925, 19.3873942732811]","[1736654896.0114691, 1736654896.0869489, 19.710327956676483]","[1736654961.709342, 1736654961.7848856, 19.18828742834096]","[1736655027.2662878, 1736655027.3416033, 19.528775579452514]"
"[1736654765.176994, 1736654765.2513864, 18.75646092796326]","[1736654830.3897164, 1736654830.4640782, 20.204247567415244]","[1736654896.1621196, 1736654896.2376728, 20.658370304346082]","[1736654961.8624601, 1736654961.9378917, 20.38470467591286]","[1736655027.4166338, 1736655027.4921033, 20.481471580028533]"
"[1736654765.3293197, 1736654765.4038622, 19.504291480779646]","[1736654830.5388088, 1736654830.6137278, 20.67876374602318]","[1736654896.3125381, 1736654896.3880188, 20.833880764007567]","[1736654962.015936, 1736654962.0917072, 20.57047605860233]","[1736655027.5677931, 1736655027.643221, 20.731549036741256]"
"[1736654765.482323, 1736654765.5569153, 19.641142088128937]","[1736654830.688506, 1736654830.7635937, 20.674160189151767]","[1736654896.4631727, 1736654896.5390122, 20.759094808697704]","[1736654962.1724684, 1736654962.2480862, 20.53034153652191]","[1736655027.7185967, 1736655027.7939181, 20.516523014307026]"
