epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736643695.8130207, 1736643695.912908]","[1736643773.2954736, 1736643773.376941]","[1736643851.0368347, 1736643851.1190114]","[1736643929.0328581, 1736643929.1147807]","[1736644007.268283, 1736644007.3501873]"
"[1736643695.9892445, 1736643696.0744846]","[1736643773.4558668, 1736643773.5368166]","[1736643851.198348, 1736643851.2795758]","[1736643929.1925604, 1736643929.274354]","[1736644007.428572, 1736644007.510188]"
"[1736643696.14743, 1736643696.2273555]","[1736643773.6085224, 1736643773.6919587]","[1736643851.3554623, 1736643851.437065]","[1736643929.3489723, 1736643929.4300823]","[1736644007.585453, 1736644007.6667874]"
"[1736643696.3018825, 1736643696.381709]","[1736643773.7619593, 1736643773.8429596]","[1736643851.511035, 1736643851.5923755]","[1736643929.505187, 1736643929.5863044]","[1736644007.746917, 1736644007.8283865]"
"[1736643696.487973, 1736643696.5683138]","[1736643773.9185576, 1736643773.9997034]","[1736643851.669074, 1736643851.750114]","[1736643929.6638625, 1736643929.7456024]","[1736644007.9082596, 1736644007.9896576]"
"[1736643696.642487, 1736643696.7228708]","[1736643774.0765183, 1736643774.157472]","[1736643851.8238397, 1736643851.9063919]","[1736643929.8212643, 1736643929.9029362]","[1736644008.0734367, 1736644008.1554945]"
"[1736643696.798848, 1736643696.8790226]","[1736643774.2293837, 1736643774.3119717]","[1736643851.980109, 1736643852.0621543]","[1736643929.9733393, 1736643930.0545304]","[1736644008.233947, 1736644008.3157263]"
"[1736643696.953385, 1736643697.0338624]","[1736643774.3810964, 1736643774.4621904]","[1736643852.1365063, 1736643852.2178557]","[1736643930.1497552, 1736643930.2314913]","[1736644008.396146, 1736644008.4794693]"
"[1736643697.1122444, 1736643697.1940663]","[1736643774.535454, 1736643774.6167648]","[1736643852.295459, 1736643852.3772101]","[1736643930.3061733, 1736643930.3876429]","[1736644008.55689, 1736644008.6392698]"
"[1736643697.2706518, 1736643697.35144]","[1736643774.690931, 1736643774.7721632]","[1736643852.4532251, 1736643852.5343711]","[1736643930.4617035, 1736643930.5435765]","[1736644008.7166636, 1736644008.7999582]"
"[1736643697.4256926, 1736643697.5065947]","[1736643774.8449535, 1736643774.9271095]","[1736643852.608841, 1736643852.690136]","[1736643930.6164098, 1736643930.698718]","[1736644008.8757696, 1736644008.9592173]"
"[1736643697.5831625, 1736643697.6635725]","[1736643775.000537, 1736643775.0816758]","[1736643852.7640033, 1736643852.8465457]","[1736643930.7713764, 1736643930.8530667]","[1736644009.0372007, 1736644009.1192484]"
"[1736643697.7438226, 1736643697.8249013]","[1736643775.1548057, 1736643775.235832]","[1736643852.9220982, 1736643853.0063336]","[1736643930.9260194, 1736643931.0076053]","[1736644009.1980343, 1736644009.279588]"
"[1736643697.9028535, 1736643697.9835515]","[1736643775.3069897, 1736643775.3880863]","[1736643853.0799205, 1736643853.1620133]","[1736643931.077599, 1736643931.1594436]","[1736644009.3545918, 1736644009.438642]"
"[1736643698.0614219, 1736643698.1419005]","[1736643775.4607632, 1736643775.5416844]","[1736643853.2375185, 1736643853.3189514]","[1736643931.2326646, 1736643931.3143826]","[1736644009.5144129, 1736644009.5964277]"
"[1736643698.2203865, 1736643698.301534]","[1736643775.6170852, 1736643775.69812]","[1736643853.3940575, 1736643853.4752662]","[1736643931.3911543, 1736643931.4725027]","[1736644009.6744418, 1736644009.7561252]"
"[1736643698.3811326, 1736643698.4618454]","[1736643775.7717104, 1736643775.8530517]","[1736643853.553253, 1736643853.6344006]","[1736643931.5491848, 1736643931.630782]","[1736644009.835237, 1736644009.9186287]"
"[1736643698.543168, 1736643698.6236627]","[1736643775.9246473, 1736643776.006196]","[1736643853.7118132, 1736643853.79309]","[1736643931.7033257, 1736643931.7852497]","[1736644009.9900875, 1736644010.0710862]"
"[1736643698.7004356, 1736643698.7809465]","[1736643776.0799198, 1736643776.1610284]","[1736643853.8695858, 1736643853.950794]","[1736643931.857178, 1736643931.941823]","[1736644010.1472945, 1736644010.2289126]"
"[1736643698.8579435, 1736643698.938498]","[1736643776.2341733, 1736643776.3154423]","[1736643854.026697, 1736643854.1083257]","[1736643932.0128365, 1736643932.0942585]","[1736644010.3020983, 1736644010.3837533]"
"[1736643699.0545874, 1736643699.1354647]","[1736643776.3890183, 1736643776.4706514]","[1736643854.180765, 1736643854.262084]","[1736643932.1676693, 1736643932.2491658]","[1736644010.4548624, 1736644010.538298]"
"[1736643699.2122998, 1736643699.2930415]","[1736643776.5425065, 1736643776.6254418]","[1736643854.3348622, 1736643854.416077]","[1736643932.3201492, 1736643932.4024065]","[1736644010.609514, 1736644010.6907117]"
"[1736643699.368648, 1736643699.4493296]","[1736643776.6988485, 1736643776.780189]","[1736643854.4928517, 1736643854.573981]","[1736643932.4749584, 1736643932.5562708]","[1736644010.7649994, 1736644010.846434]"
"[1736643699.5244842, 1736643699.6069102]","[1736643776.8522515, 1736643776.9332983]","[1736643854.6465213, 1736643854.728214]","[1736643932.6285422, 1736643932.7100208]","[1736644010.9185147, 1736644011.0002556]"
"[1736643699.6823244, 1736643699.7636473]","[1736643777.004707, 1736643777.0859215]","[1736643854.800733, 1736643854.8819878]","[1736643932.7822433, 1736643932.8635325]","[1736644011.072083, 1736644011.153524]"
"[1736643699.84153, 1736643699.922062]","[1736643777.1586866, 1736643777.2399447]","[1736643854.956814, 1736643855.0377474]","[1736643932.9360764, 1736643933.017447]","[1736644011.2265928, 1736644011.308008]"
"[1736643699.9999492, 1736643700.0806243]","[1736643777.3177068, 1736643777.3986645]","[1736643855.113016, 1736643855.1940944]","[1736643933.0895574, 1736643933.171006]","[1736644011.3825762, 1736644011.4640098]"
"[1736643700.1567366, 1736643700.2372322]","[1736643777.4735305, 1736643777.554511]","[1736643855.2689385, 1736643855.3504686]","[1736643933.243763, 1736643933.325181]","[1736644011.5378635, 1736644011.619565]"
"[1736643700.3130116, 1736643700.393981]","[1736643777.6272063, 1736643777.7091994]","[1736643855.4228888, 1736643855.5053735]","[1736643933.3970935, 1736643933.478481]","[1736644011.691014, 1736644011.7723699]"
"[1736643700.470634, 1736643700.5513036]","[1736643777.7793202, 1736643777.8602755]","[1736643855.576869, 1736643855.6578975]","[1736643933.5521166, 1736643933.6336372]","[1736644011.8436284, 1736644011.9251523]"
"[1736643700.6270316, 1736643700.7076385]","[1736643777.9328325, 1736643778.0137508]","[1736643855.7312381, 1736643855.8124378]","[1736643933.7073886, 1736643933.7889574]","[1736644011.9975364, 1736644012.0789375]"
"[1736643700.7805614, 1736643700.8611393]","[1736643778.08771, 1736643778.1696842]","[1736643855.8845208, 1736643855.9658673]","[1736643933.861248, 1736643933.9429345]","[1736644012.1527371, 1736644012.234824]"
"[1736643700.935788, 1736643701.0161994]","[1736643778.2422607, 1736643778.3246334]","[1736643856.038202, 1736643856.1192985]","[1736643934.0149345, 1736643934.0961215]","[1736644012.3087208, 1736644012.3899202]"
