epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736653179.6680734, 1736653179.6682856, 0.010882294178009032]","[1736653273.3839805, 1736653273.3841784, 0.03614908456802368]","[1736653366.8928356, 1736653366.8930085, 0.032257568836212155]","[1736653461.152558, 1736653461.1528287, 0.04747089743614197]","[1736653554.5725765, 1736653554.5728264, 0.04831744384765625]"
"[1736653179.9043345, 1736653179.9044654, 0.008414379358291625]","[1736653273.6118011, 1736653273.6119075, 0.019303754212114985]","[1736653367.121004, 1736653367.1211195, 0.021127595901489257]","[1736653461.3804505, 1736653461.3805559, 0.01810740852355957]","[1736653554.79661, 1736653554.7966938, 0.015980472564697267]"
"[1736653180.1330764, 1736653180.1331923, 0.016900659084320067]","[1736653273.833984, 1736653273.8340957, 0.021561925411224366]","[1736653367.346705, 1736653367.3468122, 0.02021259069442749]","[1736653461.6024833, 1736653461.6025934, 0.020854472637176515]","[1736653555.0168648, 1736653555.0169566, 0.017360185384750367]"
"[1736653180.35937, 1736653180.359485, 0.020955482482910157]","[1736653274.0578086, 1736653274.0579338, 0.02656765580177307]","[1736653367.569468, 1736653367.5695736, 0.022324356555938722]","[1736653461.8261635, 1736653461.8262746, 0.023472298622131346]","[1736653555.2369084, 1736653555.2370014, 0.01996915433285313]"
"[1736653180.5869565, 1736653180.5870607, 0.021655875205993654]","[1736653274.292968, 1736653274.2931144, 0.03435662174224853]","[1736653367.7992847, 1736653367.799394, 0.026508896350860595]","[1736653462.050973, 1736653462.05108, 0.02517654061317444]","[1736653555.456342, 1736653555.456426, 0.020191535949707032]"
"[1736653180.8376527, 1736653180.8377595, 0.024945404052734373]","[1736653274.525358, 1736653274.5254674, 0.027803272247314454]","[1736653368.0188649, 1736653368.0189471, 0.02094863533973694]","[1736653462.275962, 1736653462.2761025, 0.03604561972618103]","[1736653555.6767676, 1736653555.6768615, 0.024089183807373047]"
"[1736653181.061461, 1736653181.0615647, 0.025084633827209473]","[1736653274.7485962, 1736653274.7487066, 0.028031216144561766]","[1736653368.2394698, 1736653368.2395504, 0.020640923023223876]","[1736653462.5023117, 1736653462.5024288, 0.030009116888046264]","[1736653555.897914, 1736653555.8980052, 0.02356192421913147]"
"[1736653181.2818727, 1736653181.2819834, 0.026892349243164065]","[1736653274.977754, 1736653274.9778755, 0.030860954999923706]","[1736653368.4599981, 1736653368.4600863, 0.022907814979553225]","[1736653462.725967, 1736653462.7260737, 0.027621139526367185]","[1736653556.119905, 1736653556.119997, 0.02378623914718628]"
"[1736653181.5112484, 1736653181.5113578, 0.026864765167236328]","[1736653275.215419, 1736653275.2155697, 0.03778359794616699]","[1736653368.67872, 1736653368.678808, 0.022842031002044676]","[1736653462.9535298, 1736653462.9536393, 0.028471477031707767]","[1736653556.3403382, 1736653556.3404272, 0.023030947208404543]"
"[1736653181.7339115, 1736653181.734018, 0.026581890106201173]","[1736653275.4447248, 1736653275.4448326, 0.02726815128326416]","[1736653368.8995016, 1736653368.8995826, 0.021055450439453127]","[1736653463.1785934, 1736653463.1787012, 0.027640803337097168]","[1736653556.5616944, 1736653556.5617745, 0.020745975494384766]"
