epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736641446.0057151, 1736641446.1884835, 18.948591886281964]","[1736641544.6801004, 1736641544.7323384, 10.549618293285372]","[1736641645.0668118, 1736641645.123361, 10.493532937169077]","[1736641742.9209363, 1736641742.9759533, 10.694863590240477]","[1736641841.878121, 1736641841.9304867, 9.486584682464601]"
"[1736641446.4328527, 1736641446.4882045, 6.64557213997841]","[1736641544.8845937, 1736641544.940879, 11.011784571647643]","[1736641645.2781765, 1736641645.327384, 8.732527544021606]","[1736641743.1257598, 1736641743.1794076, 10.033257082700729]","[1736641842.0863867, 1736641842.1376956, 8.98007848262787]"
"[1736641446.6478796, 1736641446.7025487, 8.119173892736434]","[1736641545.0990715, 1736641545.150632, 9.830515985131266]","[1736641645.4722834, 1736641645.5278454, 10.364294458270072]","[1736641743.3290257, 1736641743.3772204, 8.935962248325346]","[1736641842.2883484, 1736641842.3420804, 9.859592086791993]"
"[1736641446.8526816, 1736641446.909575, 10.024235924839973]","[1736641545.3041131, 1736641545.3574865, 11.118492079257967]","[1736641645.6711347, 1736641645.7235794, 10.91792176437378]","[1736641743.5206804, 1736641743.5738375, 11.028076442241666]","[1736641842.5302815, 1736641842.5826552, 10.974420034170151]"
"[1736641447.0677419, 1736641447.1250036, 11.708953473210334]","[1736641545.5066612, 1736641545.5599196, 12.29876804292202]","[1736641645.873887, 1736641645.9240518, 11.577873233318327]","[1736641743.7262964, 1736641743.7760072, 11.44704366827011]","[1736641842.7334225, 1736641842.7900162, 13.163572147130964]"
"[1736641447.2774487, 1736641447.333307, 12.726939425706865]","[1736641545.7055438, 1736641545.758542, 13.412879539966582]","[1736641646.0703554, 1736641646.1193085, 12.377980866909027]","[1736641743.9202166, 1736641743.9716408, 13.000311290025708]","[1736641842.938752, 1736641842.9911256, 13.342807193517684]"
"[1736641447.4818273, 1736641447.5347397, 13.041178650140763]","[1736641545.9065487, 1736641545.9590158, 13.804034530162811]","[1736641646.2643607, 1736641646.316178, 13.86012551665306]","[1736641744.1178226, 1736641744.1698122, 13.889373641014096]","[1736641843.1403842, 1736641843.1878881, 12.23907736158371]"
"[1736641447.6835804, 1736641447.7329087, 12.221241043567657]","[1736641546.1023574, 1736641546.1544392, 13.797857501983643]","[1736641646.4607515, 1736641646.5103176, 13.348875504732133]","[1736641744.3166363, 1736641744.3660312, 13.255502072811126]","[1736641843.3307166, 1736641843.3837762, 13.766792030334473]"
"[1736641447.8773792, 1736641447.929263, 13.00673201394081]","[1736641546.3004785, 1736641546.3497589, 13.151706647634507]","[1736641646.656134, 1736641646.7079878, 13.969387509584427]","[1736641744.5091565, 1736641744.558011, 13.13079457354546]","[1736641843.5319276, 1736641843.5835402, 13.403269423246385]"
"[1736641448.1053174, 1736641448.1525445, 11.915314037799837]","[1736641546.4971414, 1736641546.5470438, 13.356750645875932]","[1736641646.8529034, 1736641646.9032547, 13.539989945888523]","[1736641744.704203, 1736641744.7558985, 13.871734868288039]","[1736641843.7309048, 1736641843.7837174, 13.825721452713012]"
