epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736641446.1884904, 1736641446.188784, 0.03131602549552917]","[1736641544.7323396, 1736641544.732526, 0.03765278959274292]","[1736641645.1233654, 1736641645.123571, 0.0369040379524231]","[1736641742.9759548, 1736641742.9761534, 0.03860677146911621]","[1736641841.930488, 1736641841.9306715, 0.03321457862854004]"
"[1736641446.4882061, 1736641446.488341, 0.017001305103302]","[1736641544.9408798, 1736641544.9409935, 0.022249516010284423]","[1736641645.327385, 1736641645.3274689, 0.014436325073242188]","[1736641743.1794083, 1736641743.1794913, 0.015517069816589355]","[1736641842.1376967, 1736641842.137813, 0.02036327362060547]"
"[1736641446.7025497, 1736641446.7026842, 0.02045635986328125]","[1736641545.1506326, 1736641545.1507401, 0.020599765300750732]","[1736641645.5278478, 1736641645.527939, 0.017479934215545653]","[1736641743.377221, 1736641743.3773065, 0.015825798988342285]","[1736641842.3420815, 1736641842.3421936, 0.02056196212768555]"
"[1736641446.9095764, 1736641446.9097178, 0.025384046077728272]","[1736641545.3574877, 1736641545.3576164, 0.02751624584197998]","[1736641645.7235804, 1736641645.7236562, 0.01624427032470703]","[1736641743.573838, 1736641743.5739257, 0.018202308654785157]","[1736641842.5826561, 1736641842.5827668, 0.023433841705322266]"
"[1736641447.125005, 1736641447.1251647, 0.032795352935791014]","[1736641545.5599205, 1736641545.5600243, 0.02444390058517456]","[1736641645.9240527, 1736641645.9241328, 0.01896307754516602]","[1736641743.7760081, 1736641743.7760863, 0.018007646560668944]","[1736641842.7900178, 1736641842.7901285, 0.02598466110229492]"
"[1736641447.3333082, 1736641447.3334434, 0.03080057644844055]","[1736641545.7585428, 1736641545.758637, 0.02432511329650879]","[1736641646.1193097, 1736641646.119392, 0.02137150526046753]","[1736641743.9716415, 1736641743.971728, 0.021879247426986694]","[1736641842.9911265, 1736641842.9912415, 0.02953213930130005]"
"[1736641447.5347407, 1736641447.5348446, 0.025620368003845217]","[1736641545.9590168, 1736641545.9591045, 0.02274301528930664]","[1736641646.3161793, 1736641646.3162558, 0.019992472887039182]","[1736641744.1698132, 1736641744.1698976, 0.02254809808731079]","[1736641843.187889, 1736641843.1879704, 0.020871443510055543]"
"[1736641447.7329102, 1736641447.7329996, 0.02215084433555603]","[1736641546.15444, 1736641546.1545286, 0.02307359218597412]","[1736641646.5103183, 1736641646.5103974, 0.021317620277404786]","[1736641744.3660316, 1736641744.3661075, 0.0203461275100708]","[1736641843.3837771, 1736641843.3838623, 0.021935864210128785]"
"[1736641447.929264, 1736641447.9293468, 0.020739813566207885]","[1736641546.3497603, 1736641546.349851, 0.02359262943267822]","[1736641646.7079887, 1736641646.7080774, 0.023893458366394043]","[1736641744.558012, 1736641744.558094, 0.022043684005737307]","[1736641843.5835412, 1736641843.583634, 0.023862038373947143]"
"[1736641448.1525455, 1736641448.1526349, 0.022557199001312256]","[1736641546.5470445, 1736641546.5471222, 0.02031989336013794]","[1736641646.9032555, 1736641646.9033387, 0.02237548589706421]","[1736641744.7558992, 1736641744.7559865, 0.023415234088897702]","[1736641843.783718, 1736641843.7838058, 0.02266019058227539]"
"[1736641448.3465805, 1736641448.346662, 0.020767696380615236]","[1736641546.7432039, 1736641546.7432833, 0.02117952333663843]","[1736641647.0989394, 1736641647.0990171, 0.020911221027374267]","[1736641744.9537365, 1736641744.9538238, 0.023429195880889892]","[1736641843.9857209, 1736641843.9858036, 0.02146255373954773]"
"[1736641448.543296, 1736641448.5433767, 0.020606996536254883]","[1736641546.938646, 1736641546.9387348, 0.023911728858947757]","[1736641647.2918055, 1736641647.2918801, 0.020055771350860598]","[1736641745.153654, 1736641745.1537504, 0.02577273464202881]","[1736641844.1834981, 1736641844.183589, 0.02358431625366211]"
"[1736641448.7388003, 1736641448.7388823, 0.020946556091308594]","[1736641547.1384697, 1736641547.1385574, 0.02367207336425781]","[1736641647.485227, 1736641647.4853013, 0.019905078411102294]","[1736641745.353586, 1736641745.3536685, 0.022049095630645756]","[1736641844.3835034, 1736641844.3836017, 0.025460717201232913]"
"[1736641448.930106, 1736641448.9301875, 0.020730188369750976]","[1736641547.3331835, 1736641547.3332605, 0.020704693794250488]","[1736641647.6832156, 1736641647.6832983, 0.022093296766281127]","[1736641745.5533483, 1736641745.5534377, 0.02380165457725525]","[1736641844.583373, 1736641844.5834625, 0.02312225103378296]"
"[1736641449.1292968, 1736641449.1294012, 0.026409569263458253]","[1736641547.533129, 1736641547.5332139, 0.02279253387451172]","[1736641647.8790147, 1736641647.8790953, 0.021539048194885252]","[1736641745.7534378, 1736641745.7535248, 0.022988198995590212]","[1736641844.7833464, 1736641844.783438, 0.023708404541015624]"
"[1736641449.3322694, 1736641449.3323767, 0.027510452270507812]","[1736641547.7332675, 1736641547.7333493, 0.02190510416030884]","[1736641648.0755048, 1736641648.0755908, 0.022997751474380494]","[1736641745.9493017, 1736641745.9493842, 0.021816465854644772]","[1736641844.9854305, 1736641844.9855208, 0.023361388444900516]"
"[1736641449.5301652, 1736641449.530251, 0.02192768096923828]","[1736641547.9330814, 1736641547.933172, 0.024188227653503418]","[1736641648.2719357, 1736641648.2720137, 0.020820687532424928]","[1736641746.1493807, 1736641746.1494653, 0.02238462328910828]","[1736641845.188451, 1736641845.1885414, 0.023330756187438968]"
"[1736641449.7249103, 1736641449.7249918, 0.020795419692993165]","[1736641548.1330104, 1736641548.133446, 0.11601306080818176]","[1736641648.4647741, 1736641648.4648495, 0.020008417129516603]","[1736641746.3462374, 1736641746.3463182, 0.021374041557312012]","[1736641845.385776, 1736641845.3858676, 0.023640289306640624]"
"[1736641449.9226046, 1736641449.9226847, 0.02038821029663086]","[1736641548.3330271, 1736641548.3331175, 0.024092767477035523]","[1736641648.6626875, 1736641648.6627746, 0.023078006505966187]","[1736641746.5455718, 1736641746.5456505, 0.02080934286117554]","[1736641845.5868967, 1736641845.5869803, 0.021567863702774047]"
"[1736641450.1222482, 1736641450.1223342, 0.02175835633277893]","[1736641548.5287158, 1736641548.528796, 0.021302730560302734]","[1736641648.8585432, 1736641648.858627, 0.022246063232421877]","[1736641746.7388768, 1736641746.7389493, 0.019187576293945314]","[1736641845.7852228, 1736641845.7853155, 0.02385740113258362]"
"[1736641450.318664, 1736641450.3187463, 0.020881680250167844]","[1736641548.7263026, 1736641548.7263842, 0.021724069118499757]","[1736641649.0556133, 1736641649.0557008, 0.023220386266708373]","[1736641746.9362378, 1736641746.9363213, 0.02209279537200928]","[1736641845.9850779, 1736641845.985163, 0.021880539178848267]"
"[1736641450.5094905, 1736641450.5095723, 0.020877487182617185]","[1736641548.9219403, 1736641548.9220288, 0.023619505882263185]","[1736641649.2497787, 1736641649.2498581, 0.021085772037506105]","[1736641747.1295805, 1736641747.129663, 0.021769279956817624]","[1736641846.184946, 1736641846.1850307, 0.021812127828598024]"
"[1736641450.7049663, 1736641450.7050457, 0.02034296751022339]","[1736641549.121904, 1736641549.1220014, 0.026079124927520753]","[1736641649.4479256, 1736641649.4480083, 0.021927917003631593]","[1736641747.326405, 1736641747.3264902, 0.02249847722053528]","[1736641846.3849902, 1736641846.3850918, 0.026215383052825926]"
"[1736641450.902326, 1736641450.9024065, 0.02058620262145996]","[1736641549.3180745, 1736641549.318157, 0.022067986488342285]","[1736641649.644564, 1736641649.6446402, 0.020185775756835937]","[1736641747.5257611, 1736641747.5258496, 0.02332124137878418]","[1736641846.5827725, 1736641846.582863, 0.023411974906921387]"
"[1736641451.0982256, 1736641451.098316, 0.0231644926071167]","[1736641549.5163577, 1736641549.5164516, 0.025130568504333498]","[1736641649.8422897, 1736641649.8423622, 0.019170616149902342]","[1736641747.721501, 1736641747.721586, 0.022430533409118655]","[1736641846.782667, 1736641846.78276, 0.024089448451995846]"
"[1736641451.2951403, 1736641451.2952225, 0.021137655973434446]","[1736641549.7135496, 1736641549.7136295, 0.021305062770843503]","[1736641650.0452847, 1736641650.0453763, 0.024181274414062502]","[1736641747.916288, 1736641747.916369, 0.02140069484710693]","[1736641846.9847941, 1736641846.984877, 0.021461099624633787]"
