epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736657237.3198378, 1736657237.3378537]","[1736657287.6748724, 1736657287.6897566]","[1736657338.0574336, 1736657338.0721679]","[1736657388.6128585, 1736657388.6273558]","[1736657438.9839334, 1736657439.0012603]"
"[1736657237.4593537, 1736657237.4776094]","[1736657287.786398, 1736657287.8048394]","[1736657338.1723044, 1736657338.1899338]","[1736657388.7298145, 1736657388.7453954]","[1736657439.0999727, 1736657439.1179557]"
"[1736657237.5930228, 1736657237.6082075]","[1736657287.905835, 1736657287.921156]","[1736657338.288431, 1736657338.3044696]","[1736657388.8513231, 1736657388.8659105]","[1736657439.2173843, 1736657439.2334697]"
"[1736657237.763468, 1736657237.7784007]","[1736657288.0194776, 1736657288.0356746]","[1736657338.3991826, 1736657338.419077]","[1736657388.9642246, 1736657388.9814994]","[1736657439.3303869, 1736657439.3480651]"
"[1736657237.8784063, 1736657237.8933403]","[1736657288.1454158, 1736657288.162946]","[1736657338.5152366, 1736657338.532917]","[1736657389.0837426, 1736657389.0982797]","[1736657439.4443598, 1736657439.4623096]"
"[1736657237.9956853, 1736657238.0105462]","[1736657288.2562265, 1736657288.2759645]","[1736657338.629176, 1736657338.6473427]","[1736657389.196756, 1736657389.215185]","[1736657439.557415, 1736657439.5770104]"
"[1736657238.1070435, 1736657238.124182]","[1736657288.3768437, 1736657288.392089]","[1736657338.7436626, 1736657338.7612562]","[1736657389.3138146, 1736657389.3313408]","[1736657439.675604, 1736657439.692083]"
"[1736657238.2335732, 1736657238.2505193]","[1736657288.4940698, 1736657288.5083075]","[1736657338.8564484, 1736657338.8753266]","[1736657389.4326777, 1736657389.4480715]","[1736657439.7866957, 1736657439.8048737]"
"[1736657238.362273, 1736657238.3789093]","[1736657288.6087236, 1736657288.6250155]","[1736657338.9727933, 1736657338.9904487]","[1736657389.5513535, 1736657389.566188]","[1736657439.8983698, 1736657439.9179454]"
"[1736657238.4793959, 1736657238.4937246]","[1736657288.723716, 1736657288.7412257]","[1736657339.0859191, 1736657339.1039565]","[1736657389.662898, 1736657389.6809118]","[1736657440.0148678, 1736657440.0328066]"
"[1736657238.590627, 1736657238.608105]","[1736657288.8426082, 1736657288.857687]","[1736657339.2031212, 1736657339.2181451]","[1736657389.7791514, 1736657389.7957978]","[1736657440.129624, 1736657440.1457717]"
"[1736657238.7077413, 1736657238.724604]","[1736657288.9553688, 1736657288.9728768]","[1736657339.3121502, 1736657339.331449]","[1736657389.894877, 1736657389.9119172]","[1736657440.2412322, 1736657440.2609618]"
"[1736657238.827331, 1736657238.8434052]","[1736657289.0734615, 1736657289.0896301]","[1736657339.427376, 1736657339.4459343]","[1736657390.0208845, 1736657390.0356934]","[1736657440.35551, 1736657440.3743508]"
"[1736657238.9439483, 1736657238.9605296]","[1736657289.1892884, 1736657289.2059767]","[1736657339.5415683, 1736657339.5599828]","[1736657390.1368465, 1736657390.1525586]","[1736657440.4706872, 1736657440.4880922]"
"[1736657239.0596497, 1736657239.0753229]","[1736657289.3098576, 1736657289.3268669]","[1736657339.6551855, 1736657339.6744478]","[1736657390.2541404, 1736657390.2699053]","[1736657440.5837953, 1736657440.6020637]"
