epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736645534.1059718, 1736645534.1697826]","[1736645586.886177, 1736645586.9323215]","[1736645639.3531148, 1736645639.3999262]","[1736645692.2807236, 1736645692.328456]","[1736645745.2634888, 1736645745.310114]"
"[1736645534.2304525, 1736645534.2792952]","[1736645586.9874613, 1736645587.0334485]","[1736645639.4616694, 1736645639.5079842]","[1736645692.3895826, 1736645692.4358842]","[1736645745.370668, 1736645745.4177623]"
"[1736645534.3390243, 1736645534.3850036]","[1736645587.091939, 1736645587.1372638]","[1736645639.5683665, 1736645639.6153972]","[1736645692.4971056, 1736645692.5431843]","[1736645745.4765708, 1736645745.5232143]"
"[1736645534.4412751, 1736645534.4871829]","[1736645587.1918008, 1736645587.2374256]","[1736645639.703556, 1736645639.7496722]","[1736645692.6400955, 1736645692.6871786]","[1736645745.5797322, 1736645745.626495]"
"[1736645534.546975, 1736645534.5931501]","[1736645587.2950623, 1736645587.3418136]","[1736645639.809698, 1736645639.8559356]","[1736645692.7500443, 1736645692.7964468]","[1736645745.6868696, 1736645745.7333453]"
"[1736645534.6551995, 1736645534.7007027]","[1736645587.3959901, 1736645587.4426484]","[1736645639.9158552, 1736645639.962265]","[1736645692.8534327, 1736645692.9000168]","[1736645745.7928886, 1736645745.8398316]"
"[1736645534.7576683, 1736645534.8055327]","[1736645587.4970226, 1736645587.543279]","[1736645640.020869, 1736645640.0676937]","[1736645692.9611902, 1736645693.0076978]","[1736645745.895565, 1736645745.945075]"
"[1736645534.8662322, 1736645534.9126186]","[1736645587.5998878, 1736645587.6465952]","[1736645640.126903, 1736645640.1746078]","[1736645693.066678, 1736645693.113185]","[1736645746.0013118, 1736645746.0483837]"
"[1736645534.9743202, 1736645535.0212727]","[1736645587.7009237, 1736645587.7501535]","[1736645640.2342818, 1736645640.2812839]","[1736645693.1720765, 1736645693.218754]","[1736645746.108593, 1736645746.156149]"
"[1736645535.0907657, 1736645535.1374764]","[1736645587.8040798, 1736645587.8495262]","[1736645640.3401911, 1736645640.3870459]","[1736645693.2755241, 1736645693.322366]","[1736645746.2118702, 1736645746.2595272]"
"[1736645535.1987643, 1736645535.2450695]","[1736645587.9158885, 1736645587.9627898]","[1736645640.4448242, 1736645640.4914129]","[1736645693.3826637, 1736645693.4288473]","[1736645746.317322, 1736645746.3653576]"
"[1736645535.3051512, 1736645535.3513408]","[1736645588.0183468, 1736645588.0646017]","[1736645640.549046, 1736645640.5958512]","[1736645693.4905121, 1736645693.5406308]","[1736645746.4263344, 1736645746.473268]"
"[1736645535.4139147, 1736645535.4602742]","[1736645588.1189132, 1736645588.165688]","[1736645640.655554, 1736645640.7023592]","[1736645693.6028652, 1736645693.6492553]","[1736645746.5332403, 1736645746.5801759]"
"[1736645535.519069, 1736645535.5651197]","[1736645588.220698, 1736645588.2671313]","[1736645640.7587626, 1736645640.8055067]","[1736645693.7103972, 1736645693.757248]","[1736645746.6378245, 1736645746.6856866]"
"[1736645535.624914, 1736645535.6710377]","[1736645588.326494, 1736645588.3731422]","[1736645640.8607543, 1736645640.9072595]","[1736645693.8179018, 1736645693.8646345]","[1736645746.7457645, 1736645746.7922885]"
"[1736645535.733682, 1736645535.7805414]","[1736645588.433447, 1736645588.480177]","[1736645640.963231, 1736645641.0097704]","[1736645693.922903, 1736645693.9691577]","[1736645746.8546388, 1736645746.9010255]"
"[1736645535.840713, 1736645535.886864]","[1736645588.5411618, 1736645588.5889487]","[1736645641.0656168, 1736645641.1127698]","[1736645694.0316641, 1736645694.0782204]","[1736645746.9588094, 1736645747.004996]"
"[1736645535.9444842, 1736645535.9911036]","[1736645588.6501396, 1736645588.6973267]","[1736645641.1671193, 1736645641.213329]","[1736645694.1375024, 1736645694.184806]","[1736645747.0658975, 1736645747.1128423]"
"[1736645536.0539577, 1736645536.099867]","[1736645588.7619026, 1736645588.810479]","[1736645641.268506, 1736645641.3160644]","[1736645694.2470198, 1736645694.2946508]","[1736645747.1747115, 1736645747.2215972]"
"[1736645536.1578093, 1736645536.2051623]","[1736645588.8707232, 1736645588.9169967]","[1736645641.3732502, 1736645641.4200337]","[1736645694.3593438, 1736645694.4067948]","[1736645747.279588, 1736645747.3261907]"
"[1736645536.2640567, 1736645536.3103037]","[1736645588.9799242, 1736645589.0289702]","[1736645641.479672, 1736645641.5268831]","[1736645694.4712248, 1736645694.5187004]","[1736645747.3852506, 1736645747.4321034]"
"[1736645536.3697233, 1736645536.416541]","[1736645589.089635, 1736645589.1362858]","[1736645641.581629, 1736645641.6284137]","[1736645694.5811956, 1736645694.6288204]","[1736645747.4949038, 1736645747.541663]"
"[1736645536.4750562, 1736645536.521188]","[1736645589.2023456, 1736645589.2503514]","[1736645641.6842608, 1736645641.731182]","[1736645694.6895053, 1736645694.736855]","[1736645747.6003015, 1736645747.6467514]"
"[1736645536.5786362, 1736645536.6254263]","[1736645589.310542, 1736645589.3571613]","[1736645641.785484, 1736645641.8351629]","[1736645694.7968116, 1736645694.8436635]","[1736645747.7053945, 1736645747.752001]"
"[1736645536.6849825, 1736645536.7314775]","[1736645589.419927, 1736645589.4683592]","[1736645641.8905919, 1736645641.9369]","[1736645694.9046948, 1736645694.951761]","[1736645747.8141305, 1736645747.8606236]"
"[1736645536.7923934, 1736645536.8392787]","[1736645589.5300353, 1736645589.5766106]","[1736645641.995046, 1736645642.0418878]","[1736645695.0121422, 1736645695.0601645]","[1736645747.9190712, 1736645747.9652476]"
"[1736645536.8971791, 1736645536.9435966]","[1736645589.6394782, 1736645589.6861594]","[1736645642.1007469, 1736645642.147507]","[1736645695.1223216, 1736645695.1695218]","[1736645748.024833, 1736645748.0717342]"
"[1736645537.000218, 1736645537.045964]","[1736645589.740542, 1736645589.7869701]","[1736645642.2041337, 1736645642.250544]","[1736645695.2321374, 1736645695.2782457]","[1736645748.1329448, 1736645748.179654]"
"[1736645537.1024845, 1736645537.149015]","[1736645589.8412569, 1736645589.888321]","[1736645642.3047984, 1736645642.3520827]","[1736645695.333549, 1736645695.3800874]","[1736645748.2341723, 1736645748.280986]"
"[1736645537.207858, 1736645537.2535894]","[1736645589.944697, 1736645589.9915633]","[1736645642.4054377, 1736645642.452323]","[1736645695.4385602, 1736645695.4854834]","[1736645748.336216, 1736645748.3823912]"
"[1736645537.3134077, 1736645537.3599772]","[1736645590.048894, 1736645590.096702]","[1736645642.5076048, 1736645642.5550346]","[1736645695.5450485, 1736645695.5918767]","[1736645748.437773, 1736645748.4852107]"
"[1736645537.4181573, 1736645537.4647458]","[1736645590.1549892, 1736645590.2013488]","[1736645642.6093655, 1736645642.6560497]","[1736645695.6463199, 1736645695.694304]","[1736645748.5422232, 1736645748.58823]"
"[1736645537.5243492, 1736645537.570116]","[1736645590.2557054, 1736645590.3028376]","[1736645642.715515, 1736645642.762655]","[1736645695.7497249, 1736645695.7964623]","[1736645748.6460927, 1736645748.6926904]"
"[1736645537.6299293, 1736645537.6763325]","[1736645590.3593452, 1736645590.4058063]","[1736645642.8193219, 1736645642.865689]","[1736645695.8556669, 1736645695.9023392]","[1736645748.7493773, 1736645748.796509]"
"[1736645537.7360637, 1736645537.7823832]","[1736645590.4601166, 1736645590.5085711]","[1736645642.9200988, 1736645642.9664712]","[1736645695.9592185, 1736645696.0058372]","[1736645748.8509336, 1736645748.897671]"
"[1736645537.8399372, 1736645537.886403]","[1736645590.563825, 1736645590.6103175]","[1736645643.0208063, 1736645643.0677116]","[1736645696.0624268, 1736645696.108935]","[1736645748.954363, 1736645749.0007691]"
"[1736645537.9448614, 1736645537.9912908]","[1736645590.6646848, 1736645590.7112525]","[1736645643.1230388, 1736645643.1696777]","[1736645696.1667209, 1736645696.2135258]","[1736645749.0554194, 1736645749.10248]"
"[1736645538.0521712, 1736645538.0990934]","[1736645590.770387, 1736645590.8170772]","[1736645643.2243958, 1736645643.2746603]","[1736645696.2675211, 1736645696.3140464]","[1736645749.1570103, 1736645749.2044895]"
"[1736645538.1595032, 1736645538.2054627]","[1736645590.8756964, 1736645590.922474]","[1736645643.3327696, 1736645643.3788962]","[1736645696.36832, 1736645696.4145718]","[1736645749.260481, 1736645749.3067515]"
"[1736645538.2654057, 1736645538.3119552]","[1736645590.9784799, 1736645591.025145]","[1736645643.433215, 1736645643.4800587]","[1736645696.470362, 1736645696.5175424]","[1736645749.3620343, 1736645749.4081166]"
"[1736645538.3743954, 1736645538.4204912]","[1736645591.0798187, 1736645591.1268792]","[1736645643.5375004, 1736645643.5843022]","[1736645696.5733917, 1736645696.6203153]","[1736645749.4669113, 1736645749.5136032]"
"[1736645538.4784217, 1736645538.5241058]","[1736645591.1848593, 1736645591.2314808]","[1736645643.639808, 1736645643.6867216]","[1736645696.67547, 1736645696.721713]","[1736645749.5670106, 1736645749.6138487]"
"[1736645538.5829582, 1736645538.6296637]","[1736645591.285869, 1736645591.3327873]","[1736645643.741053, 1736645643.7878537]","[1736645696.7794955, 1736645696.825567]","[1736645749.6702168, 1736645749.7172062]"
"[1736645538.6891623, 1736645538.7361722]","[1736645591.389065, 1736645591.4356332]","[1736645643.8436327, 1736645643.890296]","[1736645696.8827996, 1736645696.9294221]","[1736645749.771792, 1736645749.818937]"
"[1736645538.7966068, 1736645538.844334]","[1736645591.4913123, 1736645591.5382564]","[1736645643.9452848, 1736645643.9918776]","[1736645696.9868188, 1736645697.0337024]","[1736645749.8733332, 1736645749.9208739]"
"[1736645538.902033, 1736645538.9477346]","[1736645591.5992067, 1736645591.6482568]","[1736645644.0462427, 1736645644.0927591]","[1736645697.088806, 1736645697.1345825]","[1736645749.9753869, 1736645750.0213993]"
"[1736645539.0072289, 1736645539.053737]","[1736645591.702537, 1736645591.7496786]","[1736645644.1471462, 1736645644.1937137]","[1736645697.1892207, 1736645697.235826]","[1736645750.077375, 1736645750.1240754]"
"[1736645539.1129034, 1736645539.159653]","[1736645591.8059423, 1736645591.8528228]","[1736645644.250777, 1736645644.297018]","[1736645697.29461, 1736645697.3412983]","[1736645750.1785207, 1736645750.225182]"
"[1736645539.2192729, 1736645539.2650115]","[1736645591.9095645, 1736645591.9557421]","[1736645644.3523993, 1736645644.3985176]","[1736645697.3996155, 1736645697.445908]","[1736645750.279875, 1736645750.3272712]"
