epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736645808.7786777, 1736645808.779737, 0.11705831480026245]","[1736645956.42838, 1736645956.430245, 0.2933727416992188]","[1736646103.8925958, 1736646103.8936622, 0.19013244581222535]","[1736646251.3475451, 1736646251.3491395, 0.2950165815353394]","[1736646398.8525598, 1736646398.8537219, 0.215067964553833]"
"[1736645809.088786, 1736645809.0895011, 0.1010591983795166]","[1736645956.7398221, 1736645956.7410111, 0.21027705931663515]","[1736646104.1955645, 1736646104.1962693, 0.12430580234527587]","[1736646251.6583407, 1736646251.6593995, 0.1851786069869995]","[1736646399.1558847, 1736646399.1566756, 0.1450398247241974]"
"[1736645809.39142, 1736645809.3921175, 0.1231935305595398]","[1736645957.0493238, 1736645957.0499501, 0.1262922954559326]","[1736646104.4947846, 1736646104.4953766, 0.12026995730400085]","[1736646251.970511, 1736646251.9716802, 0.2329196090698242]","[1736646399.457072, 1736646399.4577084, 0.13369422698020933]"
"[1736645809.694293, 1736645809.6949337, 0.13576566576957702]","[1736645957.3491452, 1736645957.3497636, 0.14155076456069948]","[1736646104.7947187, 1736646104.795326, 0.13969774317741396]","[1736646252.28494, 1736646252.287442, 0.6025481271743774]","[1736646399.7600853, 1736646399.7610261, 0.22243703937530518]"
"[1736645809.9949288, 1736645809.9955227, 0.13598662662506103]","[1736645957.653696, 1736645957.6542678, 0.13156313180923462]","[1736646105.096083, 1736646105.096966, 0.20480734634399414]","[1736646252.6032033, 1736646252.6042693, 0.25358560848236084]","[1736646400.0616817, 1736646400.0624197, 0.1754244887828827]"
"[1736645810.3079376, 1736645810.308573, 0.1450013279914856]","[1736645957.9555638, 1736645957.956252, 0.15861586737632752]","[1736646105.3991597, 1736646105.3997524, 0.13702237129211425]","[1736646252.9228568, 1736646252.9239748, 0.2644285819530487]","[1736646400.3684232, 1736646400.3696375, 0.2882169215679169]"
"[1736645810.6105542, 1736645810.6111434, 0.1392125121644768]","[1736645958.2587104, 1736645958.259322, 0.14043060421943665]","[1736646105.7019618, 1736646105.7025864, 0.1441295337677002]","[1736646253.2379026, 1736646253.2390282, 0.26348902058601376]","[1736646400.6698716, 1736646400.670542, 0.15900861644744874]"
"[1736645810.9136572, 1736645810.9142523, 0.14509585705911632]","[1736645958.5596218, 1736645958.5603137, 0.15857028198242187]","[1736646106.0057578, 1736646106.0063448, 0.13520295810699462]","[1736646253.5512216, 1736646253.5523736, 0.2671508331298828]","[1736646400.9709086, 1736646400.9715276, 0.1466726531982422]"
"[1736645811.2155662, 1736645811.2162688, 0.17199845600128175]","[1736645958.8616488, 1736645958.8623083, 0.15082905864715576]","[1736646106.3069253, 1736646106.3075109, 0.13480026817321777]","[1736646253.8660583, 1736646253.8671515, 0.24991576671600343]","[1736646401.2737134, 1736646401.2743118, 0.14171435832977294]"
"[1736645811.5229237, 1736645811.5235395, 0.14978836154937744]","[1736645959.1656098, 1736645959.1665266, 0.2099159091501907]","[1736646106.6106517, 1736646106.6112661, 0.14097269582748412]","[1736646254.1802218, 1736646254.182447, 0.5269863864560184]","[1736646401.5744, 1736646401.5750139, 0.14519025087356568]"
"[1736645811.8241844, 1736645811.824823, 0.15435948419570922]","[1736645959.4687302, 1736645959.4693127, 0.13660671820819836]","[1736646106.9116356, 1736646106.9122028, 0.1298151276111603]","[1736646254.4958901, 1736646254.4970345, 0.27321395874023435]","[1736646401.875632, 1736646401.876277, 0.15228936195373535]"
