epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736645808.5953872, 1736645808.6003275, 0.5114761762619018]","[1736645956.2558575, 1736645956.2639236, 1.3713066158294678]","[1736646103.7407956, 1736646103.7465496, 1.0314897322654724]","[1736646251.1945374, 1736646251.201232, 1.2377429370880129]","[1736646398.7011464, 1736646398.706681, 1.0704564428329468]"
"[1736645808.892065, 1736645808.907089, 1.8526779949665069]","[1736645956.5374384, 1736645956.5534687, 2.5966700220108034]","[1736646103.9919608, 1736646104.0075006, 2.7258511519432065]","[1736646251.457325, 1736646251.473379, 2.9209937846660616]","[1736646398.9529533, 1736646398.968295, 2.702527508735657]"
"[1736645809.1942825, 1736645809.2099738, 2.4676094745725012]","[1736645956.8516643, 1736645956.8668175, 2.849083801031113]","[1736646104.29861, 1736646104.3139007, 2.8624107041358946]","[1736646251.7750144, 1736646251.7909493, 3.001089468002319]","[1736646399.25866, 1736646399.2746174, 2.99877007484436]"
"[1736645809.500385, 1736645809.5162094, 3.0750148342847825]","[1736645957.1523607, 1736645957.168298, 3.433394581317902]","[1736646104.5992825, 1736646104.6143332, 3.2219377210140228]","[1736646252.0860496, 1736646252.1019948, 3.435408456087112]","[1736646399.560633, 1736646399.576027, 3.3085341234207153]"
"[1736645809.8026218, 1736645809.8181648, 3.5203915112018582]","[1736645957.4560902, 1736645957.47106, 3.607702560172001]","[1736646104.9011831, 1736646104.9171245, 3.8405338544845584]","[1736646252.4051359, 1736646252.4213169, 3.6828423509597776]","[1736646399.8656905, 1736646399.8809376, 3.634376553297043]"
"[1736645810.1092086, 1736645810.1250908, 3.714793672800064]","[1736645957.7571125, 1736645957.7724204, 3.668857611894607]","[1736646105.203552, 1736646105.2188725, 3.6650254147052768]","[1736646252.7212675, 1736646252.7364697, 3.4964036693572993]","[1736646400.168502, 1736646400.184221, 3.6917809629440312]"
"[1736645810.4140272, 1736645810.4293199, 3.5507991266250607]","[1736645958.0604312, 1736645958.076229, 3.757020077586174]","[1736646105.5011594, 1736646105.5163996, 3.660892340183257]","[1736646253.0423303, 1736646253.0585036, 3.7564575748443607]","[1736646400.4726536, 1736646400.4879997, 3.613411686897278]"
"[1736645810.7146163, 1736645810.7296886, 3.533018129348754]","[1736645958.362768, 1736645958.3784542, 3.7234534642696384]","[1736646105.8093941, 1736646105.8249855, 3.753625452518463]","[1736646253.3553371, 1736646253.371547, 3.7868943722248076]","[1736646400.773247, 1736646400.7886522, 3.6301377811431883]"
"[1736645811.0147667, 1736645811.030168, 3.6106648263931276]","[1736645958.6633248, 1736645958.678858, 3.6850162346363065]","[1736646106.1103926, 1736646106.1257823, 3.708856824065075]","[1736646253.6730053, 1736646253.6886938, 3.5658978314399725]","[1736646401.076072, 1736646401.0918567, 3.725830135345459]"
"[1736645811.3259928, 1736645811.3413026, 3.6182594070434573]","[1736645958.9649897, 1736645958.9801183, 3.557596601366997]","[1736646106.4122283, 1736646106.4277136, 3.7326938014341637]","[1736646253.9810786, 1736646253.9971716, 3.602042973607144]","[1736646401.3774765, 1736646401.3929656, 3.6617319970130926]"
