epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736651555.5725114, 1736651555.5738096]","[1736651628.8838286, 1736651628.8847497]","[1736651702.3440557, 1736651702.3449624]","[1736651775.1986456, 1736651775.1997046]","[1736651848.6637514, 1736651848.6648662]"
"[1736651555.7494879, 1736651555.7502997]","[1736651629.0527496, 1736651629.0538743]","[1736651702.514111, 1736651702.514731]","[1736651775.373444, 1736651775.3742046]","[1736651848.8348806, 1736651848.835522]"
"[1736651555.9281762, 1736651555.9289243]","[1736651629.2226646, 1736651629.2234879]","[1736651702.6823764, 1736651702.683054]","[1736651775.546635, 1736651775.5473828]","[1736651849.0044541, 1736651849.005128]"
"[1736651556.098339, 1736651556.0991635]","[1736651629.3909621, 1736651629.3915894]","[1736651702.8501015, 1736651702.8507009]","[1736651775.7179315, 1736651775.718668]","[1736651849.1725113, 1736651849.1731234]"
"[1736651556.2717478, 1736651556.2726054]","[1736651629.5610368, 1736651629.5616412]","[1736651703.0177286, 1736651703.018321]","[1736651775.8895369, 1736651775.890278]","[1736651849.3422747, 1736651849.3429174]"
"[1736651556.4450777, 1736651556.445821]","[1736651629.729022, 1736651629.7296307]","[1736651703.1857133, 1736651703.1862972]","[1736651776.0627623, 1736651776.0634737]","[1736651849.511099, 1736651849.5118341]"
"[1736651556.614746, 1736651556.615488]","[1736651629.896676, 1736651629.8972762]","[1736651703.3539498, 1736651703.354603]","[1736651776.2339225, 1736651776.2346637]","[1736651849.68315, 1736651849.6838317]"
"[1736651556.7854998, 1736651556.7862415]","[1736651630.0649228, 1736651630.065656]","[1736651703.5227969, 1736651703.5234501]","[1736651776.4071276, 1736651776.4077847]","[1736651849.8524003, 1736651849.8530676]"
"[1736651556.9586427, 1736651556.9594305]","[1736651630.2365696, 1736651630.237168]","[1736651703.6910071, 1736651703.6916175]","[1736651776.5750747, 1736651776.5757036]","[1736651850.0215728, 1736651850.0222557]"
"[1736651557.1326277, 1736651557.1333706]","[1736651630.404724, 1736651630.4053276]","[1736651703.8591468, 1736651703.859794]","[1736651776.7429755, 1736651776.7435641]","[1736651850.1924512, 1736651850.1931381]"
"[1736651557.3023345, 1736651557.3030531]","[1736651630.573037, 1736651630.5736804]","[1736651704.027133, 1736651704.0277524]","[1736651776.911747, 1736651776.9123783]","[1736651850.3614874, 1736651850.3621519]"
