epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736652546.4887736, 1736652546.489017]","[1736652668.8404512, 1736652668.8406484]","[1736652791.6422572, 1736652791.642433]","[1736652914.3233697, 1736652914.3235483]","[1736653037.1339118, 1736653037.1340463]"
"[1736652546.8470783, 1736652546.8471828]","[1736652669.1414952, 1736652669.1415985]","[1736652791.9450665, 1736652791.945205]","[1736652914.6262789, 1736652914.6263835]","[1736653037.4273958, 1736653037.4274786]"
"[1736652547.1413336, 1736652547.14144]","[1736652669.4406514, 1736652669.440758]","[1736652792.245147, 1736652792.2452521]","[1736652914.925096, 1736652914.9252079]","[1736653037.7185047, 1736653037.7185876]"
"[1736652547.4395797, 1736652547.4396803]","[1736652669.744481, 1736652669.7445838]","[1736652792.544666, 1736652792.5448034]","[1736652915.2354767, 1736652915.2356076]","[1736653038.0102878, 1736653038.0103667]"
"[1736652547.7568457, 1736652547.7569523]","[1736652670.0478091, 1736652670.0479136]","[1736652792.8469474, 1736652792.847053]","[1736652915.5479555, 1736652915.5480776]","[1736653038.3005779, 1736653038.300661]"
"[1736652548.0525498, 1736652548.0526547]","[1736652670.3490489, 1736652670.349164]","[1736652793.1388004, 1736652793.1388884]","[1736652915.8605118, 1736652915.8606367]","[1736653038.5929227, 1736653038.5930014]"
"[1736652548.3524683, 1736652548.352573]","[1736652670.65405, 1736652670.6541548]","[1736652793.4337213, 1736652793.4338102]","[1736652916.1716402, 1736652916.1717293]","[1736653038.8796837, 1736653038.8797643]"
"[1736652548.648287, 1736652548.6483886]","[1736652670.9475017, 1736652670.9476044]","[1736652793.7362192, 1736652793.7363157]","[1736652916.464727, 1736652916.464808]","[1736653039.174253, 1736653039.1743422]"
"[1736652548.9483178, 1736652548.9484231]","[1736652671.248336, 1736652671.248441]","[1736652794.0351636, 1736652794.0352697]","[1736652916.7563028, 1736652916.7563846]","[1736653039.4651153, 1736653039.465199]"
"[1736652549.244735, 1736652549.2448392]","[1736652671.550071, 1736652671.5501733]","[1736652794.335604, 1736652794.3357098]","[1736652917.0490499, 1736652917.0491493]","[1736653039.758078, 1736653039.7581666]"
"[1736652549.5351977, 1736652549.535281]","[1736652671.8492806, 1736652671.8494086]","[1736652794.634784, 1736652794.634893]","[1736652917.3423877, 1736652917.3424785]","[1736653040.0591652, 1736653040.0592604]"
"[1736652549.8240912, 1736652549.8241735]","[1736652672.148704, 1736652672.1488051]","[1736652794.935548, 1736652794.935649]","[1736652917.6321473, 1736652917.632235]","[1736653040.3547645, 1736653040.354844]"
"[1736652550.1130385, 1736652550.113132]","[1736652672.4497063, 1736652672.4498127]","[1736652795.2409267, 1736652795.2410314]","[1736652917.924971, 1736652917.925052]","[1736653040.649846, 1736653040.6499338]"
"[1736652550.4045982, 1736652550.4046807]","[1736652672.7516444, 1736652672.751746]","[1736652795.5379832, 1736652795.5380714]","[1736652918.2218122, 1736652918.221892]","[1736653040.937655, 1736653040.9377341]"
"[1736652550.6921391, 1736652550.6922145]","[1736652673.0499172, 1736652673.0500226]","[1736652795.8343492, 1736652795.8344407]","[1736652918.5220687, 1736652918.522157]","[1736653041.2344627, 1736653041.2345424]"
"[1736652550.988221, 1736652550.988304]","[1736652673.3463528, 1736652673.346433]","[1736652796.1300008, 1736652796.1300921]","[1736652918.8119626, 1736652918.8120456]","[1736653041.525142, 1736653041.5252304]"
"[1736652551.2746234, 1736652551.2747047]","[1736652673.6406367, 1736652673.640718]","[1736652796.424638, 1736652796.4247365]","[1736652919.1029186, 1736652919.1030133]","[1736653041.816575, 1736653041.8166559]"
"[1736652551.566529, 1736652551.5666115]","[1736652673.932842, 1736652673.9329267]","[1736652796.7168934, 1736652796.7169864]","[1736652919.3949165, 1736652919.3950086]","[1736653042.10766, 1736653042.1077447]"
"[1736652551.8540661, 1736652551.854147]","[1736652674.2220454, 1736652674.2221363]","[1736652797.005838, 1736652797.0059175]","[1736652919.684882, 1736652919.6849742]","[1736653042.3986886, 1736653042.398771]"
"[1736652552.1438138, 1736652552.1438966]","[1736652674.517925, 1736652674.518013]","[1736652797.2975736, 1736652797.2976553]","[1736652919.979629, 1736652919.9797082]","[1736653042.6942134, 1736653042.6942961]"
"[1736652552.429987, 1736652552.4300687]","[1736652674.807759, 1736652674.807842]","[1736652797.5896287, 1736652797.5897155]","[1736652920.2688453, 1736652920.2689362]","[1736653042.9811597, 1736653042.9812436]"
"[1736652552.7233217, 1736652552.7234025]","[1736652675.10511, 1736652675.1052022]","[1736652797.884372, 1736652797.8844528]","[1736652920.5638804, 1736652920.5639615]","[1736653043.27374, 1736653043.2738225]"
"[1736652553.0121074, 1736652553.0121896]","[1736652675.3997135, 1736652675.3997962]","[1736652798.1750402, 1736652798.1751306]","[1736652920.8593771, 1736652920.8594577]","[1736653043.562439, 1736653043.5625207]"
"[1736652553.3034048, 1736652553.303486]","[1736652675.6875257, 1736652675.6876104]","[1736652798.4649467, 1736652798.4650347]","[1736652921.1493645, 1736652921.1494558]","[1736653043.8569276, 1736653043.8570154]"
"[1736652553.5919213, 1736652553.5920026]","[1736652675.9805932, 1736652675.980673]","[1736652798.757298, 1736652798.7573884]","[1736652921.442913, 1736652921.4429932]","[1736653044.151534, 1736653044.151614]"
"[1736652553.876785, 1736652553.8768682]","[1736652676.2679186, 1736652676.2679987]","[1736652799.0489633, 1736652799.0490432]","[1736652921.733351, 1736652921.7334356]","[1736653044.441222, 1736653044.441302]"
"[1736652554.169003, 1736652554.16909]","[1736652676.5596147, 1736652676.559695]","[1736652799.3370416, 1736652799.3371375]","[1736652922.026248, 1736652922.0263422]","[1736653044.7382724, 1736653044.738378]"
"[1736652554.457143, 1736652554.457224]","[1736652676.8486862, 1736652676.848776]","[1736652799.6330729, 1736652799.6331658]","[1736652922.3199966, 1736652922.3200831]","[1736653045.0403893, 1736653045.0404932]"
"[1736652554.7475948, 1736652554.7476778]","[1736652677.1415076, 1736652677.141595]","[1736652799.926979, 1736652799.927063]","[1736652922.6111586, 1736652922.6112509]","[1736653045.3403456, 1736653045.340454]"
"[1736652555.032272, 1736652555.0323634]","[1736652677.4310808, 1736652677.4311724]","[1736652800.2242613, 1736652800.2243502]","[1736652922.903359, 1736652922.9034386]","[1736653045.6429043, 1736653045.6430051]"
"[1736652555.3264627, 1736652555.3265436]","[1736652677.7211673, 1736652677.7212515]","[1736652800.516835, 1736652800.5169246]","[1736652923.1987464, 1736652923.1988368]","[1736653045.94129, 1736653045.941396]"
"[1736652555.6119962, 1736652555.6120775]","[1736652678.010432, 1736652678.0105128]","[1736652800.8147569, 1736652800.8148398]","[1736652923.4872026, 1736652923.4872823]","[1736653046.2387767, 1736653046.2388833]"
"[1736652555.9099774, 1736652555.9100723]","[1736652678.3014991, 1736652678.3015773]","[1736652801.1117606, 1736652801.1118493]","[1736652923.778943, 1736652923.7790236]","[1736653046.5308986, 1736653046.5309782]"
"[1736652556.2033296, 1736652556.2034106]","[1736652678.5963411, 1736652678.5964293]","[1736652801.4030426, 1736652801.4031234]","[1736652924.0673475, 1736652924.067427]","[1736653046.8218162, 1736653046.8218987]"
