epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736646765.6909945, 1736646765.6913056]","[1736646970.2977962, 1736646970.298194]","[1736647177.1272993, 1736647177.1276457]","[1736647381.9554524, 1736647381.95579]","[1736647586.5086882, 1736647586.5089898]"
"[1736646766.1352372, 1736646766.1353726]","[1736646970.7909656, 1736646970.7913158]","[1736647177.6156273, 1736647177.615883]","[1736647382.4437764, 1736647382.4439647]","[1736647587.0018911, 1736647587.002034]"
"[1736646766.6297612, 1736646766.6298707]","[1736646971.246423, 1736646971.2465696]","[1736647178.0713272, 1736647178.0715663]","[1736647382.9221184, 1736647382.9222546]","[1736647587.4506946, 1736647587.4508336]"
"[1736646767.136394, 1736646767.1365275]","[1736646971.7221465, 1736646971.722332]","[1736647178.550386, 1736647178.5505419]","[1736647383.4071386, 1736647383.4073558]","[1736647588.0001652, 1736647588.0002942]"
"[1736646767.609149, 1736646767.6092634]","[1736646972.1988003, 1736646972.1989439]","[1736647179.0391407, 1736647179.0393841]","[1736647383.8657956, 1736647383.865994]","[1736647588.4777045, 1736647588.4778187]"
"[1736646768.0617352, 1736646768.0618904]","[1736646972.6787221, 1736646972.6788754]","[1736647179.5272608, 1736647179.528926]","[1736647384.3555384, 1736647384.3557308]","[1736647588.93105, 1736647588.9311874]"
"[1736646768.5406704, 1736646768.5408645]","[1736646973.154731, 1736646973.154917]","[1736647179.9907374, 1736647179.9909532]","[1736647384.8662467, 1736647384.866395]","[1736647589.387192, 1736647589.3873153]"
"[1736646769.0290685, 1736646769.029186]","[1736646973.6662667, 1736646973.6664562]","[1736647180.4755833, 1736647180.4757483]","[1736647385.355125, 1736647385.3552728]","[1736647589.9385858, 1736647589.9387167]"
"[1736646769.5081248, 1736646769.508235]","[1736646974.1429942, 1736646974.143151]","[1736647180.9862337, 1736647180.9864724]","[1736647385.810635, 1736647385.810925]","[1736647590.4153202, 1736647590.4155073]"
"[1736646770.0052078, 1736646770.0053627]","[1736646974.6300771, 1736646974.6302543]","[1736647181.4714234, 1736647181.4719987]","[1736647386.2953122, 1736647386.295585]","[1736647590.9018862, 1736647590.902014]"
"[1736646770.480465, 1736646770.4805672]","[1736646975.106611, 1736646975.1067858]","[1736647181.929781, 1736647181.929998]","[1736647386.810502, 1736647386.8106594]","[1736647591.409806, 1736647591.409969]"
"[1736646770.972488, 1736646770.9725988]","[1736646975.632195, 1736646975.6323535]","[1736647182.4153044, 1736647182.4154701]","[1736647387.2988775, 1736647387.2990265]","[1736647591.890758, 1736647591.890993]"
"[1736646771.4528987, 1736646771.453042]","[1736646976.1062682, 1736646976.1064258]","[1736647182.9217923, 1736647182.9220243]","[1736647387.7582226, 1736647387.7584004]","[1736647592.4068587, 1736647592.4069972]"
"[1736646771.9485857, 1736646771.948696]","[1736646976.595538, 1736646976.5959554]","[1736647183.4022744, 1736647183.402504]","[1736647388.247724, 1736647388.247889]","[1736647592.8922868, 1736647592.8924344]"
"[1736646772.4249122, 1736646772.425045]","[1736646977.1057642, 1736646977.1058955]","[1736647183.8585634, 1736647183.8588445]","[1736647388.7549098, 1736647388.7550628]","[1736647593.3943436, 1736647593.3944852]"
"[1736646772.920704, 1736646772.9208379]","[1736646977.5867522, 1736646977.5869331]","[1736647184.3462672, 1736647184.3464243]","[1736647389.2397356, 1736647389.2399104]","[1736647593.8830473, 1736647593.8832526]"
"[1736646773.389175, 1736646773.3892791]","[1736646978.102454, 1736646978.102631]","[1736647184.8584898, 1736647184.8587408]","[1736647389.6985064, 1736647389.6987138]","[1736647594.3814147, 1736647594.3815534]"
"[1736646773.8802636, 1736646773.8803682]","[1736646978.5873017, 1736646978.587443]","[1736647185.3474793, 1736647185.3477082]","[1736647390.182712, 1736647390.182926]","[1736647594.8671556, 1736647594.8672972]"
"[1736646774.3610685, 1736646774.3611817]","[1736646979.0981665, 1736646979.098356]","[1736647185.8109937, 1736647185.8112159]","[1736647390.6897507, 1736647390.689897]","[1736647595.3821213, 1736647595.3822613]"
"[1736646774.8565218, 1736646774.856649]","[1736646979.5795083, 1736646979.5797648]","[1736647186.2985775, 1736647186.2987483]","[1736647391.175237, 1736647391.1753943]","[1736647595.864178, 1736647595.8643963]"
"[1736646775.3249645, 1736646775.3251543]","[1736646980.0865176, 1736646980.0867443]","[1736647186.8107362, 1736647186.810984]","[1736647391.63401, 1736647391.6341748]","[1736647596.3777413, 1736647596.3779392]"
"[1736646775.8527925, 1736646775.8529398]","[1736646980.570521, 1736646980.5706615]","[1736647187.2999156, 1736647187.3001525]","[1736647392.1190512, 1736647392.1197748]","[1736647596.867504, 1736647596.8677135]"
"[1736646776.3220572, 1736646776.3222218]","[1736646981.0821035, 1736646981.0822372]","[1736647187.761593, 1736647187.7618234]","[1736647392.6277516, 1736647392.6279044]","[1736647597.3657448, 1736647597.3659084]"
"[1736646776.8212605, 1736646776.8215098]","[1736646981.570322, 1736646981.5705543]","[1736647188.2516408, 1736647188.2518063]","[1736647393.1160994, 1736647393.1162899]","[1736647597.852406, 1736647597.852614]"
"[1736646777.2893221, 1736646777.289481]","[1736646982.086658, 1736646982.0868464]","[1736647188.7583013, 1736647188.758531]","[1736647393.5781145, 1736647393.5784383]","[1736647598.366663, 1736647598.3668244]"
"[1736646777.7887313, 1736646777.7889047]","[1736646982.570768, 1736646982.5709417]","[1736647189.2434042, 1736647189.243673]","[1736647394.13252, 1736647394.132644]","[1736647598.8550944, 1736647598.8553238]"
"[1736646778.2570562, 1736646778.2572286]","[1736646983.0820675, 1736646983.082215]","[1736647189.707289, 1736647189.7075002]","[1736647394.6415012, 1736647394.6416214]","[1736647599.3544066, 1736647599.354565]"
"[1736646778.7488353, 1736646778.749103]","[1736646983.5666437, 1736646983.5667818]","[1736647190.1928384, 1736647190.1930816]","[1736647395.1225111, 1736647395.1226652]","[1736647599.842902, 1736647599.8431304]"
"[1736646779.2183137, 1736646779.2184417]","[1736646984.081837, 1736646984.0819647]","[1736647190.6984732, 1736647190.6987574]","[1736647395.6067228, 1736647395.606849]","[1736647600.3431392, 1736647600.3432896]"
"[1736646779.721254, 1736646779.7214353]","[1736646984.5665355, 1736646984.5666847]","[1736647191.1827545, 1736647191.1830313]","[1736647396.0897164, 1736647396.0898995]","[1736647600.831556, 1736647600.8330688]"
"[1736646780.1899216, 1736646780.190087]","[1736646985.0781994, 1736646985.0784078]","[1736647191.638416, 1736647191.638681]","[1736647396.594294, 1736647396.5944211]","[1736647601.3303087, 1736647601.3304412]"
"[1736646780.6932797, 1736646780.6935217]","[1736646985.5587013, 1736646985.5588665]","[1736647192.127968, 1736647192.1281333]","[1736647397.0820782, 1736647397.082178]","[1736647601.81577, 1736647601.8159997]"
"[1736646781.1659782, 1736646781.1661274]","[1736646986.0742733, 1736646986.0744712]","[1736647192.6383207, 1736647192.638534]","[1736647397.5812974, 1736647397.58142]","[1736647602.3146038, 1736647602.314804]"
"[1736646781.6658313, 1736646781.6660028]","[1736646986.5611494, 1736646986.5615451]","[1736647193.124024, 1736647193.1243415]","[1736647398.0660064, 1736647398.0661364]","[1736647602.8033645, 1736647602.8035843]"
"[1736646782.133441, 1736646782.133621]","[1736646987.0698864, 1736646987.0700517]","[1736647193.579574, 1736647193.5798378]","[1736647398.5658326, 1736647398.565943]","[1736647603.3067527, 1736647603.3069034]"
"[1736646782.6296937, 1736646782.6298895]","[1736646987.5594118, 1736646987.559584]","[1736647194.0667381, 1736647194.066882]","[1736647399.05026, 1736647399.0503612]","[1736647603.7882814, 1736647603.7884555]"
"[1736646783.0981774, 1736646783.0983224]","[1736646988.074445, 1736646988.0745802]","[1736647194.5781453, 1736647194.5783339]","[1736647399.5506253, 1736647399.550831]","[1736647604.3019593, 1736647604.3021123]"
"[1736646783.5977006, 1736646783.5979042]","[1736646988.555432, 1736646988.5556042]","[1736647195.0678468, 1736647195.0680988]","[1736647400.033836, 1736647400.0339665]","[1736647604.7880514, 1736647604.7882648]"
"[1736646784.0737, 1736646784.0738485]","[1736646989.0665526, 1736646989.0667572]","[1736647195.5305946, 1736647195.530817]","[1736647400.530081, 1736647400.530195]","[1736647605.2898793, 1736647605.2900345]"
"[1736646784.5732775, 1736646784.5734572]","[1736646989.55154, 1736646989.551715]","[1736647196.0143895, 1736647196.0145426]","[1736647401.018455, 1736647401.018561]","[1736647605.7750974, 1736647605.775258]"
"[1736646785.0495229, 1736646785.0497036]","[1736646990.0620112, 1736646990.0621986]","[1736647196.526225, 1736647196.5264683]","[1736647401.5176675, 1736647401.517784]","[1736647606.2906792, 1736647606.2908316]"
"[1736646785.549181, 1736646785.5493453]","[1736646990.5473955, 1736646990.5476239]","[1736647197.0114233, 1736647197.0116334]","[1736647402.0011828, 1736647402.0013041]","[1736647606.7750914, 1736647606.7753391]"
"[1736646786.0177267, 1736646786.0178926]","[1736646991.0580196, 1736646991.0582068]","[1736647197.4739041, 1736647197.4740996]","[1736647402.5063815, 1736647402.5064862]","[1736647607.2901256, 1736647607.2902775]"
"[1736646786.5131147, 1736646786.5132844]","[1736646991.539281, 1736646991.5394661]","[1736647197.963116, 1736647197.9632711]","[1736647402.9901555, 1736647402.9902816]","[1736647607.7805178, 1736647607.7807813]"
"[1736646786.9810042, 1736646786.981209]","[1736646992.0544314, 1736646992.054573]","[1736647198.4744117, 1736647198.474626]","[1736647403.4978068, 1736647403.4979236]","[1736647608.2901952, 1736647608.2903512]"
"[1736646787.4767053, 1736646787.4768674]","[1736646992.5395453, 1736646992.539694]","[1736647198.9588213, 1736647198.9590092]","[1736647403.9816263, 1736647403.981729]","[1736647608.7795458, 1736647608.7797673]"
"[1736646787.9459105, 1736646787.9460688]","[1736646993.0501711, 1736646993.0503442]","[1736647199.4175904, 1736647199.417774]","[1736647404.482358, 1736647404.482457]","[1736647609.2898185, 1736647609.2899435]"
"[1736646788.445074, 1736646788.445237]","[1736646993.5397446, 1736646993.539876]","[1736647199.9081445, 1736647199.9083343]","[1736647404.9656901, 1736647404.965785]","[1736647609.7753313, 1736647609.7755167]"
"[1736646788.9134738, 1736646788.9136243]","[1736646994.050836, 1736646994.0509772]","[1736647200.4147258, 1736647200.4148874]","[1736647405.4696388, 1736647405.469743]","[1736647610.2858386, 1736647610.286]"
"[1736646789.417838, 1736646789.4180114]","[1736646994.5394583, 1736646994.5397012]","[1736647200.9037118, 1736647200.9045515]","[1736647405.9545567, 1736647405.954699]","[1736647610.7669554, 1736647610.767103]"
"[1736646789.8933845, 1736646789.893568]","[1736646995.0541546, 1736646995.0543537]","[1736647201.3666255, 1736647201.366825]","[1736647406.4540782, 1736647406.454185]","[1736647611.2663112, 1736647611.2664766]"
"[1736646790.3931146, 1736646790.3932629]","[1736646995.5392568, 1736646995.5394242]","[1736647201.8513274, 1736647201.8514767]","[1736647406.9427667, 1736647406.9428778]","[1736647611.7516015, 1736647611.751764]"
"[1736646790.8651016, 1736646790.8652322]","[1736646996.0546758, 1736646996.0548222]","[1736647202.3631325, 1736647202.3632734]","[1736647407.4461834, 1736647407.4462974]","[1736647612.2500274, 1736647612.2501926]"
"[1736646791.3612545, 1736646791.3614018]","[1736646996.5346437, 1736646996.5348265]","[1736647202.8516479, 1736647202.852796]","[1736647407.9341817, 1736647407.9342887]","[1736647612.7388213, 1736647612.7389696]"
"[1736646791.8290558, 1736646791.8291962]","[1736646997.0466495, 1736646997.046794]","[1736647203.309775, 1736647203.310068]","[1736647408.433875, 1736647408.4339874]","[1736647613.242818, 1736647613.2429755]"
"[1736646792.3249855, 1736646792.3251615]","[1736646997.5374632, 1736646997.5376556]","[1736647203.7987626, 1736647203.7989216]","[1736647408.917903, 1736647408.9180405]","[1736647613.7346702, 1736647613.734823]"
"[1736646792.7977295, 1736646792.797857]","[1736646998.0504408, 1736646998.050647]","[1736647204.305528, 1736647204.3056622]","[1736647409.4172163, 1736647409.4173293]","[1736647614.2387836, 1736647614.2389352]"
"[1736646793.2976418, 1736646793.2978663]","[1736646998.5347936, 1736646998.5350266]","[1736647204.790931, 1736647204.7910838]","[1736647409.905888, 1736647409.9060187]","[1736647614.723329, 1736647614.723479]"
