epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736647812.88253, 1736647813.048484, 12.82626989412308]","[1736648148.3104382, 1736648148.4640186, 28.948455076932913]","[1736648481.7208438, 1736648481.8742008, 30.645556921243667]","[1736648817.4676228, 1736648817.6209574, 30.884642118453975]","[1736649151.979748, 1736649152.1341834, 28.106362498760223]"
"[1736647813.7288845, 1736647813.8867056, 31.379061036467558]","[1736648149.1040733, 1736648149.2863812, 42.447252485990525]","[1736648482.5103989, 1736648482.6978576, 43.79010908412935]","[1736648818.2601018, 1736648818.4433064, 42.96212128508091]","[1736649152.7767851, 1736649152.9620395, 42.81913625323772]"
"[1736647814.5187244, 1736647814.6783793, 39.11670250654222]","[1736648149.9391987, 1736648150.0993724, 40.57854975128175]","[1736648483.333178, 1736648483.4936783, 40.95030559778213]","[1736648819.0782294, 1736648819.2388113, 41.16535720682145]","[1736649153.6027625, 1736649153.7631056, 40.527604471921926]"
"[1736647815.319559, 1736647815.478176, 38.85275960516929]","[1736648150.73174, 1736648150.89258, 40.82213089236043]","[1736648484.122058, 1736648484.3137972, 48.86618216836453]","[1736648819.8738897, 1736648820.033071, 40.887033776879335]","[1736649154.3910131, 1736649154.5861797, 48.7383075671196]"
"[1736647816.1101565, 1736647816.2687564, 39.18929834020137]","[1736648151.534697, 1736648151.6953259, 40.745913326144205]","[1736648484.9504778, 1736648485.1306553, 45.72122086763381]","[1736648820.675133, 1736648820.8352127, 40.90206175220014]","[1736649155.2175658, 1736649155.4151385, 49.85486720371247]"
"[1736647816.895526, 1736647817.0531013, 38.73381296908855]","[1736648152.3337097, 1736648152.4943898, 40.871682420730586]","[1736648485.7664502, 1736648485.9261682, 40.40353408133981]","[1736648821.4772995, 1736648821.6378121, 40.80959567475317]","[1736649156.0438073, 1736649156.2391324, 49.26950825166703]"
"[1736647817.684404, 1736647817.8425083, 38.92650447702408]","[1736648153.1376987, 1736648153.298075, 41.006620613455794]","[1736648486.5590918, 1736648486.7505803, 48.033545985698694]","[1736648822.2738512, 1736648822.4623823, 47.64319101154804]","[1736649156.8642485, 1736649157.0584662, 48.88394666266444]"
"[1736647818.4743288, 1736647818.6330729, 39.01836444950104]","[1736648153.9319518, 1736648154.1187916, 47.353117400288596]","[1736648487.3741832, 1736648487.566787, 48.113980792522426]","[1736648823.0909142, 1736648823.2865884, 49.33701590967177]","[1736649157.687893, 1736649157.881751, 48.43718663489818]"
"[1736647819.2642825, 1736647819.4233809, 39.04184502875804]","[1736648154.7502835, 1736648154.9464307, 49.02652840471268]","[1736648488.2074406, 1736648488.3684254, 40.49692878405792]","[1736648823.9090412, 1736648824.1067483, 50.098464500784885]","[1736649158.5122266, 1736649158.6723657, 40.28823297810553]"
"[1736647820.059548, 1736647820.2191212, 39.17628572857381]","[1736648155.5804355, 1736648155.7745624, 48.930937999010084]","[1736648488.9994304, 1736648489.1867192, 47.29127684259416]","[1736648824.738708, 1736648824.9334428, 49.091687370538715]","[1736649159.2965033, 1736649159.4941185, 50.00639531123637]"
"[1736647820.8468413, 1736647821.0053065, 38.96979776382447]","[1736648156.408606, 1736648156.6027586, 49.0283942191601]","[1736648489.8342059, 1736648489.9944386, 40.32598120117188]","[1736648825.5686095, 1736648825.758761, 47.945000745773314]","[1736649160.1234174, 1736649160.28255, 40.26252930033206]"
"[1736647821.6262078, 1736647821.8127306, 46.182111836671815]","[1736648157.2394583, 1736648157.4311073, 48.121995491027825]","[1736648490.6339421, 1736648490.7941976, 40.731884889602654]","[1736648826.3859735, 1736648826.5826578, 49.62754797720909]","[1736649160.9154556, 1736649161.0759664, 40.77877867579461]"
"[1736647822.4360368, 1736647822.6243849, 46.352355439066905]","[1736648158.0573652, 1736648158.253584, 49.256799951195724]","[1736648491.4361475, 1736648491.5962348, 40.846168255805964]","[1736648827.2170703, 1736648827.4064622, 47.360166284441966]","[1736649161.7030833, 1736649161.8946407, 48.310969674229625]"
"[1736647823.2458494, 1736647823.433385, 45.6772539088726]","[1736648158.8760276, 1736648159.0707536, 49.20313710296154]","[1736648492.2371824, 1736648492.3972447, 41.1051767373085]","[1736648828.032971, 1736648828.193033, 40.557947642087925]","[1736649162.5211964, 1736649162.7182286, 49.509455064535146]"
"[1736647824.0553977, 1736647824.249032, 47.16234191989898]","[1736648159.7213411, 1736648159.881384, 40.328909236907954]","[1736648493.0399864, 1736648493.2005272, 41.311633494257926]","[1736648828.8258405, 1736648829.0178947, 49.01112145614624]","[1736649163.3468251, 1736649163.5427282, 49.41353121685982]"
"[1736647824.870186, 1736647825.0648148, 47.8782106435299]","[1736648160.5393727, 1736648160.7141993, 44.12253896808624]","[1736648493.8308938, 1736648494.0277207, 50.09239324915409]","[1736648829.6443486, 1736648829.839049, 49.59038311123849]","[1736649164.1728325, 1736649164.3626199, 47.79947875833509]"
"[1736647825.6813917, 1736647825.8765152, 48.0686013149023]","[1736648161.3609743, 1736648161.5210724, 40.24744275605679]","[1736648494.6526823, 1736648494.849774, 49.126336985111244]","[1736648830.4796574, 1736648830.6391068, 40.37175897419454]","[1736649164.9931073, 1736649165.181782, 47.39047115790843]"
"[1736647826.491459, 1736647826.6851401, 48.08116243381811]","[1736648162.1534393, 1736648162.313934, 40.54979548692704]","[1736648495.483087, 1736648495.6781707, 48.93364673495293]","[1736648831.2711213, 1736648831.4663773, 49.13113374519347]","[1736649165.8101714, 1736649166.0062635, 49.474525641798984]"
"[1736647827.3080802, 1736647827.5004396, 47.62590898323057]","[1736648162.9567156, 1736648163.117909, 40.66788266718387]","[1736648496.305351, 1736648496.5032494, 49.74781694922895]","[1736648832.0966907, 1736648832.2906177, 48.690841570615774]","[1736649166.6375844, 1736649166.835123, 49.669276749849324]"
