epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736647812.8654525, 1736647812.882528, 0.7369290208816527]","[1736648148.293776, 1736648148.3104367, 3.1426560306549076]","[1736648481.7047598, 1736648481.7208421, 3.269932481884956]","[1736648817.4533896, 1736648817.4676187, 2.891102939367294]","[1736649151.9516969, 1736649151.9797385, 5.144259778261183]"
"[1736647813.6834438, 1736647813.7288828, 8.499543689966202]","[1736648149.0592687, 1736648149.1040711, 9.987289925813675]","[1736648482.4649107, 1736648482.5103977, 10.165970216512678]","[1736648818.215678, 1736648818.2600968, 9.995459146499636]","[1736649152.7315702, 1736649152.7767785, 10.092933452606202]"
"[1736647814.4732056, 1736647814.5187218, 11.051097358345986]","[1736648149.8938138, 1736648149.9391968, 11.396967460629961]","[1736648483.2884357, 1736648483.333177, 11.314118685007095]","[1736648819.032762, 1736648819.0782282, 11.630704686641693]","[1736649153.5576577, 1736649153.6027608, 11.410085231781006]"
"[1736647815.2739015, 1736647815.3195577, 11.101390204668045]","[1736648150.6868198, 1736648150.7317383, 11.33087543296814]","[1736648484.0764976, 1736648484.1220567, 11.620749826192856]","[1736648819.828504, 1736648819.8738885, 11.703186275482176]","[1736649154.3459702, 1736649154.391012, 11.508990536212922]"
"[1736647816.0654337, 1736647816.1101542, 10.951629379272465]","[1736648151.48986, 1736648151.5346954, 11.327856768250465]","[1736648484.9048724, 1736648484.9504757, 11.564342252612114]","[1736648820.6296499, 1736648820.6751308, 11.666641101121902]","[1736649155.172552, 1736649155.217564, 11.563267002582547]"
"[1736647816.8507638, 1736647816.895522, 10.966938646793364]","[1736648152.2880907, 1736648152.333708, 11.519414646029471]","[1736648485.7210941, 1736648485.7664495, 11.509910261154172]","[1736648821.4320984, 1736648821.4772973, 11.472027620315552]","[1736649155.998468, 1736649156.0438058, 11.489424982666968]"
"[1736647817.6389093, 1736647817.684402, 11.214802358150479]","[1736648153.0923512, 1736648153.1376967, 11.580881572527762]","[1736648486.51454, 1736648486.5590904, 11.361069614410402]","[1736648822.228207, 1736648822.2738492, 11.667727826833724]","[1736649156.8198333, 1736649156.8642468, 11.122549475669862]"
"[1736647818.4287453, 1736647818.474327, 11.324392353057863]","[1736648153.8864932, 1736648153.9319506, 11.564700400710107]","[1736648487.328944, 1736648487.374182, 11.530220798969268]","[1736648823.0464256, 1736648823.0909135, 11.424906769752502]","[1736649157.6430821, 1736649157.687891, 11.361287617683411]"
"[1736647819.2192097, 1736647819.2642798, 11.188354547977449]","[1736648154.705504, 1736648154.7502825, 11.390866119861602]","[1736648488.162245, 1736648488.2074392, 11.4770717892527]","[1736648823.8643637, 1736648823.9090364, 11.415936843395233]","[1736649158.4670806, 1736649158.5122247, 11.57959223842621]"
"[1736647820.014719, 1736647820.059546, 11.167298355102538]","[1736648155.5356448, 1736648155.5804336, 11.466031960487369]","[1736648488.9542432, 1736648488.9994292, 11.459316008567809]","[1736648824.6939337, 1736648824.738704, 11.323901069402694]","[1736649159.2511013, 1736649159.2965024, 11.688466852664948]"
"[1736647820.8017898, 1736647820.8468397, 11.147824434041976]","[1736648156.364156, 1736648156.4086049, 11.24887944507599]","[1736648489.7890072, 1736648489.8342047, 11.281985816955565]","[1736648825.5242105, 1736648825.5686083, 11.262430186909299]","[1736649160.0787048, 1736649160.123416, 11.48476474571228]"
"[1736647821.5812845, 1736647821.6262069, 11.145372818470001]","[1736648157.1942508, 1736648157.2394574, 11.462888448238374]","[1736648490.5883863, 1736648490.6339405, 11.477573157787322]","[1736648826.341458, 1736648826.385972, 11.448451409339906]","[1736649160.8706126, 1736649160.9154541, 11.510013074398042]"
"[1736647822.391393, 1736647822.4360354, 11.083675960025268]","[1736648158.0128393, 1736648158.0573642, 11.436222636699677]","[1736648491.3906293, 1736648491.436146, 11.538318853616712]","[1736648827.1724317, 1736648827.2170691, 11.362371493339538]","[1736649161.6576467, 1736649161.703078, 11.631022736787797]"
"[1736647823.2006357, 1736647823.2458484, 11.25810930919647]","[1736648158.8308587, 1736648158.8760254, 11.481202322959899]","[1736648492.1923728, 1736648492.2371812, 11.416940343856812]","[1736648827.987819, 1736648828.0329697, 11.37744745802879]","[1736649162.4765332, 1736649162.521195, 11.324927228689193]"
"[1736647824.0108023, 1736647824.0553963, 11.120551894426344]","[1736648159.6737936, 1736648159.721339, 11.846527486681936]","[1736648492.9947777, 1736648493.0399842, 11.572702574729917]","[1736648828.7810419, 1736648828.8258367, 11.417461314916606]","[1736649163.3022196, 1736649163.3468237, 11.27366303765774]"
"[1736647824.825811, 1736647824.8701847, 11.109057231903076]","[1736648160.493113, 1736648160.5393689, 11.65910497355461]","[1736648493.7856133, 1736648493.8308926, 11.516316082477571]","[1736648829.599655, 1736648829.6443474, 11.340172830343246]","[1736649164.1274943, 1736649164.1728313, 11.450679182648658]"
"[1736647825.636815, 1736647825.6813903, 11.077208226203918]","[1736648161.3152142, 1736648161.3609717, 11.577845322132111]","[1736648494.6075666, 1736648494.6526806, 11.43248431348801]","[1736648830.434586, 1736648830.479656, 11.438613769769667]","[1736649164.9485826, 1736649164.993105, 11.360618014335634]"
"[1736647826.4465785, 1736647826.4914577, 11.158731265996337]","[1736648162.1073954, 1736648162.1534371, 11.77830253458023]","[1736648495.4376874, 1736648495.4830863, 11.638066379308698]","[1736648831.2261338, 1736648831.2711198, 11.529734315872192]","[1736649165.7652435, 1736649165.8101697, 11.515295301437376]"
