epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736649507.841581, 1736649508.4908392, 95.27423298168183]","[1736649903.979286, 1736649904.6347988, 138.56280420899392]","[1736650306.932616, 1736650307.5829475, 136.67728070712087]","[1736650705.0678875, 1736650705.726605, 140.9578100985289]","[1736651122.6946127, 1736651123.3465106, 138.87723909640317]"
"[1736649508.7989795, 1736649509.4540162, 163.75869183313844]","[1736649904.932939, 1736649905.5781932, 170.54695840156074]","[1736650307.9678953, 1736650308.6056113, 161.2011656253939]","[1736650706.099991, 1736650706.7544243, 166.82081356216392]","[1736651123.7107334, 1736651124.3612244, 165.57375127327435]"
"[1736649509.7679255, 1736649510.405812, 162.6399529758692]","[1736649905.9120207, 1736649906.557846, 169.3442548764945]","[1736650308.9868257, 1736650309.6193628, 161.242832621336]","[1736650707.1114728, 1736650707.7596974, 165.64591635942452]","[1736651124.7366698, 1736651125.3827887, 163.05809494638436]"
"[1736649510.7239728, 1736649511.362947, 163.2222863841057]","[1736649906.886918, 1736649907.5349474, 170.1449372739792]","[1736650309.9938319, 1736650310.6296148, 162.58708803486823]","[1736650708.1708465, 1736650708.819035, 163.94397333467006]","[1736651125.73824, 1736651126.3729048, 162.70795365154737]"
"[1736649511.671583, 1736649512.3157327, 165.19631223964694]","[1736649907.8635113, 1736649908.5070214, 168.93942516565326]","[1736650310.9990463, 1736650311.6400402, 163.117462397933]","[1736650709.2030194, 1736650709.846903, 163.9763693748712]","[1736651126.7426708, 1736651127.3789845, 163.55834861207012]"
"[1736649512.6279228, 1736649513.2697647, 164.48889526414874]","[1736649908.8391552, 1736649909.4871643, 170.38972882544996]","[1736650312.0147707, 1736650312.6633945, 164.33042418539517]","[1736650710.212945, 1736650710.8592484, 167.0806297805309]","[1736651127.7308958, 1736651128.365442, 162.98507616078854]"
"[1736649513.584154, 1736649514.2257204, 164.56904519319545]","[1736649909.8236744, 1736649910.475377, 170.19083578479288]","[1736650313.0302868, 1736650313.688344, 167.06337131738664]","[1736650711.2157516, 1736650711.8630278, 169.63271638214587]","[1736651128.7272124, 1736651129.3765142, 165.46623803031443]"
"[1736649514.5362775, 1736649515.17945, 165.1166053080041]","[1736649910.8066974, 1736649911.459006, 171.38562759613995]","[1736650314.0722673, 1736650314.7231944, 163.05575312018394]","[1736650712.2318842, 1736650712.8763216, 166.24486565089225]","[1736651129.730544, 1736651130.3748288, 163.56791201663017]"
"[1736649515.4916043, 1736649516.1306326, 164.3497704205513]","[1736649911.7917004, 1736649912.439284, 168.8171939114333]","[1736650315.1029866, 1736650315.7479103, 162.23034954547876]","[1736650713.269096, 1736650713.9201748, 165.47103432738788]","[1736651130.7352552, 1736651131.3718123, 161.55293032395835]"
"[1736649516.439601, 1736649517.0784447, 164.87964382338515]","[1736649912.7709656, 1736649913.4206612, 169.0305033890465]","[1736650316.1314473, 1736650316.7792387, 164.17577081179613]","[1736650714.2847464, 1736650714.932666, 164.23236281549933]","[1736651131.727095, 1736651132.3674445, 163.5411561120749]"
"[1736649517.3952003, 1736649518.0385919, 166.08431785142426]","[1736649913.751845, 1736649914.3989558, 168.01826592814913]","[1736650317.1476908, 1736650317.7945654, 165.17980567944048]","[1736650715.3178802, 1736650715.9677, 164.1120104286671]","[1736651132.7734692, 1736651133.4149034, 158.97743476037832]"
"[1736649518.3746903, 1736649519.0145502, 162.63430435585977]","[1736649914.7275565, 1736649915.3795066, 170.42622577702994]","[1736650318.1711276, 1736650318.8149118, 163.24037822580343]","[1736650716.3354013, 1736650716.987142, 166.3275764095784]","[1736651133.7664592, 1736651134.403636, 162.49854359066487]"
"[1736649519.3243313, 1736649519.9705606, 166.52004748952396]","[1736649915.7115421, 1736649916.3629124, 170.13420065581795]","[1736650319.195105, 1736650319.842921, 164.1743325724603]","[1736650717.371705, 1736650718.0208983, 164.53475624680522]","[1736651134.7769892, 1736651135.4184742, 162.7330943533182]"
"[1736649520.282323, 1736649520.9304013, 165.92435328556354]","[1736649916.6951258, 1736649917.3433895, 169.12835011124605]","[1736650320.2216718, 1736650320.8694172, 163.1651733039618]","[1736650718.3882458, 1736650719.0476506, 167.71452833457917]","[1736651135.7826333, 1736651136.4211695, 162.46979980432985]"
"[1736649521.255888, 1736649521.894672, 163.76911211991307]","[1736649917.6766906, 1736649918.3238788, 169.26878620994086]","[1736650321.250386, 1736650321.8993483, 164.09570561852541]","[1736650719.431345, 1736650720.0753126, 162.40902574872965]","[1736651136.7828598, 1736651137.4226208, 162.43753856217867]"
"[1736649522.2080867, 1736649522.8507938, 166.76370830869666]","[1736649918.656002, 1736649919.310773, 170.74783938753603]","[1736650322.2794862, 1736650322.92323, 161.39771074712272]","[1736650720.4452717, 1736650721.0952022, 165.6258211077452]","[1736651137.786698, 1736651138.4259477, 161.65380598688137]"
"[1736649523.1644797, 1736649523.8064022, 165.1440671088696]","[1736649919.6483111, 1736649920.3005042, 169.6282472599745]","[1736650323.2915814, 1736650323.9432027, 165.50211920881276]","[1736650721.4785511, 1736650722.127218, 163.68145417439925]","[1736651138.7947423, 1736651139.426862, 160.9001862676144]"
"[1736649524.120018, 1736649524.7659028, 167.21847403657426]","[1736649920.6362958, 1736649921.2908316, 169.37029568910594]","[1736650324.3239095, 1736650324.966895, 162.38817566466332]","[1736650722.494619, 1736650723.1458309, 164.6168989689351]","[1736651139.7867208, 1736651140.435992, 165.64630296146856]"
"[1736649525.0807812, 1736649525.7250237, 166.65323335361475]","[1736649921.6284628, 1736649922.2802398, 170.02334063899517]","[1736650325.3352716, 1736650325.9830117, 164.79583451974378]","[1736650723.5275388, 1736650724.1716716, 162.2721072816849]","[1736651140.7944567, 1736651141.439658, 164.51859631454934]"
"[1736649526.032923, 1736649526.686405, 168.33551975784292]","[1736649922.6167314, 1736649923.270912, 170.47804527246953]","[1736650326.3599868, 1736650327.0043395, 162.54152005374428]","[1736650724.5345664, 1736650725.1876879, 166.95916393256186]","[1736651141.7942553, 1736651142.430352, 163.15945048654078]"
"[1736649527.0010827, 1736649527.6466706, 165.86383388042452]","[1736649923.604398, 1736649924.258104, 170.83721848762028]","[1736650327.376495, 1736650328.0226579, 163.1252122040987]","[1736650725.570307, 1736650726.2154727, 162.91979130613814]","[1736651142.8057375, 1736651143.4514806, 163.50792080855368]"
"[1736649527.9602695, 1736649528.6066613, 166.34587062597274]","[1736649924.591011, 1736649925.241038, 169.73978216028206]","[1736650328.398346, 1736650329.0432816, 162.75431830763816]","[1736650726.5837626, 1736650727.2320435, 164.68050984323028]","[1736651143.8180032, 1736651144.4504185, 160.4052423753739]"
