epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743544324.803436, 1743544324.8041365, 0.06477491235733032]","[1743544443.6150422, 1743544443.6153493, 0.03128194427490234]","[1743544566.373118, 1743544566.37332, 0.02103065490722656]","[1743544687.8772588, 1743544687.877571, 0.032509944438934325]","[1743544806.8696246, 1743544806.8701074, 0.04978174567222595]"
"[1743544325.1421967, 1743544325.1423607, 0.017861787197583044]","[1743544443.8858542, 1743544443.8860106, 0.01817789077758789]","[1743544566.649208, 1743544566.649332, 0.015178089141845704]","[1743544688.1734118, 1743544688.173729, 0.03809124231338501]","[1743544807.1872218, 1743544807.1874983, 0.036199111938476566]"
"[1743544325.4382236, 1743544325.4384556, 0.02939875531196594]","[1743544444.1632335, 1743544444.1634922, 0.034444830417633056]","[1743544566.9038415, 1743544566.903971, 0.018706897258758542]","[1743544688.426516, 1743544688.426705, 0.030545116424560547]","[1743544807.4485872, 1743544807.4490666, 0.0668486773967743]"
"[1743544325.7038817, 1743544325.7040277, 0.026592055320739747]","[1743544444.4349039, 1743544444.4350889, 0.036968521118164066]","[1743544567.1704538, 1743544567.1705744, 0.019688536167144773]","[1743544688.6832092, 1743544688.6833727, 0.027327120780944823]","[1743544807.7262416, 1743544807.726403, 0.024871086835861204]"
"[1743544325.959952, 1743544325.9601681, 0.04693275547027588]","[1743544444.7149107, 1743544444.7151392, 0.052327356815338136]","[1743544567.4164646, 1743544567.4165838, 0.027866005897521973]","[1743544688.9288294, 1743544688.9289901, 0.03872535514831543]","[1743544808.0077605, 1743544808.0079002, 0.0315124716758728]"
"[1743544326.2252398, 1743544326.2253973, 0.03572182869911194]","[1743544444.9827535, 1743544444.9829679, 0.04905967974662781]","[1743544567.6571798, 1743544567.6573043, 0.028644322872161863]","[1743544689.1921206, 1743544689.1922543, 0.031012330770492553]","[1743544808.2694674, 1743544808.2697563, 0.06708052253723144]"
"[1743544326.510936, 1743544326.511199, 0.059600548028945925]","[1743544445.2515244, 1743544445.2518756, 0.08127357459068299]","[1743544567.9043834, 1743544567.90468, 0.06916008186340332]","[1743544689.4474406, 1743544689.4475915, 0.03627427768707275]","[1743544808.623831, 1743544808.6240432, 0.04609182596206665]"
"[1743544326.784719, 1743544326.7849398, 0.0508157000541687]","[1743544445.533955, 1743544445.5343132, 0.08253239154815674]","[1743544568.1477833, 1743544568.1480458, 0.061797743082046504]","[1743544689.7120306, 1743544689.7121758, 0.03374739289283753]","[1743544808.914038, 1743544808.9144218, 0.0831327772140503]"
"[1743544327.0403385, 1743544327.0405083, 0.03869373321533203]","[1743544445.8192956, 1743544445.8194413, 0.03342804718017578]","[1743544568.4097638, 1743544568.410057, 0.06830081462860108]","[1743544689.9986258, 1743544689.9987934, 0.03886215424537659]","[1743544809.2064204, 1743544809.2066977, 0.05951555252075195]"
"[1743544327.304002, 1743544327.3041742, 0.039267308712005615]","[1743544446.083235, 1743544446.0833864, 0.034925193786621095]","[1743544568.6643329, 1743544568.664514, 0.04454050942228751]","[1743544690.2809088, 1743544690.281222, 0.07377478122711181]","[1743544809.4796908, 1743544809.4800165, 0.07076793622970581]"
