epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743543648.0033937, 1743543648.107208, 9.928406082480517]","[1743543773.2099025, 1743543773.296422, 10.47480322265625]","[1743543898.0814362, 1743543898.166334, 9.279832651615141]","[1743544022.3103347, 1743544022.3945608, 10.389454041957855]","[1743544147.7299693, 1743544147.8151033, 9.513313756108284]"
"[1743543648.3049483, 1743543648.388562, 9.850289122104646]","[1743543773.436979, 1743543773.521915, 12.262320148834629]","[1743543898.3417249, 1743543898.4266906, 10.756008100032805]","[1743544022.5618727, 1743544022.6474898, 12.340902738571167]","[1743544147.97022, 1743544148.0554528, 10.957356981754304]"
"[1743543648.5620077, 1743543648.6456223, 11.773008662939073]","[1743543773.7003329, 1743543773.7853794, 13.318406752824783]","[1743543898.5929794, 1743543898.6777277, 12.099001750946044]","[1743544022.7907374, 1743544022.8758528, 13.53454065322876]","[1743544148.244969, 1743544148.3299997, 13.672523232221602]"
"[1743543648.7978852, 1743543648.8812037, 15.421949776172635]","[1743543773.9339423, 1743543774.018124, 14.110887626647946]","[1743543898.8421307, 1743543898.927135, 15.38446568441391]","[1743544023.1133525, 1743544023.1959126, 14.083350452423094]","[1743544148.4822443, 1743544148.5673075, 15.076191509246827]"
"[1743543649.028698, 1743543649.1116142, 17.801313991546632]","[1743543774.1653225, 1743543774.249884, 16.367076576709746]","[1743543899.086563, 1743543899.1716096, 20.44535584974289]","[1743544023.355353, 1743544023.4486437, 22.210642746686943]","[1743544148.7269306, 1743544148.8123374, 20.68458193862439]"
"[1743543649.305105, 1743543649.3878014, 18.589769764065743]","[1743543774.40205, 1743543774.4866982, 20.27920171356201]","[1743543899.3692873, 1743543899.454332, 20.34994953918457]","[1743544023.5925198, 1743544023.6773472, 20.06169978868962]","[1743544148.96621, 1743544149.0514865, 20.588213595390325]"
"[1743543649.5985856, 1743543649.6822753, 18.84002475976944]","[1743543774.671802, 1743543774.756918, 19.96891471815109]","[1743543899.6152012, 1743543899.700032, 19.969566768050196]","[1743544023.863932, 1743544023.949188, 20.390270359992982]","[1743544149.2199342, 1743544149.306219, 20.71939960885048]"
"[1743543649.8608851, 1743543649.9453285, 19.276128710269923]","[1743543774.9453356, 1743543775.0339854, 20.931316936135293]","[1743543899.8437681, 1743543899.9358962, 21.939925409793858]","[1743544024.0926442, 1743544024.1785774, 20.57397668290138]","[1743544149.4633331, 1743544149.548641, 20.651985452413555]"
"[1743543650.09364, 1743543650.1771967, 18.939583518981937]","[1743543775.2097452, 1743543775.2950773, 20.278715654611588]","[1743543900.1123967, 1743543900.1955266, 19.694931904792785]","[1743544024.3244903, 1743544024.4178352, 22.621781528830525]","[1743544149.7006466, 1743544149.7862132, 20.79468267440796]"
"[1743543650.3272033, 1743543650.4110105, 19.161816386699673]","[1743543775.4544435, 1743543775.5399864, 19.995006777048108]","[1743543900.3536325, 1743543900.439239, 20.696604584097862]","[1743544024.5695207, 1743544024.655721, 20.653251686334606]","[1743544149.9296446, 1743544150.0149446, 20.459158036708832]"
"[1743543650.5535161, 1743543650.6385114, 19.683216029167177]","[1743543775.7112973, 1743543775.7964327, 20.299863867163662]","[1743543900.601682, 1743543900.6865983, 20.43713775897026]","[1743544024.8111408, 1743544024.896512, 20.76648614382743]","[1743544150.1684725, 1743544150.2547557, 20.988877181053162]"
"[1743543650.7871268, 1743543650.8706536, 19.32411012148857]","[1743543775.951066, 1743543776.0357318, 20.00993991613388]","[1743543900.842193, 1743543900.9305558, 21.480088998079296]","[1743544025.041551, 1743544025.1265929, 20.7602640941143]","[1743544150.4827888, 1743544150.5677478, 20.517083367943762]"
"[1743543651.0221822, 1743543651.1056037, 19.639642335176465]","[1743543776.1924498, 1743543776.2772489, 20.23857127034664]","[1743543901.101957, 1743543901.207959, 25.762221349954608]","[1743544025.2702296, 1743544025.3556812, 20.93011467504501]","[1743544150.7320268, 1743544150.8175745, 20.214931074261667]"
"[1743543651.2557027, 1743543651.340533, 19.97447858762741]","[1743543776.433103, 1743543776.5277748, 22.58694433736801]","[1743543901.4474247, 1743543901.532733, 19.73105458569526]","[1743544025.5665636, 1743544025.6517608, 20.303918811321253]","[1743544150.987189, 1743544151.072313, 20.23027552950382]"
"[1743543651.4813228, 1743543651.5655224, 19.972269385627317]","[1743543776.6777, 1743543776.761351, 20.023655022621156]","[1743543901.7475185, 1743543901.8354986, 19.813317907691]","[1743544025.8298502, 1743544025.9148655, 20.605638720989223]","[1743544151.2466493, 1743544151.3316803, 19.86092348051071]"
"[1743543651.7429614, 1743543651.8266726, 19.684298310756684]","[1743543776.9166334, 1743543777.0016003, 20.467958662748337]","[1743543901.9885917, 1743543902.0741417, 19.40754663658142]","[1743544026.0784829, 1743544026.16337, 20.005327655315398]","[1743544151.4815145, 1743544151.5671968, 20.82820146989822]"
"[1743543651.9709752, 1743543652.0546045, 19.48154530930519]","[1743543777.1532881, 1743543777.2378209, 20.14617682600021]","[1743543902.2290008, 1743543902.3143485, 19.320909746408468]","[1743544026.3515341, 1743544026.4357674, 19.75523209571838]","[1743544151.729936, 1743544151.8180835, 21.123477053403853]"
"[1743543652.200371, 1743543652.2841403, 19.595766613960265]","[1743543777.3920515, 1743543777.4785812, 20.869689933896066]","[1743543902.4713385, 1743543902.5576153, 21.050191742420196]","[1743544026.5808675, 1743544026.6662169, 20.221779887199407]","[1743544151.9774537, 1743544152.0628855, 20.65006878316402]"
"[1743543652.429222, 1743543652.5148025, 20.268782533288]","[1743543777.6304452, 1743543777.7155275, 20.255626471281058]","[1743543902.7120275, 1743543902.8013937, 21.486178438901895]","[1743544026.8497365, 1743544026.934996, 20.580264076232915]","[1743544152.2127476, 1743544152.298321, 20.524873917341235]"
"[1743543652.7343445, 1743543652.8206034, 19.933686641454695]","[1743543777.8659832, 1743543777.9509017, 20.262260199069974]","[1743543902.963348, 1743543903.048401, 20.74309375393391]","[1743544027.1000512, 1743544027.1862597, 20.47255221605301]","[1743544152.4602814, 1743544152.5473735, 20.964954493284235]"
"[1743543652.9632356, 1743543653.0474274, 19.653308913276046]","[1743543778.1068559, 1743543778.191764, 20.45669037222863]","[1743543903.20094, 1743543903.286175, 20.419286970734603]","[1743544027.348602, 1743544027.4348736, 20.844666918039323]","[1743544152.7107022, 1743544152.795772, 20.353312608242035]"
"[1743543653.1947732, 1743543653.2782695, 19.056111837148663]","[1743543778.3398135, 1743543778.4328775, 22.405640665411948]","[1743543903.4350052, 1743543903.519632, 20.412001069068904]","[1743544027.5810764, 1743544027.6691976, 20.94429711008072]","[1743544152.9354627, 1743544153.020656, 20.321383265733726]"
"[1743543653.4498298, 1743543653.5339801, 19.531075671195982]","[1743543778.583445, 1743543778.6686893, 20.73902313137054]","[1743543903.7106376, 1743543903.797543, 20.66030878794193]","[1743544027.8166275, 1743544027.9016464, 20.60629582774639]","[1743544153.171052, 1743544153.2560265, 20.586076409935956]"
"[1743543653.6897745, 1743543653.7735572, 19.262417643070222]","[1743543778.8171136, 1743543778.9035993, 20.950746646404266]","[1743543903.9861956, 1743543904.072817, 20.94482437348366]","[1743544028.0750408, 1743544028.1601574, 20.30844216227531]","[1743544153.4640563, 1743544153.5497348, 20.365146933555604]"
"[1743543653.9589167, 1743543654.0403, 19.05791868567467]","[1743543779.0643184, 1743543779.1509638, 20.8503051828146]","[1743543904.342905, 1743543904.4259655, 18.913149000644683]","[1743544028.316386, 1743544028.4020157, 20.883383028864863]","[1743544153.7195013, 1743544153.8045714, 20.303558663368225]"
"[1743543654.234535, 1743543654.3182042, 19.29487685847283]","[1743543779.307976, 1743543779.3935065, 20.78844711375237]","[1743543904.6059742, 1743543904.6906688, 19.023515301346777]","[1743544028.5475235, 1743544028.6359446, 21.305772941112522]","[1743544153.9689777, 1743544154.054685, 20.26905198764801]"
"[1743543654.50482, 1743543654.590458, 19.417674770355223]","[1743543779.5371523, 1743543779.6226726, 20.5271276043963]","[1743543904.8547285, 1743543904.9390497, 19.225364821195605]","[1743544028.856747, 1743544028.939949, 19.925826984643933]","[1743544154.206204, 1743544154.2939725, 21.104124511718748]"
"[1743543654.7671278, 1743543654.8504918, 18.98040112829208]","[1743543779.791732, 1743543779.8764043, 20.515059552192692]","[1743543905.2773845, 1743543905.3587692, 17.891317851901054]","[1743544029.0875726, 1743544029.1724148, 20.176745265483852]","[1743544154.4593832, 1743544154.5453777, 20.593307060122495]"
"[1743543655.1783774, 1743543655.2629943, 17.068221650386715]","[1743543780.0366077, 1743543780.122096, 20.37619403849532]","[1743543905.5119722, 1743543905.5970757, 18.882455889821056]","[1743544029.3260956, 1743544029.4112418, 20.793111586093904]","[1743544154.700244, 1743544154.7858934, 20.829069421648978]"
"[1743543655.4277515, 1743543655.5148892, 18.102368333339694]","[1743543780.2690065, 1743543780.360209, 21.836451135396953]","[1743543905.7436655, 1743543905.8284316, 19.064675832271572]","[1743544029.5599751, 1743544029.645168, 20.57651770591736]","[1743544154.9520688, 1743544155.039051, 20.73388254380226]"
"[1743543655.6713247, 1743543655.7556434, 17.684906783580775]","[1743543780.523384, 1743543780.6089423, 20.66039664672348]","[1743543906.0267494, 1743543906.1124778, 18.953071611881256]","[1743544029.7857687, 1743544029.8709984, 20.329764358639714]","[1743544155.1954315, 1743544155.2812345, 20.8544966006279]"
"[1743543655.914692, 1743543656.0084014, 19.821971519231802]","[1743543780.7591925, 1743543780.8447783, 20.236051567554473]","[1743543906.264352, 1743543906.3533218, 21.268038972973823]","[1743544030.013051, 1743544030.0988297, 21.105331614732744]","[1743544155.4419138, 1743544155.527503, 20.326470948696144]"
"[1743543656.1766586, 1743543656.2614238, 19.74093987318174]","[1743543780.9892876, 1743543781.0758722, 20.988573107957844]","[1743543906.5175743, 1743543906.603105, 20.15024163079261]","[1743544030.2397282, 1743544030.325858, 21.316602909684175]","[1743544155.6801412, 1743544155.7657695, 20.849479013443]"
"[1743543656.4187016, 1743543656.5025542, 19.45618813347816]","[1743543781.2429051, 1743543781.3249404, 19.64028541731834]","[1743543906.775058, 1743543906.8598764, 20.59158844947815]","[1743544030.466628, 1743544030.5518906, 21.22551037752628]","[1743544155.9515257, 1743544156.0343819, 20.201748764038093]"
"[1743543656.7589042, 1743543656.8407974, 18.499159179449084]","[1743543781.4764843, 1743543781.562005, 20.794054409265517]","[1743543907.0241308, 1743543907.1098256, 20.622596373677254]","[1743544030.6935127, 1743544030.7792614, 21.21921747434139]","[1743544156.2164903, 1743544156.3023355, 20.85760637009144]"
"[1743543657.0579884, 1743543657.14177, 18.2862454662323]","[1743543781.71184, 1743543781.796829, 20.64254833102226]","[1743543907.2579005, 1743543907.3433127, 20.876976215124127]","[1743544030.91942, 1743544031.005225, 21.474832960009575]","[1743544156.4560459, 1743544156.5428128, 20.949382037281993]"
"[1743543657.2964306, 1743543657.3811507, 18.440019727230077]","[1743543781.9537976, 1743543782.0384045, 20.501800495028494]","[1743543907.5848877, 1743543907.670649, 20.461704874277114]","[1743544031.1695855, 1743544031.2546015, 20.985535064101224]","[1743544156.6988277, 1743544156.7837598, 20.889463404679265]"
"[1743543657.5462685, 1743543657.630582, 18.403868037700654]","[1743543782.1988869, 1743543782.2832987, 20.579441045284273]","[1743543907.8294027, 1743543907.9146988, 19.875618536233898]","[1743544031.435759, 1743544031.5210507, 20.655217387437823]","[1743544156.9350443, 1743544157.021223, 20.59670902991295]"
"[1743543657.7834291, 1743543657.8673818, 18.916153902317404]","[1743543782.4255977, 1743543782.5107098, 20.350472109794616]","[1743543908.0674164, 1743543908.1526785, 20.44201454544067]","[1743544031.6793218, 1743544031.7649226, 20.466081208229067]","[1743544157.3298228, 1743544157.4114685, 18.799455564975737]"
"[1743543658.0795379, 1743543658.1613696, 18.94223512372134]","[1743543782.6546698, 1743543782.7393992, 20.426837154865268]","[1743543908.3639581, 1743543908.450771, 19.775143220424656]","[1743544031.909318, 1743544031.9940822, 20.59099267053604]","[1743544157.565096, 1743544157.6503818, 19.907090936422346]"
"[1743543658.379666, 1743543658.4620857, 18.936498356243476]","[1743543782.8821182, 1743543782.967167, 20.663046223163605]","[1743543908.6109526, 1743543908.6965823, 19.98013628351688]","[1743544032.1408992, 1743544032.227409, 21.042475763557903]","[1743544157.805148, 1743544157.8904665, 19.88681908321381]"
"[1743543658.6869028, 1743543658.7732108, 19.09765250957012]","[1743543783.1164787, 1743543783.2025902, 20.94576499891281]","[1743543908.853227, 1743543908.9384427, 20.278287385225294]","[1743544032.3746688, 1743544032.4604158, 20.63115443408489]","[1743544158.0452926, 1743544158.1314173, 19.939974614858624]"
"[1743543658.9411855, 1743543659.0249608, 18.21483562231064]","[1743543783.3546512, 1743543783.4395785, 20.687981347560882]","[1743543909.1110418, 1743543909.19612, 19.95884556698799]","[1743544032.6120865, 1743544032.6974618, 20.953494789838793]","[1743544158.322275, 1743544158.4080608, 20.879290635824198]"
