epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743543647.9461496, 1743543648.0033886, 4.898465753425628]","[1743543773.209597, 1743543773.2098982, 0.03369622850418091]","[1743543898.0812201, 1743543898.0814352, 0.021495463371276852]","[1743544022.310046, 1743544022.3103337, 0.033069805860519406]","[1743544147.7296348, 1743544147.7299647, 0.03639880561828613]"
"[1743543648.3048198, 1743543648.3049474, 0.014372012615203858]","[1743543773.4367747, 1743543773.436978, 0.02879876399040222]","[1743543898.341568, 1743543898.3417242, 0.018721429109573362]","[1743544022.5616944, 1743544022.5618715, 0.025441919803619387]","[1743544147.9700224, 1743544147.9702194, 0.024103312015533448]"
"[1743543648.5617971, 1743543648.5620022, 0.027053179740905764]","[1743543773.7002172, 1743543773.7003324, 0.017263177156448366]","[1743543898.5927582, 1743543898.5929782, 0.0314166955947876]","[1743544022.7904704, 1743544022.7907367, 0.040985389471054075]","[1743544148.244775, 1743544148.2449682, 0.030188176631927487]"
"[1743543648.7975624, 1743543648.7978842, 0.058210909366607666]","[1743543773.9336915, 1743543773.9339416, 0.04192294502258301]","[1743543898.8419778, 1743543898.84213, 0.022661048412323]","[1743544023.1131883, 1743544023.1133513, 0.02694624423980713]","[1743544148.4820914, 1743544148.4822433, 0.025939997911453246]"
"[1743543649.0285203, 1743543649.0286968, 0.03654407024383545]","[1743543774.1651483, 1743543774.1653209, 0.029765739440917968]","[1743543899.086403, 1743543899.0865622, 0.038287290573120115]","[1743544023.3550608, 1743544023.355352, 0.06928541779518127]","[1743544148.7267709, 1743544148.7269297, 0.03834907007217407]"
"[1743543649.3048964, 1743543649.3051038, 0.04546447277069092]","[1743543774.4018333, 1743543774.4020493, 0.051161529064178465]","[1743543899.3690572, 1743543899.3692863, 0.05171794033050537]","[1743544023.5923486, 1743544023.5925188, 0.03954190635681152]","[1743544148.9660454, 1743544148.966209, 0.03798437404632568]"
"[1743543649.598418, 1743543649.5985844, 0.03724510335922241]","[1743543774.6715977, 1743543774.671801, 0.04615282225608826]","[1743543899.61497, 1743543899.6152, 0.0538830840587616]","[1743544023.8636365, 1743544023.863931, 0.07050620436668396]","[1743544149.219585, 1743544149.2199335, 0.0834677357673645]"
"[1743543649.8607285, 1743543649.8608844, 0.0342204008102417]","[1743543774.9451451, 1743543774.9453342, 0.044496289253234865]","[1743543899.843562, 1743543899.843767, 0.046710567474365236]","[1743544024.092454, 1743544024.0926428, 0.043785890579223635]","[1743544149.4630418, 1743544149.463332, 0.0680150396823883]"
"[1743543650.0935116, 1743543650.0936391, 0.02891584038734436]","[1743543775.2094398, 1743543775.2097442, 0.0692053997516632]","[1743543900.1122363, 1743543900.1123958, 0.03763067579269409]","[1743544024.3243241, 1743544024.3244889, 0.039284143686294556]","[1743544149.700395, 1743544149.7006452, 0.06018057465553284]"
"[1743543650.3270206, 1743543650.3272023, 0.039971034049987794]","[1743543775.45422, 1743543775.4544246, 0.04774176406860351]","[1743543900.3531322, 1743543900.353631, 0.11519381046295167]","[1743544024.5691895, 1743544024.5695193, 0.0782452862262726]","[1743544149.9294238, 1743544149.9296436, 0.052194958686828614]"
"[1743543650.5532668, 1743543650.553515, 0.05533504271507263]","[1743543775.711057, 1743543775.711296, 0.054337185621261594]","[1743543900.6014946, 1743543900.6016812, 0.04486111736297607]","[1743544024.8108432, 1743544024.8111398, 0.07002524280548095]","[1743544150.1682553, 1743544150.1684716, 0.05139878010749817]"
"[1743543650.786967, 1743543650.787126, 0.03656577563285828]","[1743543775.9507406, 1743543775.951065, 0.07629386925697328]","[1743543900.8419702, 1743543900.8421917, 0.05197172284126282]","[1743544025.0413241, 1743544025.0415504, 0.056035813808441165]","[1743544150.4823318, 1743544150.4827876, 0.10471657943725586]"
