epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743543647.616617, 1743543647.622163, 0.44494197383745626]","[1743543773.151937, 1743543773.1573863, 0.6097870140075683]","[1743543898.018774, 1743543898.024673, 0.5945703612944435]","[1743544022.2503529, 1743544022.2578988, 0.8671577095985412]","[1743544147.6541178, 1743544147.6625435, 0.9551812993277405]"
"[1743543648.2514873, 1743543648.256551, 0.5506700356006622]","[1743543773.3812013, 1743543773.3868282, 0.7554079649448394]","[1743543898.279933, 1743543898.2855124, 0.674983648767701]","[1743544022.5075843, 1743544022.5126019, 0.6864467740058899]","[1743544147.8972006, 1743544147.9083076, 1.3594151253700257]"
"[1743543648.5084734, 1743543648.5134778, 0.660286328792572]","[1743543773.6391082, 1743543773.646177, 1.0597017381191254]","[1743543898.536514, 1743543898.542449, 0.8113556489944458]","[1743544022.7318964, 1743544022.7390857, 1.1170981254577637]","[1743544148.1903305, 1743544148.1949196, 0.7208482246398926]"
"[1743543648.741155, 1743543648.7463365, 0.9263110501766204]","[1743543773.8780332, 1743543773.8837624, 0.9361281108856201]","[1743543898.7861547, 1743543898.7918632, 0.8504317081052537]","[1743544022.9785233, 1743544023.037582, 9.866813249588013]","[1743544148.4254746, 1743544148.4320812, 1.1284102702140806]"
"[1743543648.9748309, 1743543648.9795365, 0.974689614057541]","[1743543774.1091013, 1743543774.1154754, 1.109517695903778]","[1743543899.0165224, 1743543899.0232213, 1.4032811300754546]","[1743544023.297766, 1743544023.3027875, 0.8856094794273376]","[1743544148.671375, 1743544148.67674, 0.983095524787903]"
"[1743543649.226832, 1743543649.231882, 1.1182871270179748]","[1743543774.3421462, 1743543774.3482056, 1.4351768887042997]","[1743543899.31359, 1743543899.3190482, 1.2320278959274291]","[1743544023.533982, 1743544023.540467, 1.5541072845458985]","[1743544148.910016, 1743544148.9160595, 1.4035392322540283]"
"[1743543649.514883, 1743543649.5194786, 1.0249292135238648]","[1743543774.612266, 1743543774.617627, 1.2927241015434265]","[1743543899.5527365, 1743543899.5632312, 2.4712101211547854]","[1743544023.8083942, 1743544023.8139548, 1.285352252960205]","[1743544149.165099, 1743544149.1701636, 1.2083169758319854]"
"[1743543649.8078232, 1743543649.8125825, 1.0445070962905885]","[1743543774.8898535, 1743543774.8946288, 1.1301907479763031]","[1743543899.7864053, 1743543899.792025, 1.2802497510910036]","[1743544024.035205, 1743544024.040252, 1.194048966884613]","[1743544149.400659, 1743544149.4081373, 1.7747781910022242]"
"[1743543650.0375013, 1743543650.0431972, 1.2728334712982177]","[1743543775.1528673, 1743543775.157919, 1.1482568597793579]","[1743543900.0356867, 1743543900.0433567, 1.8116364479064941]","[1743544024.2688813, 1743544024.273344, 1.0641397995948791]","[1743544149.6394727, 1743544149.649131, 2.324037253856659]"
"[1743543650.2708848, 1743543650.2784376, 1.661735416889191]","[1743543775.3926508, 1743543775.398937, 1.4580774464607238]","[1743543900.2934248, 1743543900.3023117, 2.0524541544914245]","[1743544024.5098362, 1743544024.5173192, 1.8431241245269776]","[1743544149.8745325, 1743544149.8790936, 1.1335550265312195]"
"[1743543650.4985788, 1743543650.5038931, 1.1848396754264832]","[1743543775.6391888, 1743543775.6510963, 2.705699300765991]","[1743543900.5391982, 1743543900.548893, 2.353988258123398]","[1743544024.7475574, 1743544024.7584617, 2.574497190475464]","[1743544150.111112, 1743544150.1156986, 1.090141491651535]"
"[1743543650.7328303, 1743543650.7381644, 1.2908616065979004]","[1743543775.889979, 1743543775.8999784, 2.336336361169815]","[1743543900.779289, 1743543900.7889864, 2.3225450956821443]","[1743544024.9866354, 1743544024.991845, 1.2901818037033081]","[1743544150.3772647, 1743544150.4325933, 13.090594531545241]"
"[1743543650.966144, 1743543650.9733973, 1.6854698882102968]","[1743543776.1338718, 1743543776.1413915, 1.7155268144607545]","[1743543901.0326476, 1743543901.0432272, 2.546167810440064]","[1743544025.2120578, 1743544025.218352, 1.6155012130737305]","[1743544150.6534252, 1743544150.658668, 1.2448195624351501]"
"[1743543651.2003665, 1743543651.2058182, 1.308604727268219]","[1743543776.3704984, 1743543776.3809664, 2.507370105266571]","[1743543901.385461, 1743543901.395573, 2.3288029167192583]","[1743544025.5118573, 1743544025.516397, 1.100280296087265]","[1743544150.9173362, 1743544150.9361506, 4.346391366720199]"
"[1743543651.426193, 1743543651.4314923, 1.3052620146274565]","[1743543776.6170096, 1743543776.6228287, 1.4457195301411796]","[1743543901.6548672, 1743543901.6636038, 2.016261160850525]","[1743544025.774297, 1743544025.779131, 1.121376633644104]","[1743544151.1883678, 1743544151.1950765, 1.5656447801589966]"
"[1743543651.6890996, 1743543651.6944888, 1.2546897554397582]","[1743543776.858156, 1743543776.8650784, 1.664822655916214]","[1743543901.932709, 1743543901.9383807, 1.3221335413455964]","[1743544026.0122306, 1743544026.0170686, 1.1581228380203248]","[1743544151.4270604, 1743544151.4320893, 1.1609512159824371]"
"[1743543651.9164615, 1743543651.9212823, 1.1532519006729127]","[1743543777.0969436, 1743543777.1026893, 1.4196637666225436]","[1743543902.1698184, 1743543902.1781065, 1.937014095067978]","[1743544026.2950814, 1743544026.2996986, 1.0584086289405823]","[1743544151.6740243, 1743544151.6792128, 1.2566877593994141]"
"[1743543652.1449704, 1743543652.1508403, 1.4524453687667847]","[1743543777.3333461, 1743543777.3417408, 1.98673597574234]","[1743543902.4155607, 1743543902.4209096, 1.2416503393650056]","[1743544026.525006, 1743544026.5306735, 1.3179593751430512]","[1743544151.919438, 1743544151.9254901, 1.4037299096584321]"
