timestamp,power_in_watts,step
1734375644.394679,90.264,idle
1734375644.649325,89.896,idle
1734375644.6534488,89.896,idle
1734375644.8637612,89.901,idle
1734375645.072345,89.917,idle
1734375645.2799385,89.917,idle
1734375645.2865553,89.917,idle
1734375645.2887478,89.917,idle
1734375645.2914205,89.917,idle
1734375645.293946,89.917,idle
1734375645.2960773,89.917,idle
1734375645.298192,89.917,idle
1734375645.300313,89.917,idle
1734375645.3024514,89.917,idle
1734375645.3045883,89.917,idle
1734375645.3067138,89.917,idle
1734375645.308828,89.917,idle
1734375645.3109431,89.917,idle
1734375645.313069,89.917,idle
1734375645.3151867,89.917,idle
1734375645.3173008,89.917,idle
1734375645.3194163,89.917,idle
1734375645.321528,89.917,idle
1734375645.3236408,89.917,idle
1734375645.3257575,89.917,idle
1734375645.3278716,89.917,idle
1734375645.3299837,89.917,idle
1734375645.332096,89.917,idle
1734375645.3342123,89.917,idle
1734375645.3363378,89.917,idle
1734375645.3384528,89.917,idle
1734375645.3405702,89.917,idle
1734375645.3426886,89.917,idle
1734375645.3448024,89.917,idle
1734375645.3469176,89.917,idle
1734375645.3490362,89.917,idle
1734375645.351163,89.917,idle
1734375645.3532882,89.917,idle
1734375645.3554084,89.917,idle
1734375645.3575244,89.917,idle
1734375645.3596456,89.917,idle
1734375645.361757,89.917,idle
1734375645.3638716,89.917,idle
1734375645.365984,89.917,idle
1734375645.3680973,89.917,idle
1734375645.3702104,89.917,idle
1734375645.3723238,89.917,idle
1734375645.374436,89.917,idle
1734375645.3765483,89.917,idle
1734375645.3786635,89.917,idle
1734375645.3807778,89.917,idle
1734375645.3828936,89.917,idle
1734375645.385024,89.917,idle
1734375645.3872144,89.917,idle
1734375645.389329,89.917,idle
1734375645.3914468,89.917,idle
1734375645.3935795,89.917,idle
1734375645.395699,89.917,idle
1734375645.3978114,89.917,idle
1734375645.3999383,89.917,idle
1734375645.4021156,89.917,idle
1734375645.404229,89.917,idle
1734375645.40634,89.917,idle
1734375645.408492,89.917,idle
1734375645.4117029,89.917,idle
1734375645.4140785,89.917,to_device
1734375645.4162102,89.917,to_device
1734375645.4185042,89.937,forward
1734375645.4206958,89.937,forward
1734375645.422878,89.937,forward
1734375645.4250822,89.937,forward
1734375645.4272685,89.937,forward
1734375645.4294295,89.937,forward
1734375645.4315915,89.937,loss
1734375645.4339485,89.937,backward
1734375645.43613,89.937,backward
1734375645.4383843,89.937,backward
1734375645.4405422,89.937,backward
1734375645.4427166,89.937,backward
1734375645.4448788,89.937,backward
1734375645.4470658,89.937,backward
1734375645.4492185,89.937,backward
1734375645.451372,89.937,backward
1734375645.4535482,89.937,backward
1734375645.4557152,89.937,backward
1734375645.4579282,89.937,backward
1734375645.4601026,89.937,idle
1734375645.462324,89.937,idle
1734375645.4644966,89.937,idle
1734375645.4666507,89.937,idle
1734375645.4688056,89.937,idle
1734375645.4709609,89.937,idle
1734375645.4731374,89.937,idle
1734375645.4753022,89.937,idle
1734375645.4774854,89.937,idle
1734375645.4796472,89.937,idle
1734375645.481802,89.937,to_device
1734375645.483978,89.937,to_device
1734375645.486135,89.937,to_device
1734375645.4882967,89.937,forward
1734375645.490472,89.937,forward
1734375645.4926286,89.937,forward
1734375645.4948022,89.937,forward
1734375645.4969578,89.937,forward
1734375645.499153,89.937,forward
1734375645.5013068,89.937,backward
1734375645.503485,89.937,backward
1734375645.5056517,89.937,backward
1734375645.507807,89.937,backward
1734375645.5099556,89.937,backward
1734375645.512107,89.937,backward
1734375645.5142756,97.72,backward
1734375645.5164294,97.72,backward
1734375645.518608,97.72,backward
1734375645.520759,97.72,backward
1734375645.5229092,97.72,backward
1734375645.5250752,97.72,backward
1734375645.527243,97.72,idle
1734375645.5294445,97.72,idle
1734375645.5316083,97.72,idle
1734375645.533778,97.72,idle
1734375645.5359368,97.72,to_device
1734375645.538118,97.72,to_device
1734375645.5402682,97.72,forward
1734375645.5424275,97.72,forward
1734375645.5446017,97.72,forward
1734375645.5467615,97.72,forward
1734375645.5489533,97.72,forward
1734375645.551118,97.72,forward
1734375645.5532749,97.72,backward
1734375645.5554464,97.72,backward
1734375645.5576007,97.72,backward
1734375645.5597556,97.72,backward
1734375645.561906,97.72,backward
1734375645.564077,97.72,backward
1734375645.5662408,97.72,backward
1734375645.5684254,97.72,backward
1734375645.5705743,97.72,backward
1734375645.57273,97.72,backward
1734375645.5748982,97.72,backward
1734375645.5770562,97.72,backward
1734375645.579254,97.72,backward
1734375645.581525,97.72,idle
1734375645.5836852,97.72,idle
1734375645.5858357,97.72,idle
1734375645.5881062,97.72,idle
1734375645.5903056,97.72,to_device
1734375645.592548,97.72,to_device
1734375645.5947895,97.72,forward
1734375645.597041,97.72,forward
1734375645.5993452,97.72,forward
1734375645.6015751,97.72,forward
1734375645.6038127,97.72,forward
1734375645.606238,97.72,backward
1734375645.6085052,97.72,backward
1734375645.610747,97.72,backward
1734375645.6130514,106.513,backward
1734375645.615536,106.513,backward
1734375645.617771,106.513,backward
1734375645.620013,106.513,backward
1734375645.6222556,106.513,backward
1734375645.6245167,106.513,backward
1734375645.6268027,106.513,backward
1734375645.629056,106.513,backward
1734375645.6313138,106.513,backward
1734375645.633557,106.513,idle
1734375645.6357832,106.513,idle
1734375645.638023,106.513,idle
1734375645.6402507,106.513,idle
1734375645.6424663,106.513,to_device
1734375645.6446211,106.513,to_device
1734375645.6467688,106.513,to_device
