timestamp,power_in_watts,step
1734375797.5205505,88.528,idle
1734375797.52476,88.528,idle
1734375797.8025346,88.518,idle
1734375798.0729582,88.505,idle
1734375798.3501563,88.424,idle
1734375798.612773,88.411,idle
1734375798.6152964,88.411,idle
1734375798.6234086,88.411,idle
1734375798.6256592,88.411,idle
1734375798.628601,88.411,idle
1734375798.6307812,88.411,idle
1734375798.6329162,88.411,idle
1734375798.6350913,88.411,idle
1734375798.637263,88.411,idle
1734375798.6394448,88.411,idle
1734375798.6416197,88.411,idle
1734375798.6437938,88.411,idle
1734375798.6459758,88.411,idle
1734375798.648183,88.411,idle
1734375798.6503668,88.411,idle
1734375798.652552,88.411,idle
1734375798.6547394,88.411,idle
1734375798.6569164,88.411,idle
1734375798.6590536,88.411,idle
1734375798.661337,88.411,idle
1734375798.6635144,88.411,idle
1734375798.665693,88.411,idle
1734375798.6678836,88.411,idle
1734375798.6700678,88.411,idle
1734375798.672257,88.411,idle
1734375798.6744409,88.411,idle
1734375798.676618,88.411,idle
1734375798.6787913,88.411,idle
1734375798.6809132,88.411,idle
1734375798.6830382,88.411,idle
1734375798.685219,88.411,idle
1734375798.6873915,88.411,idle
1734375798.6895275,88.411,idle
1734375798.6917148,88.411,idle
1734375798.6938818,88.411,idle
1734375798.6962156,88.411,idle
1734375798.6984937,88.411,idle
1734375798.7006931,88.411,idle
1734375798.7028716,88.411,idle
1734375798.705083,88.411,idle
1734375798.707375,88.411,idle
1734375798.7095594,88.411,idle
1734375798.711747,88.411,idle
1734375798.713936,88.411,idle
1734375798.716164,88.411,idle
1734375798.7183518,88.411,idle
1734375798.720542,88.411,idle
1734375798.7227707,88.411,idle
1734375798.7250905,88.411,idle
1734375798.7274077,88.411,idle
1734375798.729681,88.411,idle
1734375798.731805,88.411,idle
1734375798.733942,88.411,idle
1734375798.736155,88.411,idle
1734375798.738437,88.411,idle
1734375798.7406178,88.411,idle
1734375798.742761,88.411,idle
1734375798.744967,88.411,idle
1734375798.7472718,88.411,idle
1734375798.7494698,88.411,idle
1734375798.7515972,88.411,idle
1734375798.7537286,88.411,idle
1734375798.7558565,88.411,idle
1734375798.7580376,88.411,idle
1734375798.7601905,88.411,idle
1734375798.7623134,88.411,idle
1734375798.7644534,88.411,idle
1734375798.766665,88.411,idle
1734375798.7688513,88.411,idle
1734375798.7709763,88.411,idle
1734375798.7730656,88.411,idle
1734375798.7751849,88.411,idle
1734375798.777387,88.411,idle
1734375798.780687,88.411,idle
1734375798.7828815,88.411,to_device
1734375798.7850702,88.411,to_device
1734375798.7873216,88.362,forward
1734375798.789515,88.362,forward
1734375798.7917027,88.362,forward
1734375798.793892,88.616,forward
1734375798.7960804,88.616,forward
1734375798.7983108,88.616,forward
1734375798.8005326,88.616,forward
1734375798.8027394,88.616,forward
1734375798.804939,88.616,forward
1734375798.8071475,88.616,forward
1734375798.8093452,88.616,forward
