power.draw [W]
20.08 W
20.08 W
20.08 W
20.08 W
20.08 W
20.08 W
20.08 W
20.08 W
30.84 W
30.84 W
30.84 W
30.84 W
30.84 W
30.84 W
30.84 W
30.84 W
30.84 W
30.84 W
34.97 W
34.97 W
34.97 W
34.97 W
34.97 W
34.97 W
34.97 W
34.97 W
34.97 W
34.97 W
38.48 W
38.48 W
38.48 W
38.48 W
38.48 W
38.48 W
38.48 W
38.48 W
38.48 W
38.48 W
41.47 W
41.47 W
41.47 W
41.47 W
41.47 W
41.47 W
41.47 W
41.47 W
41.47 W
44.07 W
44.07 W
44.07 W
44.07 W
44.07 W
44.07 W
44.07 W
44.07 W
44.07 W
44.07 W
46.35 W
46.35 W
46.35 W
46.35 W
46.35 W
46.35 W
46.35 W
46.35 W
46.35 W
46.35 W
48.35 W
48.35 W
48.35 W
48.35 W
48.35 W
48.35 W
48.35 W
48.35 W
48.35 W
76.55 W
76.55 W
76.55 W
76.55 W
76.55 W
76.55 W
76.55 W
76.55 W
76.55 W
76.55 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
78.80 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
80.58 W
