timestamp,power_in_watts,step
1736173145.1523595,15.179,idle
1736173145.2110672,17.447,idle
1736173145.270997,17.447,idle
1736173145.2736,17.447,idle
1736173145.2756824,17.447,idle
1736173145.2777495,17.447,idle
1736173145.279824,17.447,idle
1736173145.2818966,17.447,idle
1736173145.283969,17.447,idle
1736173145.2860413,17.447,idle
1736173145.2881134,17.447,idle
1736173145.2901857,17.447,idle
1736173145.3508754,19.81,idle
1736173145.4113784,21.473,idle
1736173145.4149468,21.473,idle
1736173145.41703,21.473,idle
1736173145.419112,21.473,idle
1736173145.421193,21.473,idle
1736173145.4232795,21.473,idle
1736173145.4253705,21.473,idle
1736173145.4274502,21.473,idle
1736173145.4295304,21.473,idle
1736173145.43161,21.473,idle
1736173145.4336865,21.473,idle
1736173145.4357514,21.473,idle
1736173145.437828,21.473,idle
1736173145.439904,21.473,idle
1736173145.4419808,21.473,idle
1736173145.4440577,21.473,idle
1736173145.4461348,21.473,idle
1736173145.4482117,21.473,idle
1736173145.450289,21.473,idle
1736173145.4523935,21.473,idle
1736173145.4544735,21.473,idle
1736173145.456553,21.473,idle
1736173145.4586349,21.473,idle
1736173145.46073,21.473,to_device
1736173145.4628367,21.473,to_device
1736173145.464938,21.473,forward
1736173145.4670146,21.473,forward
1736173145.469092,21.473,forward
1736173145.471168,21.473,forward
1736173145.4732442,21.473,forward
1736173145.4753244,21.473,forward
1736173145.4774036,21.473,forward
1736173145.4794822,21.473,forward
1736173145.481559,21.473,forward
1736173145.4836383,21.473,forward
1736173145.485715,21.473,forward
1736173145.4877496,21.473,forward
1736173145.4898283,23.089,forward
1736173145.4919074,23.089,forward
1736173145.4939847,23.089,forward
1736173145.496062,23.089,forward
1736173145.4981437,23.089,forward
1736173145.5002208,23.089,forward
1736173145.502297,23.089,forward
1736173145.5043733,23.089,forward
1736173145.5064504,23.089,forward
1736173145.5085266,23.089,forward
1736173145.5106025,23.089,forward
1736173145.5126786,23.089,forward
1736173145.5147552,23.089,forward
1736173145.5168324,23.089,forward
1736173145.5189157,23.089,forward
1736173145.5209925,23.089,forward
1736173145.5230682,23.089,forward
1736173145.525143,23.089,forward
1736173145.527215,23.089,forward
1736173145.5292876,23.089,forward
1736173145.531365,23.089,forward
1736173145.5334451,23.089,forward
1736173145.5355258,23.089,forward
1736173145.5376096,23.089,forward
1736173145.5396905,23.089,forward
1736173145.5417922,23.089,forward
1736173145.543901,23.089,forward
1736173145.5460043,23.089,forward
1736173145.548115,23.089,forward
1736173145.550213,23.089,forward
1736173145.5523171,23.089,forward
1736173145.5544302,23.089,forward
1736173145.5565462,23.089,forward
1736173145.5586572,23.089,forward
1736173145.560762,23.089,forward
1736173145.5628784,23.089,forward
1736173145.5649946,23.089,forward
1736173145.5671046,23.089,forward
1736173145.569203,23.089,forward
