0,1,2,3,4
"{'Conv2d': [1736173147.6901343, 1736173147.691613, 0.06898596], 'ReLU': [1736173148.1630623, 1736173148.163089, 0.00125263], 'MaxPool2d': [1736173147.6916523, 1736173147.6916978, 0.00212453], 'AdaptiveAvgPool2d': [1736173147.6917078, 1736173147.7384887, 2.18251259], 'Flatten': [1736173147.7384927, 1736173147.7385802, 0.00408221], 'Linear': [1736173148.1631172, 1736173148.2137725, 2.37786865], 'Dropout': [1736173148.16309, 1736173148.1631162, 0.00123026]}","{'Conv2d': [1736173165.8656077, 1736173165.8663805, 0.07973488], 'ReLU': [1736173165.8675244, 1736173165.8675432, 0.00194355], 'MaxPool2d': [1736173165.866413, 1736173165.8664591, 0.00474817], 'AdaptiveAvgPool2d': [1736173165.866467, 1736173165.8666265, 0.0164587], 'Flatten': [1736173165.8666294, 1736173165.8666508, 0.00221417], 'Linear': [1736173165.8675616, 1736173165.8676078, 0.00477278], 'Dropout': [1736173165.8675435, 1736173165.8675609, 0.00179594]}","{'Conv2d': [1736173181.7857747, 1736173181.7865505, 0.08175218], 'ReLU': [1736173181.787681, 1736173181.7877002, 0.00200989], 'MaxPool2d': [1736173181.7865825, 1736173181.7866263, 0.00462274], 'AdaptiveAvgPool2d': [1736173181.786633, 1736173181.7867932, 0.01688306], 'Flatten': [1736173181.7867963, 1736173181.7868164, 0.00211038], 'Linear': [1736173181.7877226, 1736173181.787769, 0.0048991], 'Dropout': [1736173181.7877007, 1736173181.7877219, 0.002236]}","{'Conv2d': [1736173197.7963066, 1736173197.7970748, 0.08042356], 'ReLU': [1736173197.798192, 1736173197.7982092, 0.00179717], 'MaxPool2d': [1736173197.7971056, 1736173197.7971482, 0.00446798], 'AdaptiveAvgPool2d': [1736173197.7971575, 1736173197.7973163, 0.01662386], 'Flatten': [1736173197.7973192, 1736173197.7973397, 0.00214663], 'Linear': [1736173197.7982266, 1736173197.798267, 0.00421837], 'Dropout': [1736173197.79821, 1736173197.798226, 0.00169733]}","{'Conv2d': [1736173213.9784248, 1736173213.9791949, 0.08085812], 'ReLU': [1736173213.9803205, 1736173213.9803386, 0.00190254], 'MaxPool2d': [1736173213.9792285, 1736173213.9792705, 0.00440589], 'AdaptiveAvgPool2d': [1736173213.9792747, 1736173213.979439, 0.01724806], 'Flatten': [1736173213.9794416, 1736173213.979462, 0.00212785], 'Linear': [1736173213.980357, 1736173213.980411, 0.0056826], 'Dropout': [1736173213.9803393, 1736173213.9803567, 0.00182744]}"
"{'Conv2d': [1736173149.8688767, 1736173149.8696396, 0.03620834], 'ReLU': [1736173149.870638, 1736173149.8706582, 0.00096178], 'MaxPool2d': [1736173149.8696718, 1736173149.8697145, 0.0020254], 'AdaptiveAvgPool2d': [1736173149.8697152, 1736173149.8698506, 0.00642698], 'Flatten': [1736173149.8698514, 1736173149.8698654, 0.00066759], 'Linear': [1736173149.870678, 1736173149.8707125, 0.00164069], 'Dropout': [1736173149.8706586, 1736173149.8706775, 0.00089389]}","{'Conv2d': [1736173165.8979588, 1736173165.89872, 0.07481234], 'ReLU': [1736173165.8996632, 1736173165.8996766, 0.00131209], 'MaxPool2d': [1736173165.89875, 1736173165.8987908, 0.00400655], 'AdaptiveAvgPool2d': [1736173165.8987918, 1736173165.8989289, 0.01347231], 'Flatten': [1736173165.8989296, 1736173165.8989413, 0.00114808], 'Linear': [1736173165.899693, 1736173165.8997197, 0.00262417], 'Dropout': [1736173165.8996773, 1736173165.8996928, 0.00152296]}","{'Conv2d': [1736173181.8183262, 1736173181.8190885, 0.08032014], 'ReLU': [1736173181.820062, 1736173181.8200753, 0.00140692], 'MaxPool2d': [1736173181.8191185, 1736173181.8191588, 0.00424589], 'AdaptiveAvgPool2d': [1736173181.81916, 1736173181.8193007, 0.01482292], 'Flatten': [1736173181.8193014, 1736173181.8193138, 0.00130643], 'Linear': [1736173181.820092, 1736173181.8201194, 0.00288921], 'Dropout': [1736173181.8200758, 1736173181.8200917, 0.00168328]}","{'Conv2d': [1736173197.828366, 1736173197.8291252, 0.07947505], 'ReLU': [1736173197.8300498, 1736173197.8300636, 0.00144772], 'MaxPool2d': [1736173197.829156, 1736173197.829196, 0.00419341], 'AdaptiveAvgPool2d': [1736173197.8291965, 1736173197.829331, 0.01407787], 'Flatten': [1736173197.8293316, 1736173197.829342, 0.00107331], 'Linear': [1736173197.8300807, 1736173197.830106, 0.00264584], 'Dropout': [1736173197.830064, 1736173197.8300803, 0.00169733]}","{'Conv2d': [1736173214.0107007, 1736173214.01146, 0.07973161], 'ReLU': [1736173214.0123844, 1736173214.0123978, 0.00140187], 'MaxPool2d': [1736173214.0114918, 1736173214.011532, 0.00423066], 'AdaptiveAvgPool2d': [1736173214.0115328, 1736173214.0116684, 0.01424405], 'Flatten': [1736173214.0116692, 1736173214.0116804, 0.00117657], 'Linear': [1736173214.0124142, 1736173214.0124414, 0.00285382], 'Dropout': [1736173214.0123982, 1736173214.0124137, 0.00162718]}"
"{'Conv2d': [1736173149.9243605, 1736173149.9251225, 0.0369746], 'ReLU': [1736173149.9260771, 1736173149.926093, 0.00077512], 'MaxPool2d': [1736173149.9251544, 1736173149.925196, 0.00201301], 'AdaptiveAvgPool2d': [1736173149.9251966, 1736173149.9253275, 0.00635139], 'Flatten': [1736173149.9253285, 1736173149.9253402, 0.00056688], 'Linear': [1736173149.9261124, 1736173149.9261408, 0.00137671], 'Dropout': [1736173149.9260938, 1736173149.926112, 0.00087925]}","{'Conv2d': [1736173165.9278197, 1736173165.9285786, 0.07457804], 'ReLU': [1736173165.9295037, 1736173165.9295173, 0.00133552], 'MaxPool2d': [1736173165.9286082, 1736173165.9286482, 0.00393626], 'AdaptiveAvgPool2d': [1736173165.928649, 1736173165.9287832, 0.01319115], 'Flatten': [1736173165.928784, 1736173165.9287953, 0.00112465], 'Linear': [1736173165.9295347, 1736173165.9295616, 0.0026476], 'Dropout': [1736173165.9295177, 1736173165.9295342, 0.00161668]}","{'Conv2d': [1736173181.8497314, 1736173181.8505106, 0.08210391], 'ReLU': [1736173181.851462, 1736173181.8514764, 0.00153254], 'MaxPool2d': [1736173181.8505447, 1736173181.8505883, 0.00459762], 'AdaptiveAvgPool2d': [1736173181.8505893, 1736173181.8507268, 0.01449632], 'Flatten': [1736173181.8507273, 1736173181.8507385, 0.00118081], 'Linear': [1736173181.8514943, 1736173181.8515222, 0.00293946], 'Dropout': [1736173181.851477, 1736173181.8514938, 0.00178378]}","{'Conv2d': [1736173197.8581457, 1736173197.858905, 0.07950001], 'ReLU': [1736173197.8598187, 1736173197.8598359, 0.00179717], 'MaxPool2d': [1736173197.858937, 1736173197.8589776, 0.00424333], 'AdaptiveAvgPool2d': [1736173197.858978, 1736173197.859111, 0.0139281], 'Flatten': [1736173197.8591118, 1736173197.8591216, 0.00102339], 'Linear': [1736173197.859854, 1736173197.8598819, 0.00292041], 'Dropout': [1736173197.8598363, 1736173197.8598535, 0.00179717]}","{'Conv2d': [1736173214.0405576, 1736173214.0413144, 0.07945625], 'ReLU': [1736173214.042234, 1736173214.042249, 0.00157711], 'MaxPool2d': [1736173214.041345, 1736173214.041385, 0.00420562], 'AdaptiveAvgPool2d': [1736173214.041386, 1736173214.04152, 0.01409385], 'Flatten': [1736173214.0415206, 1736173214.041531, 0.00110147], 'Linear': [1736173214.0422668, 1736173214.0422928, 0.00272865], 'Dropout': [1736173214.0422494, 1736173214.0422664, 0.00177738]}"
"{'Conv2d': [1736173149.955125, 1736173149.9558842, 0.03683577], 'ReLU': [1736173149.9568172, 1736173149.9568355, 0.00089081], 'MaxPool2d': [1736173149.9559188, 1736173149.9559658, 0.0022791], 'AdaptiveAvgPool2d': [1736173149.9559665, 1736173149.9560943, 0.006201], 'Flatten': [1736173149.956095, 1736173149.9561057, 0.00052061], 'Linear': [1736173149.956855, 1736173149.956883, 0.00135358], 'Dropout': [1736173149.956836, 1736173149.9568546, 0.00090238]}","{'Conv2d': [1736173165.9575157, 1736173165.9582753, 0.07464833], 'ReLU': [1736173165.959204, 1736173165.959217, 0.00128866], 'MaxPool2d': [1736173165.958305, 1736173165.9583445, 0.0038894], 'AdaptiveAvgPool2d': [1736173165.9583452, 1736173165.958478, 0.01305057], 'Flatten': [1736173165.9584792, 1736173165.9584894, 0.00100749], 'Linear': [1736173165.959234, 1736173165.95926, 0.00255388], 'Dropout': [1736173165.9592175, 1736173165.9592335, 0.00156982]}","{'Conv2d': [1736173181.8796759, 1736173181.880435, 0.0811641], 'ReLU': [1736173181.881352, 1736173181.8813658, 0.00147849], 'MaxPool2d': [1736173181.8804648, 1736173181.880505, 0.00430802], 'AdaptiveAvgPool2d': [1736173181.8805058, 1736173181.8806403, 0.01437706], 'Flatten': [1736173181.880641, 1736173181.8806517, 0.00114711], 'Linear': [1736173181.8813822, 1736173181.8814077, 0.00272756], 'Dropout': [1736173181.8813663, 1736173181.8813818, 0.00165693]}","{'Conv2d': [1736173197.8878865, 1736173197.8886485, 0.08041693], 'ReLU': [1736173197.8895636, 1736173197.8895764, 0.00135873], 'MaxPool2d': [1736173197.8886795, 1736173197.888719, 0.00417685], 'AdaptiveAvgPool2d': [1736173197.8887196, 1736173197.888854, 0.01419122], 'Flatten': [1736173197.8888545, 1736173197.8888648, 0.00108195], 'Linear': [1736173197.8895924, 1736173197.8896177, 0.00266714], 'Dropout': [1736173197.889577, 1736173197.8895922, 0.00161035]}","{'Conv2d': [1736173214.0703938, 1736173214.0711513, 0.08088265], 'ReLU': [1736173214.072075, 1736173214.072088, 0.00140023], 'MaxPool2d': [1736173214.071181, 1736173214.0712202, 0.00417525], 'AdaptiveAvgPool2d': [1736173214.0712209, 1736173214.071357, 0.01453698], 'Flatten': [1736173214.0713575, 1736173214.0713677, 0.00109473], 'Linear': [1736173214.0721042, 1736173214.0721302, 0.00277501], 'Dropout': [1736173214.0720885, 1736173214.072104, 0.00165482]}"
"{'Conv2d': [1736173149.9859586, 1736173149.9867206, 0.04206114], 'ReLU': [1736173149.9876432, 1736173149.9876578, 0.00084351], 'MaxPool2d': [1736173149.986752, 1736173149.9867942, 0.00241208], 'AdaptiveAvgPool2d': [1736173149.986795, 1736173149.9869215, 0.00728493], 'Flatten': [1736173149.9869223, 1736173149.9869328, 0.00060693], 'Linear': [1736173149.9876764, 1736173149.987703, 0.00154874], 'Dropout': [1736173149.9876583, 1736173149.987676, 0.00102327]}","{'Conv2d': [1736173165.9875, 1736173165.988259, 0.07589046], 'ReLU': [1736173165.9891713, 1736173165.989184, 0.00126325], 'MaxPool2d': [1736173165.9882944, 1736173165.9883347, 0.00402811], 'AdaptiveAvgPool2d': [1736173165.988335, 1736173165.988464, 0.01291854], 'Flatten': [1736173165.9884646, 1736173165.988474, 0.00092956], 'Linear': [1736173165.9891999, 1736173165.9892251, 0.0025265], 'Dropout': [1736173165.9891846, 1736173165.9891994, 0.00147777]}","{'Conv2d': [1736173181.9098454, 1736173181.9106042, 0.08113861], 'ReLU': [1736173181.911515, 1736173181.911528, 0.00140202], 'MaxPool2d': [1736173181.9106336, 1736173181.910673, 0.00420605], 'AdaptiveAvgPool2d': [1736173181.9106734, 1736173181.9108043, 0.01399469], 'Flatten': [1736173181.9108047, 1736173181.910814, 0.00099416], 'Linear': [1736173181.9115448, 1736173181.9115694, 0.0026256], 'Dropout': [1736173181.9115286, 1736173181.9115443, 0.00168242]}","{'Conv2d': [1736173197.9181929, 1736173197.9189517, 0.08008983], 'ReLU': [1736173197.919865, 1736173197.9198794, 0.00153487], 'MaxPool2d': [1736173197.9189837, 1736173197.919024, 0.00425233], 'AdaptiveAvgPool2d': [1736173197.9190245, 1736173197.9191566, 0.01393961], 'Flatten': [1736173197.919157, 1736173197.9191673, 0.00108195], 'Linear': [1736173197.9198964, 1736173197.9199224, 0.00274263], 'Dropout': [1736173197.91988, 1736173197.919896, 0.00168584]}","{'Conv2d': [1736173214.101761, 1736173214.102522, 0.08123907], 'ReLU': [1736173214.103445, 1736173214.1034584, 0.00142569], 'MaxPool2d': [1736173214.1025574, 1736173214.1025972, 0.00425162], 'AdaptiveAvgPool2d': [1736173214.1025977, 1736173214.10273, 0.01412964], 'Flatten': [1736173214.1027305, 1736173214.10274, 0.00101835], 'Linear': [1736173214.1034746, 1736173214.1035008, 0.00280047], 'Dropout': [1736173214.103459, 1736173214.1034744, 0.00165482]}"
"{'Conv2d': [1736173150.0174332, 1736173150.0181596, 0.04213404], 'ReLU': [1736173150.019063, 1736173150.0190785, 0.00089882], 'MaxPool2d': [1736173150.0181904, 1736173150.01823, 0.00229545], 'AdaptiveAvgPool2d': [1736173150.0182307, 1736173150.0183523, 0.0070523], 'Flatten': [1736173150.0183532, 1736173150.0183632, 0.00058078], 'Linear': [1736173150.0191011, 1736173150.0191278, 0.00154874], 'Dropout': [1736173150.019079, 1736173150.0191007, 0.00125835]}","{'Conv2d': [1736173166.0181382, 1736173166.018896, 0.07577129], 'ReLU': [1736173166.0198202, 1736173166.0198412, 0.00209748], 'MaxPool2d': [1736173166.0189257, 1736173166.0189655, 0.00398044], 'AdaptiveAvgPool2d': [1736173166.018966, 1736173166.019096, 0.01299004], 'Flatten': [1736173166.0190964, 1736173166.0191061, 0.00097723], 'Linear': [1736173166.01986, 1736173166.019889, 0.00290786], 'Dropout': [1736173166.019842, 1736173166.0198598, 0.00178762]}","{'Conv2d': [1736173181.940777, 1736173181.9415355, 0.08108763], 'ReLU': [1736173181.9424808, 1736173181.9424942, 0.00142751], 'MaxPool2d': [1736173181.941565, 1736173181.9416046, 0.00423155], 'AdaptiveAvgPool2d': [1736173181.941605, 1736173181.9417362, 0.01402018], 'Flatten': [1736173181.9417367, 1736173181.9417777, 0.00438449], 'Linear': [1736173181.9425106, 1736173181.9425352, 0.0026256], 'Dropout': [1736173181.9424946, 1736173181.9425104, 0.00168242]}","{'Conv2d': [1736173197.9493656, 1736173197.950124, 0.08003951], 'ReLU': [1736173197.951042, 1736173197.9510555, 0.00143422], 'MaxPool2d': [1736173197.9501555, 1736173197.9501963, 0.00430266], 'AdaptiveAvgPool2d': [1736173197.9501967, 1736173197.9503295, 0.01401509], 'Flatten': [1736173197.95033, 1736173197.9503405, 0.00110712], 'Linear': [1736173197.9510717, 1736173197.951097, 0.00266714], 'Dropout': [1736173197.9510562, 1736173197.9510715, 0.00161035]}","{'Conv2d': [1736173214.1326523, 1736173214.1334105, 0.08095902], 'ReLU': [1736173214.1343338, 1736173214.134348, 0.00150207], 'MaxPool2d': [1736173214.1334403, 1736173214.133481, 0.00435346], 'AdaptiveAvgPool2d': [1736173214.1334815, 1736173214.133614, 0.0141551], 'Flatten': [1736173214.1336145, 1736173214.1336243, 0.00104381], 'Linear': [1736173214.134366, 1736173214.1343915, 0.00272409], 'Dropout': [1736173214.1343486, 1736173214.1343656, 0.00180758]}"
"{'Conv2d': [1736173150.0473993, 1736173150.0481284, 0.04228614], 'ReLU': [1736173150.0490403, 1736173150.049056, 0.00091265], 'MaxPool2d': [1736173150.0481598, 1736173150.0482001, 0.00233694], 'AdaptiveAvgPool2d': [1736173150.0482004, 1736173150.048322, 0.0070523], 'Flatten': [1736173150.0483227, 1736173150.0483327, 0.00058078], 'Linear': [1736173150.0490744, 1736173150.049101, 0.00154874], 'Dropout': [1736173150.0490565, 1736173150.0490742, 0.00102327]}","{'Conv2d': [1736173166.0480947, 1736173166.0488513, 0.07562828], 'ReLU': [1736173166.0497754, 1736173166.0497923, 0.00169228], 'MaxPool2d': [1736173166.0488818, 1736173166.048921, 0.00393277], 'AdaptiveAvgPool2d': [1736173166.0489216, 1736173166.0490506, 0.0128947], 'Flatten': [1736173166.049051, 1736173166.0490603, 0.00092956], 'Linear': [1736173166.0498106, 1736173166.0498402, 0.00295553], 'Dropout': [1736173166.0497928, 1736173166.0498102, 0.00173995]}","{'Conv2d': [1736173181.9714215, 1736173181.9722009, 0.08333086], 'ReLU': [1736173181.9731376, 1736173181.9731507, 0.00140202], 'MaxPool2d': [1736173181.9722354, 1736173181.9722798, 0.00474137], 'AdaptiveAvgPool2d': [1736173181.9722805, 1736173181.9724162, 0.01450451], 'Flatten': [1736173181.972417, 1736173181.9724307, 0.001453], 'Linear': [1736173181.9731672, 1736173181.973195, 0.00298247], 'Dropout': [1736173181.9731512, 1736173181.9731667, 0.00165693]}","{'Conv2d': [1736173197.9794548, 1736173197.980214, 0.08147891], 'ReLU': [1736173197.9811413, 1736173197.9811544, 0.00140701], 'MaxPool2d': [1736173197.9802458, 1736173197.980286, 0.00429779], 'AdaptiveAvgPool2d': [1736173197.9802861, 1736173197.9804192, 0.0142748], 'Flatten': [1736173197.9804199, 1736173197.9804304, 0.00112561], 'Linear': [1736173197.9811752, 1736173197.9812002, 0.00268612], 'Dropout': [1736173197.981155, 1736173197.981175, 0.00214889]}","{'Conv2d': [1736173214.162394, 1736173214.163153, 0.0810354], 'ReLU': [1736173214.1640618, 1736173214.1640747, 0.00137478], 'MaxPool2d': [1736173214.1631827, 1736173214.1632223, 0.00422616], 'AdaptiveAvgPool2d': [1736173214.1632228, 1736173214.1633544, 0.01405326], 'Flatten': [1736173214.1633549, 1736173214.163364, 0.00096743], 'Linear': [1736173214.164091, 1736173214.1641219, 0.00328419], 'Dropout': [1736173214.1640754, 1736173214.1640909, 0.00165482]}"
"{'Conv2d': [1736173150.0769446, 1736173150.0776656, 0.04181599], 'ReLU': [1736173150.078589, 1736173150.078604, 0.00087117], 'MaxPool2d': [1736173150.0776951, 1736173150.0777357, 0.00235077], 'AdaptiveAvgPool2d': [1736173150.0777361, 1736173150.0778902, 0.00893291], 'Flatten': [1736173150.0778909, 1736173150.0779018, 0.00063609], 'Linear': [1736173150.0786226, 1736173150.0786483, 0.00149343], 'Dropout': [1736173150.0786045, 1736173150.078622, 0.00102327]}","{'Conv2d': [1736173166.0779371, 1736173166.078697, 0.07596197], 'ReLU': [1736173166.079596, 1736173166.0796092, 0.00131092], 'MaxPool2d': [1736173166.0787263, 1736173166.078766, 0.00398044], 'AdaptiveAvgPool2d': [1736173166.0787666, 1736173166.0788958, 0.01291854], 'Flatten': [1736173166.0788963, 1736173166.0789053, 0.00090573], 'Linear': [1736173166.0796251, 1736173166.0796494, 0.00243116], 'Dropout': [1736173166.0796094, 1736173166.0796247, 0.00152544]}","{'Conv2d': [1736173182.0011046, 1736173182.001867, 0.08350109], 'ReLU': [1736173182.0027702, 1736173182.002784, 0.0015144], 'MaxPool2d': [1736173182.0018966, 1736173182.0019362, 0.00433433], 'AdaptiveAvgPool2d': [1736173182.0019367, 1736173182.0020666, 0.01423017], 'Flatten': [1736173182.0020676, 1736173182.0020766, 0.0009922], 'Linear': [1736173182.002801, 1736173182.0028265, 0.00279381], 'Dropout': [1736173182.0027845, 1736173182.0028007, 0.00177551]}","{'Conv2d': [1736173198.009604, 1736173198.0103607, 0.08119751], 'ReLU': [1736173198.0112834, 1736173198.0112967, 0.0014326], 'MaxPool2d': [1736173198.0103903, 1736173198.0104306, 0.00432337], 'AdaptiveAvgPool2d': [1736173198.010431, 1736173198.010564, 0.0142748], 'Flatten': [1736173198.0105653, 1736173198.0105774, 0.00130469], 'Linear': [1736173198.0113132, 1736173198.0113382, 0.00268612], 'Dropout': [1736173198.011297, 1736173198.0113127, 0.00168842]}","{'Conv2d': [1736173214.19323, 1736173214.1939867, 0.08259596], 'ReLU': [1736173214.1948962, 1736173214.1949108, 0.00158738], 'MaxPool2d': [1736173214.1940162, 1736173214.194056, 0.00434579], 'AdaptiveAvgPool2d': [1736173214.1940565, 1736173214.1941874, 0.01428645], 'Flatten': [1736173214.1941884, 1736173214.1941974, 0.00098886], 'Linear': [1736173214.194928, 1736173214.194954, 0.00283647], 'Dropout': [1736173214.1949112, 1736173214.1949275, 0.00176954]}"
"{'Conv2d': [1736173150.1074634, 1736173150.1081822, 0.05098891], 'ReLU': [1736173150.1090767, 1736173150.109092, 0.00108235], 'MaxPool2d': [1736173150.108212, 1736173150.108251, 0.00277353], 'AdaptiveAvgPool2d': [1736173150.1082513, 1736173150.1083713, 0.00850661], 'Flatten': [1736173150.108372, 1736173150.1083822, 0.00072721], 'Linear': [1736173150.1091106, 1736173150.1091366, 0.00184338], 'Dropout': [1736173150.1090927, 1736173150.10911, 0.00123456]}","{'Conv2d': [1736173166.1080122, 1736173166.1087701, 0.07771159], 'ReLU': [1736173166.1096718, 1736173166.1096847, 0.00132005], 'MaxPool2d': [1736173166.1087995, 1736173166.1088388, 0.00403347], 'AdaptiveAvgPool2d': [1736173166.1088395, 1736173166.1089678, 0.01315157], 'Flatten': [1736173166.1089685, 1736173166.1089773, 0.00090448], 'Linear': [1736173166.109701, 1736173166.1097257, 0.00254231], 'Dropout': [1736173166.1096852, 1736173166.1097004, 0.0015645]}","{'Conv2d': [1736173182.0311391, 1736173182.0318968, 0.08297889], 'ReLU': [1736173182.0327992, 1736173182.0328135, 0.00156662], 'MaxPool2d': [1736173182.0319269, 1736173182.0319667, 0.00436044], 'AdaptiveAvgPool2d': [1736173182.0319672, 1736173182.0320966, 0.01417795], 'Flatten': [1736173182.032097, 1736173182.032106, 0.00096609], 'Linear': [1736173182.0328305, 1736173182.0328562, 0.00281992], 'Dropout': [1736173182.032814, 1736173182.03283, 0.0017494]}","{'Conv2d': [1736173198.039713, 1736173198.0404713, 0.08137658], 'ReLU': [1736173198.0413797, 1736173198.041393, 0.0014326], 'MaxPool2d': [1736173198.0405014, 1736173198.0405412, 0.00427221], 'AdaptiveAvgPool2d': [1736173198.0405414, 1736173198.0406728, 0.01409572], 'Flatten': [1736173198.0406733, 1736173198.0406826, 0.0009977], 'Linear': [1736173198.0414095, 1736173198.0414345, 0.00268612], 'Dropout': [1736173198.0413938, 1736173198.041409, 0.00163725]}","{'Conv2d': [1736173214.2253516, 1736173214.2261083, 0.08259596], 'ReLU': [1736173214.2270212, 1736173214.2270346, 0.00145727], 'MaxPool2d': [1736173214.226138, 1736173214.226178, 0.00434579], 'AdaptiveAvgPool2d': [1736173214.2261786, 1736173214.2263103, 0.01436452], 'Flatten': [1736173214.226311, 1736173214.2263246, 0.00148329], 'Linear': [1736173214.227051, 1736173214.2270763, 0.0027584], 'Dropout': [1736173214.227035, 1736173214.2270508, 0.0017175]}"
"{'Conv2d': [1736173150.1379077, 1736173150.138629, 0.05115803], 'ReLU': [1736173150.1395216, 1736173150.1395373, 0.00111618], 'MaxPool2d': [1736173150.1386578, 1736173150.1386986, 0.00289191], 'AdaptiveAvgPool2d': [1736173150.138699, 1736173150.138819, 0.00850661], 'Flatten': [1736173150.13882, 1736173150.1388335, 0.00096397], 'Linear': [1736173150.1395566, 1736173150.1395829, 0.00186029], 'Dropout': [1736173150.1395378, 1736173150.1395562, 0.0013022]}","{'Conv2d': [1736173166.1380172, 1736173166.1387715, 0.07734491], 'ReLU': [1736173166.139685, 1736173166.1396995, 0.00149116], 'MaxPool2d': [1736173166.1388009, 1736173166.1388407, 0.00408236], 'AdaptiveAvgPool2d': [1736173166.1388412, 1736173166.1389694, 0.01315157], 'Flatten': [1736173166.1389701, 1736173166.138979, 0.00090448], 'Linear': [1736173166.1397166, 1736173166.1397424, 0.00264009], 'Dropout': [1736173166.1397, 1736173166.1397161, 0.00166228]}","{'Conv2d': [1736173182.0610538, 1736173182.0618117, 0.083005], 'ReLU': [1736173182.062717, 1736173182.0627294, 0.00135774], 'MaxPool2d': [1736173182.0618415, 1736173182.061881, 0.00433433], 'AdaptiveAvgPool2d': [1736173182.0618815, 1736173182.0620108, 0.01415184], 'Flatten': [1736173182.0620115, 1736173182.0620203, 0.00096609], 'Linear': [1736173182.0627499, 1736173182.0627756, 0.00281992], 'Dropout': [1736173182.06273, 1736173182.0627449, 0.00161885]}","{'Conv2d': [1736173198.0716374, 1736173198.0724, 0.08278478], 'ReLU': [1736173198.0733204, 1736173198.073335, 0.00159737], 'MaxPool2d': [1736173198.0724297, 1736173198.0724692, 0.0043164], 'AdaptiveAvgPool2d': [1736173198.0724697, 1736173198.0726004, 0.01426283], 'Flatten': [1736173198.0726008, 1736173198.0726104, 0.0010419], 'Linear': [1736173198.0733523, 1736173198.0733776, 0.00277577], 'Dropout': [1736173198.0733356, 1736173198.0733519, 0.00178068]}","{'Conv2d': [1736173214.2553315, 1736173214.2560878, 0.08254392], 'ReLU': [1736173214.2570064, 1736173214.25702, 0.00148329], 'MaxPool2d': [1736173214.256118, 1736173214.256163, 0.00489226], 'AdaptiveAvgPool2d': [1736173214.2561634, 1736173214.2562945, 0.01431247], 'Flatten': [1736173214.256295, 1736173214.256304, 0.00098886], 'Linear': [1736173214.2570367, 1736173214.257062, 0.0027584], 'Dropout': [1736173214.2570205, 1736173214.2570362, 0.0017175]}"
