timestamp,power_in_watts,graphic_clock,memory_clock,sm_clock,step
1736186912.9766152,49.174,2655,10251,2655,idle
1736186913.00097,48.781,2655,10251,2655,idle
1736186913.0133476,48.781,2655,10251,2655,idle
1736186913.0298033,48.781,2655,10251,2655,idle
1736186913.0330734,48.781,2655,10251,2655,idle
1736186913.036075,48.781,2655,10251,2655,idle
1736186913.040341,48.781,2655,10251,2655,idle
1736186913.044089,48.781,2655,10251,2655,idle
1736186913.0474665,48.781,2655,10251,2655,idle
1736186913.050535,48.781,2655,10251,2655,idle
1736186913.0536127,48.781,2655,10251,2655,idle
1736186913.0566838,48.781,2655,10251,2655,idle
1736186913.060733,48.781,2655,10251,2655,idle
1736186913.0638397,48.781,2655,10251,2655,idle
1736186913.0668788,48.781,2655,10251,2655,idle
1736186913.069903,48.781,2655,10251,2655,idle
1736186913.072931,48.781,2655,10251,2655,idle
1736186913.0759676,48.781,2655,10251,2655,idle
1736186913.0832458,48.922,2655,10251,2655,forward
1736186913.086351,48.922,2655,10251,2655,forward
1736186913.0894394,48.922,2655,10251,2655,forward
1736186913.092506,48.922,2655,10251,2655,forward
1736186913.095705,48.922,2655,10251,2655,forward
1736186913.0995376,48.922,2655,10251,2655,forward
1736186913.1032662,48.922,2655,10251,2655,forward
1736186913.1064408,48.922,2655,10251,2655,forward
1736186913.1094668,48.922,2655,10251,2655,forward
1736186913.112491,48.922,2655,10251,2655,forward
1736186913.1155107,48.922,2655,10251,2655,forward
1736186913.11933,48.922,2655,10251,2655,backward
1736186913.123115,48.922,2655,10251,2655,backward
1736186913.1264691,48.922,2655,10251,2655,backward
1736186913.129562,48.922,2655,10251,2655,backward
1736186913.132579,48.922,2655,10251,2655,backward
1736186913.135635,48.922,2655,10251,2655,backward
1736186913.139537,48.922,2655,10251,2655,backward
1736186913.1434102,48.922,2655,10251,2655,backward
1736186913.1465137,48.922,2655,10251,2655,backward
1736186913.149573,48.922,2655,10251,2655,backward
1736186913.1526191,48.922,2655,10251,2655,backward
1736186913.15562,48.922,2655,10251,2655,backward
1736186913.1594765,48.922,2655,10251,2655,backward
1736186913.163269,48.922,2550,10251,2550,backward
1736186913.1683617,48.922,2550,10251,2550,backward
1736186913.171461,48.922,2550,10251,2550,backward
1736186913.1745253,48.922,2550,10251,2550,backward
1736186913.178115,48.922,2550,10251,2550,backward
1736186913.1818967,48.922,2565,10251,2565,idle
1736186913.192914,59.455,2565,10251,2565,forward
1736186913.1959808,59.455,2565,10251,2565,forward
1736186913.2002487,59.455,2565,10251,2565,forward
1736186913.203874,59.455,2715,10251,2715,forward
1736186913.2084594,59.455,2715,10251,2715,forward
1736186913.2115045,59.455,2715,10251,2715,forward
1736186913.2145865,59.455,2715,10251,2655,forward
1736186913.225591,59.455,2655,10251,2655,backward
1736186913.2286549,59.455,2655,10251,2655,backward
1736186913.231707,59.455,2655,10251,2655,backward
1736186913.2347944,59.455,2655,10251,2655,backward
1736186913.238511,59.455,2655,10251,2655,backward
1736186913.2424707,59.455,2655,10251,2655,backward
1736186913.2456374,59.455,2655,10251,2655,backward
1736186913.2487197,59.455,2655,10251,2655,backward
1736186913.2520144,59.455,2655,10251,2655,backward
1736186913.255101,59.455,2655,10251,2655,backward
1736186913.2587626,59.455,2655,10251,2655,backward
1736186913.262642,59.455,2550,10251,2550,backward
1736186913.2679665,59.455,2550,10251,2550,backward
1736186913.2710023,59.455,2550,10251,2550,backward
1736186913.274059,59.455,2550,10251,2550,backward
1736186913.2771046,59.455,2550,10251,2550,backward
1736186913.2810578,59.455,2565,10251,2565,idle
1736186913.2881303,68.719,2565,10251,2565,forward
1736186913.2911837,68.719,2565,10251,2565,forward
1736186913.2942195,68.719,2565,10251,2565,forward
1736186913.2973087,68.719,2565,10251,2565,forward
1736186913.3013928,68.719,2715,10251,2715,forward
1736186913.3080304,68.719,2715,10251,2715,forward
1736186913.311092,68.719,2715,10251,2715,forward
1736186913.3142056,68.719,2715,10251,2715,forward
1736186913.3173814,68.719,2715,10251,2715,forward
1736186913.3209004,68.719,2670,10251,2670,backward
1736186913.3270848,68.719,2670,10251,2670,backward
1736186913.3302715,68.719,2670,10251,2670,backward
1736186913.333267,68.719,2670,10251,2670,backward
1736186913.336305,68.719,2670,10251,2670,backward
1736186913.3402567,68.719,2670,10251,2670,backward
1736186913.3437638,68.719,2670,10251,2670,backward
1736186913.3467522,68.719,2670,10251,2670,backward
1736186913.3497531,68.719,2670,10251,2670,backward
1736186913.3527677,68.719,2670,10251,2670,backward
1736186913.355864,68.719,2670,10251,2745,backward
1736186913.4163876,77.468,2745,10251,2745,forward
1736186913.4202137,77.468,2745,10251,2670,backward
1736186913.4271977,77.468,2670,10251,2670,backward
1736186913.4302795,77.468,2670,10251,2670,backward
1736186913.4333866,77.468,2670,10251,2670,backward
1736186913.4364166,77.468,2670,10251,2670,backward
1736186913.4402628,77.468,2670,10251,2670,backward
1736186913.4459927,77.468,2655,10251,2655,backward
1736186913.4490857,77.468,2655,10251,2655,backward
1736186913.4521658,77.468,2655,10251,2655,backward
1736186913.4552145,77.468,2655,10251,2655,backward
1736186913.459152,77.468,2655,10251,2655,backward
1736186913.463133,77.468,2610,10251,2610,backward
1736186913.4683225,77.468,2610,10251,2610,backward
1736186913.4713538,77.468,2610,10251,2610,backward
1736186913.4744084,77.468,2610,10251,2610,backward
1736186913.4779365,77.468,2610,10251,2610,backward
1736186913.481697,77.468,2520,10251,2520,idle
1736186913.4900565,84.421,2520,10251,2520,forward
1736186913.4931264,84.421,2520,10251,2520,forward
1736186913.4961834,84.421,2520,10251,2700,forward
1736186913.506336,84.421,2700,10251,2700,forward
1736186913.5093477,84.421,2700,10251,2700,forward
1736186913.5123787,84.421,2700,10251,2700,forward
1736186913.5154693,84.421,2700,10251,2700,forward
1736186913.5192332,84.421,2700,10251,2700,forward
1736186913.5229597,84.421,2655,10251,2655,backward
1736186913.5280273,84.421,2655,10251,2655,backward
1736186913.5310943,84.421,2655,10251,2655,backward
1736186913.5341225,84.421,2655,10251,2655,backward
1736186913.5373151,84.421,2655,10251,2655,backward
1736186913.5411124,84.421,2655,10251,2655,backward
1736186913.544244,84.421,2655,10251,2655,backward
1736186913.547278,84.421,2655,10251,2655,backward
1736186913.5502684,84.421,2655,10251,2655,backward
1736186913.5532863,84.421,2655,10251,2655,backward
1736186913.5563052,84.421,2655,10251,2655,backward
1736186913.5602036,84.421,2655,10251,2595,backward
1736186913.566826,84.421,2595,10251,2595,backward
1736186913.5698285,84.421,2595,10251,2595,backward
1736186913.5728464,84.421,2595,10251,2595,backward
1736186913.5758648,84.421,2595,10251,2595,backward
1736186913.5797694,84.421,2595,10251,2595,backward
1736186913.58365,84.421,2595,10251,2490,idle
1736186913.5936632,90.435,2490,10251,2490,forward
1736186913.5967512,90.435,2490,10251,2490,forward
1736186913.6006472,90.435,2685,10251,2685,forward
1736186913.6071813,90.435,2685,10251,2685,forward
1736186913.610222,90.435,2685,10251,2685,forward
1736186913.6132708,90.435,2685,10251,2685,forward
1736186913.6163137,90.435,2685,10251,2685,forward
1736186913.6203463,90.435,2685,10251,2655,forward
