timestamp,power_in_watts,graphic_clock,memory_clock,sm_clock
1736188692.6781864,50.184,2655,10251,2655
1736188692.7487626,50.134,2655,10251,2655
1736188692.7747643,50.134,2655,10251,2655
1736188692.7779455,50.134,2655,10251,2655
1736188692.7809532,50.134,2655,10251,2655
1736188692.7845917,50.134,2655,10251,2655
1736188692.7883568,50.134,2655,10251,2655
1736188692.791916,50.134,2655,10251,2655
1736188692.794917,50.134,2655,10251,2655
1736188692.7979093,50.134,2655,10251,2655
1736188692.8009398,50.134,2655,10251,2655
1736188692.8045824,50.134,2655,10251,2655
1736188692.8084695,50.134,2655,10251,2655
1736188692.8118544,50.134,2655,10251,2655
1736188692.8149304,50.236,2655,10251,2655
1736188692.8181105,50.236,2655,10251,2655
1736188692.821206,50.236,2655,10251,2655
1736188692.8252263,50.236,2655,10251,2655
1736188692.8290756,50.236,2655,10251,2655
1736188692.832306,50.236,2655,10251,2655
1736188692.8353274,50.236,2655,10251,2655
1736188692.8383796,50.236,2655,10251,2655
1736188692.841437,50.236,2655,10251,2655
1736188692.8454323,50.236,2655,10251,2655
1736188692.849195,50.236,2655,10251,2655
1736188692.8525667,50.236,2655,10251,2655
1736188692.855568,50.236,2655,10251,2655
1736188692.858594,50.236,2655,10251,2655
1736188692.8615918,50.236,2655,10251,2655
1736188692.8653588,50.236,2655,10251,2655
1736188692.8692398,50.236,2655,10251,2655
1736188692.8726225,50.236,2655,10251,2655
1736188692.8756478,50.236,2655,10251,2655
1736188692.8787203,50.236,2655,10251,2655
1736188692.8817692,50.236,2655,10251,2655
1736188692.8857484,50.236,2655,10251,2655
1736188692.8894036,50.236,2655,10251,2655
1736188692.9383342,57.569,2655,10251,2655
1736188692.9413817,57.569,2655,10251,2655
1736188692.9452157,57.569,2655,10251,2655
1736188692.949091,57.569,2655,10251,2655
1736188692.9523957,57.569,2655,10251,2655
1736188692.9554446,57.569,2655,10251,2655
1736188692.9585092,57.569,2655,10251,2655
1736188692.961506,57.569,2655,10251,2655
1736188692.9653752,57.569,2655,10251,2655
1736188692.969324,57.569,2655,10251,2655
1736188692.9732058,57.569,2655,10251,2655
1736188692.9762611,57.569,2655,10251,2655
1736188692.9793918,57.569,2655,10251,2655
1736188692.9824371,57.569,2655,10251,2655
1736188692.9862003,57.569,2655,10251,2655
1736188692.9908588,57.569,2655,10251,2655
1736188692.9939597,57.569,2655,10251,2655
1736188692.997002,57.569,2655,10251,2655
1736188693.00004,57.569,2655,10251,2655
1736188693.0032618,57.569,2655,10251,2655
1736188693.00708,57.569,2655,10251,2655
1736188693.011376,57.569,2655,10251,2655
1736188693.0145009,63.954,2655,10251,2655
1736188693.0175362,63.954,2775,10251,2775
1736188693.024332,63.954,2775,10251,2775
1736188693.028337,63.954,2790,10251,2790
1736188693.0341818,63.954,2790,10251,2790
1736188693.0372217,63.954,2790,10251,2790
1736188693.0402782,63.954,2790,10251,2790
1736188693.0435314,63.954,2790,10251,2790
1736188693.0473924,63.954,2790,10251,2790
1736188693.0516202,63.954,2790,10251,2790
1736188693.0546482,63.954,2790,10251,2790
1736188693.0576725,63.954,2790,10251,2790
1736188693.0607672,63.954,2790,10251,2790
1736188693.064422,63.954,2790,10251,2790
1736188693.068346,63.954,2790,10251,2790
1736188693.0718482,63.954,2790,10251,2790
1736188693.0748973,63.954,2790,10251,2790
1736188693.077973,63.954,2790,10251,2790
1736188693.0810487,63.954,2790,10251,2790
1736188693.0847168,63.954,2790,10251,1863
1736188693.0885787,63.954,2790,10251,2790
1736188693.091894,63.954,2790,10251,2790
1736188693.0949786,63.954,2790,10251,2790
1736188693.098049,63.954,2790,10251,2790
1736188693.101092,63.954,2790,10251,2790
1736188693.104869,63.954,2790,10251,2790
1736188693.108853,63.954,2775,10251,2775
1736188693.1143029,91.009,2775,10251,2775
1736188693.1173942,91.009,2775,10251,2775
1736188693.1220222,91.009,2775,10251,2775
1736188693.1258645,91.009,2775,10251,2790
1736188693.1327612,91.009,2790,10251,2790
1736188693.135789,91.009,2790,10251,2790
1736188693.138878,91.009,2790,10251,2790
1736188693.141947,91.009,2790,10251,2790
1736188693.145887,91.009,2790,10251,2790
1736188693.1512332,91.009,2790,10251,2790
1736188693.154326,91.009,2790,10251,2790
1736188693.1573565,91.009,2790,10251,2790
1736188693.1603613,91.009,2790,10251,2790
1736188693.1638978,91.009,2790,10251,2790
1736188693.1676693,91.009,2790,10251,2790
1736188693.1716063,91.009,2790,10251,2790
1736188693.174628,91.009,2790,10251,2790
1736188693.177709,91.009,2790,10251,2790
1736188693.1807466,91.009,2790,10251,2790
1736188693.1844213,91.009,2790,10251,2790
1736188693.188304,91.009,2790,10251,2790
1736188693.1919105,91.009,2790,10251,2790
1736188693.1949923,91.009,2790,10251,2790
1736188693.1980662,91.009,2790,10251,2790
1736188693.201118,91.009,2790,10251,2790
1736188693.2050028,91.009,2790,10251,2790
1736188693.2087443,91.009,2775,10251,2775
1736188693.21424,101.831,2775,10251,2775
1736188693.2173438,101.831,2775,10251,2775
1736188693.2241366,101.831,2775,10251,2775
1736188693.2281542,101.831,2790,10251,2790
1736188693.2338862,101.831,2790,10251,2790
1736188693.23695,101.831,2790,10251,2790
1736188693.239975,101.831,2790,10251,2790
1736188693.2432046,101.831,2790,10251,2790
1736188693.2472117,101.831,2790,10251,2790
1736188693.251547,101.831,2790,10251,2790
1736188693.2545886,101.831,2790,10251,2790
1736188693.2576454,101.831,2790,10251,2790
1736188693.2606745,101.831,2790,10251,2790
1736188693.2645583,101.831,2790,10251,2790
1736188693.268402,101.831,2790,10251,2790
1736188693.271865,101.831,2790,10251,2790
1736188693.2748897,101.831,2790,10251,2790
1736188693.2778962,101.831,2790,10251,2790
1736188693.280916,101.831,2790,10251,2790
1736188693.2846615,101.831,2790,10251,2790
1736188693.2887175,101.831,2790,10251,2790
1736188693.2920554,101.831,2790,10251,2790
1736188693.29509,101.831,2790,10251,2790
1736188693.298143,101.831,2790,10251,2790
1736188693.3012257,101.831,2790,10251,2790
1736188693.3050768,101.831,2790,10251,2790
1736188693.3088827,101.831,2775,10251,2790
1736188693.358557,111.15,2790,10251,2790
1736188693.3616514,111.15,2790,10251,2790
1736188693.365595,111.15,2790,10251,2790
1736188693.3693757,111.15,2790,10251,2790
1736188693.3728125,111.15,2790,10251,2790
1736188693.3758488,111.15,2790,10251,2790
1736188693.3788583,111.15,2790,10251,2790
1736188693.3819666,111.15,2790,10251,2790
1736188693.3858,111.15,2790,10251,2790
1736188693.390803,111.15,2790,10251,2790
1736188693.3938797,111.15,2790,10251,2790
1736188693.3969045,111.15,2790,10251,2790
1736188693.3999412,111.15,2790,10251,2790
1736188693.403114,111.15,2790,10251,2790
1736188693.406855,111.15,2775,10251,2775
1736188693.4130316,111.15,2775,10251,2775
1736188693.4161985,119.052,2775,10251,2775
1736188693.4215446,119.052,2775,10251,2775
1736188693.4253397,119.052,2775,10251,2775
1736188693.42923,119.052,2790,10251,2790
1736188693.434286,119.052,2790,10251,2790
1736188693.437299,119.052,2790,10251,2790
1736188693.440356,119.052,2790,10251,2790
1736188693.4438312,119.052,2790,10251,2790
1736188693.4475698,119.052,2790,10251,2790
