timestamp,power_in_watts,graphic_clock,memory_clock,sm_clock,step
1736190199.1806502,49.404,2655,10251,2655,to_device
1736190199.1839066,49.404,2655,10251,2655,forward
1736190199.1869404,49.404,2655,10251,2655,forward
1736190199.1899972,49.404,2655,10251,2655,forward
1736190199.1930182,49.404,2655,10251,2655,forward
1736190199.1966193,49.404,2655,10251,2655,forward
1736190199.2004902,49.404,2655,10251,2655,forward
1736190199.204229,49.404,2655,10251,2655,forward
1736190199.2072978,49.404,2655,10251,2655,forward
1736190199.2103484,49.404,2655,10251,2655,forward
1736190199.2133808,49.404,2655,10251,2655,forward
1736190199.2171247,49.404,2655,10251,2655,backward
1736190199.2210276,49.404,2655,10251,2655,backward
1736190199.224322,49.404,2655,10251,2655,backward
1736190199.2273612,49.404,2655,10251,2655,backward
1736190199.2303965,49.404,2655,10251,2655,backward
1736190199.2336051,49.404,2655,10251,2655,backward
1736190199.2376344,49.404,2655,10251,2655,backward
1736190199.2420268,53.798,2655,10251,2655,backward
1736190199.2455575,53.798,2655,10251,2655,backward
1736190199.2486055,53.798,2655,10251,2655,backward
1736190199.251648,53.798,2655,10251,2655,backward
1736190199.2546935,53.798,2655,10251,2655,backward
1736190199.2586803,53.798,2655,10251,2655,backward
1736190199.2628548,53.798,2655,10251,2655,backward
1736190199.265895,53.798,2655,10251,2655,backward
1736190199.2689457,53.798,2655,10251,2655,backward
1736190199.2721136,53.798,2655,10251,2655,backward
1736190199.2759078,53.798,2655,10251,2655,optimize
1736190199.283854,53.798,2655,10251,2655,forward
1736190199.2869017,53.798,2655,10251,2655,forward
1736190199.289962,53.798,2655,10251,2655,forward
1736190199.293007,53.798,2655,10251,2655,forward
1736190199.2966566,53.798,2655,10251,2655,forward
1736190199.3004942,53.798,2655,10251,2655,forward
1736190199.304142,53.798,2655,10251,2655,forward
1736190199.3072054,53.798,2655,10251,2655,forward
1736190199.310303,53.798,2655,10251,2655,forward
1736190199.3133748,53.798,2655,10251,2655,forward
1736190199.31715,53.798,2655,10251,2655,backward
1736190199.3209574,53.798,2655,10251,2655,backward
1736190199.3241649,53.798,2655,10251,2655,backward
1736190199.327217,53.798,2655,10251,2655,backward
1736190199.3302894,53.798,2655,10251,2655,backward
1736190199.3335476,53.798,2655,10251,2655,backward
1736190199.3373024,53.798,2655,10251,2805,backward
1736190199.3502655,72.261,2805,10251,2805,backward
