timestamp,power_in_watts,step
1736810662.622688,69.035,idle
1736810662.6251707,69.035,idle
1736810662.7150168,67.839,idle
1736810662.7185173,67.839,idle
1736810662.8016834,67.391,idle
1736810662.8884203,67.375,idle
1736810662.9742234,67.364,idle
1736810662.9819193,67.364,idle
1736810662.9850223,67.364,idle
1736810662.9870875,67.364,idle
1736810662.989149,67.364,idle
1736810662.991212,67.364,idle
1736810662.9932747,67.364,idle
1736810662.9953392,67.364,idle
1736810662.9974062,67.364,idle
1736810662.9994748,67.364,idle
1736810663.0015464,67.364,idle
1736810663.00362,67.364,idle
1736810663.0056946,67.364,idle
1736810663.0077698,67.364,idle
1736810663.0098438,67.364,idle
1736810663.0119212,67.364,idle
1736810663.013998,67.364,idle
1736810663.0160732,67.364,idle
1736810663.0181537,67.364,idle
1736810663.0202277,67.364,idle
1736810663.022302,67.364,idle
1736810663.0243778,67.364,idle
1736810663.026453,67.364,idle
1736810663.0285273,67.364,idle
1736810663.0306015,67.331,idle
1736810663.0326772,67.331,idle
1736810663.0347583,67.331,idle
1736810663.0368345,67.331,idle
1736810663.038909,67.331,idle
1736810663.0409842,67.331,idle
1736810663.043059,67.331,idle
1736810663.0451522,67.331,idle
1736810663.047227,67.331,idle
1736810663.0493004,67.331,idle
1736810663.0513835,67.331,idle
1736810663.053458,67.331,idle
1736810663.0555315,67.331,idle
1736810663.0576136,67.331,idle
1736810663.0596993,67.331,idle
1736810663.0617807,67.331,idle
1736810663.0638466,67.331,idle
1736810663.065909,67.331,idle
1736810663.0679698,67.331,idle
1736810663.0700307,67.331,idle
1736810663.0720923,67.331,idle
1736810663.0751595,67.331,to_device
1736810663.0772257,67.331,to_device
1736810663.079287,67.331,to_device
1736810663.0813482,67.331,forward
1736810663.0834138,67.331,forward
1736810663.0854807,67.331,forward
1736810663.08755,67.331,forward
1736810663.0896218,67.331,forward
1736810663.0917227,67.331,forward
1736810663.0938115,67.331,forward
1736810663.0958912,67.331,forward
1736810663.0979712,67.331,forward
1736810663.1000571,67.331,backward
1736810663.1021442,67.331,backward
1736810663.1042247,67.331,backward
1736810663.106305,67.331,backward
1736810663.1083844,67.331,backward
1736810663.110462,67.331,backward
1736810663.1125498,67.331,backward
1736810663.114667,67.331,backward
1736810663.1167493,67.331,backward
1736810663.1188133,67.331,backward
1736810663.1208773,67.331,backward
1736810663.12294,67.331,backward
1736810663.1250024,67.331,backward
1736810663.1270723,67.331,backward
1736810663.1291368,67.331,backward
1736810663.1312015,67.312,backward
1736810663.1332655,67.312,backward
1736810663.135328,67.312,backward
1736810663.137389,67.312,backward
1736810663.1394503,67.312,backward
1736810663.1415112,67.312,backward
1736810663.1435723,67.312,backward
1736810663.145633,67.312,backward
1736810663.1476943,67.312,backward
1736810663.150225,67.312,optimize
1736810663.1522908,67.312,idle
1736810663.1543555,67.312,idle
1736810663.1564205,67.312,to_device
1736810663.1584818,67.312,to_device
1736810663.1605558,67.312,forward
1736810663.1626208,67.312,forward
1736810663.1646836,67.312,forward
1736810663.166746,67.312,forward
1736810663.1688082,67.312,forward
1736810663.1708713,67.312,forward
1736810663.172937,67.312,forward
1736810663.175004,67.312,forward
1736810663.1770756,67.312,backward
1736810663.179153,67.312,backward
1736810663.1812313,67.312,backward
1736810663.1833088,67.312,backward
1736810663.1853824,67.312,backward
1736810663.187456,67.312,backward
1736810663.18953,67.312,backward
1736810663.1916032,67.312,backward
1736810663.1936767,67.312,backward
1736810663.1957514,67.312,backward
1736810663.197825,67.312,backward
1736810663.1998975,67.312,backward
1736810663.2019718,67.312,backward
1736810663.2040443,67.312,backward
1736810663.2061176,67.312,backward
1736810663.20819,67.312,backward
1736810663.210262,67.312,backward
1736810663.2123358,67.312,backward
1736810663.214409,67.312,backward
1736810663.21656,67.312,idle
1736810663.21865,67.312,idle
1736810663.2207303,67.312,idle
1736810663.2228098,67.312,to_device
1736810663.2248874,67.312,to_device
1736810663.2269616,67.312,to_device
1736810663.2290356,67.312,forward
1736810663.2310803,67.312,forward
1736810663.2331588,71.75,forward
1736810663.2352366,71.75,forward
1736810663.237311,71.75,forward
1736810663.239385,71.75,forward
1736810663.2414584,71.75,forward
1736810663.2435625,71.75,loss
1736810663.2456377,71.75,backward
