timestamp,power_in_watts,step
1736869522.4760425,44.856,idle
1736869522.5545006,44.856,idle
1736869522.5585177,44.856,idle
1736869522.6397738,30.415,idle
1736869522.710114,31.853,idle
1736869522.7863848,33.132,idle
1736869522.792594,33.132,idle
1736869522.7981138,33.132,idle
1736869522.8002498,33.132,idle
1736869522.8023343,33.132,idle
1736869522.8044407,33.132,idle
1736869522.806505,33.132,idle
1736869522.8085666,33.132,idle
1736869522.810629,33.132,idle
1736869522.812694,33.132,idle
1736869522.8147602,33.132,idle
1736869522.816828,33.132,idle
1736869522.8188963,33.132,idle
1736869522.8209715,33.132,idle
1736869522.8230476,33.132,idle
1736869522.8251224,33.132,idle
1736869522.827196,33.132,idle
1736869522.8292704,33.132,idle
1736869522.8313446,33.132,idle
1736869522.833432,33.132,idle
1736869522.8355064,33.132,idle
1736869522.83758,33.132,idle
1736869522.8396535,33.132,idle
1736869522.8417268,33.132,idle
1736869522.8438,33.132,idle
1736869522.845875,33.132,idle
1736869522.847948,33.132,idle
1736869522.85005,33.132,idle
1736869522.8521254,33.132,idle
1736869522.8541996,33.132,idle
1736869522.8562737,33.132,idle
1736869522.8583474,33.132,idle
1736869522.8604226,33.132,idle
1736869522.862497,33.132,idle
1736869522.8645723,34.27,idle
1736869522.8666644,34.27,idle
1736869522.868768,34.27,idle
1736869522.870907,34.27,idle
1736869522.872989,34.27,idle
1736869522.875065,34.27,idle
1736869522.8771408,34.27,idle
1736869522.8792195,34.27,idle
1736869522.881297,34.27,idle
1736869522.8833728,34.27,idle
1736869522.8854685,34.27,idle
1736869522.887576,34.27,idle
1736869522.8896582,34.27,idle
1736869522.8917477,34.27,idle
1736869522.8938358,34.27,idle
1736869522.895932,34.27,idle
1736869522.8980298,34.27,idle
1736869522.9001172,34.27,idle
1736869522.9021957,34.27,idle
1736869522.9042642,34.27,idle
1736869522.9063237,34.27,idle
1736869522.9083831,34.27,idle
1736869522.9104426,34.27,idle
1736869522.9125028,34.27,idle
1736869522.9145646,34.27,idle
1736869522.9166324,34.27,idle
1736869522.9187007,34.27,idle
1736869522.9207728,34.27,idle
1736869522.9228454,34.27,idle
1736869522.924927,34.27,idle
1736869522.9270003,34.27,idle
1736869522.9290743,34.27,idle
1736869522.9311478,34.27,idle
1736869522.9332235,34.27,idle
1736869522.935299,34.27,idle
1736869522.9373748,34.27,idle
1736869522.9394486,34.27,idle
1736869522.9415245,34.27,idle
1736869522.9435978,34.27,idle
1736869522.9456742,34.27,idle
1736869522.947749,34.27,idle
1736869522.949823,34.27,idle
1736869522.951897,34.27,idle
1736869522.95397,34.27,idle
1736869522.9560444,34.27,idle
1736869522.9581194,34.27,idle
1736869522.9601955,34.27,idle
1736869522.9622712,34.27,idle
1736869522.9643457,35.307,idle
1736869522.966421,35.307,idle
1736869522.9684956,35.307,idle
