timestamp,power_in_watts,step
1736811884.7935388,61.779,idle
1736811884.7959585,61.779,idle
1736811884.8779802,61.536,idle
1736811884.8809333,61.536,idle
1736811884.9799972,61.591,idle
1736811884.9832368,61.591,idle
1736811885.0832348,61.652,idle
1736811885.171833,61.695,idle
1736811885.179757,61.695,idle
1736811885.1822016,61.695,idle
1736811885.1842854,61.695,idle
1736811885.1863585,61.695,idle
1736811885.188421,61.695,idle
1736811885.190483,61.695,idle
1736811885.1925464,61.695,idle
1736811885.1946137,61.695,idle
1736811885.196683,61.695,idle
1736811885.1987553,61.695,idle
1736811885.2008326,61.695,idle
1736811885.202911,61.695,idle
1736811885.2049856,61.695,idle
1736811885.207059,61.695,idle
1736811885.2091527,61.695,idle
1736811885.2112277,61.695,idle
1736811885.213303,61.695,idle
1736811885.215381,61.695,idle
1736811885.2174633,61.695,idle
1736811885.2195454,61.695,idle
1736811885.2216256,61.695,idle
1736811885.223703,61.695,idle
1736811885.2257802,61.695,idle
1736811885.2278605,61.695,idle
1736811885.229947,61.695,idle
1736811885.2320282,61.695,idle
1736811885.2341082,61.695,idle
1736811885.2361894,61.695,idle
1736811885.238269,61.695,idle
1736811885.240351,61.695,idle
1736811885.2424314,61.695,idle
1736811885.2445111,61.695,idle
1736811885.2465982,61.695,idle
1736811885.2486775,61.695,idle
1736811885.2507572,61.695,idle
1736811885.2528367,61.695,idle
1736811885.2549107,61.695,idle
1736811885.2569838,61.695,idle
1736811885.2590578,61.723,idle
1736811885.2611425,61.723,idle
1736811885.263224,61.723,idle
1736811885.2661238,61.723,idle
1736811885.2681997,61.723,idle
1736811885.2702696,61.723,idle
1736811885.2723422,61.723,idle
1736811885.2744334,61.723,idle
1736811885.2765205,61.723,idle
1736811885.278617,61.723,idle
1736811885.280701,61.723,idle
1736811885.2827923,61.723,idle
1736811885.2848787,61.723,idle
1736811885.286962,61.723,idle
1736811885.2890425,61.723,idle
1736811885.2910976,61.723,idle
1736811885.2932563,61.723,idle
1736811885.2953484,61.723,idle
1736811885.2974434,61.723,idle
1736811885.299524,61.723,idle
1736811885.301604,61.723,idle
1736811885.3036838,61.723,idle
1736811885.3057642,61.723,idle
1736811885.3078434,61.723,idle
1736811885.3099291,61.723,idle
1736811885.3120303,61.723,idle
1736811885.3141744,61.723,idle
1736811885.3162544,61.723,idle
1736811885.3183322,61.723,idle
1736811885.3204074,61.723,idle
1736811885.3224847,61.723,idle
1736811885.3245628,61.723,idle
1736811885.326648,61.723,idle
1736811885.3287356,61.723,idle
1736811885.330819,61.723,idle
1736811885.332899,61.723,idle
1736811885.3349764,61.723,idle
1736811885.3370564,61.723,idle
