epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736864008.3171964, 1736864008.431142, 4.719423890233039]","[1736864034.4968092, 1736864034.5073342, 0.679156436920166]","[1736864061.8663101, 1736864061.8776588, 0.7199517250061035]","[1736864087.869567, 1736864087.8793874, 0.6528797517218061]","[1736864113.3026223, 1736864113.3130503, 0.6506624813079834]"
"[1736864008.5172389, 1736864008.5265226, 0.5106879416033908]","[1736864034.549319, 1736864034.5588489, 0.5923837020397186]","[1736864061.9152973, 1736864061.924697, 0.5963045537471772]","[1736864087.9271748, 1736864087.9364135, 0.6140053272247314]","[1736864113.3535354, 1736864113.363399, 0.6154501237869263]"
"[1736864008.5728345, 1736864008.5822132, 0.5161927087306976]","[1736864034.6035326, 1736864034.6141865, 0.6622615923881531]","[1736864061.9643304, 1736864061.9743443, 0.6634755744934082]","[1736864087.984, 1736864087.9933696, 0.6199497303962707]","[1736864113.4043303, 1736864113.4143267, 0.6332828350067139]"
"[1736864008.6244695, 1736864008.6341763, 0.5650679068565369]","[1736864034.6568546, 1736864034.6666074, 0.6144232749938965]","[1736864062.014675, 1736864062.0240333, 0.6200505523681641]","[1736864088.041912, 1736864088.0505743, 0.5731447010040283]","[1736864113.4654906, 1736864113.4749105, 0.5967612290382385]"
"[1736864008.6704547, 1736864008.679487, 0.5258033695220947]","[1736864034.7429037, 1736864034.75354, 0.7002108535766601]","[1736864062.101775, 1736864062.1108882, 0.639417293548584]","[1736864088.1031454, 1736864088.112742, 0.6802060317993164]","[1736864113.528086, 1736864113.5375743, 0.6306902384757994]"
"[1736864008.7169485, 1736864008.726292, 0.6024988832473753]","[1736864034.8028088, 1736864034.8119993, 0.6050329055786132]","[1736864062.1529262, 1736864062.1624367, 0.6943057918548585]","[1736864088.1552045, 1736864088.16444, 0.6546038818359374]","[1736864113.5825152, 1736864113.591824, 0.6187569332122803]"
"[1736864008.7627783, 1736864008.7718272, 0.5835117664337157]","[1736864034.8511226, 1736864034.861096, 0.6942505218982696]","[1736864062.203821, 1736864062.2127461, 0.651575264930725]","[1736864088.2051566, 1736864088.2139974, 0.6778771295547487]","[1736864113.6360297, 1736864113.6453831, 0.6366110615730285]"
"[1736864008.815466, 1736864008.8248785, 0.6869305113421516]","[1736864034.902431, 1736864034.9113026, 0.6175578379631043]","[1736864062.252331, 1736864062.2611296, 0.709835792541504]","[1736864088.2537012, 1736864088.2625248, 0.6765608987808227]","[1736864113.6858854, 1736864113.695053, 0.6239700374603271]"
"[1736864008.8641915, 1736864008.873355, 0.6717856903076171]","[1736864034.9616623, 1736864034.9710615, 0.7141587646007538]","[1736864062.305869, 1736864062.3147342, 0.7152022619247437]","[1736864088.306344, 1736864088.3158443, 0.7790122396945953]","[1736864113.7414305, 1736864113.7507808, 0.6959521670341491]"
"[1736864008.9163158, 1736864008.925524, 0.7572546527075847]","[1736864035.0150056, 1736864035.0242136, 0.6996303083896637]","[1736864062.356088, 1736864062.3648858, 0.7889326508045197]","[1736864088.3577087, 1736864088.366754, 0.7417106773853301]","[1736864113.7934418, 1736864113.8022978, 0.678616236448288]"
"[1736864008.9648824, 1736864008.9739397, 0.7451608200073243]","[1736864035.0649576, 1736864035.0738196, 0.7519511389732361]","[1736864062.4079874, 1736864062.417008, 0.808901299238205]","[1736864088.406756, 1736864088.415736, 0.8173538768291475]","[1736864113.8445685, 1736864113.8537762, 0.7680255937576295]"
