epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737467756.821368, 1737467756.8329976, 0.44027269458770746]","[1737467776.6545687, 1737467776.660414, 0.48433640074729917]","[1737467796.6106255, 1737467796.616447, 0.4953311154842377]","[1737467816.5941408, 1737467816.5999076, 0.5008179359436035]","[1737467836.4928217, 1737467836.4985929, 0.4936534948348999]"
"[1737467756.8741705, 1737467756.8795552, 0.2038533520698547]","[1737467776.6994443, 1737467776.7048345, 0.4466238670349121]","[1737467796.6563704, 1737467796.661782, 0.4604589285850525]","[1737467816.6373525, 1737467816.6427605, 0.44949536991119393]","[1737467836.5626068, 1737467836.5680175, 0.44885305356979366]"
"[1737467756.9137619, 1737467756.9191368, 0.22481092071533204]","[1737467776.7398567, 1737467776.7452466, 0.44241074728965757]","[1737467796.6955078, 1737467796.7009075, 0.4594824104309082]","[1737467816.6760175, 1737467816.681418, 0.4488612451553345]","[1737467836.6062, 1737467836.6116252, 0.4500595414638519]"
"[1737467756.9519193, 1737467756.9572864, 0.2244818415641785]","[1737467776.7833428, 1737467776.7887895, 0.44706832051277157]","[1737467796.734618, 1737467796.7399924, 0.4573318834304809]","[1737467816.7145896, 1737467816.7199745, 0.4608739366531372]","[1737467836.6453073, 1737467836.6506932, 0.4500018383574371]"
"[1737467756.9905596, 1737467756.9959247, 0.2514609493017197]","[1737467776.8281178, 1737467776.8334916, 0.4411138704767379]","[1737467796.7751057, 1737467796.780497, 0.4587723307609558]","[1737467816.7544487, 1737467816.7598436, 0.4617309589385986]","[1737467836.6845062, 1737467836.690017, 0.4609018573760987]"
"[1737467757.0287752, 1737467757.0341768, 0.2683898620605469]","[1737467776.868036, 1737467776.8734324, 0.4588422183990479]","[1737467796.813559, 1737467796.8189735, 0.4898593711853027]","[1737467816.7927938, 1737467816.7982085, 0.4634245982170105]","[1737467836.72417, 1737467836.729546, 0.4496355447769165]"
"[1737467757.0668657, 1737467757.0722418, 0.2671223075389862]","[1737467776.905545, 1737467776.9108868, 0.4541998720169068]","[1737467796.8511474, 1737467796.8565516, 0.4889318523406982]","[1737467816.830327, 1737467816.8357196, 0.47657212448120123]","[1737467836.763055, 1737467836.7684374, 0.4601919829845429]"
"[1737467757.104137, 1737467757.1093416, 0.28682457685470586]","[1737467776.942351, 1737467776.9476836, 0.4677802605628968]","[1737467796.8893466, 1737467796.8945765, 0.49585155487060545]","[1737467816.8680885, 1737467816.8732977, 0.4603689250946045]","[1737467836.7999773, 1737467836.8053653, 0.4606812236309052]"
"[1737467757.1422951, 1737467757.1475112, 0.2874552493095398]","[1737467776.9830573, 1737467776.9884083, 0.4694116144180298]","[1737467796.9300728, 1737467796.9353185, 0.49734344959259036]","[1737467816.9076173, 1737467816.9128408, 0.49192509978870125]","[1737467836.840047, 1737467836.8454194, 0.45978039453682545]"
"[1737467757.1790419, 1737467757.1842647, 0.28782314157485966]","[1737467777.0209935, 1737467777.026346, 0.46953710317611697]","[1737467796.967583, 1737467796.972835, 0.4979537701606751]","[1737467816.9449618, 1737467816.9502046, 0.49405757188797]","[1737467836.8818817, 1737467836.8871078, 0.4797853469848633]"
