epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736864008.2929902, 1736864008.3171942, 0.9297968637943268]","[1736864034.4966094, 1736864034.4968083, 0.012830818176269533]","[1736864061.8661475, 1736864061.8663094, 0.010269899606704712]","[1736864087.8693128, 1736864087.8695664, 0.017000965910415312]","[1736864113.3024685, 1736864113.3026211, 0.0095208740234375]"
"[1736864008.5171402, 1736864008.5172384, 0.005325329196312172]","[1736864034.5492291, 1736864034.5493183, 0.005542806148529053]","[1736864061.9152057, 1736864061.9152968, 0.005777763843536377]","[1736864087.9270103, 1736864087.9271743, 0.010901565551757812]","[1736864113.3534405, 1736864113.353535, 0.005891040802001953]"
"[1736864008.5727308, 1736864008.572834, 0.005681964635849]","[1736864034.6034446, 1736864034.603532, 0.005439063787460327]","[1736864061.9642432, 1736864061.9643302, 0.00576578140258789]","[1736864087.9838314, 1736864087.9839995, 0.011121518611907959]","[1736864113.4042408, 1736864113.4043298, 0.005633812665939331]"
"[1736864008.6243796, 1736864008.6244693, 0.005218616485595703]","[1736864034.6567698, 1736864034.6568544, 0.005332231521606445]","[1736864062.0145907, 1736864062.0146744, 0.005544628143310547]","[1736864088.0417714, 1736864088.0419116, 0.009275819778442383]","[1736864113.4654012, 1736864113.4654903, 0.0056489167213439944]"
"[1736864008.6703634, 1736864008.670454, 0.0052741336822509765]","[1736864034.7427785, 1736864034.742903, 0.00819308853149414]","[1736864062.1016843, 1736864062.1017747, 0.00633997368812561]","[1736864088.1030424, 1736864088.1031446, 0.007249717712402343]","[1736864113.5279922, 1736864113.5280852, 0.006180596351623535]"
"[1736864008.7168448, 1736864008.716948, 0.006657021522521972]","[1736864034.8027003, 1736864034.8028083, 0.00711009407043457]","[1736864062.1528318, 1736864062.152926, 0.006875176429748536]","[1736864088.155092, 1736864088.155204, 0.007942581176757812]","[1736864113.58241, 1736864113.5825148, 0.006957132816314697]"
"[1736864008.7626963, 1736864008.7627778, 0.005257970809936523]","[1736864034.8510308, 1736864034.8511224, 0.006373077392578126]","[1736864062.2037368, 1736864062.2038207, 0.006126739501953126]","[1736864088.2050438, 1736864088.2051558, 0.008592061996459961]","[1736864113.6359446, 1736864113.6360292, 0.005760672092437744]"
"[1736864008.8153617, 1736864008.8154657, 0.007060788451655366]","[1736864034.9023385, 1736864034.9024305, 0.006406270503997803]","[1736864062.25225, 1736864062.2523305, 0.006501314163208008]","[1736864088.253597, 1736864088.2537005, 0.00793394660949707]","[1736864113.6858053, 1736864113.685885, 0.005419899940490722]"
"[1736864008.864088, 1736864008.864191, 0.0075509033203125]","[1736864034.9615753, 1736864034.9616616, 0.006557732105255127]","[1736864062.3057854, 1736864062.3058686, 0.006712895393371582]","[1736864088.3062382, 1736864088.306343, 0.00860203742980957]","[1736864113.7413468, 1736864113.74143, 0.006193260908126831]"
"[1736864008.916195, 1736864008.9163153, 0.009673609517904597]","[1736864035.0149198, 1736864035.015005, 0.006485270977020263]","[1736864062.3560054, 1736864062.3560872, 0.007333240270614624]","[1736864088.3576055, 1736864088.3577082, 0.008426086664199828]","[1736864113.7933583, 1736864113.793441, 0.006157769441604614]"
"[1736864008.9647892, 1736864008.964882, 0.007630302429199219]","[1736864035.0648708, 1736864035.0649571, 0.007323279857635498]","[1736864062.4078913, 1736864062.407987, 0.008594643115997315]","[1736864088.4066534, 1736864088.4067552, 0.009266165018081666]","[1736864113.8444884, 1736864113.844568, 0.006642168521881104]"
"[1736864009.0229006, 1736864009.0230222, 0.011087257862091065]","[1736864035.1206913, 1736864035.1207838, 0.007849261283874512]","[1736864062.4578588, 1736864062.4579527, 0.00927326488494873]","[1736864088.4552193, 1736864088.4553146, 0.008680248260498048]","[1736864113.9021294, 1736864113.9022243, 0.008773204803466798]"
"[1736864009.0716054, 1736864009.0717568, 0.013804723024368287]","[1736864035.2207282, 1736864035.2208276, 0.009329325914382935]","[1736864062.5135663, 1736864062.513669, 0.010144104480743408]","[1736864088.5072484, 1736864088.507356, 0.01075472092628479]","[1736864113.9582412, 1736864113.9583347, 0.008640945434570313]"
"[1736864009.1261208, 1736864009.1262193, 0.009859684944152833]","[1736864035.2716525, 1736864035.2717488, 0.009899883270263672]","[1736864062.566731, 1736864062.5668273, 0.010377924919128418]","[1736864088.5587447, 1736864088.558848, 0.010325485944747925]","[1736864114.0128658, 1736864114.0129497, 0.008496902465820312]"
"[1736864009.1767747, 1736864009.1768858, 0.011124971389770508]","[1736864035.3212838, 1736864035.3213766, 0.009532313346862793]","[1736864062.6193166, 1736864062.6193979, 0.00875958514213562]","[1736864088.6089492, 1736864088.6090562, 0.011671976327896119]","[1736864114.0632925, 1736864114.0633702, 0.007869290351867675]"
"[1736864009.2274265, 1736864009.227544, 0.012810841321945191]","[1736864035.3754992, 1736864035.375593, 0.010109131336212157]","[1736864062.6693099, 1736864062.6693962, 0.010063802719116211]","[1736864088.6576746, 1736864088.6577597, 0.009280390977859498]","[1736864114.1142905, 1736864114.1143734, 0.008933177947998047]"
"[1736864009.2744837, 1736864009.2745721, 0.009640612840652466]","[1736864035.428606, 1736864035.4287117, 0.011395280361175536]","[1736864062.726026, 1736864062.7261186, 0.010786617279052734]","[1736864088.70587, 1736864088.705954, 0.009934117317199707]","[1736864114.170624, 1736864114.170709, 0.009138538360595704]"
"[1736864009.3310232, 1736864009.3311117, 0.01043306589126587]","[1736864035.481566, 1736864035.4816651, 0.011584968566894532]","[1736864062.7809515, 1736864062.7810514, 0.01237878441810608]","[1736864088.753982, 1736864088.7540698, 0.010356246948242187]","[1736864114.2241693, 1736864114.2242522, 0.009658913612365724]"
"[1736864009.3783906, 1736864009.3784919, 0.011951625347137451]","[1736864035.533566, 1736864035.5336678, 0.012776086807250977]","[1736864062.8322203, 1736864062.8323016, 0.01007438063621521]","[1736864088.8004742, 1736864088.800566, 0.011666655540466309]","[1736864114.273994, 1736864114.2740715, 0.00902053713798523]"
"[1736864009.428622, 1736864009.4287148, 0.011712002277374267]","[1736864035.5892825, 1736864035.5894015, 0.014930368423461914]","[1736864062.880853, 1736864062.8809333, 0.01057552123069763]","[1736864088.8473625, 1736864088.8474545, 0.011696958541870117]","[1736864114.3322036, 1736864114.3322878, 0.010517947435379028]"
"[1736864009.474632, 1736864009.4747174, 0.010778655052185058]","[1736864035.643298, 1736864035.6433961, 0.01307528781890869]","[1736864062.9346743, 1736864062.9347746, 0.013211556196212768]","[1736864088.8950338, 1736864088.895127, 0.012696697473526003]","[1736864114.3888867, 1736864114.38899, 0.012901618242263794]"
"[1736864009.520518, 1736864009.5206091, 0.012244790077209472]","[1736864035.707065, 1736864035.7071767, 0.014852511405944823]","[1736864062.9898927, 1736864062.9899905, 0.013734004497528075]","[1736864088.9428818, 1736864088.9429655, 0.011397802591323853]","[1736864114.4471586, 1736864114.447276, 0.01575569748878479]"
"[1736864009.5649602, 1736864009.5650487, 0.011892191410064697]","[1736864035.7565663, 1736864035.7566593, 0.01271583080291748]","[1736864063.0408669, 1736864063.0409448, 0.01095370602607727]","[1736864088.9895988, 1736864088.9896796, 0.011738216400146485]","[1736864114.5132277, 1736864114.513361, 0.018721144437789917]"
"[1736864009.6154401, 1736864009.6155307, 0.012180681228637694]","[1736864035.8297057, 1736864035.829807, 0.013856995105743408]","[1736864063.089597, 1736864063.0896754, 0.011250921726226807]","[1736864089.0364416, 1736864089.0365307, 0.012950126647949218]","[1736864114.5693562, 1736864114.569451, 0.013329186916351318]"
"[1736864009.6661463, 1736864009.6662774, 0.018551909923553468]","[1736864035.8842528, 1736864035.88437, 0.01634649467468262]","[1736864063.1421309, 1736864063.142215, 0.01207165765762329]","[1736864089.0854845, 1736864089.0855708, 0.013037183284759522]","[1736864114.621209, 1736864114.621296, 0.012201290130615234]"
"[1736864009.7150285, 1736864009.7151163, 0.012636718514946363]","[1736864035.9357738, 1736864035.9358654, 0.01305963134765625]","[1736864063.1953955, 1736864063.195496, 0.014708763122558595]","[1736864089.1339078, 1736864089.133993, 0.01285711169242859]","[1736864114.6721988, 1736864114.6722772, 0.010997875213623047]"
"[1736864009.7603993, 1736864009.760488, 0.013046107292175292]","[1736864035.984535, 1736864035.9846246, 0.012787555694580077]","[1736864063.2513537, 1736864063.2514393, 0.012854589462280273]","[1736864089.1792507, 1736864089.1793346, 0.012898933410644532]","[1736864114.7243896, 1736864114.7244687, 0.011436468124389648]"
"[1736864009.8110778, 1736864009.811189, 0.01634270429611206]","[1736864036.0384996, 1736864036.0385938, 0.013286445140838623]","[1736864063.3117678, 1736864063.3118742, 0.01596976852416992]","[1736864089.2280927, 1736864089.2281814, 0.013631827354431154]","[1736864114.7760036, 1736864114.776082, 0.011333126544952393]"
"[1736864009.856886, 1736864009.8569674, 0.012214157581329344]","[1736864036.089102, 1736864036.0891929, 0.01281553316116333]","[1736864063.3657234, 1736864063.365808, 0.012713224887847898]","[1736864089.296789, 1736864089.2968745, 0.013175560474395751]","[1736864114.8281782, 1736864114.8282592, 0.011927266120910645]"
"[1736864009.9118786, 1736864009.911991, 0.016821252107620237]","[1736864036.141679, 1736864036.1417713, 0.012978323221206664]","[1736864063.4154146, 1736864063.4155238, 0.016401850700378418]","[1736864089.3441577, 1736864089.3442523, 0.01457018804550171]","[1736864114.879881, 1736864114.8799589, 0.011471223592758178]"
"[1736864009.9593613, 1736864009.9594517, 0.013547138452529908]","[1736864036.1954162, 1736864036.195535, 0.016700788021087647]","[1736864063.4676347, 1736864063.4677176, 0.012469594001770019]","[1736864089.3896084, 1736864089.3897123, 0.016004115104675292]","[1736864114.9342418, 1736864114.934329, 0.012850520610809326]"
"[1736864010.0089252, 1736864010.0090387, 0.01701434803009033]","[1736864036.2509077, 1736864036.2509997, 0.012869507312774659]","[1736864063.5192423, 1736864063.5193248, 0.012397929668426514]","[1736864089.4353757, 1736864089.435456, 0.012370153188705445]","[1736864114.989951, 1736864114.9901152, 0.02419128060340881]"
