epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737220721.0073628, 1737220721.0205185, 0.42915204977989196]","[1737220743.9313054, 1737220743.9424336, 0.8530534446239472]","[1737220767.7491162, 1737220767.7606966, 0.8947648000717162]","[1737220792.6573079, 1737220792.6696787, 0.998783282995224]","[1737220815.8292658, 1737220815.840655, 0.9172223043441773]"
"[1737220721.4561822, 1737220721.4669561, 0.4535164275169373]","[1737220743.9788797, 1737220743.9900255, 0.8535699648857116]","[1737220767.7966907, 1737220767.8077395, 0.8349110445302327]","[1737220792.709125, 1737220792.7214954, 0.9414453327655793]","[1737220815.878876, 1737220815.8900714, 0.8750789041519165]"
"[1737220721.5019932, 1737220721.5128598, 0.45742042827606205]","[1737220744.0246122, 1737220744.0358608, 0.8614394092559814]","[1737220767.8455, 1737220767.8577642, 0.9254236412048339]","[1737220792.7582734, 1737220792.7708597, 0.9578845632076264]","[1737220815.9236495, 1737220815.9349856, 0.8860739965438843]"
"[1737220721.545571, 1737220721.5565286, 0.7139893627166748]","[1737220744.0742803, 1737220744.0854807, 0.8407088729971495]","[1737220767.8952835, 1737220767.9066885, 0.8988328008651731]","[1737220792.8080606, 1737220792.8206677, 1.0151287449986715]","[1737220815.973086, 1737220815.9841464, 0.8729071545600892]"
"[1737220721.5901337, 1737220721.6008825, 0.7003959274291992]","[1737220744.1280813, 1737220744.139671, 0.869510570526123]","[1737220767.9776819, 1737220767.9893072, 0.9263147258758544]","[1737220792.8573, 1737220792.8701763, 1.0372094783782961]","[1737220816.0577297, 1737220816.0690842, 0.9293500843048096]"
"[1737220721.6339073, 1737220721.6446884, 0.736421175956726]","[1737220744.1897817, 1737220744.2012303, 0.9178818001747132]","[1737220768.0282621, 1737220768.0395744, 0.9127512190341948]","[1737220792.907605, 1737220792.920395, 1.0729260211566851]","[1737220816.1067762, 1737220816.1179967, 0.9183830351829528]"
"[1737220721.6759033, 1737220721.6868145, 0.7786141955852508]","[1737220744.2334015, 1737220744.2445366, 0.8927456130981446]","[1737220768.0788984, 1737220768.0905087, 0.9367978188991546]","[1737220792.9573538, 1737220792.9706018, 1.112776216506958]","[1737220816.1516774, 1737220816.1640902, 1.0635771970748902]"
"[1737220721.7182899, 1737220721.728991, 0.7636254682540893]","[1737220744.2832975, 1737220744.294543, 0.933443069934845]","[1737220768.1260235, 1737220768.1371834, 0.9607332000732423]","[1737220793.0057123, 1737220793.018398, 1.1077598519325256]","[1737220816.2008886, 1737220816.212093, 0.9600447607040405]"
"[1737220721.7609315, 1737220721.7716658, 0.7786372591257094]","[1737220744.3266318, 1737220744.3377824, 0.9255665812492372]","[1737220768.1947587, 1737220768.2061694, 1.046154842376709]","[1737220793.054628, 1737220793.0672996, 1.1146288723945619]","[1737220816.2803788, 1737220816.291443, 1.0107893686294553]"
"[1737220721.8032815, 1737220721.8147783, 0.9328029289245605]","[1737220744.4066277, 1737220744.4177058, 1.0054833400249483]","[1737220768.2425864, 1737220768.2541778, 1.0896875724792479]","[1737220793.103648, 1737220793.1164606, 1.182617769241333]","[1737220816.3286192, 1737220816.3398182, 1.023095615386963]"
