epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737226987.6519318, 1737226987.6633499, 0.33368270814418793]","[1737227000.8989377, 1737227000.908693, 1.4191081609725953]","[1737227013.949483, 1737227013.959251, 1.3778949117660524]","[1737227026.8567119, 1737227026.8670068, 1.600323829650879]","[1737227039.850233, 1737227039.8600755, 1.5283272171020508]"
"[1737226987.681634, 1737226987.6910505, 0.2983172607421875]","[1737227000.9263947, 1737227000.9358974, 1.355438891887665]","[1737227013.976955, 1737227013.986386, 1.33037317609787]","[1737227026.884758, 1737227026.8940432, 1.443367567062378]","[1737227039.8828511, 1737227039.892216, 1.4541728782653809]"
"[1737226987.7119088, 1737226987.7211401, 0.29244850158691404]","[1737227000.9541662, 1737227000.963451, 1.3243559918403625]","[1737227014.004863, 1737227014.0141258, 1.3066291241645815]","[1737227026.94554, 1737227026.9548066, 1.3745262567996976]","[1737227039.9173846, 1737227039.926818, 1.4647980880737304]"
"[1737226987.7363894, 1737226987.7454455, 0.28689697265624997]","[1737227000.9788384, 1737227000.9879618, 1.301332880973816]","[1737227014.0293224, 1737227014.0384097, 1.2199914407730104]","[1737227026.9699876, 1737227026.9790614, 1.3459160799980163]","[1737227039.9468842, 1737227039.9560263, 1.3601422204971312]"
"[1737226987.7617958, 1737226987.7708576, 0.3378245530005456]","[1737227001.0040507, 1737227001.0131187, 1.2774562239646912]","[1737227014.0542352, 1737227014.0632868, 1.215190215110779]","[1737227026.9938936, 1737227027.0030174, 1.3533427019119262]","[1737227039.975561, 1737227039.984722, 1.3549295539855957]"
"[1737226987.8099625, 1737226987.8190203, 0.34205725765228273]","[1737227001.0580802, 1737227001.0672784, 1.2957948446273804]","[1737227014.1147773, 1737227014.1239982, 1.2337207651138307]","[1737227027.0181718, 1737227027.0272167, 1.3139776709079742]","[1737227040.013487, 1737227040.0228295, 1.381764380931854]"
"[1737226987.8359513, 1737226987.8449883, 0.34127394104003905]","[1737227001.0825043, 1737227001.0916777, 1.2923017740249634]","[1737227014.1411297, 1737227014.1503377, 1.230294478416443]","[1737227027.0447557, 1737227027.0538175, 1.3164368114471436]","[1737227040.0481215, 1737227040.0572724, 1.3326766569567878]"
"[1737226987.8614943, 1737226987.8705623, 0.42001981315294024]","[1737227001.108061, 1737227001.1171434, 1.2481465444564819]","[1737227014.1666899, 1737227014.1757374, 1.208855670928955]","[1737227027.0696118, 1737227027.0787876, 1.332992715358734]","[1737227040.0768852, 1737227040.0860174, 1.3297136363983157]"
"[1737226987.8867152, 1737226987.8957615, 0.4259457957744598]","[1737227001.1332443, 1737227001.1423025, 1.244837288379669]","[1737227014.1916916, 1737227014.2002978, 1.149890986442566]","[1737227027.0939262, 1737227027.1030047, 1.3188613162040712]","[1737227040.1057096, 1737227040.114837, 1.329019323348999]"
"[1737226987.913088, 1737226987.9221485, 0.4266081261634827]","[1737227001.16007, 1737227001.1692817, 1.2659378914833068]","[1737227014.2185807, 1737227014.2272627, 1.1555498254299166]","[1737227027.1190498, 1737227027.1280944, 1.3243624687194826]","[1737227040.1317656, 1737227040.140856, 1.323638397216797]"
"[1737226987.9378633, 1737226987.9469793, 0.429223769903183]","[1737227001.1843264, 1737227001.1933773, 1.2438215761184692]","[1737227014.2419536, 1737227014.2505212, 1.1403180825710297]","[1737227027.144004, 1737227027.1530454, 1.323873722553253]","[1737227040.1574974, 1737227040.1665804, 1.3060401756763458]"
"[1737226987.9623406, 1737226987.9713838, 0.49478420209994134]","[1737227001.2082489, 1737227001.2168245, 1.193442786693573]","[1737227014.2652307, 1737227014.2737966, 1.140095952987671]","[1737227027.1689072, 1737227027.1779592, 1.3254446923732757]","[1737227040.1815848, 1737227040.190184, 1.2364820604324338]"
"[1737226987.9874904, 1737226987.9965217, 0.49514079093933105]","[1737227001.2342644, 1737227001.2428327, 1.1924142141342164]","[1737227014.2885258, 1737227014.297153, 1.1482512819767]","[1737227027.1935816, 1737227027.2021718, 1.2578231692314148]","[1737227040.204766, 1737227040.213353, 1.2346993980407714]"
"[1737226988.0122533, 1737226988.020791, 0.4680832028388977]","[1737227001.2594256, 1737227001.2681258, 1.2107626214027405]","[1737227014.3129861, 1737227014.321676, 1.1811031091213229]","[1737227027.217736, 1737227027.2263315, 1.2582301893234253]","[1737227040.2289028, 1737227040.2375596, 1.2447440149784088]"
"[1737226988.0365534, 1737226988.045136, 0.47054060697555544]","[1737227001.2837563, 1737227001.2923799, 1.2001119184494018]","[1737227014.3372133, 1737227014.3457918, 1.1902551145553588]","[1737227027.2420306, 1737227027.250616, 1.2567643713951113]","[1737227040.2530296, 1737227040.2616906, 1.2538229184150695]"
"[1737226988.0625656, 1737226988.0711973, 0.5349262923002243]","[1737227001.3087397, 1737227001.3173425, 1.2365317356586458]","[1737227014.3612282, 1737227014.369802, 1.1895935125350952]","[1737227027.2661712, 1737227027.2747529, 1.256205964565277]","[1737227040.277213, 1737227040.285787, 1.2412249784469602]"
"[1737226988.0873318, 1737226988.0958936, 0.5393965244293213]","[1737227001.334792, 1737227001.3433654, 1.232316637039185]","[1737227014.3855472, 1737227014.394113, 1.18850186920166]","[1737227027.2920063, 1737227027.3005621, 1.2524367184638978]","[1737227040.3013887, 1737227040.309977, 1.2432958726882934]"
"[1737226988.1116827, 1737226988.1202548, 0.5400424003601074]","[1737227001.360129, 1737227001.3688624, 1.255276930332184]","[1737227014.4095402, 1737227014.418209, 1.2067384180454597]","[1737227027.3162217, 1737227027.3247893, 1.3000261855125428]","[1737227040.3253605, 1737227040.3338983, 1.2359787130355835]"
"[1737226988.135976, 1737226988.1445458, 0.5398921966552734]","[1737227001.3844612, 1737227001.3930485, 1.2343042445182801]","[1737227014.433908, 1737227014.442567, 1.2463164303302765]","[1737227027.34046, 1737227027.3490345, 1.3010753231048582]","[1737227040.349477, 1737227040.3580136, 1.2795817065238952]"
"[1737226988.1603413, 1737226988.1689312, 0.5898253617286682]","[1737227001.4086199, 1737227001.4171991, 1.2854039115905762]","[1737227014.4582546, 1737227014.4668326, 1.2346490499973297]","[1737227027.364538, 1737227027.3731256, 1.3030650668144226]","[1737227040.3734293, 1737227040.3820379, 1.2903744359016418]"
"[1737226988.186268, 1737226988.194866, 0.6231378345489502]","[1737227001.4345171, 1737227001.4430916, 1.2846894807815552]","[1737227014.482595, 1737227014.4911554, 1.2321096789836885]","[1737227027.3887773, 1737227027.3973618, 1.3025947637557984]","[1737227040.398082, 1737227040.4066706, 1.2873724846839905]"
"[1737226988.2108467, 1737226988.2193713, 0.6178329896926881]","[1737227001.4598455, 1737227001.468573, 1.3076227097511293]","[1737227014.5067427, 1737227014.5154312, 1.2505372767448426]","[1737227027.413128, 1737227027.4217148, 1.3646885901245869]","[1737227040.4223723, 1737227040.4309132, 1.2802249817848206]"
"[1737226988.235252, 1737226988.2438703, 0.6246238822937011]","[1737227001.48421, 1737227001.4928126, 1.288904622554779]","[1737227014.531111, 1737227014.5396945, 1.283549087524414]","[1737227027.4372506, 1737227027.445832, 1.3639019587039949]","[1737227040.446458, 1737227040.4550774, 1.3184458465576172]"
"[1737226988.2598498, 1737226988.268424, 0.6600615055561065]","[1737227001.5085237, 1737227001.5171158, 1.3357409281730652]","[1737227014.5552688, 1737227014.5638304, 1.2802690887451171]","[1737227027.4615567, 1737227027.470156, 1.3667439737319949]","[1737227040.4705927, 1737227040.4791937, 1.3313754916191103]"
"[1737226988.2844348, 1737226988.2930145, 0.698613175392151]","[1737227001.5343752, 1737227001.5429544, 1.3337394294738771]","[1737227014.5794067, 1737227014.5879655, 1.2798412628173828]","[1737227027.4860463, 1737227027.4946501, 1.3674639508724211]","[1737227040.4951458, 1737227040.5037043, 1.3248062653541566]"
"[1737226988.3111572, 1737226988.3197148, 0.696807722568512]","[1737227001.559709, 1737227001.5684, 1.3510857515335086]","[1737227014.603909, 1737227014.6125777, 1.2962769088745116]","[1737227027.5104892, 1737227027.519089, 1.3946081821918486]","[1737227040.5196013, 1737227040.5281856, 1.328792088031769]"
"[1737226988.3352585, 1737226988.3438246, 0.6975066075325013]","[1737227001.5841584, 1737227001.5927513, 1.3358521225452424]","[1737227014.6283484, 1737227014.6369486, 1.2860447387695313]","[1737227027.5345066, 1737227027.5430915, 1.4147697372436523]","[1737227040.5437858, 1737227040.552459, 1.3585739711523057]"
"[1737226988.359591, 1737226988.368152, 0.7143155608177185]","[1737227001.608371, 1737227001.61695, 1.3708752398490904]","[1737227014.6523936, 1737227014.660837, 1.32395192527771]","[1737227027.558496, 1737227027.567081, 1.414769737243652]","[1737227040.5693822, 1737227040.5779772, 1.3759461283683776]"
"[1737226988.3838441, 1737226988.39253, 0.777572627544403]","[1737227001.6340208, 1737227001.642592, 1.369618010520935]","[1737227014.6765518, 1737227014.6852026, 1.3564768638610838]","[1737227027.582623, 1737227027.5912232, 1.417284324645996]","[1737227040.593696, 1737227040.6023104, 1.3790377132892608]"
"[1737226988.408218, 1737226988.4168227, 0.7703157668113709]","[1737227001.6587055, 1737227001.6674223, 1.3928958020210267]","[1737227014.7008736, 1737227014.7095017, 1.352925290107727]","[1737227027.6070046, 1737227027.6155996, 1.421760857105255]","[1737227040.6193633, 1737227040.6280973, 1.398197906255722]"
"[1737226988.4345536, 1737226988.44315, 0.7695687370300294]","[1737227001.6830223, 1737227001.6916075, 1.3718657841682436]","[1737227014.7249136, 1737227014.733528, 1.3507569608688355]","[1737227027.6310995, 1737227027.6396964, 1.4550592260360717]","[1737227040.6436117, 1737227040.6522527, 1.398996777176857]"
"[1737226988.459021, 1737226988.4675999, 0.7679893026351928]","[1737227001.7073019, 1737227001.7158656, 1.48081059551239]","[1737227014.7490642, 1737227014.7576654, 1.4377230892181396]","[1737227027.655183, 1737227027.663784, 1.455745232105255]","[1737227040.6679544, 1737227040.6765816, 1.4460527801513674]"
"[1737226988.4833467, 1737226988.491931, 1.2690694723129272]","[1737227001.7329292, 1737227001.7415009, 1.4821710662841798]","[1737227014.773364, 1737227014.781954, 1.435850016117096]","[1737227027.679285, 1737227027.6878703, 1.453081914424896]","[1737227040.6924868, 1737227040.7010899, 1.4420165405273437]"
"[1737226988.507682, 1737226988.5162604, 1.3549940299987793]","[1737227001.7580762, 1737227001.766758, 1.5012176570892333]","[1737227014.7974432, 1737227014.806122, 1.450715043067932]","[1737227027.7035794, 1737227027.7121596, 1.4522344951629638]","[1737227040.7172651, 1737227040.725845, 1.4381401519775392]"
"[1737226988.5322025, 1737226988.5407798, 1.354843391418457]","[1737227001.7826147, 1737227001.7911973, 1.4840674800872802]","[1737227014.8219674, 1737227014.8305604, 1.4363681001663209]","[1737227027.7280414, 1737227027.7366354, 1.570267900466919]","[1737227040.7416902, 1737227040.7504005, 1.4893188223838807]"
"[1737226988.5578308, 1737226988.5664146, 1.355860201835632]","[1737227001.8066285, 1737227001.8151975, 1.6068421454429627]","[1737227014.8462474, 1737227014.8548107, 1.572483689069748]","[1737227027.7537043, 1737227027.7622209, 1.5561099615097047]","[1737227040.766222, 1737227040.774857, 1.568521220207214]"
"[1737226988.5822065, 1737226988.590784, 1.454556915640831]","[1737227001.8324275, 1737227001.8410006, 1.6076021776199343]","[1737227014.8697233, 1737227014.8783088, 1.576555325984955]","[1737227027.7780645, 1737227027.7866971, 1.5773250885009769]","[1737227040.7907708, 1737227040.7993894, 1.5655329833030698]"
"[1737226988.606705, 1737226988.6152737, 1.4897738313674926]","[1737227001.8575156, 1737227001.8662295, 1.6340244727134705]","[1737227014.8926692, 1737227014.9012733, 1.5799702472686767]","[1737227027.802449, 1737227027.8110714, 1.5754518842697145]","[1737227040.8151534, 1737227040.8237288, 1.5576942749023437]"
"[1737226988.6300714, 1737226988.6386402, 1.4897738313674926]","[1737227001.881836, 1737227001.8904269, 1.6109552607536317]","[1737227014.9159179, 1737227014.9245007, 1.5760737345218658]","[1737227027.8270626, 1737227027.8359237, 1.7425284147262574]","[1737227040.8395512, 1737227040.8481722, 1.5659660611152648]"
