epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737226987.6455252, 1737226987.6515243, 0.17382358312606813]","[1737227000.8938532, 1737227000.898735, 0.7459285011291503]","[1737227013.944411, 1737227013.9492948, 0.688913824081421]","[1737227026.851638, 1737227026.8565392, 0.7618771877288819]","[1737227039.844897, 1737227039.849913, 0.8038354003429413]"
"[1737226987.6769254, 1737226987.6815395, 0.14617515563964845]","[1737227000.9216774, 1737227000.9262912, 0.6581140937805176]","[1737227013.9722388, 1737227013.976865, 0.6525914783477784]","[1737227026.880051, 1737227026.8846703, 0.7180702686309816]","[1737227039.8780005, 1737227039.8826656, 0.7244023704528808]"
"[1737226987.7072196, 1737226987.7118273, 0.1459712219238281]","[1737227000.9494495, 1737227000.954066, 0.6584881768226625]","[1737227014.0001483, 1737227014.0047708, 0.6520533695220947]","[1737227026.9408305, 1737227026.9454513, 0.6854064729213715]","[1737227039.9125385, 1737227039.9171867, 0.7217738342285156]"
"[1737226987.731683, 1737226987.7363148, 0.14673408508300784]","[1737227000.9741228, 1737227000.9787672, 0.6624670600891113]","[1737227014.0246046, 1737227014.029246, 0.6231350746154786]","[1737227026.9652715, 1737227026.9699068, 0.6875637297630309]","[1737227039.942048, 1737227039.946728, 0.7266977119445801]"
"[1737226987.757119, 1737226987.7617226, 0.14595318589343376]","[1737227000.9993644, 1737227001.0039759, 0.6543661769628525]","[1737227014.049556, 1737227014.0541599, 0.6180777835845948]","[1737227026.9891953, 1737227026.9938238, 0.6865381486415862]","[1737227039.9707608, 1737227039.9754188, 0.6889251170158386]"
"[1737226987.8052719, 1737226987.8098702, 0.17365318965911866]","[1737227001.0533981, 1737227001.058005, 0.649005800485611]","[1737227014.1100862, 1737227014.114702, 0.6196781921386718]","[1737227027.0134654, 1737227027.018102, 0.6735620572566986]","[1737227040.008689, 1737227040.0133393, 0.6877967143058776]"
"[1737226987.8312528, 1737226987.8358808, 0.1747696409225464]","[1737227001.0777986, 1737227001.0824318, 0.6527003943920135]","[1737227014.1351912, 1737227014.1408153, 0.7514413518905639]","[1737227027.0400736, 1737227027.044682, 0.6694750349521637]","[1737227040.0433352, 1737227040.0479703, 0.6846155408123467]"
"[1737226987.8568118, 1737226987.8614106, 0.1737930238036186]","[1737227001.10338, 1737227001.1079865, 0.6330508580207824]","[1737227014.1620152, 1737227014.1666174, 0.6149083223342895]","[1737227027.0649018, 1737227027.0695405, 0.673873779296875]","[1737227040.0720856, 1737227040.0767424, 0.6780661239624024]"
"[1737226987.882036, 1737226987.8866336, 0.2164810037612915]","[1737227001.1285617, 1737227001.13317, 0.6332802124023438]","[1737227014.187241, 1737227014.1916218, 0.5853144855499268]","[1737227027.08923, 1737227027.093859, 0.6724537122249603]","[1737227040.1009707, 1737227040.1056342, 0.6790381622314453]"
"[1737226987.908414, 1737226987.9130054, 0.2161891293525696]","[1737227001.1553931, 1737227001.159998, 0.6328215036392211]","[1737227014.2141175, 1737227014.2185087, 0.5861667271852493]","[1737227027.1143806, 1737227027.1189806, 0.6735620379447937]","[1737227040.1270876, 1737227040.131688, 0.6698732299804688]"
