epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737461626.0989673, 1737461626.1170373, 0.7429834716320037]","[1737461642.0486515, 1737461642.0490463, 0.036835630416870116]","[1737461660.9615347, 1737461660.9618793, 0.03608310699462891]","[1737461679.9031665, 1737461679.903539, 0.03965829420089722]","[1737461699.7558885, 1737461699.7561727, 0.034342692580382105]"
"[1737461626.3505702, 1737461626.350656, 0.0038355159759521484]","[1737461642.094215, 1737461642.0943239, 0.00954694676399231]","[1737461661.0002475, 1737461661.0003512, 0.010140552520751953]","[1737461679.9520245, 1737461679.9521465, 0.011998291015625]","[1737461699.7994616, 1737461699.7995722, 0.012583953857421875]"
"[1737461626.3818097, 1737461626.3818836, 0.003302805423736572]","[1737461642.1312258, 1737461642.131312, 0.00754146122932434]","[1737461661.0332968, 1737461661.0333812, 0.008252311706542968]","[1737461679.9883208, 1737461679.9883995, 0.007733273506164551]","[1737461699.8346145, 1737461699.8346887, 0.00843450355529785]"
"[1737461626.4129658, 1737461626.413038, 0.003378703594207764]","[1737461642.1645823, 1737461642.1646633, 0.0070560693740844725]","[1737461661.067727, 1737461661.0678215, 0.009231399536132813]","[1737461680.0231647, 1737461680.0232565, 0.00894826054573059]","[1737461699.8676636, 1737461699.867737, 0.008039803504943847]"
"[1737461626.44775, 1737461626.4478228, 0.003401005268096924]","[1737461642.2005074, 1737461642.2006547, 0.012825443744659423]","[1737461661.1092029, 1737461661.1093159, 0.010616310596466064]","[1737461680.0653415, 1737461680.0654237, 0.008018571138381957]","[1737461699.9020586, 1737461699.9021263, 0.007413325309753418]"
"[1737461626.4772944, 1737461626.477364, 0.003256044387817383]","[1737461642.2332613, 1737461642.2333508, 0.007782429456710815]","[1737461661.1474037, 1737461661.147483, 0.007458294153213501]","[1737461680.102249, 1737461680.102341, 0.008971502780914306]","[1737461699.9362643, 1737461699.9363337, 0.00759604811668396]"
"[1737461626.5101027, 1737461626.5101707, 0.004577132463455201]","[1737461642.2683272, 1737461642.268406, 0.007194564342498779]","[1737461661.1810474, 1737461661.1811247, 0.0072567186355590825]","[1737461680.2087183, 1737461680.2088368, 0.011886136531829834]","[1737461699.9686284, 1737461699.968706, 0.008455199003219605]"
"[1737461626.5343957, 1737461626.5344613, 0.004416531324386597]","[1737461642.3013737, 1737461642.3014593, 0.00782681393623352]","[1737461661.212967, 1737461661.2130356, 0.006661766052246094]","[1737461680.2421024, 1737461680.2421782, 0.007320445060729981]","[1737461700.000349, 1737461700.0004125, 0.006920255184173584]"
"[1737461626.5604746, 1737461626.560634, 0.010728156089782715]","[1737461642.3350608, 1737461642.335134, 0.006693125009536743]","[1737461661.245902, 1737461661.2459698, 0.006569241523742676]","[1737461680.2761037, 1737461680.2761805, 0.007412526130676269]","[1737461700.033414, 1737461700.0334826, 0.007492607116699219]"
"[1737461626.587323, 1737461626.5873895, 0.004480771780014038]","[1737461642.366703, 1737461642.366804, 0.009641361236572265]","[1737461661.2791586, 1737461661.2792356, 0.0074713556766510016]","[1737461680.309924, 1737461680.3100014, 0.007481586933135986]","[1737461700.0838861, 1737461700.0839572, 0.008019199848175049]"
"[1737461626.6160727, 1737461626.6161408, 0.006217969417572021]","[1737461642.400184, 1737461642.4002547, 0.006769466400146484]","[1737461661.3138435, 1737461661.3139188, 0.007631969451904297]","[1737461680.3441365, 1737461680.3442068, 0.007056347131729126]","[1737461700.1396434, 1737461700.1397202, 0.00866504144668579]"
"[1737461626.6427066, 1737461626.6427782, 0.006522345542907714]","[1737461642.4352417, 1737461642.4353175, 0.007248115539550781]","[1737461661.349022, 1737461661.3490963, 0.007535362243652343]","[1737461680.3783622, 1737461680.3784344, 0.007247705698013305]","[1737461700.1896067, 1737461700.1897576, 0.01717880344390869]"
"[1737461626.6677005, 1737461626.6677673, 0.006087522506713867]","[1737461642.4692523, 1737461642.469324, 0.007308947324752807]","[1737461661.3853471, 1737461661.3855221, 0.018262243361778473]","[1737461680.4127707, 1737461680.4128435, 0.007295545339584351]","[1737461700.224995, 1737461700.225086, 0.010366987228393555]"
"[1737461626.692722, 1737461626.6927867, 0.005891852140426635]","[1737461642.5019221, 1737461642.5019934, 0.007260382890701293]","[1737461661.4198196, 1737461661.4198968, 0.008223240852355958]","[1737461680.4469101, 1737461680.4469876, 0.008232814073562621]","[1737461700.2600877, 1737461700.2601635, 0.00864307451248169]"
"[1737461626.7208846, 1737461626.7209585, 0.007744042873382568]","[1737461642.5367494, 1737461642.536824, 0.007600333929061889]","[1737461661.4538465, 1737461661.453922, 0.008045578241348267]","[1737461680.480936, 1737461680.4810164, 0.008536794900894165]","[1737461700.2938247, 1737461700.2938983, 0.008398459196090698]"
"[1737461626.7472107, 1737461626.747277, 0.006944657802581787]","[1737461642.572553, 1737461642.5726218, 0.0074691507816314695]","[1737461661.4874713, 1737461661.4875443, 0.008048807144165039]","[1737461680.5172713, 1737461680.5173573, 0.009787863864483352]","[1737461700.3262415, 1737461700.3263083, 0.007610254287719726]"
"[1737461626.7720735, 1737461626.7721374, 0.006694849967956543]","[1737461642.6070213, 1737461642.6070907, 0.007520840406417846]","[1737461661.5209394, 1737461661.5210142, 0.008259233474731445]","[1737461680.5519912, 1737461680.5520663, 0.00884549617767334]","[1737461700.3594158, 1737461700.3594787, 0.00757368278503418]"
"[1737461626.7987068, 1737461626.798769, 0.006519984483718872]","[1737461642.640039, 1737461642.6401062, 0.00728823709487915]","[1737461661.5542035, 1737461661.554282, 0.008653782844543456]","[1737461680.5859418, 1737461680.58602, 0.009210548400878907]","[1737461700.3944926, 1737461700.394572, 0.009553168058395385]"
"[1737461626.82677, 1737461626.8268337, 0.0075367605686187744]","[1737461642.6745236, 1737461642.674596, 0.00854283905029297]","[1737461661.5892615, 1737461661.5893354, 0.008902873992919922]","[1737461680.6202826, 1737461680.6203554, 0.009351637363433838]","[1737461700.4305863, 1737461700.4306521, 0.007917941093444824]"
"[1737461626.8530693, 1737461626.853145, 0.008948138952255248]","[1737461642.7092354, 1737461642.709312, 0.009020563602447509]","[1737461661.6232035, 1737461661.6232731, 0.008385932922363282]","[1737461680.654794, 1737461680.654867, 0.009382298469543457]","[1737461700.4661803, 1737461700.4662437, 0.00838930082321167]"
