epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737461626.2517648, 1737461626.278734, 1.1686830706596378]","[1737461642.0609794, 1737461642.062633, 0.14489632987976075]","[1737461660.9718447, 1737461660.9732556, 0.14777842712402345]","[1737461679.9158146, 1737461679.917542, 0.18368934833068953]","[1737461699.7680914, 1737461699.7696462, 0.17685336875915528]"
"[1737461626.3611956, 1737461626.3621068, 0.04072039461135864]","[1737461642.1039855, 1737461642.1049352, 0.08320675921440124]","[1737461661.0094333, 1737461661.0103288, 0.08755842590332032]","[1737461679.96216, 1737461679.9631238, 0.09472088336944581]","[1737461699.8101943, 1737461699.8111374, 0.10728905487060546]"
"[1737461626.3922036, 1737461626.393063, 0.04019876718521118]","[1737461642.1409457, 1737461642.1418347, 0.0779005787372589]","[1737461661.0424998, 1737461661.0433767, 0.08574011993408202]","[1737461679.9980063, 1737461679.9988728, 0.08515974521636964]","[1737461699.8442476, 1737461699.8451133, 0.09847486305236816]"
"[1737461626.423361, 1737461626.4242113, 0.03976388454437256]","[1737461642.1742089, 1737461642.175091, 0.07678663730621338]","[1737461661.0775363, 1737461661.0784826, 0.09252379989624022]","[1737461680.0330906, 1737461680.0339663, 0.0853687298297882]","[1737461699.8773172, 1737461699.8781734, 0.09373679995536804]"
"[1737461626.4580975, 1737461626.4589465, 0.03970813035964966]","[1737461642.210194, 1737461642.2110915, 0.07811483860015869]","[1737461661.118509, 1737461661.1194053, 0.08419137454032898]","[1737461680.0750341, 1737461680.07591, 0.08539197206497193]","[1737461699.9119372, 1737461699.912804, 0.09488534331321716]"
"[1737461626.4874456, 1737461626.488298, 0.046500072552515315]","[1737461642.2441034, 1737461642.245012, 0.07909023642539978]","[1737461661.1578503, 1737461661.158737, 0.08329548335075379]","[1737461680.1745327, 1737461680.1757412, 0.12122902631759644]","[1737461699.9456584, 1737461699.946522, 0.09454600095748901]"
"[1737461626.5195732, 1737461626.520407, 0.05616221833229065]","[1737461642.277968, 1737461642.278853, 0.08092794799804687]","[1737461661.1902423, 1737461661.1910849, 0.08174542093276979]","[1737461680.2176282, 1737461680.2185304, 0.08947390427089925]","[1737461699.977894, 1737461699.9787517, 0.09357954096794129]"
"[1737461626.5436974, 1737461626.544543, 0.05696522402763367]","[1737461642.3106592, 1737461642.3115206, 0.07876957869529724]","[1737461661.222137, 1737461661.2229776, 0.08156037187576294]","[1737461680.251362, 1737461680.2522054, 0.08142268610000611]","[1737461700.0095534, 1737461700.0104017, 0.09256491708755493]"
"[1737461626.569945, 1737461626.5707948, 0.0572382459640503]","[1737461642.3442583, 1737461642.3451302, 0.07972885394096374]","[1737461661.2550724, 1737461661.2559123, 0.08149097847938538]","[1737461680.2854924, 1737461680.2863595, 0.08372471284866333]","[1737461700.0443387, 1737461700.045187, 0.09256491708755493]"
"[1737461626.5967505, 1737461626.5976076, 0.05773610949516297]","[1737461642.375929, 1737461642.3767796, 0.08130197525024413]","[1737461661.2884564, 1737461661.2893379, 0.08928921222686767]","[1737461680.3194115, 1737461680.3202639, 0.0855133593082428]","[1737461700.111432, 1737461700.112405, 0.10981998181343079]"
"[1737461626.6253834, 1737461626.6262302, 0.07722457122802734]","[1737461642.409393, 1737461642.4102488, 0.08180341720581054]","[1737461661.3230298, 1737461661.32389, 0.08713970184326171]","[1737461680.3534083, 1737461680.3542457, 0.08400641059875488]","[1737461700.1489403, 1737461700.149791, 0.09601511764526367]"
"[1737461626.651988, 1737461626.6528487, 0.0784855580329895]","[1737461642.444089, 1737461642.4449492, 0.08223648071289062]","[1737461661.3581913, 1737461661.3590415, 0.08612532615661621]","[1737461680.3877923, 1737461680.3886466, 0.08570471787452698]","[1737461700.1988547, 1737461700.1998262, 0.11059024333953858]"
"[1737461626.6769524, 1737461626.6777952, 0.07685497164726257]","[1737461642.4785063, 1737461642.4793768, 0.08865437436103821]","[1737461661.3947098, 1737461661.3956146, 0.09631851553916931]","[1737461680.422055, 1737461680.4229212, 0.09203019547462463]","[1737461700.233748, 1737461700.2345946, 0.0963695592880249]"
"[1737461626.70204, 1737461626.702882, 0.07678974819183348]","[1737461642.5111175, 1737461642.5119674, 0.08656610369682312]","[1737461661.4290166, 1737461661.4298708, 0.0909378764629364]","[1737461680.4561486, 1737461680.4570103, 0.09154889249801636]","[1737461700.268785, 1737461700.2696357, 0.09697638320922851]"
"[1737461626.7301502, 1737461626.7310212, 0.09125480198860168]","[1737461642.5459502, 1737461642.5468125, 0.08782877898216247]","[1737461661.4630232, 1737461661.463885, 0.09175004839897156]","[1737461680.4903023, 1737461680.491159, 0.09101692605018616]","[1737461700.3026607, 1737461700.3035026, 0.09597074246406555]"
"[1737461626.7564528, 1737461626.757288, 0.08750768446922302]","[1737461642.581731, 1737461642.5825844, 0.09249858355522156]","[1737461661.4966574, 1737461661.4975002, 0.09298213481903075]","[1737461680.5267394, 1737461680.5276208, 0.10381523609161378]","[1737461700.3354816, 1737461700.3363473, 0.09868869042396546]"
