epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736806552.539332, 1736806552.5443265, 0.1530804398059845]","[1736806567.7854724, 1736806567.7894297, 0.4531234245300293]","[1736806586.4191067, 1736806586.4245071, 0.6128503756523133]","[1736806605.0996408, 1736806605.1038234, 0.49781451296806334]","[1736806623.578488, 1736806623.5830364, 0.6309417343139648]"
"[1736806552.8829095, 1736806552.8867388, 0.14997221589088439]","[1736806567.8207626, 1736806567.8251843, 0.5063035926818847]","[1736806586.453156, 1736806586.457531, 0.49648158550262456]","[1736806605.1313255, 1736806605.1354342, 0.4890176994800568]","[1736806623.6120775, 1736806623.616375, 0.5798240829706192]"
"[1736806552.919206, 1736806552.923908, 0.18415740251541135]","[1736806567.8563998, 1736806567.860933, 0.5190799369812013]","[1736806586.4890723, 1736806586.4933753, 0.48831060791015624]","[1736806605.1688852, 1736806605.1729913, 0.46493155527114866]","[1736806623.6489785, 1736806623.6534808, 0.5775410814285278]"
"[1736806552.9486768, 1736806552.952981, 0.18013788774229564]","[1736806567.89034, 1736806567.8947988, 0.49182651233673097]","[1736806586.5223486, 1736806586.5276604, 0.571494076013565]","[1736806605.2021163, 1736806605.2062385, 0.4667673087120056]","[1736806623.6819227, 1736806623.6864717, 0.5835354709625243]"
"[1736806552.9788175, 1736806552.9826744, 0.16141886806488034]","[1736806567.9266386, 1736806567.9317663, 0.5656228437423707]","[1736806586.5576928, 1736806586.5620089, 0.46437260460853574]","[1736806605.2351506, 1736806605.2398152, 0.5281840598583222]","[1736806623.7177992, 1736806623.7219584, 0.5247137224674224]"
"[1736806553.0078628, 1736806553.0117466, 0.16254641532897948]","[1736806567.9602842, 1736806567.9643712, 0.45082562828063966]","[1736806586.5938568, 1736806586.5987434, 0.5257571067810058]","[1736806605.2710202, 1736806605.2762454, 0.5781402158737183]","[1736806623.7500436, 1736806623.7542503, 0.5306992788314819]"
"[1736806553.0419912, 1736806553.0458324, 0.1607603006362915]","[1736806567.9934065, 1736806567.997764, 0.4710540056228637]","[1736806586.6405964, 1736806586.6457434, 0.553315821647644]","[1736806605.309244, 1736806605.3139527, 0.5210015177726746]","[1736806623.7851126, 1736806623.7895305, 0.5573485398292541]"
"[1736806553.0663838, 1736806553.0702434, 0.1807914934158325]","[1736806568.0258672, 1736806568.0300057, 0.447368574142456]","[1736806586.673375, 1736806586.678928, 0.5969649250507355]","[1736806605.3446352, 1736806605.3496988, 0.5602546954154969]","[1736806623.819606, 1736806623.8246112, 0.6317363915443421]"
"[1736806553.091728, 1736806553.0955973, 0.1812493913173676]","[1736806568.059416, 1736806568.064597, 0.5600483417510986]","[1736806586.7081265, 1736806586.712409, 0.46169786024093634]","[1736806605.378006, 1736806605.3823762, 0.4876414275169373]","[1736806623.8565774, 1736806623.8608537, 0.5397429580688478]"
"[1736806553.1172168, 1736806553.121092, 0.18152859735488894]","[1736806568.092693, 1736806568.0968947, 0.46673615741729735]","[1736806586.7410963, 1736806586.7453656, 0.4602841322422028]","[1736806605.4101243, 1736806605.4143767, 0.4744993181228638]","[1736806623.8888373, 1736806623.8930485, 0.5315276465415955]"
"[1736806553.1422148, 1736806553.1464381, 0.20376180581841427]","[1736806568.1254501, 1736806568.1321573, 0.7450616569519043]","[1736806586.7737854, 1736806586.7778306, 0.43612223553657536]","[1736806605.444779, 1736806605.4489143, 0.4614370191097259]","[1736806623.923076, 1736806623.9273574, 0.5450889816284179]"
"[1736806553.1683822, 1736806553.1723344, 0.21110627126693726]","[1736806568.1613011, 1736806568.165665, 0.4847456102371216]","[1736806586.8066716, 1736806586.810949, 0.4770103685855865]","[1736806605.4768496, 1736806605.4822972, 0.6242271335124969]","[1736806623.9552047, 1736806623.9593573, 0.5286677131652833]"
"[1736806553.1933284, 1736806553.1972075, 0.2071966600418091]","[1736806568.1950316, 1736806568.199417, 0.49705809307098386]","[1736806586.8397744, 1736806586.8441288, 0.4855982036590576]","[1736806605.511039, 1736806605.5166783, 0.6461921479701996]","[1736806623.9885533, 1736806623.9927764, 0.5376523628234864]"
"[1736806553.2183275, 1736806553.2222714, 0.21066055011749268]","[1736806568.2319376, 1736806568.237515, 0.6321452631950378]","[1736806586.873025, 1736806586.8775566, 0.5053528831005096]","[1736806605.5458472, 1736806605.5509877, 0.5890393989086151]","[1736806624.0216553, 1736806624.025783, 0.5282228701114655]"
"[1736806553.244129, 1736806553.2480252, 0.23347972763749233]","[1736806568.2722127, 1736806568.2777302, 0.6296575659761587]","[1736806586.9064808, 1736806586.9108043, 0.49715293073654176]","[1736806605.5794885, 1736806605.5837264, 0.5013932704925537]","[1736806624.0541978, 1736806624.058171, 0.5084522688388824]"
"[1736806553.2684672, 1736806553.2723997, 0.35815025568008424]","[1736806568.3073382, 1736806568.3119872, 0.5312092864513397]","[1736806586.9394982, 1736806586.943727, 0.4862689716815949]","[1736806605.6140482, 1736806605.6181002, 0.47939120292663573]","[1736806624.086886, 1736806624.0909445, 0.5193749158382416]"
"[1736806553.29386, 1736806553.2977607, 0.3552622973918915]","[1736806568.340999, 1736806568.3455021, 0.5145638751983642]","[1736806586.972074, 1736806586.9766903, 0.5308191819190979]","[1736806605.6462631, 1736806605.651523, 0.6223200187683106]","[1736806624.1199288, 1736806624.1241844, 0.5565258677005767]"
"[1736806553.3213148, 1736806553.3262465, 0.44915351271629333]","[1736806568.3754156, 1736806568.379583, 0.5124384675025939]","[1736806587.011816, 1736806587.0159972, 0.5076539170742035]","[1736806605.6800678, 1736806605.685632, 0.6719232091903686]","[1736806624.1586957, 1736806624.1632423, 0.5945962405204772]"
"[1736806553.349723, 1736806553.3544164, 0.4945157516002655]","[1736806568.4091308, 1736806568.4136443, 0.5550073018074035]","[1736806587.0445855, 1736806587.048795, 0.5110986804962159]","[1736806605.7144523, 1736806605.7202477, 0.6998504314422607]","[1736806624.1950903, 1736806624.199968, 0.6379047973155975]"
"[1736806553.3748589, 1736806553.378726, 0.4074699258804322]","[1736806568.4427874, 1736806568.4472237, 0.5455084710121154]","[1736806587.0781236, 1736806587.0828133, 0.5693991303443909]","[1736806605.7501166, 1736806605.7560246, 0.7134397602081298]","[1736806624.2306705, 1736806624.2360313, 0.742551634311676]"
"[1736806553.4001017, 1736806553.4039888, 0.4095801277160645]","[1736806568.4762747, 1736806568.480434, 0.5595512831211089]","[1736806587.111547, 1736806587.116032, 0.5949657583236694]","[1736806605.7859743, 1736806605.7902906, 0.5740675678253174]","[1736806624.2655394, 1736806624.2697563, 0.5841009898185731]"
"[1736806553.4251647, 1736806553.4290748, 0.41199178695678706]","[1736806568.5154638, 1736806568.5197465, 0.5761662194728852]","[1736806587.1453803, 1736806587.1498516, 0.5931629276275634]","[1736806605.8190022, 1736806605.8248737, 0.7809081966876983]","[1736806624.298545, 1736806624.302771, 0.5853889379501342]"
"[1736806553.452529, 1736806553.4574199, 0.5909746012687683]","[1736806568.5489862, 1736806568.553401, 0.5939358618259429]","[1736806587.181224, 1736806587.1863935, 0.6857714939117432]","[1736806605.86327, 1736806605.86764, 0.6325756061077118]","[1736806624.3311129, 1736806624.3352273, 0.6089913499355315]"
"[1736806553.481587, 1736806553.4856596, 0.4921043257713318]","[1736806568.5826023, 1736806568.5870442, 0.652308697938919]","[1736806587.2171261, 1736806587.2222185, 0.7391338479518891]","[1736806605.8966074, 1736806605.901819, 0.7544039595127106]","[1736806624.3643775, 1736806624.3686001, 0.6250127947330474]"
"[1736806553.5070958, 1736806553.5109055, 0.46032870984077456]","[1736806568.6167583, 1736806568.621103, 0.6380237991809845]","[1736806587.2511575, 1736806587.2554832, 0.6278433167934419]","[1736806605.9312682, 1736806605.9367614, 0.7951629638671874]","[1736806624.39755, 1736806624.4018836, 0.6414224243164062]"
"[1736806553.5346093, 1736806553.5394251, 0.5818999693393707]","[1736806568.6501377, 1736806568.6544561, 0.6341724784374236]","[1736806587.2844305, 1736806587.2885458, 0.5973214733600617]","[1736806605.9658153, 1736806605.97141, 0.8652474317550659]","[1736806624.4307413, 1736806624.4351947, 0.7098218088150025]"
"[1736806553.5610971, 1736806553.5649345, 0.5230227255821228]","[1736806568.6835794, 1736806568.688, 0.7042063388824463]","[1736806587.3239086, 1736806587.3280535, 0.6530715465545653]","[1736806606.001436, 1736806606.0058088, 0.6762764487266539]","[1736806624.4643288, 1736806624.4687634, 0.706819725036621]"
"[1736806553.5859776, 1736806553.5898178, 0.5234126772880554]","[1736806568.717275, 1736806568.7218947, 0.7359584827423096]","[1736806587.3565657, 1736806587.3607533, 0.6597957229614257]","[1736806606.0356174, 1736806606.041839, 0.9621849370002745]","[1736806624.497635, 1736806624.502139, 0.7179160346984864]"
"[1736806553.6107507, 1736806553.6147916, 0.5507742886543274]","[1736806568.7509878, 1736806568.7554543, 0.711536678314209]","[1736806587.3929873, 1736806587.397249, 0.6714785099029541]","[1736806606.071815, 1736806606.0762308, 0.7388389585018157]","[1736806624.5313215, 1736806624.5356283, 0.7356433486938477]"
"[1736806553.6364133, 1736806553.6407375, 0.5893795075416565]","[1736806568.7854576, 1736806568.789705, 0.7295890283584595]","[1736806587.4264042, 1736806587.4307384, 0.7346748290061951]","[1736806606.1050425, 1736806606.1112025, 1.0306885249614715]","[1736806624.5646124, 1736806624.568687, 0.6959779024124146]"
"[1736806553.6619847, 1736806553.6660106, 0.6050740442276001]","[1736806568.8199039, 1736806568.8242042, 0.7386807355880737]","[1736806587.4595187, 1736806587.463991, 0.7580741758346558]","[1736806606.1413753, 1736806606.1459227, 0.7608593194484711]","[1736806624.5973644, 1736806624.6015298, 0.7114938521385193]"
"[1736806553.6880362, 1736806553.691895, 0.5799551939964295]","[1736806568.8538866, 1736806568.8583324, 0.7636624536514282]","[1736806587.4934483, 1736806587.4996076, 1.0440392503738405]","[1736806606.1751587, 1736806606.179485, 0.7787894263267516]","[1736806624.6347406, 1736806624.639128, 0.7997094511985778]"
"[1736806553.713525, 1736806553.7174854, 0.5952200016975403]","[1736806568.88776, 1736806568.8921428, 0.8074390747547151]","[1736806587.5295143, 1736806587.5338442, 0.7851660096645356]","[1736806606.2082734, 1736806606.2125247, 0.7652702667713165]","[1736806624.741588, 1736806624.7458324, 0.8225761442184448]"
"[1736806553.738202, 1736806553.7420537, 0.5788802075386048]","[1736806568.9288023, 1736806568.9334574, 0.857599300146103]","[1736806587.5627801, 1736806587.5669146, 0.7497144305706024]","[1736806606.2487934, 1736806606.2532644, 0.804840632200241]","[1736806624.7750769, 1736806624.7795823, 0.8731727557182312]"
"[1736806553.7625864, 1736806553.7665696, 0.6591935484409333]","[1736806568.9639869, 1736806568.9688056, 0.8877305738925935]","[1736806587.5957413, 1736806587.5999253, 0.7587070262432098]","[1736806606.282279, 1736806606.2867298, 0.8445300254821777]","[1736806624.8085663, 1736806624.8127234, 0.8056644001007081]"
"[1736806553.788122, 1736806553.791949, 0.6333497838973999]","[1736806568.9985461, 1736806569.0033038, 0.9049321961402892]","[1736806587.628541, 1736806587.6329114, 0.8315394840240479]","[1736806606.3154576, 1736806606.3196828, 0.801733507156372]","[1736806624.8416727, 1736806624.8461428, 0.855824898481369]"
"[1736806553.8139398, 1736806553.8186083, 0.772590463399887]","[1736806569.035915, 1736806569.0413756, 1.0386653480529786]","[1736806587.6618261, 1736806587.6662815, 0.8476885242462159]","[1736806606.3484771, 1736806606.3528962, 0.8385131788253783]","[1736806624.8769712, 1736806624.881433, 0.854227273464203]"
"[1736806553.8413427, 1736806553.8453627, 0.6652697923183442]","[1736806569.0716274, 1736806569.0759156, 0.81564071559906]","[1736806587.6967757, 1736806587.7013967, 0.8806000408896595]","[1736806606.3821409, 1736806606.386301, 0.8047133486270903]","[1736806624.9113657, 1736806624.9165905, 1.0002958464622498]"
"[1736806553.8669374, 1736806553.8708093, 0.6996903800964356]","[1736806569.105274, 1736806569.1100125, 0.9107767045497894]","[1736806587.730197, 1736806587.7346485, 0.8655745017528533]","[1736806606.4146435, 1736806606.4191473, 0.8711694169044494]","[1736806624.9474573, 1736806624.952492, 0.9706671552658082]"
"[1736806553.891878, 1736806553.8958044, 0.7095567038059235]","[1736806569.1401823, 1736806569.144609, 0.8508372867107392]","[1736806587.763838, 1736806587.768923, 0.988751163482666]","[1736806606.448025, 1736806606.4524162, 0.849401710987091]","[1736806624.9811614, 1736806624.9851842, 0.7755868215560913]"
"[1736806553.9191508, 1736806553.9235427, 0.7936574194431305]","[1736806569.1750054, 1736806569.1795254, 0.8687549567222597]","[1736806587.797924, 1736806587.8023696, 0.8676635282039643]","[1736806606.4810777, 1736806606.4853451, 0.8414182016849517]","[1736806625.013854, 1736806625.0184028, 0.8773266334135882]"
"[1736806553.9457707, 1736806553.9496946, 0.7365124292373657]","[1736806569.2093768, 1736806569.2137475, 0.8368733806610107]","[1736806587.8333485, 1736806587.8385193, 1.0203997001647949]","[1736806606.514069, 1736806606.5184143, 0.856743210554123]","[1736806625.0586805, 1736806625.0628002, 0.7982327644824982]"
"[1736806553.9706886, 1736806553.9746056, 0.7617152893543244]","[1736806569.246333, 1736806569.2521427, 1.1124225692749024]","[1736806587.866922, 1736806587.8711188, 0.828204349040985]","[1736806606.5472922, 1736806606.5516133, 0.8519952783584595]","[1736806625.091634, 1736806625.095969, 0.839948383808136]"
"[1736806553.9954388, 1736806553.999602, 0.8096093726158142]","[1736806569.282, 1736806569.2865121, 0.8644288450152897]","[1736806587.9003613, 1736806587.9056866, 1.0476496505737305]","[1736806606.581855, 1736806606.5873854, 1.0923617162704466]","[1736806625.1251485, 1736806625.129814, 0.8994282684326171]"
"[1736806554.023418, 1736806554.028194, 0.9287650299072265]","[1736806569.3231742, 1736806569.329931, 1.2975319766998292]","[1736806587.9374514, 1736806587.942908, 1.0725334639549255]","[1736806606.617172, 1736806606.6226113, 1.0743723139762877]","[1736806625.1586924, 1736806625.163388, 0.905265727043152]"
