epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737471809.0211656, 1737471809.0430515, 1.5522554636001584]","[1737471844.9265132, 1737471844.947552, 2.621893679141998]","[1737471880.6042626, 1737471880.6260142, 2.552402953863144]","[1737471914.6052756, 1737471914.6258836, 2.740231670379639]","[1737471948.598666, 1737471948.6193469, 2.670752673625946]"
"[1737471809.115879, 1737471809.130044, 1.004633113861084]","[1737471845.0155244, 1737471845.0340853, 2.3418723945595854]","[1737471880.6933417, 1737471880.706535, 1.4231159310340882]","[1737471914.6946948, 1737471914.7058015, 1.4180072629451754]","[1737471948.6774385, 1737471948.691617, 1.6874275438785555]"
"[1737471809.2180429, 1737471809.2347198, 1.2557207479476928]","[1737471845.0991848, 1737471845.1147218, 1.9609898896217346]","[1737471880.7690928, 1737471880.782143, 1.4417208046913146]","[1737471914.7680843, 1737471914.7805681, 1.5859838778972628]","[1737471948.7581053, 1737471948.7726102, 1.7597501273155212]"
"[1737471809.297141, 1737471809.3135629, 1.4274809427261355]","[1737471845.2207875, 1737471845.2366242, 1.9995278873443603]","[1737471880.8442369, 1737471880.858774, 1.6281990525722505]","[1737471914.8426673, 1737471914.8565192, 1.7685112063884736]","[1737471948.8352268, 1737471948.848764, 1.6392893691062926]"
"[1737471809.378244, 1737471809.391622, 1.2928503913879394]","[1737471845.3105192, 1737471845.3228216, 1.5560021162033082]","[1737471880.921962, 1737471880.9345622, 1.465350938796997]","[1737471914.9177907, 1737471914.9306688, 1.7002946766614913]","[1737471948.909664, 1737471948.9235494, 1.6768682861328124]"
"[1737471809.45234, 1737471809.4684224, 1.5541991579532626]","[1737471845.3848174, 1737471845.4024866, 2.238705422878265]","[1737471881.0039666, 1737471881.0157967, 1.4312872774600982]","[1737471915.012956, 1737471915.0258706, 1.7502931957244874]","[1737471948.983209, 1737471948.9978478, 1.872534990310669]"
"[1737471809.539415, 1737471809.555882, 1.7594761047363279]","[1737471845.4687688, 1737471845.4849443, 2.157845184803009]","[1737471881.075937, 1737471881.0904174, 1.822902603149414]","[1737471915.0877192, 1737471915.1005895, 1.7808392944335936]","[1737471949.060345, 1737471949.0725017, 1.6009677329063414]"
"[1737471809.6252484, 1737471809.6421056, 2.1578328437805174]","[1737471845.547812, 1737471845.5648487, 2.4861792247295385]","[1737471881.148806, 1737471881.1644678, 2.0685800743103027]","[1737471915.1623545, 1737471915.1769397, 2.1037919938564307]","[1737471949.1417537, 1737471949.1530135, 1.5364354712963104]"
"[1737471809.7086825, 1737471809.7235167, 2.1359121642112733]","[1737471845.6278946, 1737471845.6414044, 2.1592769107818603]","[1737471881.2258615, 1737471881.2402148, 1.96995832824707]","[1737471915.24634, 1737471915.2576222, 1.7565717158317564]","[1737471949.212767, 1737471949.2266493, 1.9086076898574829]"
"[1737471809.7909546, 1737471809.8095243, 2.7559117753505706]","[1737471845.705143, 1737471845.7218266, 2.716732928276062]","[1737471881.309769, 1737471881.3215668, 1.795440571784973]","[1737471915.3180013, 1737471915.3317783, 2.282949231147766]","[1737471949.2865915, 1737471949.3003173, 2.0695148277282716]"
