timestamp,power_in_watts,step
1736867997.3557446,53.785,idle
1736867997.4495623,44.075,idle
1736867997.5415764,44.768,idle
1736867997.6350665,44.768,idle
1736867997.7147613,45.375,idle
1736867997.7211988,45.375,idle
1736867997.723572,45.375,idle
1736867997.7256658,45.375,idle
1736867997.727733,45.375,idle
1736867997.7297945,45.375,idle
1736867997.731855,45.375,idle
1736867997.7339158,45.375,idle
1736867997.7359793,45.375,idle
1736867997.7380428,45.375,idle
1736867997.7401035,45.917,idle
1736867997.742164,45.917,idle
1736867997.7442243,45.917,idle
1736867997.746285,45.917,idle
1736867997.7483456,45.917,idle
1736867997.7504103,45.917,idle
1736867997.7524776,45.917,idle
1736867997.7545469,45.917,idle
1736867997.7566185,45.917,idle
1736867997.758692,45.917,idle
1736867997.7607737,45.917,idle
1736867997.7628498,45.917,idle
1736867997.7649257,45.917,idle
1736867997.7670004,45.917,idle
1736867997.7690828,45.917,idle
1736867997.771176,45.917,idle
1736867997.7732656,45.917,idle
1736867997.7753446,45.917,idle
1736867997.7774272,45.917,idle
1736867997.7795029,45.917,idle
1736867997.7815788,45.917,idle
1736867997.783654,45.917,idle
1736867997.7857356,45.917,idle
1736867997.7878263,45.917,idle
1736867997.7899148,45.917,idle
1736867997.7919846,45.917,idle
1736867997.7940688,45.917,idle
1736867997.7961445,45.917,idle
1736867997.798222,45.917,idle
1736867997.800301,45.917,idle
1736867997.8023818,45.917,idle
1736867997.804454,45.917,idle
1736867997.8065326,45.917,idle
1736867997.8086057,45.917,idle
1736867997.8106782,45.917,idle
1736867997.8127522,45.917,idle
1736867997.8148358,45.917,idle
1736867997.8169122,45.917,idle
1736867997.818995,45.917,idle
1736867997.821078,45.917,idle
1736867997.8231614,45.917,idle
1736867997.825249,45.917,idle
1736867997.8273296,45.917,idle
1736867997.829403,45.917,idle
1736867997.831467,45.917,idle
1736867997.833527,45.917,idle
1736867997.8355875,45.917,idle
1736867997.837906,45.917,idle
1736867997.8399804,46.407,idle
1736867997.8420436,46.407,idle
1736867997.8441167,46.407,idle
1736867997.846183,46.407,idle
1736867997.8482535,46.407,idle
1736867997.8503292,46.407,idle
1736867997.8524053,46.407,idle
1736867997.8544817,46.407,idle
1736867997.8565571,46.407,idle
1736867997.8586326,46.407,idle
1736867997.8607066,46.407,idle
1736867997.862782,46.407,idle
1736867997.8648567,46.407,idle
1736867997.866931,46.407,idle
1736867997.8690107,46.407,idle
1736867997.8710897,46.407,idle
1736867997.8731582,46.407,idle
1736867997.8752244,46.407,idle
1736867997.8772895,46.407,idle
1736867997.8793535,46.407,idle
1736867997.8814185,46.407,idle
1736867997.8834825,46.407,idle
1736867997.885546,46.407,idle
1736867997.8876083,46.407,idle
1736867997.889671,46.407,idle
1736867997.8917336,46.407,idle
1736867997.893797,46.407,idle
1736867997.8958592,46.407,idle
1736867997.897921,46.407,idle
1736867997.8999786,46.407,idle
1736867997.902042,46.407,idle
1736867997.9041038,46.407,idle
1736867997.9061646,46.407,idle
1736867997.908227,46.407,idle
1736867997.9102886,46.407,idle
1736867997.9123511,46.407,idle
1736867997.9144166,46.407,idle
1736867997.916482,46.407,idle
1736867997.918543,46.407,idle
1736867997.9206028,46.407,idle
1736867997.9226632,46.407,idle
1736867997.924724,46.407,idle
1736867997.9267857,46.407,idle
1736867997.9288492,46.407,idle
1736867997.9309144,46.407,idle
1736867997.9329827,46.407,idle
1736867997.9350564,46.407,idle
1736867997.9371302,46.407,idle
1736867997.9392035,46.407,idle
1736867997.9412775,46.838,idle
1736867997.9433515,46.838,idle
1736867997.945426,46.838,idle
1736867997.9475,46.838,idle
1736867997.949575,46.838,idle
1736867997.951649,46.838,idle
1736867997.953723,46.838,idle
1736867997.9559588,46.838,idle
1736867997.95875,46.838,idle
1736867997.9608378,46.838,to_device
1736867997.9629178,46.838,to_device
1736867997.9649932,46.838,to_device
1736867997.967068,46.838,to_device
1736867997.9691443,46.838,to_device
1736867997.9712234,46.838,to_device
1736867997.9733024,46.838,forward
1736867997.9753897,46.838,forward
1736867997.9774718,46.838,forward
1736867997.9795516,46.838,forward
1736867997.9816334,46.838,forward
1736867997.9837143,46.838,forward
1736867997.9858258,46.838,forward
1736867997.9879076,46.838,forward
1736867997.9900773,46.838,forward
1736867997.9921668,46.838,forward
1736867997.994247,46.838,forward
1736867997.9963274,46.838,forward
1736867997.9984078,46.838,forward
1736867998.000489,46.838,forward
1736867998.002596,46.838,backward
1736867998.004683,46.838,backward
1736867998.0067627,46.838,backward
1736867998.0088422,46.838,backward
1736867998.0109224,46.838,backward
1736867998.0130053,46.838,backward
1736867998.0150928,46.838,backward
1736867998.017173,46.838,backward
1736867998.019253,46.838,backward
1736867998.0213327,46.838,backward
1736867998.0234137,46.838,backward
1736867998.0254943,46.838,backward
1736867998.027574,46.838,backward
1736867998.0296545,46.838,backward
1736867998.0317338,46.838,backward
1736867998.033815,46.838,backward
1736867998.0358937,46.838,backward
1736867998.037968,46.838,backward
1736867998.0400434,46.838,backward
1736867998.0421193,45.306,backward
1736867998.0441945,45.306,backward
1736867998.0462718,45.306,backward
1736867998.048345,45.306,backward
1736867998.0504198,45.306,backward
1736867998.0524976,45.306,idle
1736867998.0545826,45.306,idle
