epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736868624.3329682, 1736868624.3524094, 0.8246537580490114]","[1736868664.3862097, 1736868664.4048824, 2.2287740325927734]","[1736868704.1060898, 1736868704.1246667, 2.171727877100341]","[1736868743.9650962, 1736868743.9836411, 2.072227049589157]","[1736868783.4747136, 1736868783.493327, 2.3007389283180237]"
"[1736868624.4323833, 1736868624.451421, 0.9029021143913268]","[1736868664.4789193, 1736868664.4972641, 2.0153317337036136]","[1736868704.1966763, 1736868704.2149942, 1.9651300547122954]","[1736868744.0539424, 1736868744.072262, 2.072105272769928]","[1736868783.5636747, 1736868783.5819883, 2.060248583316803]"
"[1736868624.5275307, 1736868624.546632, 1.23404473900795]","[1736868664.571443, 1736868664.5897324, 2.0758386850357056]","[1736868704.282198, 1736868704.3004062, 1.9775814864635468]","[1736868744.1419253, 1736868744.160193, 2.102366909980774]","[1736868783.6486914, 1736868783.6669598, 2.0944111540317536]"
"[1736868624.6350324, 1736868624.6532853, 1.3643640003204345]","[1736868664.6623197, 1736868664.680664, 2.1179341089725496]","[1736868704.3659675, 1736868704.3842094, 2.05744718170166]","[1736868744.2279172, 1736868744.2462406, 2.1304275684356693]","[1736868783.734604, 1736868783.752882, 2.1898286781311036]"
"[1736868624.7209759, 1736868624.73919, 1.5437831335067753]","[1736868664.7529416, 1736868664.7712176, 2.1451572924852367]","[1736868704.4564004, 1736868704.4746258, 2.0818545827865598]","[1736868744.3211794, 1736868744.3394547, 2.2527731389999395]","[1736868783.8272672, 1736868783.8455732, 2.262798416137695]"
"[1736868624.815665, 1736868624.833934, 1.7581231856346131]","[1736868664.8422024, 1736868664.8605218, 2.192187215089798]","[1736868704.5407577, 1736868704.5590224, 2.3364659729003905]","[1736868744.415842, 1736868744.434412, 2.472086959838867]","[1736868783.913538, 1736868783.931796, 2.273564465284348]"
"[1736868624.9084966, 1736868624.9267335, 2.4414617121219635]","[1736868664.9344018, 1736868664.9526708, 2.3783030347824097]","[1736868704.625574, 1736868704.6437967, 2.419405039787293]","[1736868744.509372, 1736868744.5276823, 2.7128186802864076]","[1736868784.0035546, 1736868784.0217767, 2.3421585764884947]"
"[1736868625.0064647, 1736868625.024712, 2.7110476541519164]","[1736868665.0286033, 1736868665.0469315, 2.6806627192497245]","[1736868704.708835, 1736868704.7270958, 2.6595986480712894]","[1736868744.6005297, 1736868744.618855, 2.999947955608368]","[1736868784.0955803, 1736868784.1139767, 2.6808305168151856]"
"[1736868625.0995414, 1736868625.117796, 2.9861654102802273]","[1736868665.1185188, 1736868665.136788, 2.958437099933624]","[1736868704.7966008, 1736868704.8148446, 2.9741025924682623]","[1736868744.6857188, 1736868744.7039592, 3.280089247226715]","[1736868784.184902, 1736868784.203134, 2.952543898105622]"
"[1736868625.19129, 1736868625.2095506, 3.2590450150966643]","[1736868665.2099895, 1736868665.2283092, 3.2434863805770875]","[1736868704.8822863, 1736868704.9005408, 3.3011471271514896]","[1736868744.772317, 1736868744.7905955, 3.607957778453827]","[1736868784.271624, 1736868784.2898514, 3.240255789518357]"
"[1736868625.2772944, 1736868625.2955709, 3.372063099145889]","[1736868665.3099828, 1736868665.3282762, 3.537189805984498]","[1736868704.9672172, 1736868704.985468, 3.598473019838334]","[1736868744.8571548, 1736868744.8754199, 3.6854606828689573]","[1736868784.3567193, 1736868784.374909, 3.5331976189613346]"
"[1736868625.364375, 1736868625.3825781, 3.5374657073020934]","[1736868665.39984, 1736868665.418107, 3.816196279764175]","[1736868705.0524578, 1736868705.0707572, 3.8658456249237063]","[1736868744.941494, 1736868744.9598188, 3.878821420669555]","[1736868784.4398215, 1736868784.4580655, 3.779543344259262]"
"[1736868625.4501386, 1736868625.468345, 3.8701801297664646]","[1736868665.4916139, 1736868665.5099082, 4.0746422204971315]","[1736868705.1413658, 1736868705.1596136, 4.120855593442917]","[1736868745.028009, 1736868745.0462692, 4.122924934148788]","[1736868784.530238, 1736868784.5485237, 4.382216880798339]"
"[1736868625.5443103, 1736868625.562543, 4.061545109510422]","[1736868665.5832348, 1736868665.6015322, 4.332448090314865]","[1736868705.2289367, 1736868705.2472024, 4.2475666496753695]","[1736868745.113918, 1736868745.1322334, 4.455493478775024]","[1736868784.6198149, 1736868784.6380692, 4.377157314300537]"
"[1736868625.6326556, 1736868625.650883, 4.134762440681458]","[1736868665.6725705, 1736868665.690855, 4.3346838922500615]","[1736868705.3138678, 1736868705.3321316, 4.429286067008972]","[1736868745.2060282, 1736868745.2243388, 4.5188049316406245]","[1736868784.7052739, 1736868784.7235017, 4.440004241943359]"
