epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737466133.0187173, 1737466133.021053, 0.1777360272431838]","[1737466167.9984324, 1737466167.999103, 0.1368954470157623]","[1737466204.2923448, 1737466204.2935054, 0.21813883781433105]","[1737466240.78826, 1737466240.7897432, 0.26954674553871155]","[1737466275.8778174, 1737466275.8787029, 0.15715793323516847]"
"[1737466133.0946946, 1737466133.0951314, 0.0332374267578125]","[1737466168.0690196, 1737466168.0697198, 0.1316624550819397]","[1737466204.364677, 1737466204.3652995, 0.10678365397453307]","[1737466240.8880048, 1737466240.8884587, 0.081086181640625]","[1737466275.9480171, 1737466275.9485002, 0.08573020267486572]"
"[1737466133.164242, 1737466133.164658, 0.037134103775024414]","[1737466168.1557055, 1737466168.1563299, 0.11797321486473084]","[1737466204.435178, 1737466204.435696, 0.08942667961120605]","[1737466240.9582815, 1737466240.958693, 0.07350564575195312]","[1737466276.0183477, 1737466276.0187435, 0.07051480770111085]"
"[1737466133.2312088, 1737466133.2316966, 0.047809678081578426]","[1737466168.223275, 1737466168.2237067, 0.08157674384117126]","[1737466204.5039015, 1737466204.5051248, 0.21125612020492554]","[1737466241.024885, 1737466241.0252774, 0.07001507425308227]","[1737466276.0858848, 1737466276.0862637, 0.06878234696388244]"
"[1737466133.2998843, 1737466133.3002923, 0.042042105436325077]","[1737466168.296443, 1737466168.2973154, 0.1645907235145569]","[1737466204.5795236, 1737466204.5798995, 0.06594946575164795]","[1737466241.0921783, 1737466241.092578, 0.07235128021240234]","[1737466276.153316, 1737466276.1536932, 0.06847934103012085]"
"[1737466133.3666902, 1737466133.3670726, 0.044600893974304195]","[1737466168.3681893, 1737466168.3685672, 0.07188175797462464]","[1737466204.6488307, 1737466204.6492622, 0.07495420217514039]","[1737466241.1598773, 1737466241.1602964, 0.07589113998413086]","[1737466276.2194192, 1737466276.2197926, 0.06796410369873047]"
"[1737466133.4339013, 1737466133.4342694, 0.048143613815307615]","[1737466168.4370902, 1737466168.437455, 0.06984740896205698]","[1737466204.7178805, 1737466204.718243, 0.06442680358886718]","[1737466241.227153, 1737466241.227693, 0.09879414796829224]","[1737466276.2886436, 1737466276.289007, 0.06749079322814942]"
"[1737466133.4995115, 1737466133.4999156, 0.0528519594669342]","[1737466168.5043252, 1737466168.504701, 0.07213754272460937]","[1737466204.7844634, 1737466204.7848613, 0.07074232578277588]","[1737466241.293255, 1737466241.293623, 0.06904442930221558]","[1737466276.3543394, 1737466276.3550527, 0.1325016098022461]"
"[1737466133.5658, 1737466133.5661678, 0.052087006807327266]","[1737466168.572419, 1737466168.5727682, 0.06813293099403381]","[1737466204.852182, 1737466204.8525171, 0.06309814119338988]","[1737466241.3599255, 1737466241.3603666, 0.08278172016143798]","[1737466276.429485, 1737466276.430097, 0.11561801528930664]"
"[1737466133.6317341, 1737466133.6320963, 0.07033467054367065]","[1737466168.6398952, 1737466168.6402495, 0.07855036291035514]","[1737466204.9203238, 1737466204.9208138, 0.10184741377830506]","[1737466241.4271028, 1737466241.4274914, 0.08051398754119873]","[1737466276.499248, 1737466276.49967, 0.08752129554748535]"
"[1737466133.6986237, 1737466133.699026, 0.0781599235534668]","[1737466168.7072785, 1737466168.7076285, 0.07800625991821289]","[1737466204.9888575, 1737466204.9891798, 0.06700618171691894]","[1737466241.4942381, 1737466241.4947786, 0.12249074196815492]","[1737466276.5660126, 1737466276.5663724, 0.0746156129837036]"
"[1737466133.7658694, 1737466133.766246, 0.07808642387390137]","[1737466168.7757595, 1737466168.7761497, 0.08698654460906982]","[1737466205.057409, 1737466205.0578067, 0.09011756801605225]","[1737466241.562073, 1737466241.5624738, 0.09082793879508973]","[1737466276.6329236, 1737466276.63332, 0.08950724291801453]"
"[1737466133.8331115, 1737466133.8334956, 0.08793985962867737]","[1737466168.8442457, 1737466168.8446226, 0.09063705325126649]","[1737466205.1269424, 1737466205.1272678, 0.07994499564170837]","[1737466241.6309326, 1737466241.6313162, 0.09392902088165284]","[1737466276.7033963, 1737466276.7039964, 0.14754828000068665]"
"[1737466133.9013574, 1737466133.901747, 0.08919536352157593]","[1737466168.9116535, 1737466168.9120555, 0.09665659189224243]","[1737466205.1949902, 1737466205.1953201, 0.08105778312683105]","[1737466241.698707, 1737466241.6991982, 0.1301679277420044]","[1737466276.7726157, 1737466276.7729728, 0.08781379556655883]"
"[1737466133.9678109, 1737466133.9682322, 0.10462207317352296]","[1737466168.9791713, 1737466168.979533, 0.10096614027023317]","[1737466205.2773423, 1737466205.2777185, 0.09996398305892944]","[1737466241.7658982, 1737466241.7663767, 0.1268189470767975]","[1737466276.8395083, 1737466276.8398666, 0.09501467943191527]"
"[1737466134.0347662, 1737466134.0352032, 0.11796776962280273]","[1737466169.048032, 1737466169.0484717, 0.131569580078125]","[1737466205.3472142, 1737466205.3475623, 0.09764338970184328]","[1737466241.832949, 1737466241.8333604, 0.11657556581497192]","[1737466276.9066534, 1737466276.90702, 0.10399705314636232]"
"[1737466134.1021516, 1737466134.102559, 0.10998740768432616]","[1737466169.1158419, 1737466169.1162083, 0.10966510009765626]","[1737466205.4153109, 1737466205.4156759, 0.10239180111885071]","[1737466241.9001842, 1737466241.9005687, 0.11695594453811646]","[1737466276.9758513, 1737466276.976423, 0.1669872982437444]"
"[1737466134.168075, 1737466134.168496, 0.12175723671913147]","[1737466169.1836007, 1737466169.1839933, 0.11740994453430176]","[1737466205.483402, 1737466205.4839058, 0.15144487237930299]","[1737466241.96678, 1737466241.9671485, 0.11209788608551026]","[1737466277.045252, 1737466277.0456011, 0.10614975929260254]"
"[1737466134.235691, 1737466134.236134, 0.1321405611038208]","[1737466169.2515848, 1737466169.2519505, 0.1108397421836853]","[1737466205.5553272, 1737466205.5557942, 0.14063563656806946]","[1737466242.033838, 1737466242.034223, 0.11927377581596374]","[1737466277.1133506, 1737466277.113788, 0.13346170949935915]"
"[1737466134.304046, 1737466134.304585, 0.16080183458328248]","[1737466169.3342934, 1737466169.3346813, 0.11755949187278747]","[1737466205.6273444, 1737466205.6276903, 0.1041340501308441]","[1737466242.1023562, 1737466242.1027555, 0.1252245306968689]","[1737466277.1804724, 1737466277.1808364, 0.11136353087425233]"
"[1737466134.3723032, 1737466134.372752, 0.1351361131668091]","[1737466169.4017937, 1737466169.4021623, 0.1113286280632019]","[1737466205.6958532, 1737466205.69619, 0.10140690064430236]","[1737466242.1696548, 1737466242.1700363, 0.11961746215820312]","[1737466277.249695, 1737466277.250268, 0.17524987864494324]"
"[1737466134.4398818, 1737466134.4402912, 0.1245111391544342]","[1737466169.4690845, 1737466169.4694924, 0.12316430616378785]","[1737466205.7848575, 1737466205.7856095, 0.22894695949554442]","[1737466242.236479, 1737466242.2368467, 0.11438943099975586]","[1737466277.3205922, 1737466277.321079, 0.14880446767807007]"
"[1737466134.507679, 1737466134.5080645, 0.1172594711780548]","[1737466169.536484, 1737466169.537055, 0.1724012351036072]","[1737466205.8554919, 1737466205.856882, 0.4141280882358551]","[1737466242.304134, 1737466242.3045387, 0.126973584651947]","[1737466277.388083, 1737466277.3884473, 0.11098836708068847]"
"[1737466134.574746, 1737466134.575872, 0.34069684910774234]","[1737466169.6049557, 1737466169.6053624, 0.1227429690361023]","[1737466205.938766, 1737466205.9391077, 0.1022392234802246]","[1737466242.370672, 1737466242.3710566, 0.12061742758750914]","[1737466277.4551225, 1737466277.4554899, 0.11193263983726501]"
"[1737466134.6428504, 1737466134.6432056, 0.1079155707359314]","[1737466169.6734617, 1737466169.673855, 0.11890822649002075]","[1737466206.0068772, 1737466206.0072863, 0.12243022155761718]","[1737466242.437366, 1737466242.4377658, 0.12455520486831664]","[1737466277.525009, 1737466277.5255964, 0.17899774169921878]"
"[1737466134.709712, 1737466134.7101233, 0.12493581175804137]","[1737466169.741933, 1737466169.7422984, 0.11040448665618896]","[1737466206.0751677, 1737466206.0755165, 0.10323099255561827]","[1737466242.505333, 1737466242.5057304, 0.1245902760028839]","[1737466277.5943472, 1737466277.594761, 0.12655605673789977]"
"[1737466134.7758453, 1737466134.7762008, 0.10753120279312135]","[1737466169.8091621, 1737466169.8095257, 0.1098193109035492]","[1737466206.1438832, 1737466206.1442304, 0.10238541412353515]","[1737466242.573166, 1737466242.5735586, 0.12309549164772034]","[1737466277.6617599, 1737466277.6623006, 0.16543466091156006]"
"[1737466134.8417354, 1737466134.8420994, 0.11044972729682923]","[1737466169.883768, 1737466169.8841333, 0.10983030223846435]","[1737466206.2137113, 1737466206.2141032, 0.11567354006035567]","[1737466242.6409159, 1737466242.6412892, 0.11617503833770752]","[1737466277.7304332, 1737466277.7308748, 0.13477290916442872]"
"[1737466134.9089766, 1737466134.9094522, 0.1443007242679596]","[1737466169.9530647, 1737466169.9534137, 0.10495532798767089]","[1737466206.282984, 1737466206.2833147, 0.09792522168159486]","[1737466242.7083158, 1737466242.7086935, 0.11828382110595703]","[1737466277.7999518, 1737466277.8005474, 0.1818256154060364]"
"[1737466134.9759982, 1737466134.9764893, 0.1486486291885376]","[1737466170.0206974, 1737466170.0210676, 0.11129730153083801]","[1737466206.371433, 1737466206.3719668, 0.15661134266853333]","[1737466242.7751467, 1737466242.7755837, 0.13687767934799194]","[1737466277.8697584, 1737466277.8703294, 0.1743284022808075]"
"[1737466135.043289, 1737466135.043762, 0.14374632263183595]","[1737466170.089421, 1737466170.0898144, 0.11798336505889892]","[1737466206.4431634, 1737466206.4436853, 0.15377523756027223]","[1737466242.8416789, 1737466242.8421066, 0.13337427520751954]","[1737466277.937372, 1737466277.9377518, 0.1157366967201233]"
"[1737466135.1113503, 1737466135.1118004, 0.13679085540771485]","[1737466170.1582086, 1737466170.1585937, 0.11554279681724619]","[1737466206.5132165, 1737466206.5136595, 0.1305227918624878]","[1737466242.9153419, 1737466242.915991, 0.20383365392684938]","[1737466278.0043955, 1737466278.0047638, 0.11239557623863221]"
"[1737466135.1794546, 1737466135.17993, 0.14418893432617186]","[1737466170.2264683, 1737466170.226822, 0.10612369418144225]","[1737466206.582279, 1737466206.582735, 0.13408774924278258]","[1737466242.9853776, 1737466242.9857662, 0.12201573848724366]","[1737466278.073615, 1737466278.074183, 0.1732856068611145]"
"[1737466135.2471855, 1737466135.2476258, 0.13372429299354552]","[1737466170.2961786, 1737466170.2967057, 0.15808822059631347]","[1737466206.652176, 1737466206.652677, 0.14699251985549927]","[1737466243.052511, 1737466243.0528853, 0.11684085845947266]","[1737466278.1431513, 1737466278.143503, 0.10722022652626038]"
