epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737466319.7767837, 1737466319.8021967, 1.9799550747871395]","[1737466367.5136244, 1737466367.5386672, 5.238296851634979]","[1737466414.8018394, 1737466414.8269074, 5.102349810600281]","[1737466462.6922617, 1737466462.7168548, 4.615463643789292]","[1737466510.3213384, 1737466510.3464074, 4.911818982124328]"
"[1737466319.9283197, 1737466319.9529488, 2.1763353073596954]","[1737466367.6113377, 1737466367.635589, 4.622792305231094]","[1737466414.8989565, 1737466414.9232948, 4.494787158966065]","[1737466462.7881017, 1737466462.8124905, 4.449295761108399]","[1737466510.4208548, 1737466510.445201, 4.417821356058122]"
"[1737466320.0262415, 1737466320.050681, 2.374897802710533]","[1737466367.7045538, 1737466367.7287948, 4.59407602739334]","[1737466414.992814, 1737466415.018138, 4.55713130569458]","[1737466462.8828807, 1737466462.9071782, 4.473578354597091]","[1737466510.5154562, 1737466510.539763, 4.417099916934967]"
"[1737466320.1250606, 1737466320.1493669, 2.483663897752762]","[1737466367.7966006, 1737466367.8208911, 4.6439181623458845]","[1737466415.0860593, 1737466415.1104805, 4.400263371467589]","[1737466462.9752522, 1737466462.999648, 4.5010298357009875]","[1737466510.607872, 1737466510.6322944, 4.477506437301636]"
"[1737466320.2172287, 1737466320.2414896, 2.7101475391387937]","[1737466367.88864, 1737466367.9128637, 4.672069392681121]","[1737466415.1841433, 1737466415.208483, 4.500625131607055]","[1737466463.069223, 1737466463.0935063, 4.50562365835037]","[1737466510.7029183, 1737466510.727298, 4.548087432861328]"
"[1737466320.31258, 1737466320.3368094, 2.973975509405136]","[1737466367.9816384, 1737466368.005888, 4.749372086524964]","[1737466415.2777724, 1737466415.302121, 4.705079287290574]","[1737466463.1604166, 1737466463.184775, 4.5745770773887635]","[1737466510.7970135, 1737466510.821377, 4.568909658432007]"
"[1737466320.4042504, 1737466320.4284976, 3.2371426105499266]","[1737466368.073973, 1737466368.0982165, 4.752810988426209]","[1737466415.370889, 1737466415.3952546, 5.159916565418244]","[1737466463.2529252, 1737466463.277203, 4.686780682325363]","[1737466510.891388, 1737466510.9157627, 4.755058950424195]"
"[1737466320.494771, 1737466320.5190542, 4.632500474452972]","[1737466368.165305, 1737466368.1895502, 5.09943325138092]","[1737466415.4642057, 1737466415.4886792, 5.497700107097625]","[1737466463.3439023, 1737466463.3682475, 5.1467371408939355]","[1737466510.9835103, 1737466511.0079415, 5.0167866504192355]"
"[1737466320.586897, 1737466320.61111, 5.077360895872116]","[1737466368.2564843, 1737466368.2807107, 5.598896882772445]","[1737466415.558039, 1737466415.582427, 5.853411630630493]","[1737466463.4358377, 1737466463.460122, 5.631665153503418]","[1737466511.076652, 1737466511.1009843, 5.36978214339242]"
"[1737466320.6780846, 1737466320.7023127, 5.602989482879639]","[1737466368.3476384, 1737466368.3718822, 6.012453502774239]","[1737466415.6530023, 1737466415.6773074, 6.084810555812109]","[1737466463.5277615, 1737466463.5520349, 6.1323335552215585]","[1737466511.169459, 1737466511.1937716, 5.857950080871583]"
