epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736811151.6538987, 1736811151.654079, 0.012653700828552246]","[1736811198.3819401, 1736811198.3821466, 0.03453053760528564]","[1736811245.406328, 1736811245.406543, 0.03433136510848999]","[1736811292.1837811, 1736811292.183965, 0.037717439174652104]","[1736811338.6393476, 1736811338.6395426, 0.042443278895399006]"
"[1736811151.7532604, 1736811151.753359, 0.007136392593383788]","[1736811198.4757538, 1736811198.4758532, 0.016628384828567502]","[1736811245.5035892, 1736811245.5036964, 0.01672700643539429]","[1736811292.276611, 1736811292.2767122, 0.01881922149658203]","[1736811338.7325878, 1736811338.7326846, 0.02002952718734741]"
"[1736811151.8445954, 1736811151.8446934, 0.007963454246520996]","[1736811198.5711923, 1736811198.5712886, 0.014905787467956545]","[1736811245.5974886, 1736811245.5975711, 0.012981236457824707]","[1736811292.369655, 1736811292.3697736, 0.0220750937461853]","[1736811338.8245647, 1736811338.8246462, 0.015840529918670656]"
"[1736811151.9333842, 1736811151.9334846, 0.009310010194778442]","[1736811198.6625082, 1736811198.662592, 0.012950325250625611]","[1736811245.688232, 1736811245.6883454, 0.018086575508117677]","[1736811292.4595432, 1736811292.4596455, 0.019024372100830078]","[1736811338.920695, 1736811338.920773, 0.015265676736831664]"
"[1736811152.0224278, 1736811152.0224972, 0.006435185194015503]","[1736811198.7538671, 1736811198.753948, 0.01376633048057556]","[1736811245.7796447, 1736811245.779728, 0.013260955572128297]","[1736811292.5487359, 1736811292.5488334, 0.01839498734474182]","[1736811339.0121698, 1736811339.012266, 0.01902648591995239]"
"[1736811152.1115487, 1736811152.11162, 0.007416573047637939]","[1736811198.8440228, 1736811198.8441086, 0.015061912536621095]","[1736811245.8698058, 1736811245.8699017, 0.016439592361450196]","[1736811292.6376822, 1736811292.6377807, 0.01857488942146301]","[1736811339.103491, 1736811339.1035738, 0.016477830648422242]"
"[1736811152.2022033, 1736811152.202295, 0.014128310680389404]","[1736811198.9382966, 1736811198.9384027, 0.020838686227798463]","[1736811245.9671416, 1736811245.967227, 0.01625282430648804]","[1736811292.7294915, 1736811292.7296028, 0.022275421142578123]","[1736811339.200468, 1736811339.2005615, 0.018834449768066405]"
"[1736811152.2908175, 1736811152.2909114, 0.015768815040588382]","[1736811199.0302646, 1736811199.0303626, 0.021185053825378417]","[1736811246.0601, 1736811246.0601807, 0.016919082641601562]","[1736811292.818925, 1736811292.8190165, 0.020228485107421874]","[1736811339.2931256, 1736811339.293218, 0.021119681596755983]"
"[1736811152.3842938, 1736811152.3843777, 0.019900070190429688]","[1736811199.1220305, 1736811199.1221135, 0.019683308601379394]","[1736811246.1495738, 1736811246.1496608, 0.02010469913482666]","[1736811292.9081635, 1736811292.908251, 0.021223644971847533]","[1736811339.3836753, 1736811339.3837686, 0.02327614450454712]"
"[1736811152.4757497, 1736811152.4758275, 0.018847869873046874]","[1736811199.213453, 1736811199.2135267, 0.019044631004333495]","[1736811246.2408202, 1736811246.2409062, 0.0217799596786499]","[1736811292.9980767, 1736811292.9981706, 0.024800474166870118]","[1736811339.4755511, 1736811339.4756513, 0.027006125450134276]"
"[1736811152.5660648, 1736811152.5661473, 0.02177901411056519]","[1736811199.306927, 1736811199.3070185, 0.025623413085937498]","[1736811246.3322113, 1736811246.332295, 0.022913015127182006]","[1736811293.0881584, 1736811293.0882473, 0.02540111303329468]","[1736811339.5668612, 1736811339.5669568, 0.027630090713500977]"
"[1736811152.6558983, 1736811152.656002, 0.02845223126256181]","[1736811199.3999097, 1736811199.4000015, 0.027593797445297243]","[1736811246.423653, 1736811246.4237347, 0.024113016843795774]","[1736811293.177863, 1736811293.1779463, 0.025576519966125488]","[1736811339.6601338, 1736811339.6602643, 0.04040998911857605]"
"[1736811152.7455652, 1736811152.7456415, 0.02190788269042969]","[1736811199.4982307, 1736811199.498317, 0.027755291938781738]","[1736811246.5151627, 1736811246.515237, 0.02353510093688965]","[1736811293.2674813, 1736811293.2675583, 0.02513133668899536]","[1736811339.7545102, 1736811339.7546153, 0.034104156732559204]"
