epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736869145.4829352, 1736869145.4831476, 0.009324019432067872]","[1736869216.5330284, 1736869216.5332618, 0.03052489352226257]","[1736869288.7818584, 1736869288.7820344, 0.01955435085296631]","[1736869361.5241864, 1736869361.524359, 0.02559208011627197]","[1736869433.5225136, 1736869433.5226855, 0.022546205282211303]"
"[1736869145.6611745, 1736869145.6612923, 0.005901423454284668]","[1736869216.7034276, 1736869216.7035532, 0.016921077728271484]","[1736869288.954669, 1736869288.9548073, 0.01674936294555664]","[1736869361.6957517, 1736869361.69587, 0.015350643157958983]","[1736869433.6935885, 1736869433.693709, 0.01585373163223267]"
"[1736869145.830738, 1736869145.8308513, 0.00957598090171814]","[1736869216.8723621, 1736869216.8724694, 0.014684343338012695]","[1736869289.1282845, 1736869289.1284823, 0.024307699203491212]","[1736869361.8636713, 1736869361.8637872, 0.015577870845794678]","[1736869433.8614254, 1736869433.8615282, 0.013251107692718507]"
"[1736869145.9960155, 1736869145.9961271, 0.01018345069885254]","[1736869217.0430717, 1736869217.0431962, 0.018654111385345458]","[1736869289.3659945, 1736869289.3664293, 0.06462336730957031]","[1736869362.0352411, 1736869362.0353518, 0.01430706787109375]","[1736869434.0287652, 1736869434.0288832, 0.017551736901305265]"
"[1736869146.1628158, 1736869146.1629145, 0.014286209106445312]","[1736869217.2137592, 1736869217.2139087, 0.025145302534103395]","[1736869289.5396948, 1736869289.539811, 0.020320268392562863]","[1736869362.2043726, 1736869362.2044973, 0.019872185468673705]","[1736869434.1965468, 1736869434.1966481, 0.017793583869934085]"
"[1736869146.328769, 1736869146.3288653, 0.017442018508911132]","[1736869217.3835928, 1736869217.3837163, 0.024843425750732423]","[1736869289.7121475, 1736869289.7122724, 0.02520851993560791]","[1736869362.3727038, 1736869362.3728116, 0.02081312370300293]","[1736869434.3644922, 1736869434.3646011, 0.022064723014831544]"
"[1736869146.4930675, 1736869146.4931812, 0.021905382156372073]","[1736869217.5535257, 1736869217.553636, 0.025242047548294066]","[1736869289.882084, 1736869289.8821964, 0.025601667182664958]","[1736869362.5408196, 1736869362.5409374, 0.026740258216857913]","[1736869434.53138, 1736869434.5314753, 0.02218008041381836]"
"[1736869146.6583931, 1736869146.6584947, 0.02335151767730713]","[1736869217.7271562, 1736869217.7272608, 0.024591533422470092]","[1736869290.053136, 1736869290.0532324, 0.022003786087036133]","[1736869362.712435, 1736869362.7125428, 0.025603717803955078]","[1736869434.6982164, 1736869434.6983337, 0.029158681869506837]"
"[1736869146.8233633, 1736869146.8234668, 0.025406716346740722]","[1736869217.895987, 1736869217.8961158, 0.03184082508087158]","[1736869290.2325332, 1736869290.2326496, 0.02662420654296875]","[1736869362.882685, 1736869362.8828552, 0.041593528747558596]","[1736869434.8656085, 1736869434.8656998, 0.022163902044296264]"
"[1736869146.988457, 1736869146.9885736, 0.027636523962020872]","[1736869218.067281, 1736869218.0674322, 0.03686320352554321]","[1736869290.4042537, 1736869290.4043632, 0.02515485692024231]","[1736869363.0516732, 1736869363.0517952, 0.0304801025390625]","[1736869435.0335073, 1736869435.0336113, 0.024790115356445312]"
"[1736869147.152769, 1736869147.1528566, 0.02094644618034363]","[1736869218.2365868, 1736869218.2366822, 0.02263479232788086]","[1736869290.5732996, 1736869290.573429, 0.03152071666717529]","[1736869363.219955, 1736869363.2200825, 0.03008015275001526]","[1736869435.21009, 1736869435.2101936, 0.02600549340248108]"
"[1736869147.3183637, 1736869147.3184712, 0.026614598274230957]","[1736869218.4045823, 1736869218.4046926, 0.027361382961273197]","[1736869290.7454438, 1736869290.74555, 0.025664050579071045]","[1736869363.3905475, 1736869363.390666, 0.028808269500732422]","[1736869435.377645, 1736869435.3777568, 0.0272434139251709]"
"[1736869147.4831905, 1736869147.4832768, 0.020639063835144043]","[1736869218.5784502, 1736869218.5786126, 0.03999716377258301]","[1736869290.9158087, 1736869290.9159408, 0.031130192279815675]","[1736869363.5582201, 1736869363.5583293, 0.025820963382720948]","[1736869435.5507092, 1736869435.5508137, 0.0246807746887207]"
