epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736869523.1800628, 1736869523.1807292, 0.02587886452674866]","[1736869548.2830846, 1736869548.2835727, 0.03786919546127319]","[1736869573.4475489, 1736869573.4480934, 0.043271010849776144]","[1736869601.1536481, 1736869601.1542897, 0.04202377796173096]","[1736869629.722586, 1736869629.7231045, 0.03764593005180358]"
"[1736869523.2371113, 1736869523.2373524, 0.00936083436012268]","[1736869548.33609, 1736869548.3363686, 0.02103974151611328]","[1736869573.5027707, 1736869573.503063, 0.022516544342041013]","[1736869601.2128565, 1736869601.213254, 0.025788139104843143]","[1736869629.7803013, 1736869629.7805233, 0.015117110013961793]"
"[1736869523.2887468, 1736869523.289035, 0.012623247385025025]","[1736869548.3901997, 1736869548.3904462, 0.018625935554504394]","[1736869573.5666685, 1736869573.5669925, 0.024806270599365236]","[1736869601.2692695, 1736869601.2697315, 0.029980452060699464]","[1736869629.840227, 1736869629.8405569, 0.02287790107727051]"
"[1736869523.3421776, 1736869523.3424468, 0.011787962198257446]","[1736869548.4423835, 1736869548.4426317, 0.019447468757629392]","[1736869573.6272092, 1736869573.627531, 0.024641990661621094]","[1736869601.3430493, 1736869601.3433838, 0.022923037290573118]","[1736869629.899921, 1736869629.900417, 0.034399502992630004]"
"[1736869523.3996441, 1736869523.4000454, 0.02044331645965576]","[1736869548.4983556, 1736869548.4986253, 0.021128806114196777]","[1736869573.6855173, 1736869573.6857684, 0.020183798789978027]","[1736869601.4106007, 1736869601.4109006, 0.022574574470520022]","[1736869629.96249, 1736869629.9628034, 0.023029360771179203]"
"[1736869523.4524558, 1736869523.4526892, 0.011891863822937011]","[1736869548.5492127, 1736869548.5494413, 0.01889326286315918]","[1736869573.7458477, 1736869573.7461176, 0.021698062896728515]","[1736869601.473279, 1736869601.473568, 0.021749113082885744]","[1736869630.0174146, 1736869630.0183406, 0.06807156562805176]"
"[1736869523.5046005, 1736869523.5049677, 0.02137044906616211]","[1736869548.6016169, 1736869548.6018422, 0.018617448806762697]","[1736869573.8066971, 1736869573.8070273, 0.0268377959728241]","[1736869601.5355444, 1736869601.5358417, 0.024919164657592772]","[1736869630.0753427, 1736869630.0756853, 0.02718796062469482]"
"[1736869523.556916, 1736869523.5571625, 0.014348730087280274]","[1736869548.6514642, 1736869548.6516893, 0.020231060028076172]","[1736869573.866879, 1736869573.8671374, 0.022546289443969726]","[1736869601.5990703, 1736869601.5993588, 0.026781115709732427]","[1736869630.1353524, 1736869630.1357412, 0.033692057847976686]"
"[1736869523.6132698, 1736869523.613527, 0.02338847255706787]","[1736869548.7056117, 1736869548.705873, 0.023488603591918945]","[1736869573.9239502, 1736869573.9242907, 0.029701200485229493]","[1736869601.6628723, 1736869601.6631465, 0.025725889205932616]","[1736869630.1938806, 1736869630.1941538, 0.023673266887664794]"
"[1736869523.6640515, 1736869523.6642966, 0.02253614134937388]","[1736869548.7564068, 1736869548.756651, 0.023799560546875]","[1736869573.9784405, 1736869573.9787526, 0.03001368761062622]","[1736869601.7253072, 1736869601.7256281, 0.03355995225906372]","[1736869630.247132, 1736869630.2473884, 0.025251442193984983]"
"[1736869523.7163248, 1736869523.7165473, 0.022038469791412354]","[1736869548.8083725, 1736869548.8086267, 0.024775714397430423]","[1736869574.040229, 1736869574.040467, 0.022882857322692872]","[1736869601.788775, 1736869601.7890565, 0.029445990800857542]","[1736869630.302562, 1736869630.302878, 0.031123870611190797]"
"[1736869523.7689266, 1736869523.769147, 0.02447409152984619]","[1736869548.859118, 1736869548.8593564, 0.026042461395263672]","[1736869574.1004765, 1736869574.1007977, 0.033926588773727416]","[1736869601.8551788, 1736869601.8554487, 0.03026436614990234]","[1736869630.3618238, 1736869630.3620949, 0.029902504920959475]"
"[1736869523.8259711, 1736869523.8262188, 0.02752010941505432]","[1736869548.9127803, 1736869548.913029, 0.02716228723526001]","[1736869574.1575325, 1736869574.1578326, 0.03442818260192871]","[1736869601.9243956, 1736869601.9246807, 0.03533305072784424]","[1736869630.4295552, 1736869630.4297943, 0.02825250218804199]"
"[1736869523.8843167, 1736869523.8846107, 0.036188308238983155]","[1736869548.9635508, 1736869548.9637702, 0.026535491943359375]","[1736869574.2122505, 1736869574.2125676, 0.03636972427368164]","[1736869601.988394, 1736869601.9886794, 0.03536259341239929]","[1736869630.4830647, 1736869630.483312, 0.029521205663681032]"
"[1736869523.9368374, 1736869523.937059, 0.02726596784591675]","[1736869549.016154, 1736869549.0164042, 0.030256229400634764]","[1736869574.2717555, 1736869574.2720559, 0.03804299354553223]","[1736869602.051116, 1736869602.0513816, 0.03471874380111694]","[1736869630.5362892, 1736869630.5365763, 0.037054619789123534]"
"[1736869523.9878042, 1736869523.9880273, 0.030119653701782226]","[1736869549.0669138, 1736869549.0671477, 0.031095025062561038]","[1736869574.328838, 1736869574.3291392, 0.038133572101593016]","[1736869602.1108348, 1736869602.111111, 0.03938129425048828]","[1736869630.5952876, 1736869630.5955217, 0.030222289562225342]"
"[1736869524.039404, 1736869524.0396178, 0.028864668130874634]","[1736869549.1190915, 1736869549.119361, 0.03732359942749407]","[1736869574.385553, 1736869574.385865, 0.042923599243164065]","[1736869602.171958, 1736869602.1722586, 0.042884120941162104]","[1736869630.658883, 1736869630.6591063, 0.03146977043151856]"
"[1736869524.0904777, 1736869524.0907063, 0.03341760730743408]","[1736869549.1696706, 1736869549.1698966, 0.032745217323303225]","[1736869574.4406383, 1736869574.4410346, 0.054498870849609374]","[1736869602.2270846, 1736869602.227351, 0.040328127622604376]","[1736869630.7219522, 1736869630.7222383, 0.040345859527587895]"
"[1736869524.142116, 1736869524.1423488, 0.034009994506835936]","[1736869549.2220597, 1736869549.2223308, 0.042522452831268306]","[1736869574.4961212, 1736869574.4963634, 0.03548644828796387]","[1736869602.2852666, 1736869602.2855046, 0.036031755924224855]","[1736869630.7841966, 1736869630.7844486, 0.037970867395401]"
"[1736869524.1929321, 1736869524.1931581, 0.035616359710693365]","[1736869549.2834852, 1736869549.283715, 0.03605245780944824]","[1736869574.5515933, 1736869574.5518572, 0.04298089742660522]","[1736869602.3412907, 1736869602.341756, 0.07308905029296875]","[1736869630.8474383, 1736869630.8477242, 0.04565188932418823]"
"[1736869524.243627, 1736869524.2438707, 0.038396539688110354]","[1736869549.3364813, 1736869549.336734, 0.0422367000579834]","[1736869574.606327, 1736869574.606604, 0.04511635303497314]","[1736869602.4054875, 1736869602.4057806, 0.04747305750846863]","[1736869630.9068367, 1736869630.9071348, 0.04759371280670166]"
"[1736869524.2945445, 1736869524.2947812, 0.040041468143463134]","[1736869549.3870623, 1736869549.387297, 0.03920840835571289]","[1736869574.662064, 1736869574.662312, 0.040863780975341796]","[1736869602.468139, 1736869602.4683735, 0.03800934791564941]","[1736869630.9736784, 1736869630.9740536, 0.06266235017776489]"
"[1736869524.3454278, 1736869524.3456445, 0.03665427446365356]","[1736869549.439356, 1736869549.4395943, 0.04172797322273254]","[1736869574.7191472, 1736869574.7194798, 0.05481247544288635]","[1736869602.531484, 1736869602.5317948, 0.05069344520568848]","[1736869631.042956, 1736869631.0432303, 0.0452083945274353]"
"[1736869524.3965724, 1736869524.3968816, 0.05455292510986328]","[1736869549.4915655, 1736869549.4917989, 0.04089257836341858]","[1736869574.7745945, 1736869574.774832, 0.039846848487854004]","[1736869602.5948074, 1736869602.5950875, 0.045678526163101196]","[1736869631.1052608, 1736869631.1055279, 0.044029045104980465]"
"[1736869524.4526584, 1736869524.452872, 0.0376865234375]","[1736869549.543047, 1736869549.543278, 0.04125644731521606]","[1736869574.8296273, 1736869574.8299077, 0.047048086166381835]","[1736869602.6591141, 1736869602.6593618, 0.04051137471199035]","[1736869631.1610105, 1736869631.1612282, 0.03657873773574829]"
"[1736869524.5098045, 1736869524.5100443, 0.04315244913101196]","[1736869549.5940933, 1736869549.5943217, 0.04078810787200928]","[1736869574.8853881, 1736869574.8856606, 0.04692636895179749]","[1736869602.7301905, 1736869602.7304766, 0.04727811813354492]","[1736869631.2126136, 1736869631.212859, 0.04122620058059692]"
"[1736869524.5616322, 1736869524.5618632, 0.041565331220626826]","[1736869549.645587, 1736869549.6458201, 0.04249584674835205]","[1736869574.9455013, 1736869574.9458385, 0.05805239343643189]","[1736869602.7934031, 1736869602.7936673, 0.04365346240997314]","[1736869631.2626653, 1736869631.2629504, 0.04771363353729248]"
"[1736869524.6134365, 1736869524.6136723, 0.04247463631629944]","[1736869549.696637, 1736869549.6968598, 0.04062741994857788]","[1736869575.0024624, 1736869575.0027747, 0.053669252395629884]","[1736869602.8538241, 1736869602.8540819, 0.041606462955474856]","[1736869631.3202548, 1736869631.3205926, 0.05653028321266174]"
