epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737223964.1389954, 1737223964.2245538, 5.580228982448575]","[1737224017.7679942, 1737224017.8129964, 6.812622819338634]","[1737224071.5757332, 1737224071.6212544, 7.312783976045143]","[1737224125.3920524, 1737224125.4365878, 6.980378582477569]","[1737224178.8566756, 1737224178.9005833, 6.787098531723022]"
"[1737223964.326912, 1737223964.3702295, 3.135376082897186]","[1737224017.898133, 1737224017.9422734, 6.58422168111801]","[1737224071.7085948, 1737224071.752658, 6.813243809342383]","[1737224125.519187, 1737224125.562797, 6.721187992095948]","[1737224178.9874895, 1737224179.03121, 6.745065076112746]"
"[1737223964.4544783, 1737223964.4983897, 3.5965569818019865]","[1737224018.0268693, 1737224018.0703764, 6.471071899414063]","[1737224071.8369102, 1737224071.8804882, 6.914899096727371]","[1737224125.6445808, 1737224125.688451, 6.966238489151001]","[1737224179.1159275, 1737224179.1599529, 7.0068659019470205]"
"[1737223964.5812838, 1737223964.6252446, 4.213116080760955]","[1737224018.1543744, 1737224018.1983576, 6.650614889144896]","[1737224071.9643066, 1737224072.0080118, 7.048210518598555]","[1737224125.7709281, 1737224125.8149967, 6.9727061958312975]","[1737224179.2445862, 1737224179.2887647, 6.961157548069954]"
"[1737223964.7091453, 1737223964.753085, 5.552602106094359]","[1737224018.282585, 1737224018.3261962, 6.700699966907502]","[1737224072.090822, 1737224072.1346383, 6.935379852533339]","[1737224125.8987038, 1737224125.9425426, 6.883736899256706]","[1737224179.372289, 1737224179.416215, 6.821846071362494]"
"[1737223964.8363676, 1737223964.8802817, 6.0134184602499]","[1737224018.4084673, 1737224018.4519122, 6.983916544437408]","[1737224072.2181451, 1737224072.2619236, 7.072579728364945]","[1737224126.0263147, 1737224126.0698826, 7.186829402208328]","[1737224179.4998677, 1737224179.5437746, 7.236256749868392]"
"[1737223964.9618437, 1737223965.0055811, 6.993044274926185]","[1737224018.5350142, 1737224018.5791357, 7.907975486040116]","[1737224072.3445196, 1737224072.3882666, 7.938496215820312]","[1737224126.1508386, 1737224126.1946096, 7.835670670270917]","[1737224179.627429, 1737224179.6713784, 7.941210873126984]"
"[1737223965.1066344, 1737223965.150378, 7.857489758491517]","[1737224018.6613097, 1737224018.705103, 8.596123718738555]","[1737224072.4712632, 1737224072.514918, 8.50367257261276]","[1737224126.2752562, 1737224126.3191311, 8.345766884088519]","[1737224179.755222, 1737224179.799241, 8.506557343006135]"
"[1737223965.231828, 1737223965.2757294, 8.262206683560343]","[1737224018.7882018, 1737224018.8317754, 9.184839350938796]","[1737224072.5988874, 1737224072.6419644, 8.819023348331452]","[1737224126.4004457, 1737224126.4441063, 9.051806851625445]","[1737224179.881907, 1737224179.9257739, 9.324332646369934]"
"[1737223965.3586676, 1737223965.4026403, 8.965302801370619]","[1737224018.9142127, 1737224018.957624, 9.58836430954933]","[1737224072.7247713, 1737224072.768483, 9.660965585708615]","[1737224126.5247862, 1737224126.5684555, 10.041039301872257]","[1737224180.0097122, 1737224180.0534413, 9.90157260656357]"
"[1737223965.4851363, 1737223965.5292408, 9.628955161094664]","[1737224019.0405047, 1737224019.0847352, 9.944090544662478]","[1737224072.8511875, 1737224072.8949013, 10.060951493978502]","[1737224126.6492114, 1737224126.69287, 9.98901998591423]","[1737224180.1772687, 1737224180.22104, 9.804948876857758]"
"[1737223965.6119728, 1737223965.655706, 9.633444199562073]","[1737224019.1677063, 1737224019.2115343, 10.0702305021286]","[1737224072.9783733, 1737224073.0222056, 9.94931892299652]","[1737224126.7734303, 1737224126.8170056, 9.749883285522463]","[1737224180.304071, 1737224180.3478234, 9.612614502475733]"
"[1737223965.7377172, 1737223965.7814302, 9.382397264003751]","[1737224019.2946517, 1737224019.3385096, 9.954168875306587]","[1737224073.1051323, 1737224073.1490576, 9.720406744241716]","[1737224126.9010594, 1737224126.9446635, 9.851384151697161]","[1737224180.430374, 1737224180.4741251, 9.840485099315643]"
"[1737223965.8642645, 1737223965.9080148, 9.466982911109925]","[1737224019.4210148, 1737224019.4644578, 9.627977455615996]","[1737224073.2321646, 1737224073.2757018, 9.810900897741316]","[1737224127.0253649, 1737224127.0688546, 10.01067535042763]","[1737224180.557263, 1737224180.6010425, 9.806020081043243]"
"[1737223965.9898427, 1737223966.033599, 9.734102123737332]","[1737224019.5489268, 1737224019.5931506, 9.985774967193606]","[1737224073.3584788, 1737224073.4022386, 10.062877582073211]","[1737224127.1498005, 1737224127.1934624, 9.98410764670372]","[1737224180.6841187, 1737224180.7278788, 9.615398261547089]"
"[1737223966.115995, 1737223966.1596537, 9.630461699962618]","[1737224019.6758552, 1737224019.7196121, 10.035134110450745]","[1737224073.485108, 1737224073.5287895, 9.836096496105194]","[1737224127.2738156, 1737224127.317424, 9.807666068315505]","[1737224180.8123477, 1737224180.856254, 9.602169127225874]"
"[1737223966.2413795, 1737223966.2850115, 9.400550171613691]","[1737224019.8027496, 1737224019.846431, 9.791182240962982]","[1737224073.6111689, 1737224073.6548676, 9.712317095518111]","[1737224127.3982744, 1737224127.4417148, 9.850048559188842]","[1737224180.9391623, 1737224180.9829211, 9.861508901715279]"
"[1737223966.3695982, 1737223966.412693, 9.521892022132871]","[1737224019.928943, 1737224019.9724586, 9.660969495773314]","[1737224073.7377868, 1737224073.7814364, 9.923805074691774]","[1737224127.5221722, 1737224127.5657537, 10.02918507671356]","[1737224181.066148, 1737224181.109881, 9.76126662683487]"
"[1737223966.4954243, 1737223966.5396616, 9.924212765693664]","[1737224020.0601115, 1737224020.1041567, 9.988264381170271]","[1737224073.8640373, 1737224073.9075108, 9.996118587493898]","[1737224127.6465316, 1737224127.6901748, 10.006826689481736]","[1737224181.193034, 1737224181.2368906, 9.58995184135437]"
"[1737223966.6227462, 1737223966.6665063, 9.602226483106614]","[1737224020.1869583, 1737224020.2306576, 9.956047136306765]","[1737224073.990708, 1737224074.0343206, 9.777307477951052]","[1737224127.7705877, 1737224127.81439, 9.870445375442504]","[1737224181.3203857, 1737224181.3641243, 9.852944817066193]"
"[1737223966.7498586, 1737223966.7937114, 9.548660840392113]","[1737224020.3141074, 1737224020.3578522, 9.686636600494387]","[1737224074.116943, 1737224074.1607878, 9.810142441511154]","[1737224127.8965907, 1737224127.940721, 9.993069482326508]","[1737224181.4457567, 1737224181.4895988, 9.984726200342179]"
