epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737471292.5635445, 1737471292.606046, 2.8426669540405274]","[1737471346.9424963, 1737471346.9730542, 4.146855865716934]","[1737471402.8593152, 1737471402.889441, 3.8640327193737027]","[1737471458.3732805, 1737471458.4038765, 4.098734930515289]","[1737471511.9363532, 1737471511.9664953, 4.310767978429794]"
"[1737471292.7090094, 1737471292.7374337, 2.0289827059886902]","[1737471347.0776284, 1737471347.1044757, 3.361799887180328]","[1737471402.9946437, 1737471403.0212493, 3.332618217468262]","[1737471458.5036888, 1737471458.5307071, 3.607538606166839]","[1737471512.0699048, 1737471512.096793, 3.6939449312686925]"
"[1737471292.8348992, 1737471292.861865, 2.2660487895011903]","[1737471347.205085, 1737471347.2322848, 3.4493214097023013]","[1737471403.1406827, 1737471403.1685004, 3.642958926916122]","[1737471458.6273751, 1737471458.6541183, 3.6946764054298393]","[1737471512.1992333, 1737471512.226069, 3.8190929646492005]"
"[1737471292.9576688, 1737471292.9846196, 2.5116023254394526]","[1737471347.3310187, 1737471347.3580906, 3.449481156349182]","[1737471403.2668028, 1737471403.2937088, 3.5801410608291624]","[1737471458.7501779, 1737471458.7766142, 3.640996268749237]","[1737471512.330269, 1737471512.3577702, 3.9216027507781983]"
"[1737471293.0808349, 1737471293.1077652, 2.825207288742066]","[1737471347.459859, 1737471347.4878561, 3.636395510673523]","[1737471403.39313, 1737471403.4199808, 3.6836207342147826]","[1737471458.8727846, 1737471458.8992982, 3.7949038829803476]","[1737471512.4579577, 1737471512.4853256, 3.909365294933319]"
"[1737471293.2023294, 1737471293.2297006, 3.641306452035904]","[1737471347.5889754, 1737471347.615606, 3.9561340651512142]","[1737471403.5209148, 1737471403.548566, 4.092239762974722]","[1737471458.99513, 1737471459.0221796, 4.44992006778717]","[1737471512.5881302, 1737471512.6159894, 4.528264009952545]"
"[1737471293.3251433, 1737471293.3524606, 4.139197056531906]","[1737471347.7164385, 1737471347.7434452, 4.502544708251953]","[1737471403.6480947, 1737471403.6747358, 4.741755900483699]","[1737471459.1192105, 1737471459.145665, 4.75714478302002]","[1737471512.7190368, 1737471512.7462866, 4.804905040740967]"
"[1737471293.4494262, 1737471293.4760864, 4.384270536899566]","[1737471347.8418117, 1737471347.8688323, 4.799604604482651]","[1737471403.7706144, 1737471403.7981415, 5.187508370161058]","[1737471459.2419186, 1737471459.2686381, 5.123477578163147]","[1737471512.848035, 1737471512.8749783, 5.005808434724807]"
"[1737471293.5734513, 1737471293.6015446, 5.036742198944092]","[1737471347.9710476, 1737471347.9983094, 5.26846640586853]","[1737471403.8971765, 1737471403.9236372, 5.278766889572144]","[1737471459.3650742, 1737471459.3918512, 5.480615061879158]","[1737471512.973888, 1737471513.0007102, 5.615583796343512]"
"[1737471293.6957195, 1737471293.7223275, 5.360032709121704]","[1737471348.096807, 1737471348.123773, 5.74976993560791]","[1737471404.0197587, 1737471404.0467293, 5.677073810815811]","[1737471459.4880035, 1737471459.5146394, 6.055523789080984]","[1737471513.1016538, 1737471513.1287117, 5.9695920102596265]"
"[1737471293.817054, 1737471293.8440545, 5.74285587310791]","[1737471348.2195833, 1737471348.246575, 5.833153461456298]","[1737471404.1476219, 1737471404.1742673, 6.006614604234695]","[1737471459.6111925, 1737471459.6376371, 6.032479593515396]","[1737471513.2307322, 1737471513.258101, 6.038320065498352]"
"[1737471293.9402285, 1737471293.9667802, 5.7723977880477895]","[1737471348.3437998, 1737471348.371822, 6.143886923789978]","[1737471404.2698777, 1737471404.2963152, 5.8330160040855406]","[1737471459.733757, 1737471459.7602372, 6.004305434703828]","[1737471513.356196, 1737471513.383105, 5.785806451201439]"
"[1737471294.0641446, 1737471294.0912108, 5.930211162567139]","[1737471348.47138, 1737471348.4981146, 5.973844254016877]","[1737471404.4222624, 1737471404.4500616, 6.13561408774198]","[1737471459.856164, 1737471459.8831785, 6.131182530641555]","[1737471513.4817924, 1737471513.5098884, 6.182516133785249]"
"[1737471294.1864161, 1737471294.2135594, 5.954386075496673]","[1737471348.5972602, 1737471348.623959, 5.909203067541122]","[1737471404.5682306, 1737471404.5955539, 6.157676012039184]","[1737471459.9806767, 1737471460.0072014, 6.044770869970322]","[1737471513.6083806, 1737471513.635035, 5.990328259468079]"
"[1737471294.3086574, 1737471294.335924, 5.96253950381279]","[1737471348.7225263, 1737471348.750627, 6.171959812879562]","[1737471404.7117908, 1737471404.7390301, 5.888923645019532]","[1737471460.1055381, 1737471460.1366558, 7.115741592407225]","[1737471513.7326252, 1737471513.7591276, 5.818860540390015]"
"[1737471294.435891, 1737471294.463667, 6.096138232946395]","[1737471348.8496249, 1737471348.877034, 6.060420947074891]","[1737471404.836451, 1737471404.8629282, 5.6584887173175815]","[1737471460.23329, 1737471460.2612233, 6.344531796216965]","[1737471513.8557315, 1737471513.8821814, 5.749880836009979]"
"[1737471294.5615442, 1737471294.5881953, 5.8288717103004455]","[1737471348.9790316, 1737471349.0058997, 6.065850842475892]","[1737471404.9964359, 1737471405.0234547, 5.882908236980438]","[1737471460.357786, 1737471460.3843348, 5.98560033416748]","[1737471513.982081, 1737471514.00942, 6.100803106307982]"
"[1737471294.681988, 1737471294.7086902, 5.885584533691406]","[1737471349.1235964, 1737471349.1515584, 6.0828468179702755]","[1737471405.129525, 1737471405.159389, 6.301411993145942]","[1737471460.4807887, 1737471460.507225, 5.995130227565765]","[1737471514.1165469, 1737471514.1437364, 6.120273346185685]"
"[1737471294.8033562, 1737471294.8300786, 5.865407827854157]","[1737471349.2502606, 1737471349.278198, 6.095244920253754]","[1737471405.2589746, 1737471405.286498, 5.748259129047394]","[1737471460.6032171, 1737471460.6298277, 6.09231354212761]","[1737471514.246265, 1737471514.2736847, 5.97434691192371]"
"[1737471294.9263859, 1737471294.9535408, 5.940247913360595]","[1737471349.3751893, 1737471349.4111214, 7.976728515028953]","[1737471405.38274, 1737471405.409187, 5.504293888807297]","[1737471460.7272391, 1737471460.7536616, 6.049193712234497]","[1737471514.3721187, 1737471514.3997731, 6.082411605358123]"
"[1737471295.0529978, 1737471295.1264534, 16.092080758571623]","[1737471349.5336468, 1737471349.5603645, 5.7729388389587415]","[1737471405.5103986, 1737471405.5370817, 5.57380442929268]","[1737471460.8499625, 1737471460.8764992, 5.98843164396286]","[1737471514.497782, 1737471514.5243878, 5.98011585021019]"
"[1737471295.2237906, 1737471295.2516503, 5.885749084472656]","[1737471349.6612844, 1737471349.688046, 5.682088722705842]","[1737471405.6533327, 1737471405.6808348, 5.814623022079468]","[1737471460.9726758, 1737471460.9990723, 5.973200304269791]","[1737471514.6252577, 1737471514.65188, 5.907460722446441]"
"[1737471295.3496938, 1737471295.3768213, 5.660370802402496]","[1737471349.7886982, 1737471349.8156848, 5.870413291931152]","[1737471405.7912064, 1737471405.8187888, 5.9009801530838]","[1737471461.0950112, 1737471461.1215854, 6.094033746719361]","[1737471514.7708774, 1737471514.7986062, 5.991565717935562]"
"[1737471295.4742477, 1737471295.5012352, 5.70816424703598]","[1737471349.9146078, 1737471349.9416566, 5.82729092502594]","[1737471405.9168901, 1737471405.9439144, 5.728118127822876]","[1737471461.2181244, 1737471461.2447305, 6.101626207351686]","[1737471514.900042, 1737471514.9269788, 5.927489998817443]"
"[1737471295.5990548, 1737471295.625985, 5.81722023177147]","[1737471350.0440123, 1737471350.081813, 7.970787745475769]","[1737471406.0420656, 1737471406.0696425, 5.8849663250446325]","[1737471461.340939, 1737471461.367643, 6.079102095365523]","[1737471515.0261548, 1737471515.0545356, 6.256648114681244]"
"[1737471295.7226396, 1737471295.7493916, 5.653071089744568]","[1737471350.1929307, 1737471350.2195957, 5.710245849370957]","[1737471406.169016, 1737471406.1969626, 6.191957037687302]","[1737471461.463801, 1737471461.4902437, 6.0301275755167]","[1737471515.222685, 1737471515.2500303, 5.7328350586891155]"
"[1737471295.8479693, 1737471295.874856, 5.598026363372803]","[1737471350.317697, 1737471350.344115, 5.673127108812333]","[1737471406.2962945, 1737471406.3237588, 5.940986944198609]","[1737471461.586551, 1737471461.6130772, 6.085695622682572]","[1737471515.3687873, 1737471515.396135, 5.668647170305253]"
"[1737471295.9731932, 1737471296.0007195, 5.7970278134346]","[1737471350.4416993, 1737471350.4682283, 5.595220408201217]","[1737471406.4243717, 1737471406.4511282, 5.72882457551274]","[1737471461.7091563, 1737471461.7357101, 6.099131673574447]","[1737471515.517445, 1737471515.5449562, 5.74740306854248]"
"[1737471296.0970058, 1737471296.124018, 5.8189725027084345]","[1737471350.567989, 1737471350.59503, 5.774840035915376]","[1737471406.5589025, 1737471406.5859745, 5.994867376327515]","[1737471461.8322885, 1737471461.8590453, 6.107793151378631]","[1737471515.6451821, 1737471515.6719003, 5.370853713989257]"
"[1737471296.2204208, 1737471296.248146, 5.866490142822265]","[1737471350.700241, 1737471350.72745, 5.9719585242271425]","[1737471406.6909769, 1737471406.7179217, 5.848627778291703]","[1737471461.955192, 1737471461.981622, 6.036270079612732]","[1737471515.7930465, 1737471515.821328, 5.751994482040406]"
