epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736816081.4178338, 1736816081.4193027, 0.0788033790588379]","[1736816135.5404646, 1736816135.5415435, 0.12865754961967468]","[1736816190.1492236, 1736816190.150367, 0.13460072135925294]","[1736816244.7192907, 1736816244.720393, 0.1255680685043335]","[1736816298.3695447, 1736816298.370397, 0.11477100253105163]"
"[1736816081.5530071, 1736816081.5541415, 0.06498542660891479]","[1736816135.671163, 1736816135.6721613, 0.12606508612632752]","[1736816190.2863042, 1736816190.2870967, 0.09004264640808105]","[1736816244.8434722, 1736816244.8441808, 0.08516210651397704]","[1736816298.4918685, 1736816298.4924495, 0.07990212512016297]"
"[1736816081.6819558, 1736816081.6830225, 0.08808789110183715]","[1736816135.7968788, 1736816135.7980134, 0.14663329267501832]","[1736816190.4215853, 1736816190.4222925, 0.0803449125289917]","[1736816244.9661803, 1736816244.9670436, 0.10570498967170716]","[1736816298.6127112, 1736816298.6132636, 0.07812320160865784]"
"[1736816081.8087745, 1736816081.8094392, 0.06369859027862548]","[1736816135.9232986, 1736816135.9241521, 0.10968652725219727]","[1736816190.545517, 1736816190.5462444, 0.10663250470161438]","[1736816245.0896697, 1736816245.0903509, 0.09122937297821043]","[1736816298.7335553, 1736816298.7341125, 0.0798105103969574]"
"[1736816081.934211, 1736816081.9351106, 0.09240571308135986]","[1736816136.0530019, 1736816136.053749, 0.11092390251159669]","[1736816190.6744452, 1736816190.676094, 0.25730964756011965]","[1736816245.2132924, 1736816245.2139316, 0.095603257894516]","[1736816298.867453, 1736816298.8684547, 0.15235083293914795]"
"[1736816082.0554953, 1736816082.0561514, 0.09514076948614625]","[1736816136.1802444, 1736816136.1810467, 0.13180232644081116]","[1736816190.8033576, 1736816190.8043044, 0.15818658399581909]","[1736816245.3486915, 1736816245.3496914, 0.1653120174407959]","[1736816298.9928691, 1736816298.9935107, 0.10720939421653748]"
"[1736816082.1783173, 1736816082.1789513, 0.10935596990585326]","[1736816136.3054843, 1736816136.3062623, 0.13656929111480712]","[1736816190.9289987, 1736816190.9301283, 0.20565315532684325]","[1736816245.4770527, 1736816245.4777436, 0.12840028524398805]","[1736816299.1162984, 1736816299.1168914, 0.1137254569530487]"
"[1736816082.2988675, 1736816082.299537, 0.12074328231811525]","[1736816136.429922, 1736816136.4306147, 0.12921949625015258]","[1736816191.0542908, 1736816191.0555143, 0.24236603355407715]","[1736816245.5990305, 1736816245.5996432, 0.12192828655242921]","[1736816299.2398038, 1736816299.2404296, 0.12232589721679686]"
"[1736816082.4264936, 1736816082.427147, 0.12624709606170653]","[1736816136.5591688, 1736816136.5598595, 0.15650263833999634]","[1736816191.1859872, 1736816191.1868103, 0.18149422264099122]","[1736816245.727268, 1736816245.7278693, 0.12936128568649294]","[1736816299.3651369, 1736816299.3658285, 0.1508728823661804]"
"[1736816082.5455844, 1736816082.5461798, 0.12214648199081421]","[1736816136.6840363, 1736816136.6847413, 0.16175535273551941]","[1736816191.3102229, 1736816191.3108633, 0.140130003452301]","[1736816245.8496528, 1736816245.8503883, 0.16896175026893617]","[1736816299.4895124, 1736816299.4902298, 0.16621618938446045]"
