epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737223963.9894662, 1737223964.007069, 1.0950776863098144]","[1737224017.7255363, 1737224017.7389147, 2.025500372171402]","[1737224071.533236, 1737224071.5466506, 2.155917456150055]","[1737224125.3520465, 1737224125.3643146, 2.0155206298828126]","[1737224178.8138375, 1737224178.8272276, 2.1764210414886476]"
"[1737223964.2852786, 1737223964.2978952, 0.9119681820869446]","[1737224017.8566737, 1737224017.8714514, 2.219737586498261]","[1737224071.66847, 1737224071.6814706, 2.0158016769886014]","[1737224125.4810455, 1737224125.4939191, 1.9496627368927002]","[1737224178.9460192, 1737224178.9605775, 2.2277134037017827]"
"[1737223964.4149241, 1737223964.427941, 0.9893915119171143]","[1737224017.986154, 1737224018.0002096, 2.0893908283710476]","[1737224071.7947628, 1737224071.8103821, 2.4125849113464355]","[1737224125.6021035, 1737224125.618871, 2.623506591796875]","[1737224179.074633, 1737224179.0893126, 2.3363429319858553]"
"[1737223964.5383701, 1737223964.5550861, 1.4199576263427733]","[1737224018.1099503, 1737224018.1279693, 2.71908864402771]","[1737224071.9204893, 1737224071.937781, 2.7881058373938474]","[1737224125.7260869, 1737224125.7449203, 2.9798956947326656]","[1737224179.2006876, 1737224179.2177515, 2.7214290940761567]"
"[1737223964.6666977, 1737223964.6831925, 2.02065976524353]","[1737224018.240012, 1737224018.2561584, 2.480833067417145]","[1737224072.0485837, 1737224072.064551, 2.5273630800247195]","[1737224125.854704, 1737224125.8732936, 2.9277531392574305]","[1737224179.329913, 1737224179.3459132, 2.4976102781295775]"
"[1737223964.7952769, 1737223964.8100483, 1.9854764528274538]","[1737224018.3652196, 1737224018.382518, 2.727430890798569]","[1737224072.1759222, 1737224072.1918497, 2.5334684634208684]","[1737224125.9815495, 1737224126.0008564, 3.020448369026184]","[1737224179.4586198, 1737224179.4734561, 2.298307826042175]"
"[1737223964.9183016, 1737223964.9358501, 2.580059646606445]","[1737224018.4928896, 1737224018.5089164, 2.703261497497559]","[1737224072.3022087, 1737224072.3184493, 2.685041623592377]","[1737224126.1077461, 1737224126.1254916, 2.958186379909515]","[1737224179.582873, 1737224179.6009011, 3.20456540441513]"
"[1737223965.068483, 1737223965.080275, 2.033213920235634]","[1737224018.6177194, 1737224018.63534, 3.178573451042175]","[1737224072.427257, 1737224072.4450583, 3.268085295796394]","[1737224126.2322745, 1737224126.2498345, 3.340211506843567]","[1737224179.7136724, 1737224179.7288492, 2.8886711025238037]"
"[1737223965.187865, 1737223965.2058604, 3.383091221809387]","[1737224018.7453678, 1737224018.7619402, 3.4932955241203305]","[1737224072.5555334, 1737224072.571345, 3.2370781691074373]","[1737224126.3580825, 1737224126.375013, 3.4019969120025637]","[1737224179.839528, 1737224179.8558059, 3.27981192111969]"
"[1737223965.3148077, 1737223965.332626, 3.540437107086182]","[1737224018.8712468, 1737224018.888117, 3.7282262911796566]","[1737224072.6816952, 1737224072.6986473, 3.6676750926971438]","[1737224126.482847, 1737224126.499674, 3.60086616897583]","[1737224179.9665585, 1737224179.9832711, 3.5789671912193293]"
