epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736809928.60993, 1736809928.6108508, 0.059335181319672664]","[1736809974.8941486, 1736809974.8951106, 0.13344934701919553]","[1736810021.363737, 1736810021.3646898, 0.13781485176086425]","[1736810067.4937973, 1736810067.4946697, 0.12559736919403078]","[1736810113.0044055, 1736810113.0053532, 0.14558022022247313]"
"[1736809928.7000256, 1736809928.7006822, 0.044855298042297355]","[1736809974.992407, 1736809974.993028, 0.0796329174041748]","[1736810021.454259, 1736810021.4550493, 0.10718513488769532]","[1736810067.584181, 1736810067.5849235, 0.10649122953414918]","[1736810113.095868, 1736810113.096463, 0.09018527388572693]"
"[1736809928.789402, 1736809928.7899494, 0.04171038055419922]","[1736809975.087969, 1736809975.088892, 0.11973849987983703]","[1736810021.546521, 1736810021.547245, 0.10026007699966431]","[1736810067.6754131, 1736810067.6760595, 0.0932486674785614]","[1736810113.1878576, 1736810113.1884868, 0.0961359419822693]"
"[1736809928.8760426, 1736809928.8766026, 0.049049882411956784]","[1736809975.179215, 1736809975.1799102, 0.09110066699981689]","[1736810021.6387515, 1736810021.6394956, 0.1046061944961548]","[1736810067.7641802, 1736810067.7647996, 0.08936187314987183]","[1736810113.276229, 1736810113.2769165, 0.1050610294342041]"
"[1736809928.9637346, 1736809928.9643846, 0.06436702299118043]","[1736809975.2711809, 1736809975.2718039, 0.0867423219680786]","[1736810021.7320907, 1736810021.73306, 0.13866518497467042]","[1736810067.851372, 1736810067.8519547, 0.08545222282409669]","[1736810113.3658462, 1736810113.3665414, 0.10621285057067871]"
"[1736809929.050064, 1736809929.0506604, 0.06513159966468811]","[1736809975.3616414, 1736809975.362206, 0.08791452026367187]","[1736810021.8212786, 1736810021.8219042, 0.09991748046874999]","[1736810067.940925, 1736810067.941528, 0.09192330598831176]","[1736810113.4547882, 1736810113.4554427, 0.10022385120391844]"
"[1736809929.1375506, 1736809929.138128, 0.09166207122802734]","[1736809975.4518988, 1736809975.4524748, 0.09994395446777345]","[1736810021.9126265, 1736810021.9132183, 0.1039411587715149]","[1736810068.029307, 1736810068.0299213, 0.10480269241333007]","[1736810113.5456543, 1736810113.5462365, 0.09601010513305663]"
"[1736809929.2245686, 1736809929.22513, 0.08912641525268554]","[1736809975.5390525, 1736809975.5397182, 0.12707671737670898]","[1736810022.0154853, 1736810022.0163724, 0.16928435730934144]","[1736810068.1176586, 1736810068.1185687, 0.17081065535545348]","[1736810113.6332462, 1736810113.6338034, 0.10119412636756897]"
"[1736809929.3115273, 1736809929.3121145, 0.10199451613426208]","[1736809975.6286774, 1736809975.6294856, 0.16907955408096312]","[1736810022.1067889, 1736810022.1073964, 0.12506893730163574]","[1736810068.2103856, 1736810068.210964, 0.11894231176376344]","[1736810113.722549, 1736810113.7234163, 0.1871725492477417]"
"[1736809929.3988528, 1736809929.3995352, 0.1316083402633667]","[1736809975.7207618, 1736809975.7216945, 0.19523867520272806]","[1736810022.195283, 1736810022.1958802, 0.1319849395751953]","[1736810068.2987053, 1736810068.2993174, 0.13614212250709534]","[1736810113.8120837, 1736810113.8126273, 0.1268770980834961]"
"[1736809929.4871757, 1736809929.487833, 0.1395667884349823]","[1736809975.813851, 1736809975.8144152, 0.1268815155029297]","[1736810022.2846131, 1736810022.2852426, 0.139097900390625]","[1736810068.387, 1736810068.3879309, 0.22154292297363282]","[1736810113.9003308, 1736810113.9009132, 0.1456296069830214]"
"[1736809929.5753567, 1736809929.5760148, 0.15226804733276367]","[1736809975.9029198, 1736809975.9034395, 0.1250519323348999]","[1736810022.3729658, 1736810022.3735938, 0.14954433917999269]","[1736810068.477712, 1736810068.4782913, 0.14727142810821534]","[1736810113.9936702, 1736810113.9942646, 0.14933972883224486]"
"[1736809929.6628752, 1736809929.6635666, 0.17362508773803711]","[1736809975.9946702, 1736809975.9954023, 0.18858995723724364]","[1736810022.4614868, 1736810022.4621272, 0.16373550415039062]","[1736810068.5668085, 1736810068.567432, 0.15848345041275025]","[1736810114.0841835, 1736810114.0847847, 0.160652503490448]"
"[1736809929.761975, 1736809929.7626126, 0.1695291304588318]","[1736809976.0853853, 1736809976.0860121, 0.17015555238723756]","[1736810022.5496361, 1736810022.5502753, 0.1705859169960022]","[1736810068.6557987, 1736810068.6565876, 0.214558974981308]","[1736810114.1728885, 1736810114.1735268, 0.17191042804718018]"
"[1736809929.8496726, 1736809929.8502326, 0.15221693658828733]","[1736809976.1750963, 1736809976.1757603, 0.18162275552749632]","[1736810022.6400738, 1736810022.6406891, 0.1648366572856903]","[1736810068.7445652, 1736810068.7451403, 0.15782445716857912]","[1736810114.269534, 1736810114.2701094, 0.154342565536499]"
"[1736809929.938142, 1736809929.9387186, 0.1573609585762024]","[1736809976.264844, 1736809976.265494, 0.17856784415245056]","[1736810022.7288406, 1736810022.7294436, 0.16179784083366394]","[1736810068.8324645, 1736810068.8330243, 0.15445294189453124]","[1736810114.3716357, 1736810114.3721983, 0.1509592819213867]"
"[1736809930.0259597, 1736809930.02646, 0.1365356869697571]","[1736809976.3568916, 1736809976.3578775, 0.2724741864204407]","[1736810022.816546, 1736810022.817339, 0.2135400505065918]","[1736810068.9209466, 1736810068.921534, 0.16222096252441406]","[1736810114.4598045, 1736810114.4603755, 0.1537531089782715]"
"[1736809930.123919, 1736809930.124707, 0.21286786317825318]","[1736809976.4493558, 1736809976.4502203, 0.23897705841064454]","[1736810022.9060073, 1736810022.9066687, 0.1776864914894104]","[1736810069.0105562, 1736810069.0111432, 0.1627343878746033]","[1736810114.548014, 1736810114.5485504, 0.14450347423553467]"
"[1736809930.210722, 1736809930.2112856, 0.15062785148620605]","[1736809976.5428877, 1736809976.543631, 0.20505422735214232]","[1736810022.9964514, 1736810022.9970424, 0.15793407106399537]","[1736810069.0992281, 1736810069.0998075, 0.16048888206481934]","[1736810114.6371222, 1736810114.637768, 0.173785190820694]"
"[1736809930.2985797, 1736809930.2992437, 0.1776215171813965]","[1736809976.6322646, 1736809976.632847, 0.16023206019401548]","[1736810023.0854485, 1736810023.086051, 0.16099209260940553]","[1736810069.1882768, 1736810069.1889389, 0.18176908564567565]","[1736810114.7251055, 1736810114.7256894, 0.15763433599472046]"
"[1736809930.3868825, 1736809930.3874624, 0.15650357055664063]","[1736809976.7260852, 1736809976.726722, 0.1751768058028776]","[1736810023.1741285, 1736810023.1747653, 0.1712799484729767]","[1736810069.2773504, 1736810069.278, 0.17708292603492737]","[1736810114.8224735, 1736810114.8232284, 0.20281009960174562]"
"[1736809930.4762206, 1736809930.4768, 0.15631229639053346]","[1736809976.8172364, 1736809976.8179328, 0.1903108763694763]","[1736810023.262681, 1736810023.2632995, 0.16784449768066406]","[1736810069.3655498, 1736810069.3661466, 0.1626563537120819]","[1736810114.9113686, 1736810114.9119177, 0.14722318267822265]"
"[1736809930.5637846, 1736809930.5645127, 0.19651364135742186]","[1736809976.9062476, 1736809976.9067724, 0.14339782333374024]","[1736810023.3551729, 1736810023.3558106, 0.17418383359909057]","[1736810069.4537878, 1736810069.454391, 0.16502740621566772]","[1736810114.9995399, 1736810115.0001175, 0.15489453622658736]"
"[1736809930.6524987, 1736809930.653236, 0.19942396831512452]","[1736809976.9932137, 1736809976.9938629, 0.1773626108169556]","[1736810023.4451392, 1736810023.4458225, 0.1864978895187378]","[1736810069.5427823, 1736810069.5434663, 0.18833202600479126]","[1736810115.0946736, 1736810115.0954635, 0.2118144226074219]"
"[1736809930.7412047, 1736809930.7419298, 0.19590189886093137]","[1736809977.082066, 1736809977.0826085, 0.14927018880844115]","[1736810023.5338888, 1736810023.5346532, 0.20865924167633057]","[1736810069.6315818, 1736810069.632218, 0.17623235416412353]","[1736810115.1858451, 1736810115.1863892, 0.14583719635009765]"
"[1736809930.8314533, 1736809930.8320029, 0.14698283433914186]","[1736809977.1723676, 1736809977.1729221, 0.15251442623138425]","[1736810023.622321, 1736810023.6229692, 0.17743462824821474]","[1736810069.7416048, 1736810069.7425966, 0.2751996612548828]","[1736810115.2766848, 1736810115.2772617, 0.15468875885009764]"
"[1736809930.9204316, 1736809930.92112, 0.18409520292282108]","[1736809977.2603264, 1736809977.26098, 0.18016422963142398]","[1736810023.714233, 1736810023.7148542, 0.1695342950820923]","[1736810069.8306804, 1736810069.831314, 0.17312946939468385]","[1736810115.367225, 1736810115.367862, 0.17081531906127928]"
"[1736809931.0080955, 1736809931.0087125, 0.1651208200454712]","[1736809977.3480566, 1736809977.3485944, 0.14890510940551757]","[1736810023.804588, 1736810023.8053484, 0.20595006608963015]","[1736810069.9224684, 1736810069.9233491, 0.24107547855377198]","[1736810115.4559112, 1736810115.4565177, 0.16398937225341798]"
"[1736809931.0964255, 1736809931.097031, 0.16264935016632082]","[1736809977.4359956, 1736809977.4367216, 0.20133584976196287]","[1736810023.8933425, 1736810023.8940253, 0.18439969541175572]","[1736810070.0166807, 1736810070.0172677, 0.16012464570999146]","[1736810115.5453823, 1736810115.5459125, 0.14384854125976562]"
"[1736809931.1851172, 1736809931.1858778, 0.20577050924301146]","[1736809977.526491, 1736809977.5269952, 0.1399018153571545]","[1736810023.9819944, 1736810023.9828744, 0.23616463851928712]","[1736810070.1122117, 1736810070.1129048, 0.1880305938720703]","[1736810115.6359177, 1736810115.6365166, 0.16175652313232422]"
"[1736809931.2732584, 1736809931.2739215, 0.180977995634079]","[1736809977.613242, 1736809977.6137545, 0.14230082035064698]","[1736810024.0730295, 1736810024.073745, 0.1932420926094055]","[1736810070.200506, 1736810070.2011685, 0.17893369150161745]","[1736810115.724474, 1736810115.7250757, 0.16334825229644775]"
