epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736809928.4508932, 1736809928.455809, 0.31659718465805053]","[1736809974.8145308, 1736809974.821291, 1.0216068027026401]","[1736810021.2838483, 1736810021.290752, 1.0448061851263046]","[1736810067.4172535, 1736810067.422161, 0.7758977375030517]","[1736810112.925347, 1736810112.93181, 1.0909615139961244]"
"[1736809928.625701, 1736809928.6303623, 0.3184335265159607]","[1736809974.915373, 1736809974.922791, 1.009166453361511]","[1736810021.382677, 1736810021.387087, 0.6356216002305439]","[1736810067.5117123, 1736810067.5164087, 0.6761456623077393]","[1736810113.0222504, 1736810113.0270057, 0.730464777946472]"
"[1736809928.7178092, 1736809928.7227037, 0.3729409418106079]","[1736809975.0101478, 1736809975.0161552, 0.7705493931770324]","[1736810021.4708745, 1736810021.4777117, 0.9272241668701173]","[1736810067.6024415, 1736810067.607229, 0.686687183380127]","[1736810113.114408, 1736810113.1192133, 0.7285307395458223]"
"[1736809928.804686, 1736809928.809193, 0.34340214443206785]","[1736809975.103114, 1736809975.1085663, 0.7073882081508636]","[1736810021.5639067, 1736810021.5692475, 0.7395212330818176]","[1736810067.690028, 1736810067.6947749, 0.6848325228691102]","[1736810113.202756, 1736810113.207551, 0.7326586074829102]"
"[1736809928.8915462, 1736809928.8961298, 0.40144060850143426]","[1736809975.1951447, 1736809975.2009168, 0.7563604760169983]","[1736810021.6553226, 1736810021.660584, 0.7396505928039551]","[1736810067.7784975, 1736810067.7832952, 0.7035822749137879]","[1736810113.2907574, 1736810113.2970626, 0.9633994398117065]"
"[1736809928.9778898, 1736809928.982443, 0.4509469571113587]","[1736809975.2873726, 1736809975.293212, 0.813047435760498]","[1736810021.7476382, 1736810021.752114, 0.6403841371536254]","[1736810067.8676565, 1736810067.8722205, 0.6811134564876556]","[1736810113.3811097, 1736810113.3859081, 0.7330726442337037]"
"[1736809929.065738, 1736809929.0699484, 0.45990565776824954]","[1736809975.3786404, 1736809975.3834157, 0.7435979418754577]","[1736810021.8374753, 1736810021.8440561, 1.0510374603271484]","[1736810067.9566233, 1736810067.9610424, 0.6734381330013275]","[1736810113.4722104, 1736810113.4770975, 0.748411111831665]"
"[1736809929.150843, 1736809929.1566617, 0.9236599960327148]","[1736809975.465995, 1736809975.4707193, 0.8196976232528688]","[1736810021.9402971, 1736810021.9453864, 0.8939274678230285]","[1736810068.043193, 1736810068.0477514, 0.7775408134460449]","[1736810113.5599723, 1736810113.5648398, 0.8026790771484376]"
"[1736809929.2394617, 1736809929.2438235, 0.7576084744930267]","[1736809975.554732, 1736809975.560852, 1.1683138461112974]","[1736810022.0323248, 1736810022.038184, 1.1180228650569917]","[1736810068.1348798, 1736810068.140694, 1.091272895336151]","[1736810113.6475604, 1736810113.6535327, 1.0846867203712462]"
"[1736809929.3264675, 1736809929.331047, 0.8679677446490235]","[1736809975.6452901, 1736809975.6512883, 1.254779770374298]","[1736810022.1225283, 1736810022.1269994, 0.920493634700775]","[1736810068.2261927, 1736810068.2306247, 0.9113844325542451]","[1736810113.7393138, 1736810113.743785, 0.9648287014961243]"
"[1736809929.4137063, 1736809929.4184124, 0.9076928820610046]","[1736809975.7399194, 1736809975.7457767, 1.3174548568725586]","[1736810022.2103543, 1736810022.2169058, 1.4478300018310546]","[1736810068.3139486, 1736810068.318504, 1.0133492538928985]","[1736810113.827092, 1736810113.8317575, 1.0889727773666382]"
"[1736809929.5027459, 1736809929.5073605, 0.9798023903369903]","[1736809975.8291442, 1736809975.8338838, 1.1403244783878326]","[1736810022.3007112, 1736810022.3054106, 1.119084460735321]","[1736810068.4030597, 1736810068.4077506, 1.1165105044841765]","[1736810113.9178553, 1736810113.92388, 1.5137645196914673]"
"[1736809929.5904489, 1736809929.5951555, 1.0891027255058288]","[1736809975.9186842, 1736809975.9248712, 1.533869350552559]","[1736810022.3885264, 1736810022.3932889, 1.2175833051501919]","[1736810068.493393, 1736810068.4981806, 1.217019567012787]","[1736810114.009661, 1736810114.0155146, 1.5639731426239014]"
"[1736809929.6888359, 1736809929.693461, 1.161432095527649]","[1736809976.011034, 1736809976.0169163, 1.5151062927246093]","[1736810022.4769742, 1736810022.4815092, 1.159498519897461]","[1736810068.582586, 1736810068.5873158, 1.2863163933753967]","[1736810114.0998166, 1736810114.1046474, 1.3008667331892543]"
"[1736809929.7773952, 1736809929.7819667, 1.2156138920783996]","[1736809976.1015363, 1736809976.1063576, 1.3088191633224486]","[1736810022.5648346, 1736810022.571364, 1.7425087366104126]","[1736810068.6712582, 1736810068.675927, 1.2811158588616496]","[1736810114.195591, 1736810114.2004046, 1.2954522941702584]"
"[1736809929.8646743, 1736809929.870427, 1.563512237548828]","[1736809976.1912072, 1736809976.1959286, 1.2914453959465024]","[1736810022.656868, 1736810022.6613414, 1.198306935548782]","[1736810068.7597144, 1736810068.7642138, 1.2348520545959474]","[1736810114.2978253, 1736810114.3026297, 1.2889591240882874]"
"[1736809929.9528406, 1736809929.9573147, 1.2212720217704773]","[1736809976.2823808, 1736809976.2882314, 1.6068486716747283]","[1736810022.7440772, 1736810022.7487404, 1.2513262035846708]","[1736810068.8473809, 1736810068.8519838, 1.2699610290527343]","[1736810114.3869894, 1736810114.391777, 1.2844971780776975]"
"[1736809930.0517147, 1736809930.056127, 1.1919956259727478]","[1736809976.3734848, 1736809976.3796756, 1.7110192804336546]","[1736810022.8323, 1736810022.8370962, 1.2915770282745362]","[1736810068.9363368, 1736810068.941157, 1.3310809335708615]","[1736810114.4748573, 1736810114.4793692, 1.2148742523193359]"
"[1736809930.1384156, 1736809930.1429074, 1.2004351615905762]","[1736809976.468302, 1736809976.4741635, 1.620311908721924]","[1736810022.9215846, 1736810022.928067, 1.741571022748947]","[1736810069.0262985, 1736810069.030887, 1.272064701318741]","[1736810114.5640032, 1736810114.568519, 1.2164623579978944]"
"[1736809930.2253907, 1736809930.229953, 1.2199127423763276]","[1736809976.5587056, 1736809976.5636096, 1.3527134068012239]","[1736810023.012671, 1736810023.0171318, 1.1919913148880006]","[1736810069.1144407, 1736810069.1190612, 1.27994836807251]","[1736810114.6521864, 1736810114.6568582, 1.2570397984981538]"
"[1736809930.3140404, 1736809930.3186579, 1.2351870460510255]","[1736809976.6506267, 1736809976.656066, 1.4963300127983092]","[1736810023.1005547, 1736810023.1052816, 1.2713576407432559]","[1736810069.2036564, 1736810069.208203, 1.248230631351471]","[1736810114.7463505, 1736810114.7512033, 1.31012220287323]"
"[1736809930.4017544, 1736809930.4085097, 1.823343819141388]","[1736809976.7448313, 1736809976.7494447, 1.260703682899475]","[1736810023.189875, 1736810023.1946259, 1.2889547901478056]","[1736810069.2932506, 1736810069.297962, 1.284159890413284]","[1736810114.8383176, 1736810114.842869, 1.2228821229934694]"
"[1736809930.491657, 1736809930.4962745, 1.2458025696277617]","[1736809976.8339663, 1736809976.838944, 1.3602270584106446]","[1736810023.2808142, 1736810023.286749, 1.6106342468261718]","[1736810069.3810468, 1736810069.3857226, 1.2792559251785278]","[1736810114.9264467, 1736810114.9311233, 1.2539221572875976]"
"[1736809930.579523, 1736809930.5842872, 1.2857680358886716]","[1736809976.9205475, 1736809976.9251406, 1.2551381492614746]","[1736810023.3711183, 1736810023.375759, 1.2674071540832519]","[1736810069.4690495, 1736810069.4735994, 1.249101753592491]","[1736810115.0147429, 1736810115.0195816, 1.2975471496582034]"
"[1736809930.667819, 1736809930.672527, 1.2736174328327179]","[1736809977.008635, 1736809977.0148466, 1.6969622106552125]","[1736810023.4610884, 1736810023.465656, 1.2466596536636354]","[1736810069.5585356, 1736810069.5630121, 1.2325277519226074]","[1736810115.1106803, 1736810115.117226, 1.7545198898315433]"
"[1736809930.756481, 1736809930.7628133, 1.7110011291503904]","[1736809977.0973928, 1736809977.1036227, 1.7144747400283813]","[1736810023.5490558, 1736810023.5537786, 1.289248570919037]","[1736810069.666689, 1736810069.671469, 1.3244774323253607]","[1736810115.2030149, 1736810115.2079256, 1.316580316543579]"
"[1736809930.8476985, 1736809930.8523278, 1.2381629910469056]","[1736809977.1882184, 1736809977.192704, 1.2336227064132688]","[1736810023.6377766, 1736810023.6443129, 1.7890291774272917]","[1736810069.7575638, 1736810069.7622695, 1.3056768543720245]","[1736810115.292216, 1736810115.2970793, 1.3038600425720215]"
"[1736809930.9353006, 1736809930.939943, 1.2423619041442873]","[1736809977.2757578, 1736809977.2803771, 1.2735067307949066]","[1736810023.7316604, 1736810023.7365952, 1.346516055107117]","[1736810069.848489, 1736810069.8539646, 1.4958959345817566]","[1736810115.3833468, 1736810115.3878832, 1.2163559415340424]"
"[1736809931.0231626, 1736809931.0279, 1.2678181208601786]","[1736809977.3627384, 1736809977.368714, 1.6543252048492434]","[1736810023.8204696, 1736810023.8252056, 1.2828448143005373]","[1736810069.9409158, 1736810069.946382, 1.4962472920417786]","[1736810115.4710612, 1736810115.4772015, 1.6601345491409303]"
"[1736809931.111795, 1736809931.1164966, 1.2627736949920656]","[1736809977.4530618, 1736809977.4586341, 1.545360092163086]","[1736810023.908698, 1736810023.9134054, 1.2632984619140624]","[1736810070.0393631, 1736810070.0438988, 1.2372913322448729]","[1736810115.5619524, 1736810115.5668342, 1.324389717102051]"
"[1736809931.2005465, 1736809931.2050898, 1.229204647064209]","[1736809977.5413404, 1736809977.545891, 1.2633003525733948]","[1736810023.9984038, 1736810024.004721, 1.7061454467773436]","[1736810070.128182, 1736810070.1328917, 1.2777283630371095]","[1736810115.651638, 1736810115.6562166, 1.2366131649017333]"
"[1736809931.2885044, 1736809931.2931683, 1.273028245449066]","[1736809977.6274343, 1736809977.632037, 1.2703149131177462]","[1736810024.0910425, 1736810024.09591, 1.317259195327759]","[1736810070.216352, 1736810070.220926, 1.2352799105644228]","[1736810115.7396054, 1736810115.7442117, 1.2503519153594969]"
