epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737226293.9483387, 1737226293.972403, 1.3688600165843963]","[1737226325.8181326, 1737226325.8298874, 1.5870089602470396]","[1737226357.4504995, 1737226357.4623296, 1.567356989622116]","[1737226389.472618, 1737226389.4843884, 1.6307679176330567]","[1737226421.6701963, 1737226421.6823761, 1.325569781780243]"
"[1737226294.0431185, 1737226294.0549622, 0.6761083927154541]","[1737226325.8907526, 1737226325.902287, 1.469800670862198]","[1737226357.528569, 1737226357.5400946, 1.5021815843582154]","[1737226389.5481822, 1737226389.5596864, 1.509220826625824]","[1737226421.7495072, 1737226421.761373, 1.2004210124015808]"
"[1737226294.1224985, 1737226294.134342, 0.7377162158489228]","[1737226325.9626641, 1737226325.9741366, 1.4619016201496127]","[1737226357.602526, 1737226357.6141102, 1.5098257999420166]","[1737226389.6192288, 1737226389.6309416, 1.514932198524475]","[1737226421.8238363, 1737226421.83575, 1.2052691030502318]"
"[1737226294.1963603, 1737226294.2082708, 0.8220227365493773]","[1737226326.0341825, 1737226326.0456924, 1.5879742183685304]","[1737226357.6776743, 1737226357.6892035, 1.5433803842067715]","[1737226389.691889, 1737226389.7034, 1.5608941459655763]","[1737226421.8987463, 1737226421.9106622, 1.2657688319683074]"
"[1737226294.2674832, 1737226294.278954, 0.8510411987304687]","[1737226326.1053684, 1737226326.116847, 1.635158429145813]","[1737226357.75174, 1737226357.7632403, 1.5850944232940674]","[1737226389.7632852, 1737226389.7747786, 1.6487231118679047]","[1737226421.9768147, 1737226421.9883275, 1.2993987579345705]"
"[1737226294.3405259, 1737226294.3520117, 0.852155590057373]","[1737226326.175608, 1737226326.1871376, 1.6424265546798706]","[1737226357.8255765, 1737226357.8370738, 1.6932588398456574]","[1737226389.833899, 1737226389.845394, 1.6489283173084262]","[1737226422.0492508, 1737226422.060815, 1.322835102081299]"
"[1737226294.4102523, 1737226294.421783, 0.9796660437583924]","[1737226326.2472808, 1737226326.2587655, 1.6920754384994507]","[1737226357.8997073, 1737226357.9112065, 1.6935397446155547]","[1737226389.9043038, 1737226389.9158409, 1.683363082408905]","[1737226422.1223373, 1737226422.1339154, 1.3244169187545776]"
"[1737226294.4812715, 1737226294.4928143, 1.0592363176345825]","[1737226326.3188074, 1737226326.3302803, 1.784214333295822]","[1737226357.9733145, 1737226357.9848173, 1.7403879861831664]","[1737226389.974643, 1737226389.9861305, 1.7896581039428712]","[1737226422.1947718, 1737226422.206311, 1.415712383508682]"
"[1737226294.5520988, 1737226294.5635824, 1.0538103952407838]","[1737226326.3935587, 1737226326.4050407, 1.785626558790726]","[1737226358.0467036, 1737226358.0581858, 1.797257423400879]","[1737226390.0456803, 1737226390.057147, 1.796776977777481]","[1737226422.2701256, 1737226422.2816148, 1.545256598711014]"
"[1737226294.6241293, 1737226294.6356058, 1.6262338962554932]","[1737226326.4654303, 1737226326.4769685, 1.8794798719882966]","[1737226358.1209505, 1737226358.1324558, 2.0081579773426057]","[1737226390.1207066, 1737226390.1322181, 1.8193106379508972]","[1737226422.3426456, 1737226422.3541877, 1.5523753802776339]"
