epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737226294.0039115, 1737226294.0046928, 0.044601159572601315]","[1737226325.8556228, 1737226325.8564093, 0.10619115591049194]","[1737226357.4882212, 1737226357.488973, 0.09959645676612855]","[1737226389.5100465, 1737226389.5107193, 0.09321882724761964]","[1737226421.708585, 1737226421.709377, 0.08619862222671508]"
"[1737226294.0801616, 1737226294.0806222, 0.02869185161590576]","[1737226325.9268687, 1737226325.927249, 0.048457638025283814]","[1737226357.5647132, 1737226357.5651586, 0.058046319961547854]","[1737226389.584299, 1737226389.5846875, 0.05023356914520264]","[1737226421.786547, 1737226421.7869337, 0.03912240314483643]"
"[1737226294.1601334, 1737226294.1605213, 0.02416234087944031]","[1737226325.9986944, 1737226325.9990559, 0.04986678504943848]","[1737226357.6387947, 1737226357.6392195, 0.056874989032745356]","[1737226389.6555102, 1737226389.655913, 0.05463776111602783]","[1737226421.8611186, 1737226421.861546, 0.04540954232215881]"
"[1737226294.23276, 1737226294.2331614, 0.027710110664367675]","[1737226326.0702775, 1737226326.0706472, 0.0510180630683899]","[1737226357.7138655, 1737226357.714294, 0.05735373473167419]","[1737226389.7280157, 1737226389.728402, 0.05237465858459473]","[1737226421.9357803, 1737226421.9362035, 0.04495367407798767]"
"[1737226294.3039496, 1737226294.3043365, 0.02870884323120117]","[1737226326.1414769, 1737226326.1418033, 0.046495625495910645]","[1737226357.787789, 1737226357.7882028, 0.05701423883438111]","[1737226389.7992864, 1737226389.7996516, 0.052395789146423344]","[1737226422.0129092, 1737226422.0133066, 0.04485788869857788]"
"[1737226294.376232, 1737226294.3766253, 0.03115975837876292]","[1737226326.2118468, 1737226326.2121868, 0.050091334342956546]","[1737226357.8616166, 1737226357.8620052, 0.057234346866607666]","[1737226389.8698459, 1737226389.8702023, 0.05200718760490417]","[1737226422.085928, 1737226422.0865357, 0.06951811552047729]"
"[1737226294.4462736, 1737226294.4466226, 0.02965554428100586]","[1737226326.28325, 1737226326.2835932, 0.05054798746109009]","[1737226357.9356842, 1737226357.9360704, 0.058438596725463865]","[1737226389.94029, 1737226389.9406357, 0.05044175386428833]","[1737226422.1584637, 1737226422.1588924, 0.04903631687164307]"
"[1737226294.5176249, 1737226294.518005, 0.034874678611755375]","[1737226326.3551135, 1737226326.3554444, 0.05146379947662353]","[1737226358.0092666, 1737226358.0096583, 0.05926828050613403]","[1737226390.0105574, 1737226390.0109, 0.053375507354736326]","[1737226422.2307754, 1737226422.2311938, 0.051335259675979614]"
"[1737226294.5879693, 1737226294.5883114, 0.04848025679588318]","[1737226326.429621, 1737226326.4300823, 0.0751481258869171]","[1737226358.0826204, 1737226358.082991, 0.0579928994178772]","[1737226390.0815842, 1737226390.0819387, 0.05603038167953491]","[1737226422.3061614, 1737226422.306572, 0.05521865701675416]"
"[1737226294.659966, 1737226294.6603448, 0.053683016061782836]","[1737226326.5016522, 1737226326.5020015, 0.05689509272575378]","[1737226358.1569242, 1737226358.157313, 0.06787213587760925]","[1737226390.1568556, 1737226390.1572516, 0.06770321893692016]","[1737226422.3788285, 1737226422.3792331, 0.059317867755889896]"
"[1737226294.7302148, 1737226294.730561, 0.05290865135192871]","[1737226326.5739906, 1737226326.5743306, 0.06093923234939576]","[1737226358.2296703, 1737226358.2300842, 0.07710691833496093]","[1737226390.2289498, 1737226390.2293394, 0.06660268497467041]","[1737226422.452395, 1737226422.4528923, 0.07291518688201905]"
"[1737226294.8002617, 1737226294.8006306, 0.060963758468627935]","[1737226326.6441152, 1737226326.6444778, 0.07026916837692261]","[1737226358.3035314, 1737226358.3039296, 0.07417543411254883]","[1737226390.3018396, 1737226390.3022082, 0.06815950441360474]","[1737226422.5256667, 1737226422.526089, 0.06850283789634705]"
"[1737226294.8713276, 1737226294.87168, 0.05824462509155273]","[1737226326.7144756, 1737226326.7147894, 0.0648316774368286]","[1737226358.3774068, 1737226358.3777997, 0.07819810104370116]","[1737226390.375122, 1737226390.3755004, 0.07902263402938842]","[1737226422.5988216, 1737226422.5992038, 0.06876730823516845]"
"[1737226294.9419522, 1737226294.9423018, 0.06483206939697266]","[1737226326.7845607, 1737226326.7849393, 0.0782315378189087]","[1737226358.451397, 1737226358.451781, 0.08302885508537293]","[1737226390.4480367, 1737226390.4484277, 0.08166170120239258]","[1737226422.6715488, 1737226422.6719644, 0.08750647044181824]"
"[1737226295.0125017, 1737226295.0128682, 0.07266617441177368]","[1737226326.8550925, 1737226326.8554301, 0.07587440872192383]","[1737226358.5248225, 1737226358.525193, 0.08416593503952026]","[1737226390.5210185, 1737226390.521388, 0.07911448478698731]","[1737226422.7439835, 1737226422.744374, 0.08223499631881714]"
"[1737226295.0866401, 1737226295.0869887, 0.07510280179977417]","[1737226326.9258428, 1737226326.9262297, 0.09119948816299439]","[1737226358.598632, 1737226358.5990217, 0.08849880170822144]","[1737226390.5946064, 1737226390.5949786, 0.08433738923072816]","[1737226422.8170545, 1737226422.817486, 0.09087017297744751]"
"[1737226295.1570294, 1737226295.1574147, 0.08301376724243165]","[1737226326.9957864, 1737226326.9961042, 0.07490383100509644]","[1737226358.672769, 1737226358.6731434, 0.08777400732040405]","[1737226390.6671636, 1737226390.6675448, 0.08794787766310504]","[1737226422.8908079, 1737226422.8912323, 0.09720242977142335]"
