epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737226469.9154048, 1737226469.9801416, 3.9870774302482612]","[1737226563.7613258, 1737226563.817508, 8.558138624429704]","[1737226657.0538704, 1737226657.1106877, 8.496401202917097]","[1737226750.5807166, 1737226750.6373215, 8.332084064483642]","[1737226844.90356, 1737226844.9602413, 7.3834373909235]"
"[1737226470.1773283, 1737226470.2333379, 4.341018384575843]","[1737226563.9918633, 1737226564.0478737, 8.124320805072784]","[1737226657.2852542, 1737226657.3417075, 8.154315116405485]","[1737226750.8118057, 1737226750.8678317, 7.776686418056488]","[1737226845.13732, 1737226845.193495, 7.358137700557706]"
"[1737226470.4093187, 1737226470.465183, 5.179517601013182]","[1737226564.2180572, 1737226564.2738853, 8.026896745179638]","[1737226657.5136235, 1737226657.570134, 7.818050593972206]","[1737226751.0403411, 1737226751.0964293, 7.631530001878739]","[1737226845.3667014, 1737226845.422473, 7.3286656299829485]"
"[1737226470.6422727, 1737226470.6977153, 6.948728388786315]","[1737226564.445421, 1737226564.5011191, 8.01818287730217]","[1737226657.7427185, 1737226657.798392, 8.071057355880738]","[1737226751.2700617, 1737226751.3253286, 8.022809589385986]","[1737226845.5974643, 1737226845.653136, 7.98691735243797]"
"[1737226470.872657, 1737226470.9282832, 8.369029179811477]","[1737226564.6724021, 1737226564.7281842, 9.201083001837514]","[1737226657.9699285, 1737226658.0255373, 9.17777921676636]","[1737226751.4957466, 1737226751.5515728, 9.223921321868895]","[1737226845.827197, 1737226845.8828807, 9.178107167243958]"
"[1737226471.1032357, 1737226471.1590364, 9.244107445478443]","[1737226564.8987157, 1737226564.9543796, 10.338887357234952]","[1737226658.1980646, 1737226658.2539158, 10.198246330976485]","[1737226751.7229745, 1737226751.7785616, 10.241358699798582]","[1737226846.05787, 1737226846.1136572, 10.348995068550112]"
"[1737226471.333964, 1737226471.3898108, 10.098533770561218]","[1737226565.1248374, 1737226565.1804545, 10.306868990421291]","[1737226658.4240007, 1737226658.4794574, 10.06906794667244]","[1737226751.949874, 1737226752.0058694, 10.396381495237351]","[1737226846.2841587, 1737226846.3398795, 10.323386178493498]"
"[1737226471.5637584, 1737226471.619106, 9.89115638375282]","[1737226565.3508885, 1737226565.4066188, 10.202374250411989]","[1737226658.649985, 1737226658.7054873, 10.311971340656278]","[1737226752.1782255, 1737226752.2337904, 10.128456813335418]","[1737226846.5112433, 1737226846.5669146, 10.390950811862943]"
"[1737226471.7904248, 1737226471.8460038, 9.893107377886771]","[1737226565.5764482, 1737226565.6321077, 10.34505602826888]","[1737226658.875965, 1737226658.9317114, 10.41352332323126]","[1737226752.4037807, 1737226752.459357, 10.16940750404908]","[1737226846.7382715, 1737226846.7939875, 10.409984493255616]"
"[1737226472.0182495, 1737226472.073835, 10.136272766590118]","[1737226565.802515, 1737226565.8580058, 10.329988232851028]","[1737226659.1032064, 1737226659.1589894, 10.24375947225094]","[1737226752.6307466, 1737226752.6865819, 10.430303323268895]","[1737226846.9663358, 1737226847.022208, 10.429406658411025]"
"[1737226472.2461178, 1737226472.3019762, 10.224293393934826]","[1737226566.028352, 1737226566.0839806, 10.300867058157925]","[1737226659.3294117, 1737226659.3851047, 10.229809975790518]","[1737226752.8569646, 1737226752.91266, 10.332205896139143]","[1737226847.192626, 1737226847.2483041, 10.408422109842299]"
"[1737226472.474206, 1737226472.5296059, 9.943093680381775]","[1737226566.254414, 1737226566.3100834, 10.236950011491778]","[1737226659.5565844, 1737226659.6121373, 10.413957777023315]","[1737226753.0859523, 1737226753.141914, 10.235408385396005]","[1737226847.4196572, 1737226847.4754598, 10.438037229965097]"
"[1737226472.7018464, 1737226472.7572374, 10.070544420302955]","[1737226566.4805264, 1737226566.5362737, 10.384044091701512]","[1737226659.7840807, 1737226659.8398044, 10.432712909743309]","[1737226753.3136148, 1737226753.3686473, 10.183267293691634]","[1737226847.646842, 1737226847.702667, 10.443349297285081]"
"[1737226472.9294527, 1737226472.9850993, 10.26547287082672]","[1737226566.7063198, 1737226566.761985, 10.342715633869169]","[1737226660.01147, 1737226660.0671198, 10.214425335526466]","[1737226753.5407531, 1737226753.5959103, 10.319964395999909]","[1737226847.874108, 1737226847.929986, 10.42061048913002]"
"[1737226473.1564002, 1737226473.212313, 10.315228300094605]","[1737226566.9318857, 1737226566.9874942, 10.260315881490707]","[1737226660.239459, 1737226660.2953072, 10.308001280811554]","[1737226753.767312, 1737226753.8231337, 10.330539536237715]","[1737226848.1020415, 1737226848.1578467, 10.435293664932251]"
"[1737226473.383578, 1737226473.4391606, 10.193030832767487]","[1737226567.157879, 1737226567.2135823, 10.247904469370841]","[1737226660.4668322, 1737226660.5226939, 10.462004776954648]","[1737226753.9948373, 1737226754.0508976, 10.244743514060977]","[1737226848.3293073, 1737226848.384923, 10.393844509840012]"
"[1737226473.6104202, 1737226473.6661468, 10.284558967947959]","[1737226567.3836596, 1737226567.4391565, 10.362053988933566]","[1737226660.693239, 1737226660.7489672, 10.347096334457397]","[1737226754.2215517, 1737226754.2775629, 10.432142002105712]","[1737226848.5583231, 1737226848.6143336, 10.467463421821597]"
