epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736869861.2140489, 1736869861.214266, 0.008824591398239136]","[1736869955.4624808, 1736869955.462643, 0.019158754348754883]","[1736870049.353627, 1736870049.3538241, 0.020368476152420045]","[1736870143.5506723, 1736870143.5508618, 0.021453588008880618]","[1736870237.7448564, 1736870237.745029, 0.018827986717224122]"
"[1736869861.4596841, 1736869861.4597816, 0.005390724658966064]","[1736869955.6842434, 1736869955.6843348, 0.010732993364334106]","[1736870049.575526, 1736870049.5756392, 0.011768931150436403]","[1736870143.7794929, 1736870143.7795994, 0.012016970157623291]","[1736870237.9694648, 1736870237.9695728, 0.011167556901403367]"
"[1736869861.6878881, 1736869861.6879854, 0.00961541748046875]","[1736869955.9097226, 1736869955.9098098, 0.010031198501586914]","[1736870049.8013728, 1736870049.8014793, 0.011673911333084106]","[1736870144.0131712, 1736870144.013275, 0.011378148794174195]","[1736870238.194702, 1736870238.1948037, 0.01121368956565857]"
"[1736869861.9143207, 1736869861.9144132, 0.010923989295959472]","[1736869956.1326015, 1736869956.1326919, 0.01163795442229434]","[1736870050.0394948, 1736870050.0396006, 0.014163991928100585]","[1736870144.294927, 1736870144.2950275, 0.013481901435513014]","[1736870238.421118, 1736870238.4212205, 0.013334877490997314]"
"[1736869862.1412225, 1736869862.1413527, 0.018287331104278565]","[1736869956.3554375, 1736869956.3555272, 0.013331523895263672]","[1736870050.274415, 1736870050.2745225, 0.01615116739273071]","[1736870144.524229, 1736870144.5243452, 0.0173966224193573]","[1736870238.6538916, 1736870238.6539984, 0.016019378662109375]"
"[1736869862.3707328, 1736869862.3708334, 0.016195314884185793]","[1736869956.5784886, 1736869956.5785787, 0.015186405658721923]","[1736870050.4995153, 1736870050.499622, 0.018178787231445313]","[1736870144.748744, 1736870144.7488515, 0.016849338769912722]","[1736870238.8877888, 1736870238.8878925, 0.017029523849487305]"
"[1736869862.5985725, 1736869862.5987103, 0.022197091579437257]","[1736869956.8026037, 1736869956.8026934, 0.015203947067260743]","[1736870050.7233946, 1736870050.723502, 0.01718287467956543]","[1736870144.9736915, 1736870144.9738076, 0.01891359758377075]","[1736870239.1141477, 1736870239.1142533, 0.01782042717933655]"
"[1736869862.82469, 1736869862.8247974, 0.017793989181518557]","[1736869957.0341165, 1736869957.0342064, 0.0149760799407959]","[1736870050.9464636, 1736870050.9465678, 0.016908090353012082]","[1736870145.221383, 1736870145.221505, 0.018491523027420045]","[1736870239.34196, 1736870239.342063, 0.017598758697509764]"
"[1736869863.0559154, 1736869863.0560145, 0.016764457702636716]","[1736869957.257484, 1736869957.2575755, 0.015487426757812499]","[1736870051.173414, 1736870051.1735919, 0.02977647542953491]","[1736870145.447023, 1736870145.447132, 0.018009648323059083]","[1736870239.5687761, 1736870239.5688834, 0.017851060215789496]"
"[1736869863.2808561, 1736869863.2810154, 0.026459073072190423]","[1736869957.4812474, 1736869957.4813545, 0.01811263608932495]","[1736870051.3967018, 1736870051.3967927, 0.015522580862045289]","[1736870145.680184, 1736870145.680288, 0.017692737102508543]","[1736870239.7970014, 1736870239.7971237, 0.020310343265533447]"
"[1736869863.5153568, 1736869863.5154998, 0.023303890228271486]","[1736869957.703532, 1736869957.703622, 0.015239667892456054]","[1736870051.6222038, 1736870051.6223922, 0.03150513354754676]","[1736870145.9055943, 1736870145.9057078, 0.01796469020843506]","[1736870240.0264115, 1736870240.0265195, 0.018474990606307983]"
"[1736869863.7550006, 1736869863.7551563, 0.026133052825927733]","[1736869957.9257007, 1736869957.9257927, 0.015302493095397949]","[1736870051.8482156, 1736870051.8483686, 0.02557895278930664]","[1736870146.1331396, 1736870146.13324, 0.016330283641815185]","[1736870240.2551455, 1736870240.2552667, 0.020726569175720213]"
"[1736869863.9871805, 1736869863.9873314, 0.02360629105567932]","[1736869958.1486928, 1736869958.148789, 0.01628015446662903]","[1736870052.0752666, 1736870052.0753698, 0.01761812686920166]","[1736870146.3598983, 1736870146.3600109, 0.019148487091064453]","[1736870240.4825535, 1736870240.4826572, 0.016991876363754273]"
"[1736869864.2200167, 1736869864.2201686, 0.02416126561164856]","[1736869958.3714879, 1736869958.371581, 0.015807224750518798]","[1736870052.2992432, 1736870052.2993894, 0.0249303674697876]","[1736870146.5873392, 1736870146.58744, 0.01715456342697144]","[1736870240.7088609, 1736870240.708952, 0.015406763076782225]"
"[1736869864.4464557, 1736869864.4465473, 0.015078735351562499]","[1736869958.5967085, 1736869958.5968137, 0.017832394123077393]","[1736870052.5236857, 1736870052.5237765, 0.014950032234191895]","[1736870146.8135774, 1736870146.813671, 0.015382764101028443]","[1736870240.9336908, 1736870240.9337823, 0.015691680908203127]"
"[1736869864.6780777, 1736869864.6781845, 0.018049972534179688]","[1736869958.8268027, 1736869958.8268914, 0.014877768516540529]","[1736870052.744564, 1736870052.7446525, 0.01476418137550354]","[1736870147.0445898, 1736870147.0446827, 0.01570607900619507]","[1736870241.1579406, 1736870241.158034, 0.016017749786376954]"
"[1736869864.9030688, 1736869864.9031768, 0.017257681846618654]","[1736869959.0498283, 1736869959.0499158, 0.01435168743133545]","[1736870052.968756, 1736870052.968845, 0.015170146226882935]","[1736870147.2733245, 1736870147.2734087, 0.014315410137176514]","[1736870241.381269, 1736870241.3813596, 0.015119624137878417]"
"[1736869865.1417518, 1736869865.1418588, 0.017796303510665894]","[1736869959.2737362, 1736869959.2738364, 0.016967711448669435]","[1736870053.1930707, 1736870053.1931658, 0.016217594146728513]","[1736870147.4969723, 1736870147.4970677, 0.016011479835852025]","[1736870241.6054652, 1736870241.60556, 0.01626197052001953]"
"[1736869865.3701553, 1736869865.370264, 0.01839349365234375]","[1736869959.5000322, 1736869959.5001323, 0.016970415115356446]","[1736870053.4177618, 1736870053.4178772, 0.01965262222290039]","[1736870147.7213209, 1736870147.7214143, 0.015498859405517578]","[1736870241.8292656, 1736870241.8293796, 0.019530708312988282]"
"[1736869865.6016028, 1736869865.6017244, 0.01924265384674072]","[1736869959.7255042, 1736869959.7256079, 0.017585835456848144]","[1736870053.6400778, 1736870053.6401672, 0.01497030258178711]","[1736870147.9451377, 1736870147.945237, 0.016877426147460937]","[1736870242.0576665, 1736870242.0577557, 0.01527403736114502]"
