epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736812018.2126756, 1736812018.2576406, 3.0062712070941933]","[1736812118.2697697, 1736812118.303093, 4.860868015289308]","[1736812218.6216128, 1736812218.6550097, 5.651233071804046]","[1736812319.0169241, 1736812319.0503213, 5.627995568752287]","[1736812419.5838687, 1736812419.6175334, 4.825305638313293]"
"[1736812018.4234421, 1736812018.4798977, 4.439833786129951]","[1736812118.463226, 1736812118.5081005, 6.072587325096131]","[1736812218.822605, 1736812218.8631854, 6.3793780853748325]","[1736812319.2087955, 1736812319.2603142, 8.096669694631109]","[1736812419.7869256, 1736812419.837406, 6.429536676883698]"
"[1736812018.6349978, 1736812018.684504, 4.561797147750856]","[1736812118.6622343, 1736812118.7121646, 6.304453634023666]","[1736812219.0169287, 1736812219.0672421, 7.380734884738922]","[1736812319.415885, 1736812319.4681325, 7.517173330545426]","[1736812419.9922793, 1736812420.058037, 7.989753464698791]"
"[1736812018.8364396, 1736812018.8894417, 6.99468965291977]","[1736812118.8664582, 1736812118.9189172, 7.4135060977935785]","[1736812219.2238219, 1736812219.2752786, 7.033151823282242]","[1736812319.6223161, 1736812319.6783793, 8.011898254990578]","[1736812420.207771, 1736812420.261777, 7.560859961212265]"
"[1736812019.0439713, 1736812019.0953426, 7.873890151500702]","[1736812119.072666, 1736812119.1243734, 8.389491170167926]","[1736812219.4265275, 1736812219.4795394, 8.194949692726135]","[1736812319.8322203, 1736812319.8835819, 8.407318693161011]","[1736812420.4120448, 1736812420.4659483, 8.646834932327272]"
"[1736812019.2527387, 1736812019.3056397, 9.353219437122345]","[1736812119.2775512, 1736812119.3297544, 9.57014768123627]","[1736812219.6302528, 1736812219.745225, 20.431868010759352]","[1736812320.0609517, 1736812320.0978909, 6.821460995197296]","[1736812420.619131, 1736812420.6722522, 9.615554731369018]"
"[1736812019.4603739, 1736812019.5107658, 9.328298875093461]","[1736812119.4848928, 1736812119.536, 10.149372532367707]","[1736812219.8990402, 1736812219.950208, 9.362977604389192]","[1736812320.2536247, 1736812320.3032176, 9.346037044525147]","[1736812420.8268425, 1736812420.8781497, 9.392193671226503]"
"[1736812019.6773512, 1736812019.7387245, 11.650670969724654]","[1736812119.70666, 1736812119.7487793, 8.297709750413894]","[1736812220.123671, 1736812220.1769903, 9.828864235877992]","[1736812320.4536314, 1736812320.5077536, 10.155832055330276]","[1736812421.0292294, 1736812421.0821745, 9.731263239860537]"
"[1736812019.8893275, 1736812019.9434056, 10.330379645824433]","[1736812119.9011178, 1736812119.9533522, 10.18887688779831]","[1736812220.3299932, 1736812220.3821614, 9.380455948829649]","[1736812320.660716, 1736812320.7134044, 9.807374345064165]","[1736812421.2331057, 1736812421.2871828, 10.177103027343751]"
"[1736812020.1317945, 1736812020.173131, 7.718541521243364]","[1736812120.1237438, 1736812120.1739728, 9.534596065044402]","[1736812220.534443, 1736812220.586495, 9.392673764705657]","[1736812320.866048, 1736812320.9182878, 9.680582976102828]","[1736812421.4418328, 1736812421.4923863, 9.589504845142363]"
