epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737467194.3965, 1737467194.3966632, 0.012886937141418456]","[1737467296.753589, 1737467296.7537482, 0.02274172878265381]","[1737467398.7627075, 1737467398.7628546, 0.025483754158020018]","[1737467501.3096566, 1737467501.3097951, 0.022884809494018554]","[1737467603.5932353, 1737467603.5934522, 0.036371109485626225]"
"[1737467194.6357348, 1737467194.6358209, 0.007595512628555298]","[1737467296.964478, 1737467296.964556, 0.01024860978126526]","[1737467398.9732144, 1737467398.973286, 0.011484360694885253]","[1737467501.5203736, 1737467501.5204477, 0.011083224773406982]","[1737467603.8042865, 1737467603.804364, 0.012208545207977295]"
"[1737467194.8460498, 1737467194.846156, 0.011921719312667847]","[1737467297.1722503, 1737467297.172321, 0.008769503831863402]","[1737467399.1818542, 1737467399.1819286, 0.011109786987304688]","[1737467501.7282662, 1737467501.7283401, 0.01009903097562223]","[1737467604.0129209, 1737467604.0129907, 0.010300152540206909]"
"[1737467195.070299, 1737467195.0703874, 0.012711711168289185]","[1737467297.3803816, 1737467297.3804507, 0.009933335781097412]","[1737467399.392033, 1737467399.3921108, 0.010871475219726564]","[1737467501.9359853, 1737467501.9360569, 0.010155344009399414]","[1737467604.2205606, 1737467604.2206285, 0.009709818363189697]"
"[1737467195.2903864, 1737467195.2905016, 0.01848947525024414]","[1737467297.5881777, 1737467297.5882556, 0.012749424934387207]","[1737467399.6006365, 1737467399.6007104, 0.01180072784423828]","[1737467502.1442533, 1737467502.144325, 0.01165612292289734]","[1737467604.426405, 1737467604.4264712, 0.01077234888076782]"
"[1737467195.4993167, 1737467195.499393, 0.013821487426757813]","[1737467297.7964892, 1737467297.7965636, 0.013668685913085938]","[1737467399.808884, 1737467399.8089566, 0.01309354305267334]","[1737467502.3526587, 1737467502.3527267, 0.012432478666305542]","[1737467604.63555, 1737467604.635624, 0.013465988636016845]"
"[1737467195.7079973, 1737467195.708073, 0.014585477828979492]","[1737467298.00421, 1737467298.0042763, 0.012376333713531494]","[1737467400.0165846, 1737467400.0166621, 0.014828658103942871]","[1737467502.5604942, 1737467502.5605693, 0.014238560199737548]","[1737467604.8471022, 1737467604.8472052, 0.019720184326171876]"
"[1737467195.9205277, 1737467195.9206357, 0.021639496564865114]","[1737467298.2115352, 1737467298.2116048, 0.013118719100952147]","[1737467400.2652345, 1737467400.2653112, 0.013998307704925538]","[1737467502.7680123, 1737467502.768081, 0.013158737182617187]","[1737467605.0609083, 1737467605.06099, 0.015290770530700683]"
"[1737467196.1290042, 1737467196.1290984, 0.018754642009735104]","[1737467298.418644, 1737467298.4187107, 0.012690076828002928]","[1737467400.4726315, 1737467400.4727058, 0.013558370590209961]","[1737467502.976063, 1737467502.9761386, 0.014612459421157837]","[1737467605.2767768, 1737467605.2768443, 0.012430113554000853]"
"[1737467196.336571, 1737467196.336643, 0.014047094345092775]","[1737467298.625688, 1737467298.6257539, 0.012612759590148926]","[1737467400.680872, 1737467400.680945, 0.013301061630249024]","[1737467503.1839714, 1737467503.184043, 0.013960933685302733]","[1737467605.486888, 1737467605.4870017, 0.02092427086830139]"
"[1737467196.5456607, 1737467196.5457377, 0.015173892974853515]","[1737467298.8336332, 1737467298.8337007, 0.012856741905212403]","[1737467400.888641, 1737467400.888714, 0.013292306900024415]","[1737467503.3919542, 1737467503.392026, 0.014122077226638793]","[1737467605.6983018, 1737467605.6983786, 0.01411100721359253]"
"[1737467196.758758, 1737467196.7588816, 0.02446662473678589]","[1737467299.0412352, 1737467299.0413034, 0.012890887260437012]","[1737467401.0975163, 1737467401.0975995, 0.015164922952651977]","[1737467503.5999322, 1737467503.6, 0.013338500976562499]","[1737467605.9080932, 1737467605.908176, 0.015188960552215575]"
"[1737467196.9675481, 1737467196.9676178, 0.013896633148193359]","[1737467299.2487392, 1737467299.2488062, 0.012572800159454346]","[1737467401.305291, 1737467401.305365, 0.013508315086364747]","[1737467503.807647, 1737467503.8077166, 0.013623451232910155]","[1737467606.1139846, 1737467606.1140535, 0.012640663146972656]"
"[1737467197.176564, 1737467197.1766477, 0.016920923709869386]","[1737467299.4682422, 1737467299.46831, 0.012614990472793578]","[1737467401.5147238, 1737467401.5147963, 0.013843898773193359]","[1737467504.0156796, 1737467504.0157511, 0.01392388343811035]","[1737467606.3222973, 1737467606.3223732, 0.013951485157012939]"
"[1737467197.3879607, 1737467197.3880394, 0.016063950061798095]","[1737467299.675838, 1737467299.6759067, 0.012742698669433594]","[1737467401.7233303, 1737467401.723402, 0.01386875033378601]","[1737467504.225037, 1737467504.2251065, 0.013454201459884643]","[1737467606.531848, 1737467606.5319314, 0.015602493286132812]"
"[1737467197.5986094, 1737467197.598715, 0.021575092315673828]","[1737467299.8834765, 1737467299.8835418, 0.01210758352279663]","[1737467401.932144, 1737467401.9322207, 0.014844091415405273]","[1737467504.437471, 1737467504.4375489, 0.014500237226486206]","[1737467606.7460775, 1737467606.7461538, 0.014459457397460938]"
"[1737467197.8106842, 1737467197.8107543, 0.014164599895477295]","[1737467300.1340787, 1737467300.1341512, 0.013525517321387045]","[1737467402.1391304, 1737467402.1392064, 0.013883556127548217]","[1737467504.646554, 1737467504.6466448, 0.016944005727767945]","[1737467606.956972, 1737467606.9570565, 0.015769863128662107]"
"[1737467198.018764, 1737467198.0188358, 0.014392412185668944]","[1737467300.3415446, 1737467300.3416107, 0.012289811849594117]","[1737467402.3485246, 1737467402.3486083, 0.015272749185562132]","[1737467504.8543482, 1737467504.854417, 0.012957961320877075]","[1737467607.166602, 1737467607.1666849, 0.015353619575500486]"
"[1737467198.2291355, 1737467198.2292082, 0.014490740299224853]","[1737467300.5488937, 1737467300.5489602, 0.012420586824417115]","[1737467402.5567875, 1737467402.5568588, 0.013013256311416626]","[1737467505.0747604, 1737467505.0748298, 0.013130614042282105]","[1737467607.3762279, 1737467607.3763053, 0.014324378967285157]"
"[1737467198.440775, 1737467198.4408736, 0.019090590476989747]","[1737467300.7572691, 1737467300.7573447, 0.014004202127456665]","[1737467402.765737, 1737467402.7658155, 0.014325915336608886]","[1737467505.3426976, 1737467505.3427656, 0.012562057971954345]","[1737467607.5859184, 1737467607.5859962, 0.014368220806121825]"
"[1737467198.6482162, 1737467198.6482823, 0.012824817657470703]","[1737467300.9651036, 1737467300.9651723, 0.012697654724121094]","[1737467402.9748266, 1737467402.9749079, 0.014909904479980468]","[1737467505.5503018, 1737467505.5503683, 0.01228382420539856]","[1737467607.7929933, 1737467607.793067, 0.013626619577407836]"
"[1737467198.8559074, 1737467198.855974, 0.01312907838821411]","[1737467301.1728625, 1737467301.172933, 0.013059329986572266]","[1737467403.1838186, 1737467403.183895, 0.01413231325149536]","[1737467505.7577684, 1737467505.7578342, 0.01215285873413086]","[1737467608.0022943, 1737467608.0023656, 0.013174721717834473]"
"[1737467199.0636544, 1737467199.0637226, 0.01358483362197876]","[1737467301.380421, 1737467301.3804889, 0.012616077661514282]","[1737467403.3933392, 1737467403.3934257, 0.01613077926635742]","[1737467505.9656165, 1737467505.9656856, 0.01276543617248535]","[1737467608.2119653, 1737467608.2120478, 0.015235023021697998]"
"[1737467199.2753398, 1737467199.275441, 0.020389039993286135]","[1737467301.5879107, 1737467301.5879803, 0.012923788070678711]","[1737467403.6043305, 1737467403.604405, 0.014004764556884767]","[1737467506.1744618, 1737467506.1745303, 0.01263365364074707]","[1737467608.4185972, 1737467608.4186747, 0.014434486627578735]"
"[1737467199.4952846, 1737467199.4953527, 0.013923112869262694]","[1737467301.7959197, 1737467301.7959857, 0.012265376329421998]","[1737467403.8170097, 1737467403.8170877, 0.01480694317817688]","[1737467506.3823285, 1737467506.3824296, 0.01956334114074707]","[1737467608.62537, 1737467608.625443, 0.013707645893096924]"
"[1737467199.7028701, 1737467199.7029383, 0.013802284240722657]","[1737467302.0031953, 1737467302.003262, 0.01249267578125]","[1737467404.025333, 1737467404.0254054, 0.013921306610107423]","[1737467506.589681, 1737467506.5897484, 0.013268054008483887]","[1737467608.8335793, 1737467608.8336537, 0.01407282829284668]"
"[1737467199.9108534, 1737467199.9109292, 0.01526054334640503]","[1737467302.2105067, 1737467302.2105758, 0.0130145525932312]","[1737467404.2362478, 1737467404.2363245, 0.014777377605438232]","[1737467506.7971845, 1737467506.797251, 0.013107193708419798]","[1737467609.043068, 1737467609.0431483, 0.015347333192825318]"
"[1737467200.1356578, 1737467200.1357293, 0.013985263361679193]","[1737467302.4190216, 1737467302.4190965, 0.014196951866149903]","[1737467404.4450638, 1737467404.44514, 0.013912837505340577]","[1737467507.0051959, 1737467507.0052667, 0.013892984390258788]","[1737467609.2499042, 1737467609.2499802, 0.014678260326385499]"
"[1737467200.3437307, 1737467200.3437996, 0.013258378267288207]","[1737467302.6291327, 1737467302.6292381, 0.020129143238067627]","[1737467404.6520166, 1737467404.65209, 0.013443805694580077]","[1737467507.2134469, 1737467507.2135115, 0.012595288515090942]","[1737467609.469337, 1737467609.469412, 0.013833310604095457]"
"[1737467200.5514228, 1737467200.5514915, 0.013549026489257814]","[1737467302.838737, 1737467302.8388104, 0.013829842567443847]","[1737467404.8604605, 1737467404.8605323, 0.013141637563705443]","[1737467507.4214087, 1737467507.4214756, 0.013006864786148072]","[1737467609.6772327, 1737467609.677308, 0.013858390808105468]"
"[1737467200.759471, 1737467200.759539, 0.01340707540512085]","[1737467303.0474648, 1737467303.0475383, 0.013700306892395018]","[1737467405.1206582, 1737467405.1207337, 0.013843597412109375]","[1737467507.6289833, 1737467507.6290517, 0.013269606113433837]","[1737467609.8880012, 1737467609.8880937, 0.017005638122558592]"
"[1737467200.9674942, 1737467200.9675615, 0.013184662342071532]","[1737467303.256297, 1737467303.2563746, 0.01436622142791748]","[1737467405.333437, 1737467405.3335493, 0.020574942111968995]","[1737467507.8373663, 1737467507.8374324, 0.012302425861358643]","[1737467610.135659, 1737467610.1357732, 0.020984024047851563]"
"[1737467201.175237, 1737467201.1753054, 0.0133288631439209]","[1737467303.4675493, 1737467303.4676285, 0.014621268272399903]","[1737467405.5406933, 1737467405.5407708, 0.014153212308883667]","[1737467508.046569, 1737467508.046645, 0.014234055519104004]","[1737467610.3454216, 1737467610.3454974, 0.013880292892456054]"
"[1737467201.3832078, 1737467201.3832781, 0.013651939630508423]","[1737467303.6790292, 1737467303.6791112, 0.0151389217376709]","[1737467405.749939, 1737467405.7500396, 0.018338162899017334]","[1737467508.2546916, 1737467508.2547703, 0.014871425628662109]","[1737467610.5533903, 1737467610.5534601, 0.012770073890686035]"
"[1737467201.5920396, 1737467201.5921102, 0.013615859985351563]","[1737467303.8878326, 1737467303.8879066, 0.013639233112335204]","[1737467405.9577246, 1737467405.9577973, 0.013252794742584229]","[1737467508.462426, 1737467508.4625094, 0.015912246704101563]","[1737467610.763715, 1737467610.7637906, 0.013882898330688476]"
"[1737467201.8006647, 1737467201.8007364, 0.013846144676208497]","[1737467304.0961244, 1737467304.0961971, 0.013422808647155761]","[1737467406.1670785, 1737467406.1671617, 0.015184144020080568]","[1737467508.6713555, 1737467508.6714323, 0.014763635635375976]","[1737467610.9707112, 1737467610.9707963, 0.01554956817626953]"
"[1737467202.0092976, 1737467202.0093668, 0.013341937065124512]","[1737467304.3055294, 1737467304.3056266, 0.017955854415893556]","[1737467406.374181, 1737467406.3742766, 0.01758679175376892]","[1737467508.8869488, 1737467508.8870285, 0.015440368175506591]","[1737467611.1804855, 1737467611.180568, 0.015073007106781005]"
"[1737467202.2178545, 1737467202.2179217, 0.012974824905395508]","[1737467304.5348973, 1737467304.5349727, 0.01417504596710205]","[1737467406.5840125, 1737467406.5841017, 0.01657857322692871]","[1737467509.094565, 1737467509.094645, 0.015686233520507815]","[1737467611.3887253, 1737467611.388799, 0.013499978542327882]"
"[1737467202.4278383, 1737467202.427916, 0.014991726398468018]","[1737467304.7439165, 1737467304.743994, 0.014453548192977906]","[1737467406.7923853, 1737467406.7924564, 0.013351620674133301]","[1737467509.3047922, 1737467509.3048844, 0.01803543949127197]","[1737467611.5982077, 1737467611.598284, 0.013999404907226561]"
"[1737467202.6361365, 1737467202.636205, 0.013250515222549438]","[1737467304.9533896, 1737467304.953465, 0.013941265106201172]","[1737467407.0009897, 1737467407.001062, 0.013717738866806032]","[1737467509.5253081, 1737467509.5253866, 0.015268917560577392]","[1737467611.8075242, 1737467611.8075955, 0.013078769207000733]"
"[1737467202.8443701, 1737467202.8444498, 0.01574472093582153]","[1737467305.1937993, 1737467305.1938744, 0.013791854381561278]","[1737467407.2083282, 1737467407.2084062, 0.014922718048095703]","[1737467509.7358806, 1737467509.7359753, 0.018005115509033203]","[1737467612.0181508, 1737467612.0182583, 0.01981460475921631]"
"[1737467203.0522296, 1737467203.0522985, 0.013608887672424318]","[1737467305.4034548, 1737467305.403533, 0.014349702835083009]","[1737467407.4161196, 1737467407.4161963, 0.014816991329193114]","[1737467509.9443634, 1737467509.944439, 0.014005411386489868]","[1737467612.226854, 1737467612.2269428, 0.016494086265563965]"
