epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736866356.8966954, 1736866356.973608, 3.5733209280967717]","[1736866397.2785926, 1736866397.3185728, 3.9952186989784244]","[1736866437.7617047, 1736866437.8016357, 4.825548672914505]","[1736866477.559081, 1736866477.59893, 4.980343431949616]","[1736866516.9877303, 1736866517.0274754, 4.663689141273498]"
"[1736866357.023474, 1736866357.063156, 2.0994112081527705]","[1736866397.368369, 1736866397.407133, 4.062583485603332]","[1736866437.8659918, 1736866437.9047954, 4.300367664337158]","[1736866477.64994, 1736866477.688871, 4.508547780990601]","[1736866517.0740254, 1736866517.113014, 4.537804040908814]"
"[1736866357.1111224, 1736866357.1498525, 2.529930499076843]","[1736866397.4640262, 1736866397.5027509, 4.259673971414566]","[1736866437.9572363, 1736866437.9964724, 4.53565030860901]","[1736866477.7363675, 1736866477.775298, 4.616903112173081]","[1736866517.1622705, 1736866517.2011685, 4.852485501766205]"
"[1736866357.197319, 1736866357.2359266, 2.9907664704322823]","[1736866397.5545986, 1736866397.593585, 4.644144986033441]","[1736866438.0482173, 1736866438.0870275, 4.687890477180481]","[1736866477.821715, 1736866477.860566, 4.798499219894408]","[1736866517.2502587, 1736866517.2890956, 5.007492704391479]"
"[1736866357.2865884, 1736866357.3255074, 3.695494894504547]","[1736866397.6432292, 1736866397.682113, 4.951602550148963]","[1736866438.137897, 1736866438.1768014, 5.046887912511826]","[1736866477.9080567, 1736866477.9465766, 5.052411808013916]","[1736866517.3419998, 1736866517.3809853, 5.136344592809676]"
"[1736866357.3729644, 1736866357.4115796, 4.379574859142303]","[1736866397.7320285, 1736866397.7709382, 5.288117889165879]","[1736866438.2322254, 1736866438.271022, 5.517128330826759]","[1736866477.9955342, 1736866478.0347052, 5.356884344100952]","[1736866517.4277763, 1736866517.466706, 5.253693734288216]"
"[1736866357.459166, 1736866357.4982142, 4.948655834197997]","[1736866397.821778, 1736866397.8608744, 5.865430724620819]","[1736866438.3245351, 1736866438.363566, 6.004976499080656]","[1736866478.0810637, 1736866478.119951, 5.607550258159637]","[1736866517.5144389, 1736866517.5530107, 5.635113598823547]"
"[1736866357.5453217, 1736866357.583836, 5.597255704164506]","[1736866397.9075897, 1736866397.9462533, 6.437300363779068]","[1736866438.4121976, 1736866438.4511907, 6.476640284776686]","[1736866478.165135, 1736866478.204027, 6.079718917608261]","[1736866517.6006937, 1736866517.6391988, 6.265931239128113]"
"[1736866357.637378, 1736866357.6762545, 6.37384654521942]","[1736866397.9937694, 1736866398.0327702, 7.18565410709381]","[1736866438.4994204, 1736866438.5383153, 7.12558306145668]","[1736866478.2507684, 1736866478.2898302, 6.7824929940700525]","[1736866517.6892774, 1736866517.7280438, 6.967986181735993]"
"[1736866357.7364628, 1736866357.7752373, 7.02605397605896]","[1736866398.079048, 1736866398.1179152, 7.753391543388366]","[1736866438.5846972, 1736866438.6233714, 7.746116068840026]","[1736866478.3346317, 1736866478.3734856, 7.302432034015655]","[1736866517.773376, 1736866517.8119562, 7.577147197723387]"
"[1736866357.8256345, 1736866357.864483, 7.677384493112565]","[1736866398.168742, 1736866398.2075644, 8.296427194118497]","[1736866438.6696918, 1736866438.7086203, 8.403613971233368]","[1736866478.418418, 1736866478.4573553, 7.95049665093422]","[1736866517.861002, 1736866517.9000015, 8.356589888632975]"
"[1736866357.915158, 1736866357.953936, 8.35195728325844]","[1736866398.2544146, 1736866398.2935236, 8.823336511611936]","[1736866438.7651353, 1736866438.8038077, 8.901005138397219]","[1736866478.503892, 1736866478.5427399, 8.507544256448744]","[1736866517.9489262, 1736866517.9878078, 8.736811897039413]"
"[1736866358.002692, 1736866358.0414624, 8.754453130960465]","[1736866398.3449795, 1736866398.3840113, 9.298819972634318]","[1736866438.85356, 1736866438.892457, 9.511181405067441]","[1736866478.5903413, 1736866478.6294417, 9.018831113100052]","[1736866518.0386693, 1736866518.0775256, 9.133089716315268]"
"[1736866358.0900154, 1736866358.1287975, 9.112863829731943]","[1736866398.4339175, 1736866398.4727437, 9.614521148085593]","[1736866438.9379914, 1736866438.9767187, 9.555522939682007]","[1736866478.6754878, 1736866478.7147264, 9.48497309041023]","[1736866518.123581, 1736866518.1623647, 9.43570666241646]"
