epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737229671.4978094, 1737229671.5389242, 3.008445273160934]","[1737229717.017466, 1737229717.0573683, 7.8109773602485655]","[1737229762.4730544, 1737229762.5134346, 8.751484281301495]","[1737229807.7940295, 1737229807.8344657, 8.57385356426239]","[1737229853.270433, 1737229853.3106856, 8.570893136620523]"
"[1737229671.5944984, 1737229671.6342678, 3.0264061307907095]","[1737229717.112057, 1737229717.1512349, 7.634948920249939]","[1737229762.569633, 1737229762.6086257, 8.113948849439621]","[1737229807.8873081, 1737229807.9263198, 7.948993139982225]","[1737229853.3654885, 1737229853.4044545, 8.120608399987221]"
"[1737229671.6874037, 1737229671.7262285, 3.1629785356521607]","[1737229717.205434, 1737229717.2443542, 7.300371942281722]","[1737229762.6612785, 1737229762.700225, 8.057590091705324]","[1737229807.979531, 1737229808.0184946, 7.86179745197296]","[1737229853.4577925, 1737229853.496813, 8.098146240234374]"
"[1737229671.780603, 1737229671.8192294, 3.4872329452037816]","[1737229717.297343, 1737229717.3361027, 7.478763968245901]","[1737229762.7522104, 1737229762.7910614, 8.043793446063995]","[1737229808.0704708, 1737229808.1094263, 7.797556616306306]","[1737229853.5508301, 1737229853.5897706, 7.992673526763916]"
"[1737229671.8721998, 1737229671.9111257, 4.74619437289238]","[1737229717.3898919, 1737229717.4289227, 7.542081223607063]","[1737229762.8439658, 1737229762.882841, 8.094779090881346]","[1737229808.1643987, 1737229808.2032688, 7.480627755165102]","[1737229853.6427443, 1737229853.6817641, 7.821601574897767]"
"[1737229671.9640143, 1737229672.0028772, 5.213347301721571]","[1737229717.4808502, 1737229717.5197487, 7.553370390415191]","[1737229762.9358966, 1737229762.974738, 8.094000932693481]","[1737229808.255369, 1737229808.2943609, 7.726913415908815]","[1737229853.7347116, 1737229853.7733662, 7.941232654809953]"
"[1737229672.0561457, 1737229672.0950127, 5.621061673164367]","[1737229717.5716567, 1737229717.61057, 7.599309396266938]","[1737229763.0276926, 1737229763.0665925, 8.120793251156808]","[1737229808.3463097, 1737229808.3851988, 7.628577305316925]","[1737229853.826265, 1737229853.8651652, 7.923063193082809]"
"[1737229672.1480095, 1737229672.1868064, 5.944810451030731]","[1737229717.6633832, 1737229717.7021637, 7.610026229619979]","[1737229763.1184976, 1737229763.1575296, 8.178641080617904]","[1737229808.4371293, 1737229808.4760725, 7.673035511970521]","[1737229853.9180758, 1737229853.9570544, 7.962075897216798]"
"[1737229672.2397296, 1737229672.2785366, 7.846641849517823]","[1737229717.755062, 1737229717.794077, 7.7261430835723885]","[1737229763.2106123, 1737229763.2496605, 8.220368852615357]","[1737229808.5291736, 1737229808.5681143, 7.714613639831542]","[1737229854.0100794, 1737229854.0491014, 8.009883456230163]"
"[1737229672.3314033, 1737229672.3702457, 8.413349523544312]","[1737229717.846971, 1737229717.8858576, 8.214977505207061]","[1737229763.3025951, 1737229763.3414943, 8.200964190859654]","[1737229808.621116, 1737229808.6600437, 8.140658032894134]","[1737229854.101978, 1737229854.140948, 8.126023063659668]"
"[1737229672.4231, 1737229672.4619288, 8.635258909225463]","[1737229717.9388468, 1737229717.977706, 8.854013672590254]","[1737229763.3943756, 1737229763.433254, 8.433822418212891]","[1737229808.7128983, 1737229808.7518299, 8.729558419466018]","[1737229854.1944628, 1737229854.2331154, 8.683358376264573]"
