epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737229671.4714363, 1737229671.4976466, 1.900116283893585]","[1737229716.9950578, 1737229717.017308, 4.424377383351326]","[1737229762.4504626, 1737229762.4729006, 5.002383590698242]","[1737229807.771692, 1737229807.7938719, 4.868697116374969]","[1737229853.2478945, 1737229853.27028, 5.064284494400025]"
"[1737229671.5702589, 1737229671.594419, 1.8035066318511963]","[1737229717.0886333, 1737229717.1119783, 4.558701294660567]","[1737229762.5468721, 1737229762.569555, 4.7328108522892]","[1737229807.863692, 1737229807.8872197, 4.81464555644989]","[1737229853.3420465, 1737229853.3654053, 4.889725540637969]"
"[1737229671.6639004, 1737229671.687335, 1.909173168182373]","[1737229717.1808355, 1737229717.2053676, 4.738526388645171]","[1737229762.6371956, 1737229762.6612084, 4.9679610004425045]","[1737229807.9548674, 1737229807.97946, 4.96515524482727]","[1737229853.43408, 1737229853.4577239, 4.916007056236267]"
"[1737229671.75685, 1737229671.7805338, 2.138195919275284]","[1737229717.2739348, 1737229717.2972791, 4.380528599024627]","[1737229762.7287388, 1737229762.7521448, 4.846031003952026]","[1737229808.0470238, 1737229808.070405, 4.680127927780151]","[1737229853.5274467, 1737229853.5507617, 4.827967176437378]"
"[1737229671.8488035, 1737229671.8721359, 2.844891006231308]","[1737229717.366632, 1737229717.3898284, 4.476359836578368]","[1737229762.8206072, 1737229762.8439016, 4.850463317871093]","[1737229808.1410756, 1737229808.1643333, 4.475997114181518]","[1737229853.619373, 1737229853.6426792, 4.671760643959046]"
"[1737229671.9406881, 1737229671.9639523, 3.1208185718059536]","[1737229717.4574006, 1737229717.4807801, 4.519526951551438]","[1737229762.9123652, 1737229762.935829, 4.885710891723633]","[1737229808.2317734, 1737229808.2553043, 4.6630597667694085]","[1737229853.7113159, 1737229853.7346468, 4.7931289522647855]"
"[1737229672.032689, 1737229672.0560749, 3.3036710631847375]","[1737229717.5482202, 1737229717.5715935, 4.5554922902584085]","[1737229763.004329, 1737229763.0276291, 4.856314819335938]","[1737229808.3228507, 1737229808.346245, 4.589081746578216]","[1737229853.802898, 1737229853.8261998, 4.746048830747604]"
"[1737229672.1245625, 1737229672.1479466, 3.450221250295639]","[1737229717.6400816, 1737229717.663322, 4.558055777311325]","[1737229763.0950687, 1737229763.1184342, 4.882851589679718]","[1737229808.4136734, 1737229808.4370675, 4.609339960847246]","[1737229853.894705, 1737229853.9180138, 4.761232555389405]"
"[1737229672.2163527, 1737229672.2396672, 3.6765237340927124]","[1737229717.731626, 1737229717.7549975, 4.628273209810257]","[1737229763.1870422, 1737229763.2105477, 4.946745309591293]","[1737229808.505582, 1737229808.5291097, 4.65113579416275]","[1737229853.9866202, 1737229854.0099328, 4.785277719497681]"
"[1737229672.3080542, 1737229672.3313406, 4.708428618907929]","[1737229717.8236198, 1737229717.8468988, 4.917794929742812]","[1737229763.2791758, 1737229763.302534, 4.924196074485779]","[1737229808.5976944, 1737229808.621051, 4.6985325050354]","[1737229854.0786388, 1737229854.1019082, 4.838635351657868]"
"[1737229672.3997664, 1737229672.42304, 5.12658644104004]","[1737229717.9154646, 1737229717.9387856, 5.3136467778682706]","[1737229763.3710237, 1737229763.3943143, 5.052390686035156]","[1737229808.689548, 1737229808.7128348, 4.869786258697509]","[1737229854.1704774, 1737229854.1944008, 5.147037917494774]"
"[1737229672.4914699, 1737229672.5148273, 5.228528697967529]","[1737229718.0072002, 1737229718.0305011, 5.68914436340332]","[1737229763.4627562, 1737229763.4862807, 5.438022784233092]","[1737229808.7813337, 1737229808.8047707, 5.267424081802368]","[1737229854.2626398, 1737229854.2862017, 5.352293900847435]"
"[1737229672.5832686, 1737229672.606534, 5.591806439876557]","[1737229718.0987809, 1737229718.1220286, 6.02995602622234]","[1737229763.554792, 1737229763.5780292, 5.69405044555664]","[1737229808.8733037, 1737229808.8965623, 5.599993844032288]","[1737229854.354696, 1737229854.3780026, 5.605565564632416]"
"[1737229672.6750178, 1737229672.6982784, 5.91900690317154]","[1737229718.190626, 1737229718.213904, 6.054091652870178]","[1737229763.6464937, 1737229763.669778, 6.0291086783409105]","[1737229808.965067, 1737229808.9883661, 5.989413275718688]","[1737229854.4477317, 1737229854.4709444, 5.961315749406814]"
