epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737229906.0095618, 1737229906.0145812, 0.337395800113678]","[1737229977.592251, 1737229977.596979, 1.067314703464508]","[1737230048.2263792, 1737230048.2313025, 1.1746950268745422]","[1737230117.9286196, 1737230117.9335458, 1.250970269203186]","[1737230187.588196, 1737230187.5930386, 1.2282034442424774]"
"[1737229906.1589026, 1737229906.1735578, 1.018550521850586]","[1737229977.7308447, 1737229977.7448902, 3.1168458273410797]","[1737230048.3664403, 1737230048.38063, 3.2072314977645875]","[1737230118.068432, 1737230118.0834646, 3.528615792274475]","[1737230187.7292035, 1737230187.7433238, 3.3565481275320055]"
"[1737229906.315058, 1737229906.3293502, 1.1847552466392517]","[1737229977.8754861, 1737229977.889994, 3.1592991590499877]","[1737230048.5099394, 1737230048.524315, 3.201091648101807]","[1737230118.2136497, 1737230118.228448, 3.3883208971023553]","[1737230187.8771408, 1737230187.8912158, 3.2743471205234527]"
"[1737229906.4604316, 1737229906.4753213, 1.4174728937149048]","[1737229978.0187268, 1737229978.0337408, 3.2874658234119414]","[1737230048.653299, 1737230048.6673644, 3.073696568965912]","[1737230118.3573399, 1737230118.3715475, 3.257518882751465]","[1737230188.0205665, 1737230188.035062, 3.3297025125026702]"
"[1737229906.6088727, 1737229906.623898, 1.6156637928485869]","[1737229978.162918, 1737229978.1778865, 3.202533065319061]","[1737230048.7958205, 1737230048.8099377, 3.0679990290403367]","[1737230118.499888, 1737230118.514074, 3.211459250450134]","[1737230188.1667874, 1737230188.1809986, 3.2504090147018436]"
"[1737229906.7535932, 1737229906.7685223, 1.7513574371337892]","[1737229978.3042176, 1737229978.3185813, 3.093576336145401]","[1737230048.938803, 1737230048.9534373, 3.1727169559001926]","[1737230118.6430218, 1737230118.6577384, 3.274287227153778]","[1737230188.3107998, 1737230188.3253727, 3.274812831878662]"
"[1737229906.899264, 1737229906.9138086, 2.8212377767562864]","[1737229978.4453967, 1737229978.4594839, 3.1848342132568357]","[1737230049.0805516, 1737230049.0947113, 3.056876549720764]","[1737230118.7848332, 1737230118.7992265, 3.2823412466049193]","[1737230188.4564674, 1737230188.4706628, 3.2891833257675174]"
"[1737229907.043039, 1737229907.0578594, 3.1334639143943788]","[1737229978.5870812, 1737229978.6015124, 3.4911618454456335]","[1737230049.222793, 1737230049.2372277, 3.585216691732407]","[1737230118.9272842, 1737230118.9413126, 3.7141355609893805]","[1737230188.5993207, 1737230188.614026, 3.6007837340831754]"
"[1737229907.188472, 1737229907.2028956, 3.463325502276421]","[1737229978.7293494, 1737229978.743551, 3.9526433510780334]","[1737230049.3650978, 1737230049.3794658, 3.7863279190063484]","[1737230119.070822, 1737230119.0855756, 4.156009744405747]","[1737230188.7436202, 1737230188.7580009, 4.056074583530426]"
"[1737229907.3335392, 1737229907.3479314, 3.805525828599929]","[1737229978.872712, 1737229978.886879, 3.9382047278881074]","[1737230049.5067232, 1737230049.5217538, 4.165812174081801]","[1737230119.2125742, 1737230119.2266304, 3.9135152938151387]","[1737230188.887975, 1737230188.9028711, 4.083199779748917]"
"[1737229907.4786258, 1737229907.492929, 3.762859195709228]","[1737229979.0150867, 1737229979.0300944, 4.241230736017227]","[1737230049.65039, 1737230049.6648345, 4.013674782514572]","[1737230119.3547924, 1737230119.3690007, 4.0671875181198125]","[1737230189.0328777, 1737230189.0469968, 4.018440332167495]"
"[1737229907.623115, 1737229907.6378436, 4.0222481231689455]","[1737229979.1578996, 1737229979.1719725, 3.923058734416961]","[1737230049.7928152, 1737230049.8071303, 4.0313218520879746]","[1737230119.4975784, 1737230119.5125623, 4.198201967954635]","[1737230189.1771693, 1737230189.1916473, 3.989433097839356]"
"[1737229907.7693498, 1737229907.7844303, 4.016135484695435]","[1737229979.3003948, 1737229979.3151755, 4.1944989926815035]","[1737230049.9359355, 1737230049.9506006, 4.054232964515686]","[1737230119.6405199, 1737230119.6548054, 4.134770909786225]","[1737230189.321361, 1737230189.3357272, 3.994326507935209]"
"[1737229907.9158006, 1737229907.9304986, 4.010445281982422]","[1737229979.4429736, 1737229979.4572585, 3.986387147903443]","[1737230050.083195, 1737230050.0975962, 4.03328576040268]","[1737230119.7835255, 1737230119.7980635, 4.0768907387256625]","[1737230189.4651885, 1737230189.479658, 4.017728643178939]"
"[1737229908.0613184, 1737229908.0758114, 3.8931790590286255]","[1737229979.5852911, 1737229979.5993598, 3.93628271484375]","[1737230050.2257018, 1737230050.2398877, 3.9086425304412837]","[1737230119.9259882, 1737230119.9402585, 4.081930995334803]","[1737230189.6093707, 1737230189.6237404, 3.9823971743583675]"
"[1737229908.2059083, 1737229908.2208428, 4.0533386421203605]","[1737229979.729105, 1737229979.743428, 3.9990951061248783]","[1737230050.3689613, 1737230050.3834589, 4.018987591981888]","[1737230120.0794234, 1737230120.0942621, 4.195255353927612]","[1737230189.7552722, 1737230189.769873, 4.088357067108154]"
"[1737229908.3513923, 1737229908.3658667, 3.923558948040009]","[1737229979.8727262, 1737229979.8876808, 4.16644703578949]","[1737230050.5116274, 1737230050.5258222, 3.9101362628936767]","[1737230120.222892, 1737230120.2370987, 4.011911773085594]","[1737230189.8994298, 1737230189.913713, 3.9538556699752814]"
"[1737229908.4962504, 1737229908.5108943, 3.9551096902676903]","[1737229980.0163615, 1737229980.0313282, 4.222278124094009]","[1737230050.6531062, 1737230050.6678615, 4.072227401733398]","[1737230120.3642995, 1737230120.3792462, 4.235700229883194]","[1737230190.0545766, 1737230190.0694187, 4.195664733886718]"
"[1737229908.6425674, 1737229908.6575272, 4.101696259021759]","[1737229980.1658056, 1737229980.1803176, 4.022816166877746]","[1737230050.7952497, 1737230050.809983, 4.131434518814087]","[1737230120.5063007, 1737230120.5210824, 4.09527372121811]","[1737230190.1993885, 1737230190.2140353, 4.017095981836318]"
"[1737229908.786996, 1737229908.8014865, 3.8568516373634343]","[1737229980.3082366, 1737229980.3226538, 4.0911913322952564]","[1737230050.9370997, 1737230050.9519603, 4.141226632595062]","[1737230120.6480854, 1737230120.6628928, 4.249623332977295]","[1737230190.3453128, 1737230190.3600786, 4.1714542837142945]"
"[1737229908.9311452, 1737229908.945327, 3.912716333389283]","[1737229980.451597, 1737229980.4664946, 4.107666395902633]","[1737230051.0797775, 1737230051.0940545, 3.9913871231079097]","[1737230120.7905605, 1737230120.8047476, 3.941133137941361]","[1737230190.490675, 1737230190.505038, 3.9285241098403936]"
"[1737229909.075627, 1737229909.0901282, 3.8744025135040285]","[1737229980.5945733, 1737229980.6086094, 3.8989844207234587]","[1737230051.2212472, 1737230051.236065, 4.186360025405884]","[1737230120.932055, 1737230120.9468231, 4.222309921741485]","[1737230190.635284, 1737230190.6498969, 4.111742931365967]"
"[1737229909.2197301, 1737229909.233745, 3.8779953079223635]","[1737229980.7369978, 1737229980.7518163, 4.1104250092506405]","[1737230051.3638046, 1737230051.3781362, 4.102916153669358]","[1737230121.074024, 1737230121.088612, 4.103710421323776]","[1737230190.7792222, 1737230190.7937763, 3.9956180162429806]"
"[1737229909.3622549, 1737229909.3770726, 4.000382888317109]","[1737229980.8798966, 1737229980.893938, 3.884798597812652]","[1737230051.5052, 1737230051.5201347, 4.155213733673095]","[1737230121.2157042, 1737230121.2304406, 4.147133688569069]","[1737230190.9230492, 1737230190.9377542, 4.058681825637818]"
"[1737229909.5070105, 1737229909.521851, 4.077188508987427]","[1737229981.0217001, 1737229981.035754, 3.943586653709411]","[1737230051.6475425, 1737230051.6620398, 4.089842192173004]","[1737230121.357484, 1737230121.372377, 4.248146133422851]","[1737230191.0695329, 1737230191.0836768, 3.920347619056702]"
"[1737229909.6529677, 1737229909.6670902, 3.8470640749931344]","[1737229981.1633835, 1737229981.1778188, 4.003021757125854]","[1737230051.789226, 1737230051.804164, 4.19400660765171]","[1737230121.4993234, 1737230121.5143282, 4.217239673137664]","[1737230191.2146337, 1737230191.2287164, 3.8623412976264953]"
"[1737229909.7996302, 1737229909.814009, 3.911353441119194]","[1737229981.3059049, 1737229981.3201833, 4.042967942714691]","[1737230051.9315186, 1737230051.9463823, 4.1514396429061895]","[1737230121.641311, 1737230121.6561756, 4.293024546861649]","[1737230191.3585515, 1737230191.372669, 3.949604838132858]"
"[1737229909.9437993, 1737229909.9587603, 4.103728662729264]","[1737229981.4477901, 1737229981.4622135, 4.019576969146729]","[1737230052.0738437, 1737230052.0880973, 4.018165712356567]","[1737230121.7825506, 1737230121.796759, 3.9957623095512393]","[1737230191.5010064, 1737230191.5152814, 3.9489850974082947]"
"[1737229910.0965483, 1737229910.1105735, 3.7780834790468214]","[1737229981.58975, 1737229981.6040459, 4.006259593963623]","[1737230052.2161493, 1737230052.230763, 4.169955019474029]","[1737230121.9240468, 1737230121.9387586, 4.226639920858014]","[1737230191.6433806, 1737230191.6579347, 4.110842222213745]"
"[1737229910.2400393, 1737229910.254167, 3.88328950881958]","[1737229981.7313876, 1737229981.7458756, 4.05163654923439]","[1737230052.358206, 1737230052.3729334, 4.21967341208458]","[1737230122.0662522, 1737230122.0806174, 4.067016895294189]","[1737230191.7850807, 1737230191.7998629, 4.104792519807816]"
"[1737229910.3836958, 1737229910.3986037, 3.952067565917969]","[1737229981.8736856, 1737229981.8880517, 4.0259842147827145]","[1737230052.5003748, 1737230052.5149796, 4.085738544702529]","[1737230122.2079022, 1737230122.222463, 4.100380332946777]","[1737230191.9276235, 1737230191.9419248, 4.044961178302765]"
"[1737229910.527904, 1737229910.5420747, 3.9036022081375124]","[1737229982.0169892, 1737229982.0313966, 4.065464685201645]","[1737230052.6423993, 1737230052.6572225, 4.145010945796966]","[1737230122.3499622, 1737230122.3648512, 4.269242611408233]","[1737230192.0692177, 1737230192.0838432, 4.0652299346923835]"
"[1737229910.6729646, 1737229910.6881106, 4.055118881464005]","[1737229982.1590538, 1737229982.1731875, 3.9576598396301272]","[1737230052.785254, 1737230052.8002899, 4.252804961204529]","[1737230122.4921982, 1737230122.506758, 4.094710106849671]","[1737230192.2114985, 1737230192.2258477, 4.016462082862854]"
"[1737229910.8207388, 1737229910.8358383, 4.154302238464355]","[1737229982.3009832, 1737229982.3153114, 4.055157375633347]","[1737230052.9282675, 1737230052.9428985, 4.069724230527878]","[1737230122.6338665, 1737230122.648685, 4.285149116754532]","[1737230192.3531823, 1737230192.367981, 4.148310706615448]"
